memory_budget,concurrency,policy,effective_prefill_tokens
0.25,1,lru-system,330694
0.25,1,kvflow-like,390516
0.25,1,asg-retention-v2-online,331725
0.25,1,asg-retention-v2-oracle,331725
0.25,1,asg-placement-v2-online,331725
0.25,1,asg-prefetch-v2-online,331725
0.25,2,lru-system,330694
0.25,2,kvflow-like,395098
0.25,2,asg-retention-v2-online,331725
0.25,2,asg-retention-v2-oracle,331725
0.25,2,asg-placement-v2-online,331725
0.25,2,asg-prefetch-v2-online,331725
0.25,4,lru-system,330694
0.25,4,kvflow-like,402726
0.25,4,asg-retention-v2-online,331725
0.25,4,asg-retention-v2-oracle,331725
0.25,4,asg-placement-v2-online,331725
0.25,4,asg-prefetch-v2-online,331725
0.25,8,lru-system,330694
0.25,8,kvflow-like,412851
0.25,8,asg-retention-v2-online,331725
0.25,8,asg-retention-v2-oracle,331725
0.25,8,asg-placement-v2-online,331725
0.25,8,asg-prefetch-v2-online,331725
0.5,1,lru-system,330623
0.5,1,kvflow-like,384550
0.5,1,asg-retention-v2-online,330623
0.5,1,asg-retention-v2-oracle,330623
0.5,1,asg-placement-v2-online,330623
0.5,1,asg-prefetch-v2-online,330623
0.5,2,lru-system,330623
0.5,2,kvflow-like,388944
0.5,2,asg-retention-v2-online,330623
0.5,2,asg-retention-v2-oracle,330623
0.5,2,asg-placement-v2-online,330623
0.5,2,asg-prefetch-v2-online,330623
0.5,4,lru-system,330623
0.5,4,kvflow-like,397897
0.5,4,asg-retention-v2-online,330623
0.5,4,asg-retention-v2-oracle,330623
0.5,4,asg-placement-v2-online,330623
0.5,4,asg-prefetch-v2-online,330623
0.5,8,lru-system,330623
0.5,8,kvflow-like,409622
0.5,8,asg-retention-v2-online,330623
0.5,8,asg-retention-v2-oracle,330623
0.5,8,asg-placement-v2-online,330623
0.5,8,asg-prefetch-v2-online,330623
1.0,1,lru-system,330623
1.0,1,kvflow-like,372690
1.0,1,asg-retention-v2-online,330623
1.0,1,asg-retention-v2-oracle,330623
1.0,1,asg-placement-v2-online,330623
1.0,1,asg-prefetch-v2-online,330623
1.0,2,lru-system,330623
1.0,2,kvflow-like,376168
1.0,2,asg-retention-v2-online,330623
1.0,2,asg-retention-v2-oracle,330623
1.0,2,asg-placement-v2-online,330623
1.0,2,asg-prefetch-v2-online,330623
1.0,4,lru-system,330623
1.0,4,kvflow-like,386888
1.0,4,asg-retention-v2-online,330623
1.0,4,asg-retention-v2-oracle,330623
1.0,4,asg-placement-v2-online,330623
1.0,4,asg-prefetch-v2-online,330623
1.0,8,lru-system,330623
1.0,8,kvflow-like,402796
1.0,8,asg-retention-v2-online,330623
1.0,8,asg-retention-v2-oracle,330623
1.0,8,asg-placement-v2-online,330623
1.0,8,asg-prefetch-v2-online,330623
2.0,1,lru-system,330623
2.0,1,kvflow-like,358897
2.0,1,asg-retention-v2-online,330623
2.0,1,asg-retention-v2-oracle,330623
2.0,1,asg-placement-v2-online,330623
2.0,1,asg-prefetch-v2-online,330623
2.0,2,lru-system,330623
2.0,2,kvflow-like,361324
2.0,2,asg-retention-v2-online,330623
2.0,2,asg-retention-v2-oracle,330623
2.0,2,asg-placement-v2-online,330623
2.0,2,asg-prefetch-v2-online,330623
2.0,4,lru-system,330623
2.0,4,kvflow-like,372836
2.0,4,asg-retention-v2-online,330623
2.0,4,asg-retention-v2-oracle,330623
2.0,4,asg-placement-v2-online,330623
2.0,4,asg-prefetch-v2-online,330623
2.0,8,lru-system,330623
2.0,8,kvflow-like,387130
2.0,8,asg-retention-v2-online,330623
2.0,8,asg-retention-v2-oracle,330623
2.0,8,asg-placement-v2-online,330623
2.0,8,asg-prefetch-v2-online,330623
