trace_idx,state_id,state_type,tokens,left_step,right_step,reuse_distance,delayed,high_value,cross_agent
0,state_fc5cbeb76ad92c3c4e,system_prefix,17,4,8,4,False,False,False
0,state_fc5cbeb76ad92c3c4e,system_prefix,17,8,12,4,False,False,False
0,state_fc5cbeb76ad92c3c4e,system_prefix,17,12,16,4,False,False,False
0,state_fc5cbeb76ad92c3c4e,system_prefix,17,16,20,4,False,False,False
0,state_fc5cbeb76ad92c3c4e,system_prefix,17,20,22,2,False,False,False
0,state_fc5cbeb76ad92c3c4e,system_prefix,17,22,26,4,False,False,False
0,state_fc5cbeb76ad92c3c4e,system_prefix,17,26,30,4,False,False,False
0,state_47f091b176791aeb16,task_prefix,21,4,8,4,False,False,False
0,state_47f091b176791aeb16,task_prefix,21,8,12,4,False,False,False
0,state_47f091b176791aeb16,task_prefix,21,12,16,4,False,False,False
0,state_47f091b176791aeb16,task_prefix,21,16,20,4,False,False,False
0,state_47f091b176791aeb16,task_prefix,21,20,22,2,False,False,False
0,state_47f091b176791aeb16,task_prefix,21,22,26,4,False,False,False
0,state_47f091b176791aeb16,task_prefix,21,26,30,4,False,False,False
0,state_6cece7c7a8142f017a,agent_role,12,4,8,4,False,False,False
0,state_6cece7c7a8142f017a,agent_role,12,8,12,4,False,False,False
0,state_6cece7c7a8142f017a,agent_role,12,12,16,4,False,False,False
0,state_6cece7c7a8142f017a,agent_role,12,16,20,4,False,False,False
0,state_6cece7c7a8142f017a,agent_role,12,20,22,2,False,False,False
0,state_6cece7c7a8142f017a,agent_role,12,22,26,4,False,False,False
0,state_6cece7c7a8142f017a,agent_role,12,26,30,4,False,False,False
0,state_890c7123877649be8b,assistant_delta,48,8,12,4,False,False,False
0,state_890c7123877649be8b,assistant_delta,48,12,16,4,False,False,False
0,state_890c7123877649be8b,assistant_delta,48,16,20,4,False,False,False
0,state_b8cfa5062d5f033b27,assistant_delta,48,12,16,4,False,False,False
0,state_b8cfa5062d5f033b27,assistant_delta,48,16,20,4,False,False,False
0,state_b8cfa5062d5f033b27,assistant_delta,48,20,22,2,False,False,False
0,state_6f5d939d749a1909f2,file_context,112,12,16,4,False,False,False
0,state_6f5d939d749a1909f2,file_context,112,16,30,14,True,False,False
0,state_e589a971c1c3441d9d,assistant_delta,48,16,20,4,False,False,False
0,state_e589a971c1c3441d9d,assistant_delta,48,20,22,2,False,False,False
0,state_8af48b39c9bfc3cc1c,assistant_delta,48,20,22,2,False,False,False
0,state_8af48b39c9bfc3cc1c,assistant_delta,48,22,26,4,False,False,False
0,state_e194bbf5ef69d40215,test_failure_summary,114,20,22,2,False,False,False
0,state_e194bbf5ef69d40215,test_failure_summary,114,22,26,4,False,False,False
0,state_e194bbf5ef69d40215,test_failure_summary,114,26,30,4,False,False,False
0,state_5b970d71688e5a0a69,assistant_delta,48,22,26,4,False,False,False
0,state_47986b7e7e2df031d4,assistant_delta,48,26,30,4,False,False,False
0,state_9c27404225c21d3cfe,edit_diff,29,26,30,4,False,False,False
1,state_80a4b63d4a216d60ca,system_prefix,17,4,8,4,False,False,False
1,state_80a4b63d4a216d60ca,system_prefix,17,8,12,4,False,False,False
1,state_80a4b63d4a216d60ca,system_prefix,17,12,16,4,False,False,False
1,state_80a4b63d4a216d60ca,system_prefix,17,16,20,4,False,False,False
1,state_80a4b63d4a216d60ca,system_prefix,17,20,22,2,False,False,False
1,state_80a4b63d4a216d60ca,system_prefix,17,22,26,4,False,False,False
1,state_80a4b63d4a216d60ca,system_prefix,17,26,30,4,False,False,False
1,state_c78d4ad3bfbe2ccac4,task_prefix,19,4,8,4,False,False,False
1,state_c78d4ad3bfbe2ccac4,task_prefix,19,8,12,4,False,False,False
