trace_idx,state_id,state_type,tokens,access_count,first_access,last_access,cross_agent,has_exact_token_hash,has_semantic_key
0,state_fc5cbeb76ad92c3c4e,system_prefix,17,8,4,30,False,True,True
0,state_47f091b176791aeb16,task_prefix,21,8,4,30,False,True,True
0,state_6cece7c7a8142f017a,agent_role,12,8,4,30,False,True,True
0,state_890c7123877649be8b,assistant_delta,48,4,8,20,False,False,False
0,state_d6c69a3bbc9169f4ac,file_context,6,1,8,8,False,False,False
0,state_b8cfa5062d5f033b27,assistant_delta,48,4,12,22,False,False,False
0,state_6f5d939d749a1909f2,file_context,112,3,12,30,False,False,False
0,state_e589a971c1c3441d9d,assistant_delta,48,3,16,22,False,False,False
0,state_ae2fd9e08c46f8d0fc,file_context,100,0,,,False,False,False
0,state_8af48b39c9bfc3cc1c,assistant_delta,48,3,20,26,False,False,False
0,state_e194bbf5ef69d40215,test_failure_summary,114,4,20,30,False,False,False
0,state_5b970d71688e5a0a69,assistant_delta,48,2,22,26,False,False,False
0,state_47986b7e7e2df031d4,assistant_delta,48,2,26,30,False,False,False
0,state_9c27404225c21d3cfe,edit_diff,29,2,26,30,False,False,False
0,state_d7e1bc6ed55d401589,assistant_delta,48,1,30,30,False,False,False
0,state_44db9cf33ac7c760a7,tool_observation,71,1,30,30,False,False,False
0,state_356c6ba43828981e2e,assistant_delta,48,0,,,False,False,False
1,state_80a4b63d4a216d60ca,system_prefix,17,8,4,30,False,True,True
1,state_c78d4ad3bfbe2ccac4,task_prefix,19,8,4,30,False,True,True
1,state_d0327961bed60d463f,agent_role,12,8,4,30,False,True,True
1,state_b1729dd0d85663e58f,assistant_delta,48,4,8,20,False,False,False
1,state_9a2bbe1cc227f046fa,file_context,6,1,8,8,False,False,False
1,state_76e75276ce2a3a0b51,assistant_delta,48,4,12,22,False,False,False
1,state_546e0cdd939f31e12a,file_context,114,3,12,30,False,False,False
1,state_b7e3244c7778c1ad77,assistant_delta,48,3,16,22,False,False,False
1,state_95dc11b35d56652f9c,file_context,100,0,,,False,False,False
1,state_a4dc9edbecd937e626,assistant_delta,48,3,20,26,False,False,False
1,state_4759e2becccd73fd70,test_failure_summary,109,4,20,30,False,False,False
1,state_b9b2fb23c1f5619ee5,assistant_delta,48,2,22,26,False,False,False
1,state_c723e4a9b8d9cf16a3,assistant_delta,48,2,26,30,False,False,False
1,state_15eca93912b2d11331,edit_diff,31,2,26,30,False,False,False
1,state_202e6d863be3a09807,assistant_delta,48,1,30,30,False,False,False
1,state_4f1b399acae7fcf768,tool_observation,71,1,30,30,False,False,False
1,state_a0daeda5c906675c96,assistant_delta,48,0,,,False,False,False
2,state_2e90520e1b88e6396e,system_prefix,17,8,4,30,False,True,True
2,state_7a40aa385c6f20a229,task_prefix,21,8,4,30,False,True,True
2,state_0adc984a60dfa3c664,agent_role,12,8,4,30,False,True,True
2,state_0a97b6fb710907bb34,assistant_delta,48,4,8,20,False,False,False
2,state_80fb70171017c44f9e,file_context,6,1,8,8,False,False,False
2,state_8a7e6cd6eb2722c3ae,assistant_delta,48,4,12,22,False,False,False
2,state_2e4aa78799ca6e8d76,file_context,131,3,12,30,False,False,False
2,state_00c6a7de441ebf5268,assistant_delta,48,3,16,22,False,False,False
2,state_dbce7e1ad1b0459ae5,file_context,100,0,,,False,False,False
2,state_f8812180066ea26ada,assistant_delta,48,3,20,26,False,False,False
2,state_1f850d208cf2b012e5,test_failure_summary,153,4,20,30,False,False,False
2,state_788eda3e9bf182b466,assistant_delta,48,2,22,26,False,False,False
2,state_3ad667e0c8a5bcad26,assistant_delta,48,2,26,30,False,False,False
2,state_fc5b8d264083437eed,edit_diff,31,2,26,30,False,False,False
2,state_baa3ead1bcee1bc2e6,assistant_delta,48,1,30,30,False,False,False
2,state_5a6a9a258d03b95e08,tool_observation,71,1,30,30,False,False,False
2,state_d41650806eba5631c0,assistant_delta,48,0,,,False,False,False
3,state_0a65156ac396ed153d,system_prefix,17,8,4,30,False,True,True
3,state_ba25ca47a0695d96f0,task_prefix,19,8,4,30,False,True,True
3,state_09909872872256563b,agent_role,12,8,4,30,False,True,True
3,state_4806dccbb88ac4e71c,assistant_delta,48,4,8,20,False,False,False
3,state_589467cb1e6346d9fb,file_context,6,1,8,8,False,False,False
3,state_03718e9fa9c463035c,assistant_delta,48,4,12,22,False,False,False
3,state_2f6f2df33f657aa6ea,file_context,94,3,12,30,False,False,False
3,state_b9919275e26e8907cd,assistant_delta,48,3,16,22,False,False,False
3,state_24b5ca417146452612,file_context,100,0,,,False,False,False
3,state_8209e67e5cb54738eb,assistant_delta,48,3,20,26,False,False,False
3,state_5a09dcd0cbf76282b2,test_failure_summary,121,4,20,30,False,False,False
3,state_5fc388c1de0f8756f7,assistant_delta,48,2,22,26,False,False,False
3,state_4d9349b93717b1416c,assistant_delta,48,2,26,30,False,False,False
3,state_d952079c8855514c42,edit_diff,22,2,26,30,False,False,False
3,state_396aeeef6e85df676c,assistant_delta,48,1,30,30,False,False,False
3,state_95141523fbc5ee7aba,tool_observation,71,1,30,30,False,False,False
3,state_ae2b8e8eaefbe92e1b,assistant_delta,48,0,,,False,False,False
4,state_b2b465664ab095f7e1,system_prefix,17,8,4,30,False,True,True
4,state_5e0ba6ac5577690669,task_prefix,19,8,4,30,False,True,True
4,state_051d76260400ea4fca,agent_role,12,8,4,30,False,True,True
4,state_5f7a8d939694cc5282,assistant_delta,48,4,8,20,False,False,False
4,state_fff77648eb771483bc,file_context,6,1,8,8,False,False,False
4,state_73b135558bfd9ed1d2,assistant_delta,48,4,12,22,False,False,False
4,state_e8bc0b78c6368c057f,file_context,97,3,12,30,False,False,False
4,state_188f010fd9a5029761,assistant_delta,48,3,16,22,False,False,False
4,state_f278a0f593460c6714,file_context,100,0,,,False,False,False
4,state_1e8d47cf3b26f5ea33,assistant_delta,48,3,20,26,False,False,False
4,state_929475d38f92fbeba1,test_failure_summary,115,4,20,30,False,False,False
4,state_c51f214f32ff75879b,assistant_delta,48,2,22,26,False,False,False
4,state_b2b0df3617957bdd07,assistant_delta,48,2,26,30,False,False,False
4,state_c441382cc730951ab5,edit_diff,23,2,26,30,False,False,False
4,state_a0a5434a10d567a246,assistant_delta,48,1,30,30,False,False,False
4,state_bdd47fad76f865e65b,tool_observation,71,1,30,30,False,False,False
4,state_62fe80cebb202d4beb,assistant_delta,48,0,,,False,False,False
5,state_df311b74c8c01949e4,system_prefix,17,8,4,30,False,True,True
5,state_e9fd4b55db4124b1fa,task_prefix,21,8,4,30,False,True,True
5,state_c0fa861353d6201dfe,agent_role,12,8,4,30,False,True,True
5,state_689b4fc3132ab5d4ab,assistant_delta,48,4,8,20,False,False,False
5,state_a22d65bef4cae502ff,file_context,6,1,8,8,False,False,False
5,state_6fc7490b24ff4398fa,assistant_delta,48,4,12,22,False,False,False
5,state_dcbb3366be22fc8b90,file_context,112,3,12,30,False,False,False
5,state_c08bd05728d923834b,assistant_delta,48,3,16,22,False,False,False
5,state_5fae2947462c9a6b05,file_context,100,0,,,False,False,False
5,state_3f67aca67fdf6431a9,assistant_delta,48,3,20,26,False,False,False
5,state_207153386114a0b800,test_failure_summary,162,4,20,30,False,False,False
