policy,prediction_mode,estimator_mode,asg_builder_enabled,oracle_future,baseline_class,retention_policy,mapping_policy,prefetch_policy,prompt_reconstruction_quality,observation_compression_class,data_quality,paper_usable,num_high_quality_traces,num_smoke_traces,num_traces,selected_trace_count,delayed_reuse_ratio,concurrency,memory_budget,total_cycles,p95_llm_step_latency,p99_llm_step_latency,throughput_llm_steps_per_cycle,effective_prefill_tokens,effective_prefill_reduction,cache_hit_ratio,cache_byte_miss,model_compute_cycles,model_comm_cycles,remote_read_bytes,demand_migration_bytes,prefetch_migration_bytes,prefetch_hidden_cycles,prefetch_exposed_cycles,unused_prefetch_events,state_misses,local_state_hits,remote_state_hits,retained_state_type_distribution,LRU_regret_states_preserved,LRU_regret_tokens_preserved,oracle_gap
nocache,none,none,False,False,basic,none,none,none,explicit_selective_state,none,paper_usable,True,52,0,52,,0.02566633761105627,8,1.0,737795000,,,5.63842259706287e-07,436792,0.0,0.0,55663132672,222967000,0,0,0,0,0,0,0,2805,0,0,{},0,0,
lru-basic,none,none,False,False,basic,lru,none,none,explicit_selective_state,none,paper_usable,True,52,0,52,,0.02566633761105627,8,1.0,718733000,,,5.787962984863642e-07,330623,0.24306534918221945,1.0,0,196583000,0,0,0,0,0,0,0,0,845,1960,"{""agent_role"": 4, ""assistant_delta"": 14, ""edit_diff"": 4, ""file_context"": 4, ""system_prefix"": 4, ""task_prefix"": 4, ""test_failure_summary"": 4, ""tool_observation"": 4}",3,450,
lru-system,none,none,False,False,system,lru,static_replica,none,explicit_selective_state,none,paper_usable,True,52,0,52,,0.02566633761105627,8,1.0,718733000,,,5.787962984863642e-07,330623,0.24306534918221945,1.0,0,196583000,0,0,0,0,0,0,0,0,1577,1228,"{""agent_role"": 4, ""assistant_delta"": 14, ""edit_diff"": 4, ""file_context"": 4, ""system_prefix"": 4, ""task_prefix"": 4, ""test_failure_summary"": 4, ""tool_observation"": 4}",3,450,
kvflow-like,none,none,False,False,system,kvflow,none,none,explicit_selective_state,none,paper_usable,True,52,0,52,,0.02566633761105627,8,1.0,729210000,,,5.704803828801031e-07,402796,0.07783109580761549,0.5197860962566845,37839437824,213081000,0,0,0,0,0,0,0,1347,1125,333,"{""agent_role"": 42, ""file_context"": 1, ""system_prefix"": 41, ""task_prefix"": 41}",0,0,
asg-retention-v2-graph-only,none,none,True,False,asg,asg-v2,none,none,explicit_selective_state,none,paper_usable,True,52,0,52,,0.02566633761105627,8,1.0,718733000,,,5.787962984863642e-07,330623,0.24306534918221945,1.0,0,196583000,0,0,0,0,0,0,0,0,1445,1360,"{""agent_role"": 1, ""assistant_delta"": 3, ""edit_diff"": 3, ""file_context"": 15, ""system_prefix"": 52, ""task_prefix"": 52, ""test_failure_summary"": 1, ""tool_observation"": 1}",2,290,
asg-retention-v2-online,heuristic,heuristic,True,False,asg,asg-v2,none,none,explicit_selective_state,none,paper_usable,True,52,0,52,,0.02566633761105627,8,1.0,718733000,,,5.787962984863642e-07,330623,0.24306534918221945,1.0,0,196583000,0,0,0,0,0,0,0,0,1552,1253,"{""agent_role"": 4, ""assistant_delta"": 3, ""edit_diff"": 14, ""file_context"": 6, ""system_prefix"": 52, ""task_prefix"": 52, ""test_failure_summary"": 4, ""tool_observation"": 1}",3,450,
asg-retention-v2-trace-stats,trace_stats,trace_stats,True,False,asg,asg-v2,none,none,explicit_selective_state,none,paper_usable,True,52,0,52,,0.02566633761105627,8,1.0,718733000,,,5.787962984863642e-07,330623,0.24306534918221945,1.0,0,196583000,0,0,0,0,0,0,0,0,1184,1621,"{""agent_role"": 48, ""assistant_delta"": 3, ""edit_diff"": 1, ""file_context"": 1, ""system_prefix"": 52, ""task_prefix"": 52, ""test_failure_summary"": 1, ""tool_observation"": 1}",1,159,
asg-retention-v2-oracle,oracle,oracle,True,True,oracle,asg-v2,none,none,explicit_selective_state,none,paper_usable,True,52,0,52,,0.02566633761105627,8,1.0,718733000,,,5.787962984863642e-07,330623,0.24306534918221945,1.0,0,196583000,0,0,0,0,0,0,0,0,1530,1275,"{""agent_role"": 2, ""assistant_delta"": 10, ""edit_diff"": 3, ""file_context"": 4, ""system_prefix"": 52, ""task_prefix"": 52, ""test_failure_summary"": 4, ""tool_observation"": 4}",3,450,
asg-placement-v2-online,heuristic,heuristic,True,False,asg,asg-v2,asg_cost_aware,none,explicit_selective_state,none,paper_usable,True,52,0,52,,0.02566633761105627,8,1.0,721530345,,,5.765523278165106e-07,330623,0.24306534918221945,1.0,0,133810179,14092762,32652132352,44040192,0,0,0,0,0,1600,1205,"{""agent_role"": 4, ""assistant_delta"": 3, ""edit_diff"": 14, ""file_context"": 6, ""system_prefix"": 52, ""task_prefix"": 52, ""test_failure_summary"": 4, ""tool_observation"": 1}",3,450,
asg-prefetch-v2-online,heuristic,heuristic,True,False,asg,asg-v2,asg_cost_aware,windowed,explicit_selective_state,none,paper_usable,True,52,0,52,,0.02566633761105627,8,1.0,721091314,,,5.769033573465011e-07,330623,0.24306534918221945,1.0,0,121737432,29463224,25460473856,0,18697158656,32871844,40175301,252,0,1722,1083,"{""agent_role"": 4, ""assistant_delta"": 3, ""edit_diff"": 14, ""file_context"": 6, ""system_prefix"": 52, ""task_prefix"": 52, ""test_failure_summary"": 4, ""tool_observation"": 1}",3,450,
