concurrency_level,workflow_id,success,task_family,expected_control_or_opportunity,workflow_wall_clock_s,num_llm_requests,num_llm_errors,ttft_p50_ms,ttft_p95_ms,latency_p50_ms,latency_p95_ms,tokens_per_second_mean,gpu_memory_used_mib_mean,gpu_memory_used_mib_max,gpu_utilization_pct_mean,gpu_power_draw_w_mean
1,long_c1_wf_000_multi_file_bug_01,True,multi_file_bug,opportunity,37.53124237060547,14,0,2366.80006980896,3562.7875328063965,2366.80006980896,3562.7875328063965,12.564066371789181,37612.5,37879.0,67.875,175.03947916666667
1,long_c1_wf_001_multi_file_bug_02,True,multi_file_bug,opportunity,36.27601885795593,14,0,2343.4903621673584,3585.2959156036377,2343.4903621673584,3585.2959156036377,13.211644791742671,37612.5,37879.0,67.875,175.03947916666667
1,long_c1_wf_002_multi_file_bug_03,True,multi_file_bug,opportunity,36.07023286819458,14,0,2338.7298583984375,3579.211711883545,2338.7298583984375,3579.211711883545,13.245433795726484,37612.5,37879.0,67.875,175.03947916666667
1,long_c1_wf_003_multi_file_bug_04,True,multi_file_bug,opportunity,36.84409165382385,14,0,2363.0173206329346,3608.4251403808594,2363.0173206329346,3608.4251403808594,13.017109232733551,37612.5,37879.0,67.875,175.03947916666667
1,long_c1_wf_004_multi_file_bug_05,True,multi_file_bug,opportunity,36.52846360206604,14,0,2370.64790725708,3590.59476852417,2370.64790725708,3590.59476852417,13.119892180947723,37612.5,37879.0,67.875,175.03947916666667
1,long_c1_wf_005_multi_file_bug_06,True,multi_file_bug,opportunity,35.76981544494629,14,0,2349.8806953430176,3583.1427574157715,2349.8806953430176,3583.1427574157715,13.306739933455955,37612.5,37879.0,67.875,175.03947916666667
1,long_c1_wf_006_multi_file_bug_07,True,multi_file_bug,opportunity,36.99567699432373,14,0,2359.5705032348633,3616.2893772125244,2359.5705032348633,3616.2893772125244,12.993209792073088,37612.5,37879.0,67.875,175.03947916666667
1,long_c1_wf_007_multi_file_bug_08,True,multi_file_bug,opportunity,36.41622471809387,14,0,2356.163263320923,3592.0567512512207,2356.163263320923,3592.0567512512207,13.13674483819083,37612.5,37879.0,67.875,175.03947916666667
2,long_c2_wf_000_multi_file_bug_01,True,multi_file_bug,opportunity,53.77587866783142,14,0,3266.7202949523926,6907.2747230529785,3266.7202949523926,6907.2747230529785,9.571214452745313,37612.56306306306,37881.0,72.02702702702703,183.6277027027027
2,long_c2_wf_001_multi_file_bug_02,True,multi_file_bug,opportunity,57.8144166469574,14,0,3267.899513244629,7091.835975646973,3267.899513244629,7091.835975646973,9.320141711635769,37612.56306306306,37881.0,72.02702702702703,183.6277027027027
2,long_c2_wf_002_multi_file_bug_03,True,multi_file_bug,opportunity,55.78175234794617,14,0,3291.942358016968,6918.865203857422,3291.942358016968,6918.865203857422,9.098170675418608,37612.56306306306,37881.0,72.02702702702703,183.6277027027027
2,long_c2_wf_003_multi_file_bug_04,True,multi_file_bug,opportunity,55.781206130981445,14,0,3100.5337238311768,7073.9006996154785,3100.5337238311768,7073.9006996154785,9.334677133215386,37612.56306306306,37881.0,72.02702702702703,183.6277027027027
2,long_c2_wf_004_multi_file_bug_05,True,multi_file_bug,opportunity,55.9110312461853,14,0,3276.8263816833496,7059.328079223633,3276.8263816833496,7059.328079223633,9.098948987091287,37612.56306306306,37881.0,72.02702702702703,183.6277027027027
2,long_c2_wf_005_multi_file_bug_06,True,multi_file_bug,opportunity,55.917656898498535,14,0,3103.6510467529297,7156.603813171387,3103.6510467529297,7156.603813171387,9.331282620576319,37612.56306306306,37881.0,72.02702702702703,183.6277027027027
2,long_c2_wf_006_multi_file_bug_07,True,multi_file_bug,opportunity,55.9306206703186,14,0,3281.79669380188,7057.990312576294,3281.79669380188,7057.990312576294,9.090839116408267,37612.56306306306,37881.0,72.02702702702703,183.6277027027027
2,long_c2_wf_007_multi_file_bug_08,True,multi_file_bug,opportunity,55.557026386260986,14,0,3106.83536529541,7162.403345108032,3106.83536529541,7162.403345108032,9.343144269328981,37612.56306306306,37881.0,72.02702702702703,183.6277027027027
4,long_c4_wf_001_multi_file_bug_02,True,multi_file_bug,opportunity,96.3518898487091,14,0,4135.382652282715,13961.9722366333,4135.382652282715,13961.9722366333,6.2638271901715195,37832.46226415094,38303.0,74.61320754716981,185.5174528301887
4,long_c4_wf_003_multi_file_bug_04,True,multi_file_bug,opportunity,99.99252223968506,14,0,6731.309652328491,14061.637878417969,6731.309652328491,14061.637878417969,6.0040828389979835,37832.46226415094,38303.0,74.61320754716981,185.5174528301887
4,long_c4_wf_000_multi_file_bug_01,True,multi_file_bug,opportunity,103.5838258266449,14,0,7091.522216796875,14168.008089065552,7091.522216796875,14168.008089065552,5.752164671290038,37832.46226415094,38303.0,74.61320754716981,185.5174528301887
4,long_c4_wf_002_multi_file_bug_03,True,multi_file_bug,opportunity,107.59397554397583,14,0,6395.264625549316,14273.79822731018,6395.264625549316,14273.79822731018,5.555887495089037,37832.46226415094,38303.0,74.61320754716981,185.5174528301887
4,long_c4_wf_004_multi_file_bug_05,True,multi_file_bug,opportunity,107.05851078033447,14,0,7280.86519241333,13948.424339294434,7280.86519241333,13948.424339294434,5.550289865978219,37832.46226415094,38303.0,74.61320754716981,185.5174528301887
4,long_c4_wf_006_multi_file_bug_07,True,multi_file_bug,opportunity,103.41149830818176,14,0,6886.923313140869,14060.938358306885,6886.923313140869,14060.938358306885,5.346420034521725,37832.46226415094,38303.0,74.61320754716981,185.5174528301887
4,long_c4_wf_007_multi_file_bug_08,True,multi_file_bug,opportunity,102.98370289802551,14,0,6721.513509750366,14166.451454162598,6721.513509750366,14166.451454162598,5.8798838143363925,37832.46226415094,38303.0,74.61320754716981,185.5174528301887
4,long_c4_wf_005_multi_file_bug_06,True,multi_file_bug,opportunity,114.17705464363098,14,0,7430.522680282593,14273.999452590942,7430.522680282593,14273.999452590942,5.018749798257047,37832.46226415094,38303.0,74.61320754716981,185.5174528301887
8,long_c8_wf_000_multi_file_bug_01,True,multi_file_bug,opportunity,184.26111364364624,14,0,11972.204685211182,27106.38165473938,11972.204685211182,27106.38165473938,3.5239051522719835,38035.5,38303.0,73.56666666666666,187.50990476190475
8,long_c8_wf_004_multi_file_bug_05,True,multi_file_bug,opportunity,191.44111824035645,14,0,11056.46538734436,28175.546407699585,11056.46538734436,28175.546407699585,3.6024637612784205,38035.5,38303.0,73.56666666666666,187.50990476190475
8,long_c8_wf_002_multi_file_bug_03,True,multi_file_bug,opportunity,195.02407050132751,14,0,11615.65113067627,28282.44185447693,11615.65113067627,28282.44185447693,3.1761194760636964,38035.5,38303.0,73.56666666666666,187.50990476190475
8,long_c8_wf_001_multi_file_bug_02,True,multi_file_bug,opportunity,198.60698556900024,14,0,11606.045961380005,28387.06612586975,11606.045961380005,28387.06612586975,3.1320121298582015,38035.5,38303.0,73.56666666666666,187.50990476190475
8,long_c8_wf_003_multi_file_bug_04,True,multi_file_bug,opportunity,202.19349646568298,14,0,12278.587818145752,28490.95869064331,12278.587818145752,28490.95869064331,3.065256099930404,38035.5,38303.0,73.56666666666666,187.50990476190475
8,long_c8_wf_006_multi_file_bug_07,True,multi_file_bug,opportunity,205.77733945846558,14,0,13028.22732925415,28495.75400352478,13028.22732925415,28495.75400352478,3.2918716456343318,38035.5,38303.0,73.56666666666666,187.50990476190475
8,long_c8_wf_007_multi_file_bug_08,True,multi_file_bug,opportunity,209.35765194892883,14,0,13763.559818267822,28597.100257873535,13763.559818267822,28597.100257873535,3.0142198205848394,38035.5,38303.0,73.56666666666666,187.50990476190475
8,long_c8_wf_005_multi_file_bug_06,True,multi_file_bug,opportunity,212.94545102119446,14,0,13272.783994674683,27781.184196472168,13272.783994674683,27781.184196472168,2.9087472466384225,38035.5,38303.0,73.56666666666666,187.50990476190475
