trace_idx,trace_path,workflow_id,task_family,expected_control_or_opportunity,num_llm_events,num_tool_events,num_steps,delayed_reuse_ratio,reuse_distance_p50,file_context_reuse_distance_p50,high_value_delayed_reuse_tokens,LRU_regret_candidate_count,LRU_regret_tokens,file_context_mean_tokens,test_failure_summary_mean_tokens,edit_diff_mean_tokens,live_state_tokens,estimated_kv_bytes,estimated_memory_pressure_ratio
0,traces/local_h100_long_normalized/concurrent__c1__long_c1_wf_000_multi_file_bug_01.json,long_c1_wf_000_multi_file_bug_01,multi_file_bug,opportunity,14,10,24,0.13924050632911392,4,14,6776,6,5750,722.6666666666666,1114.0,340.0,7806,10231480320,95.2880859375
1,traces/local_h100_long_normalized/concurrent__c1__long_c1_wf_001_multi_file_bug_02.json,long_c1_wf_001_multi_file_bug_02,multi_file_bug,opportunity,14,10,24,0.13924050632911392,4,14,6776,6,5750,722.6666666666666,1114.0,340.0,7806,10231480320,95.2880859375
2,traces/local_h100_long_normalized/concurrent__c1__long_c1_wf_002_multi_file_bug_03.json,long_c1_wf_002_multi_file_bug_03,multi_file_bug,opportunity,14,10,24,0.13924050632911392,4,14,6776,6,5750,722.6666666666666,1114.0,340.0,7806,10231480320,95.2880859375
3,traces/local_h100_long_normalized/concurrent__c1__long_c1_wf_003_multi_file_bug_04.json,long_c1_wf_003_multi_file_bug_04,multi_file_bug,opportunity,14,10,24,0.13924050632911392,4,14,6776,6,5750,722.6666666666666,1114.0,340.0,7806,10231480320,95.2880859375
4,traces/local_h100_long_normalized/concurrent__c1__long_c1_wf_004_multi_file_bug_05.json,long_c1_wf_004_multi_file_bug_05,multi_file_bug,opportunity,14,10,24,0.13924050632911392,4,14,6776,6,5750,722.6666666666666,1114.0,340.0,7806,10231480320,95.2880859375
5,traces/local_h100_long_normalized/concurrent__c1__long_c1_wf_005_multi_file_bug_06.json,long_c1_wf_005_multi_file_bug_06,multi_file_bug,opportunity,14,10,24,0.13924050632911392,4,14,6776,6,5750,722.6666666666666,1114.0,340.0,7806,10231480320,95.2880859375
6,traces/local_h100_long_normalized/concurrent__c1__long_c1_wf_006_multi_file_bug_07.json,long_c1_wf_006_multi_file_bug_07,multi_file_bug,opportunity,14,10,24,0.13924050632911392,4,14,6776,6,5750,722.6666666666666,1114.0,340.0,7806,10231480320,95.2880859375
7,traces/local_h100_long_normalized/concurrent__c1__long_c1_wf_007_multi_file_bug_08.json,long_c1_wf_007_multi_file_bug_08,multi_file_bug,opportunity,14,10,24,0.13924050632911392,4,14,6776,6,5750,722.6666666666666,1114.0,340.0,7806,10231480320,95.2880859375
8,traces/local_h100_long_normalized/concurrent__c2__long_c2_wf_000_multi_file_bug_01.json,long_c2_wf_000_multi_file_bug_01,multi_file_bug,opportunity,14,10,24,0.13924050632911392,4,14,6776,6,5750,722.6666666666666,1114.0,340.0,7806,10231480320,95.2880859375
9,traces/local_h100_long_normalized/concurrent__c2__long_c2_wf_001_multi_file_bug_02.json,long_c2_wf_001_multi_file_bug_02,multi_file_bug,opportunity,14,10,24,0.13924050632911392,4,14,6776,6,5750,722.6666666666666,1114.0,340.0,7806,10231480320,95.2880859375
