Wrote 10 real-trace policy results to agent_results/local_h100_long/wafer_replay/control_m0.02_c1
policy,effective_prefill_tokens,cache_hit_ratio,oracle_gap
nocache,44178,0.0,6.162861491628615
lru-basic,40786,0.6560975609756098,1.0
lru-system,40786,0.6560975609756098,1.0
kvflow-like,40668,0.6585365853658537,0.8203957382039574
asg-retention-v2-graph-only,40129,0.6585365853658537,0.0
asg-retention-v2-online,40129,0.6585365853658537,0.0
asg-retention-v2-trace-stats,40129,0.6585365853658537,0.0
asg-retention-v2-oracle,40129,0.6585365853658537,0.0
asg-placement-v2-online,40129,0.6585365853658537,0.0
asg-prefetch-v2-online,40129,0.6585365853658537,0.0
