policy,prediction_mode,estimator_mode,concurrency,memory_budget,total_cycles,p95_llm_step_latency,p99_llm_step_latency,throughput_llm_steps_per_cycle,effective_prefill_tokens,cache_byte_miss,state_misses,LRU_regret_states_preserved,LRU_regret_tokens_preserved,asg_builder_enabled,oracle_future,baseline_class,retention_policy,mapping_policy,prefetch_policy,prompt_reconstruction_quality,observation_compression_class,data_quality,paper_usable,num_high_quality_traces,num_smoke_traces,num_traces,selected_trace_count,delayed_reuse_ratio,effective_prefill_reduction,cache_hit_ratio,model_compute_cycles,model_comm_cycles,remote_read_bytes,demand_migration_bytes,prefetch_migration_bytes,prefetch_hidden_cycles,prefetch_exposed_cycles,unused_prefetch_events,local_state_hits,remote_state_hits,retained_state_type_distribution,oracle_gap,llm_step_latency_quantiles_available
lru-system,none,none,1,0.02,666489000,,,1.3503598709055963e-07,40786,2027421696,141,0,0,False,False,system,lru,static_replica,none,explicit_selective_state,none,smoke_only,False,0,10,10,,0.0,0.07678029788582552,0.6560975609756098,29999000,0,0,0,0,0,0,0,237,32,"{""agent_role"": 1, ""system_prefix"": 1, ""task_prefix"": 1}",1.0,False
kvflow-like,none,none,1,0.02,666456000,,,1.350426734848212e-07,40668,1965555712,140,0,0,False,False,system,kvflow,none,none,explicit_selective_state,none,smoke_only,False,0,10,10,,0.0,0.07945131060708954,0.6585365853658537,29850000,0,0,0,0,0,0,0,261,9,"{""agent_role"": 1, ""system_prefix"": 1, ""task_prefix"": 1}",0.8203957382039574,False
asg-retention-v2-online,heuristic,heuristic,1,0.02,666370000,,,1.3506010174527664e-07,40129,1682964480,140,0,0,True,False,asg,asg-v2,none,none,explicit_selective_state,none,smoke_only,False,0,10,10,,0.0,0.09165195346099864,0.6585365853658537,29555000,0,0,0,0,0,0,0,229,41,"{""assistant_delta"": 1, ""system_prefix"": 10, ""task_prefix"": 10}",0.0,False
asg-retention-v2-oracle,oracle,oracle,1,0.02,666370000,,,1.3506010174527664e-07,40129,1682964480,140,0,0,True,True,oracle,asg-v2,none,none,explicit_selective_state,none,smoke_only,False,0,10,10,,0.0,0.09165195346099864,0.6585365853658537,29555000,0,0,0,0,0,0,0,229,41,"{""assistant_delta"": 1, ""system_prefix"": 10, ""task_prefix"": 10}",0.0,False
asg-placement-v2-online,heuristic,heuristic,1,0.02,666417105,,,1.350505551624459e-07,40129,1682964480,140,0,0,True,False,asg,asg-v2,asg_cost_aware,none,explicit_selective_state,none,smoke_only,False,0,10,10,,0.0,0.09165195346099864,0.6585365853658537,28762318,276487,412090368,18874368,0,0,0,0,229,41,"{""assistant_delta"": 1, ""system_prefix"": 10, ""task_prefix"": 10}",0.0,False
asg-prefetch-v2-online,heuristic,heuristic,1,0.02,666417105,,,1.350505551624459e-07,40129,1682964480,140,0,0,True,False,asg,asg-v2,asg_cost_aware,windowed,explicit_selective_state,none,smoke_only,False,0,10,10,,0.0,0.09165195346099864,0.6585365853658537,28664010,380937,412090368,0,51904512,202758,0,0,232,38,"{""assistant_delta"": 1, ""system_prefix"": 10, ""task_prefix"": 10}",0.0,False
lru-system,none,none,2,0.02,666489000,,,1.3503598709055963e-07,40786,2027421696,141,0,0,False,False,system,lru,static_replica,none,explicit_selective_state,none,smoke_only,False,0,10,10,,0.0,0.07678029788582552,0.6560975609756098,29999000,0,0,0,0,0,0,0,267,2,"{""agent_role"": 1, ""system_prefix"": 1, ""task_prefix"": 1}",1.0,False
kvflow-like,none,none,2,0.02,666456000,,,1.350426734848212e-07,40668,1965555712,140,0,0,False,False,system,kvflow,none,none,explicit_selective_state,none,smoke_only,False,0,10,10,,0.0,0.07945131060708954,0.6585365853658537,29850000,0,0,0,0,0,0,0,270,0,"{""agent_role"": 1, ""system_prefix"": 1, ""task_prefix"": 1}",0.8203957382039574,False
asg-retention-v2-online,heuristic,heuristic,2,0.02,666370000,,,1.3506010174527664e-07,40129,1682964480,140,0,0,True,False,asg,asg-v2,none,none,explicit_selective_state,none,smoke_only,False,0,10,10,,0.0,0.09165195346099864,0.6585365853658537,29555000,0,0,0,0,0,0,0,229,41,"{""assistant_delta"": 1, ""system_prefix"": 10, ""task_prefix"": 10}",0.0,False
asg-retention-v2-oracle,oracle,oracle,2,0.02,666370000,,,1.3506010174527664e-07,40129,1682964480,140,0,0,True,True,oracle,asg-v2,none,none,explicit_selective_state,none,smoke_only,False,0,10,10,,0.0,0.09165195346099864,0.6585365853658537,29555000,0,0,0,0,0,0,0,229,41,"{""assistant_delta"": 1, ""system_prefix"": 10, ""task_prefix"": 10}",0.0,False
