Wrote 10 real-trace policy results to agent_results/local_h100_long/wafer_replay/m0.5_c16
policy,effective_prefill_tokens,cache_hit_ratio,oracle_gap
nocache,4818392,0.0,6.163397508976422
lru-basic,4333771,0.7878787878787878,1.0
lru-system,4333771,0.7878787878787878,1.0
kvflow-like,4722912,0.42424242424242425,5.146105245213463
asg-retention-v2-graph-only,4239998,0.7044639947865754,0.0008949785311697583
asg-retention-v2-online,4239914,0.7181492342782665,0.0
asg-retention-v2-trace-stats,4239921,0.7204301075268817,7.458154426414652e-05
asg-retention-v2-oracle,4239914,0.7181492342782665,0.0
asg-placement-v2-online,4239914,0.7181492342782665,0.0
asg-prefetch-v2-online,4239914,0.7181492342782665,0.0
