Wrote 10 real-trace policy results to agent_results/local_h100_long/wafer_replay/opportunity_m0.05_c1
policy,effective_prefill_tokens,cache_hit_ratio,oracle_gap
nocache,2334123,0.0,2.7393512281065395
lru-basic,2300557,0.3228956228956229,1.0
lru-system,2300557,0.3228956228956229,1.0
kvflow-like,2302371,0.29225589225589227,1.0939993781739041
asg-retention-v2-graph-only,2281259,0.494949494949495,0.0
asg-retention-v2-online,2281259,0.494949494949495,0.0
asg-retention-v2-trace-stats,2281259,0.494949494949495,0.0
asg-retention-v2-oracle,2281259,0.494949494949495,0.0
asg-placement-v2-online,2281259,0.494949494949495,0.0
asg-prefetch-v2-online,2281259,0.494949494949495,0.0
