policy,prediction_mode,estimator_mode,asg_builder_enabled,oracle_future,baseline_class,retention_policy,mapping_policy,prefetch_policy,prompt_reconstruction_quality,observation_compression_class,data_quality,paper_usable,num_high_quality_traces,num_smoke_traces,num_traces,selected_trace_count,delayed_reuse_ratio,concurrency,memory_budget,total_cycles,p95_llm_step_latency,p99_llm_step_latency,throughput_llm_steps_per_cycle,effective_prefill_tokens,effective_prefill_reduction,cache_hit_ratio,cache_byte_miss,model_compute_cycles,model_comm_cycles,remote_read_bytes,demand_migration_bytes,prefetch_migration_bytes,prefetch_hidden_cycles,prefetch_exposed_cycles,unused_prefetch_events,state_misses,local_state_hits,remote_state_hits,retained_state_type_distribution,LRU_regret_states_preserved,LRU_regret_tokens_preserved,oracle_gap
nocache,none,none,False,False,basic,none,none,none,explicit_selective_state,none,paper_usable,True,30,0,30,,0.12658227848101267,16,0.25,1092301000,,,3.8450939805053735e-07,2334123,0.0,0.0,454233686016,768022000,0,0,0,0,0,0,0,2970,0,0,{},0,0,7.264975388110564
lru-basic,none,none,False,False,basic,lru,none,none,explicit_selective_state,none,paper_usable,True,30,0,30,,0.12658227848101267,16,0.25,1043443000,,,4.0251360160545424e-07,2168665,0.0708865813841002,0.6747474747474748,367486042112,681333000,0,0,0,0,0,0,0,966,1095,909,"{""agent_role"": 1, ""file_context"": 2, ""summary_state"": 2, ""system_prefix"": 1, ""task_prefix"": 1}",2,369,1.0
lru-system,none,none,False,False,system,lru,static_replica,none,explicit_selective_state,none,paper_usable,True,30,0,30,,0.12658227848101267,16,0.25,1043443000,,,4.0251360160545424e-07,2168665,0.0708865813841002,0.6747474747474748,367486042112,681333000,0,0,0,0,0,0,0,966,1752,252,"{""agent_role"": 1, ""file_context"": 2, ""summary_state"": 2, ""system_prefix"": 1, ""task_prefix"": 1}",2,369,1.0
kvflow-like,none,none,False,False,system,kvflow,none,none,explicit_selective_state,none,paper_usable,True,30,0,30,,0.12658227848101267,16,0.25,1099917000,,,3.818469939095404e-07,2287923,0.019793301381289652,0.42424242424242425,430011580416,758836000,0,0,0,0,0,0,0,1710,1176,84,"{""agent_role"": 7, ""system_prefix"": 6, ""task_prefix"": 4}",0,0,5.515638015903067
asg-retention-v2-graph-only,none,none,True,False,asg,asg-v2,none,none,explicit_selective_state,none,paper_usable,True,30,0,30,,0.12658227848101267,16,0.25,1040008000,,,4.0384304736117414e-07,2142255,0.08220132358063392,0.7164983164983165,353639596032,676567000,0,0,0,0,0,0,0,842,1727,401,"{""agent_role"": 1, ""assistant_delta"": 1, ""file_context"": 2, ""summary_state"": 2, ""system_prefix"": 30, ""task_prefix"": 30}",2,369,0.0
asg-retention-v2-online,heuristic,heuristic,True,False,asg,asg-v2,none,none,explicit_selective_state,none,paper_usable,True,30,0,30,,0.12658227848101267,16,0.25,1040008000,,,4.0384304736117414e-07,2142255,0.08220132358063392,0.7164983164983165,353639596032,676567000,0,0,0,0,0,0,0,842,1811,317,"{""agent_role"": 2, ""assistant_delta"": 1, ""file_context"": 1, ""summary_state"": 2, ""system_prefix"": 30, ""task_prefix"": 30}",2,369,0.0
asg-retention-v2-trace-stats,trace_stats,trace_stats,True,False,asg,asg-v2,none,none,explicit_selective_state,none,paper_usable,True,30,0,30,,0.12658227848101267,16,0.25,1040026000,,,4.0383605794470525e-07,2142327,0.0821704768771826,0.7218855218855219,353677344768,676594000,0,0,0,0,0,0,0,826,1724,420,"{""agent_role"": 2, ""assistant_delta"": 1, ""file_context"": 1, ""summary_state"": 2, ""system_prefix"": 30, ""task_prefix"": 30}",2,369,0.0027262400605831123
asg-retention-v2-oracle,oracle,oracle,True,True,oracle,asg-v2,none,none,explicit_selective_state,none,paper_usable,True,30,0,30,,0.12658227848101267,16,0.25,1040008000,,,4.0384304736117414e-07,2142255,0.08220132358063392,0.7164983164983165,353639596032,676567000,0,0,0,0,0,0,0,842,1738,390,"{""agent_role"": 1, ""assistant_delta"": 1, ""file_context"": 2, ""summary_state"": 2, ""system_prefix"": 30, ""task_prefix"": 30}",2,369,0.0
asg-placement-v2-online,heuristic,heuristic,True,False,asg,asg-v2,asg_cost_aware,none,explicit_selective_state,none,paper_usable,True,30,0,30,,0.12658227848101267,16,0.25,1074583610,,,3.90849065713928e-07,2142255,0.08220132358063392,0.7164983164983165,353639596032,703246111,94309,2558001152,88080384,0,0,0,0,842,1871,257,"{""agent_role"": 2, ""assistant_delta"": 1, ""file_context"": 1, ""summary_state"": 2, ""system_prefix"": 30, ""task_prefix"": 30}",2,369,0.0
asg-prefetch-v2-online,heuristic,heuristic,True,False,asg,asg-v2,asg_cost_aware,windowed,explicit_selective_state,none,paper_usable,True,30,0,30,,0.12658227848101267,16,0.25,1074165733,,,3.910011156537238e-07,2142255,0.08220132358063392,0.7164983164983165,353639596032,702845645,8288013,1820327936,25165824,2804416512,10052301,904971,14,842,1961,167,"{""agent_role"": 2, ""assistant_delta"": 1, ""file_context"": 1, ""summary_state"": 2, ""system_prefix"": 30, ""task_prefix"": 30}",2,369,0.0
