policy,prediction_mode,estimator_mode,concurrency,memory_budget,total_cycles,p95_llm_step_latency,p99_llm_step_latency,throughput_llm_steps_per_cycle,effective_prefill_tokens,cache_byte_miss,state_misses,LRU_regret_states_preserved,LRU_regret_tokens_preserved,asg_builder_enabled,oracle_future,baseline_class,retention_policy,mapping_policy,prefetch_policy,prompt_reconstruction_quality,observation_compression_class,data_quality,paper_usable,num_high_quality_traces,num_smoke_traces,num_traces,selected_trace_count,delayed_reuse_ratio,effective_prefill_reduction,cache_hit_ratio,model_compute_cycles,model_comm_cycles,remote_read_bytes,demand_migration_bytes,prefetch_migration_bytes,prefetch_hidden_cycles,prefetch_exposed_cycles,unused_prefetch_events,local_state_hits,remote_state_hits,retained_state_type_distribution,oracle_gap,llm_step_latency_quantiles_available
lru-system,none,none,1,0.02,1089498000,,,3.8549864249406606e-07,2321524,447628181504,2079,0,0,False,False,system,lru,static_replica,none,explicit_selective_state,none,paper_usable,True,30,0,30,,0.12658227848101267,0.005397744677551275,0.3,751743000,0,0,0,0,0,0,0,864,27,"{""agent_role"": 1, ""file_context"": 1, ""system_prefix"": 1}",1.0,False
kvflow-like,none,none,1,0.02,1089506000,,,3.8549581186335824e-07,2321523,447627657216,2070,0,0,False,False,system,kvflow,none,none,explicit_selective_state,none,paper_usable,True,30,0,30,,0.12658227848101267,0.0053981731039880465,0.30303030303030304,751748000,0,0,0,0,0,0,0,898,2,"{""agent_role"": 1, ""file_context"": 1, ""system_prefix"": 1}",0.9999712849964106,False
asg-retention-v2-online,heuristic,heuristic,1,0.02,1099651000,,,3.819393607608232e-07,2286699,429369851904,1710,0,0,True,False,asg,asg-v2,none,none,explicit_selective_state,none,paper_usable,True,30,0,30,,0.12658227848101267,0.02031769533996275,0.42424242424242425,758504000,0,0,0,0,0,0,0,1180,80,"{""file_context"": 1, ""system_prefix"": 30, ""task_prefix"": 30}",0.0,False
asg-retention-v2-oracle,oracle,oracle,1,0.02,1099651000,,,3.819393607608232e-07,2286699,429369851904,1710,0,0,True,True,oracle,asg-v2,none,none,explicit_selective_state,none,paper_usable,True,30,0,30,,0.12658227848101267,0.02031769533996275,0.42424242424242425,758504000,0,0,0,0,0,0,0,1180,80,"{""file_context"": 1, ""system_prefix"": 30, ""task_prefix"": 30}",0.0,False
asg-placement-v2-online,heuristic,heuristic,1,0.02,1133705000,,,3.7046674399424897e-07,2286699,429369851904,1710,0,0,True,False,asg,asg-v2,asg_cost_aware,none,explicit_selective_state,none,paper_usable,True,30,0,30,,0.12658227848101267,0.02031769533996275,0.42424242424242425,824257175,98306,904921088,0,0,0,0,0,1187,73,"{""file_context"": 1, ""system_prefix"": 30, ""task_prefix"": 30}",0.0,False
asg-prefetch-v2-online,heuristic,heuristic,1,0.02,1133705000,,,3.7046674399424897e-07,2286699,429369851904,1710,0,0,True,False,asg,asg-v2,asg_cost_aware,windowed,explicit_selective_state,none,paper_usable,True,30,0,30,,0.12658227848101267,0.02031769533996275,0.42424242424242425,824359577,98306,852492288,0,26214400,0,102402,0,1191,69,"{""file_context"": 1, ""system_prefix"": 30, ""task_prefix"": 30}",0.0,False
lru-system,none,none,2,0.02,1089498000,,,3.8549864249406606e-07,2321524,447628181504,2079,0,0,False,False,system,lru,static_replica,none,explicit_selective_state,none,paper_usable,True,30,0,30,,0.12658227848101267,0.005397744677551275,0.3,751743000,0,0,0,0,0,0,0,887,4,"{""agent_role"": 1, ""file_context"": 1, ""system_prefix"": 1}",1.0,False
kvflow-like,none,none,2,0.02,1089506000,,,3.8549581186335824e-07,2321523,447627657216,2070,0,0,False,False,system,kvflow,none,none,explicit_selective_state,none,paper_usable,True,30,0,30,,0.12658227848101267,0.0053981731039880465,0.30303030303030304,751748000,0,0,0,0,0,0,0,900,0,"{""agent_role"": 1, ""file_context"": 1, ""system_prefix"": 1}",0.9999712849964106,False
asg-retention-v2-online,heuristic,heuristic,2,0.02,1099651000,,,3.819393607608232e-07,2286699,429369851904,1710,0,0,True,False,asg,asg-v2,none,none,explicit_selective_state,none,paper_usable,True,30,0,30,,0.12658227848101267,0.02031769533996275,0.42424242424242425,758504000,0,0,0,0,0,0,0,1177,83,"{""file_context"": 1, ""system_prefix"": 30, ""task_prefix"": 30}",0.0,False
asg-retention-v2-oracle,oracle,oracle,2,0.02,1099651000,,,3.819393607608232e-07,2286699,429369851904,1710,0,0,True,True,oracle,asg-v2,none,none,explicit_selective_state,none,paper_usable,True,30,0,30,,0.12658227848101267,0.02031769533996275,0.42424242424242425,758504000,0,0,0,0,0,0,0,1177,83,"{""file_context"": 1, ""system_prefix"": 30, ""task_prefix"": 30}",0.0,False
asg-placement-v2-online,heuristic,heuristic,2,0.02,1130774009,,,3.714270019094505e-07,2286699,429369851904,1710,0,0,True,False,asg,asg-v2,asg_cost_aware,none,explicit_selective_state,none,paper_usable,True,30,0,30,,0.12658227848101267,0.02031769533996275,0.42424242424242425,824998337,98306,914882560,0,0,0,0,0,1186,74,"{""file_context"": 1, ""system_prefix"": 30, ""task_prefix"": 30}",0.0,False
