policy,prediction_mode,estimator_mode,concurrency,memory_budget,total_cycles,p95_llm_step_latency,p99_llm_step_latency,throughput_llm_steps_per_cycle,effective_prefill_tokens,cache_byte_miss,state_misses,LRU_regret_states_preserved,LRU_regret_tokens_preserved,asg_builder_enabled,oracle_future,baseline_class,retention_policy,mapping_policy,prefetch_policy,prompt_reconstruction_quality,observation_compression_class,data_quality,paper_usable,num_high_quality_traces,num_smoke_traces,num_traces,selected_trace_count,delayed_reuse_ratio,effective_prefill_reduction,cache_hit_ratio,model_compute_cycles,model_comm_cycles,remote_read_bytes,demand_migration_bytes,prefetch_migration_bytes,prefetch_hidden_cycles,prefetch_exposed_cycles,unused_prefetch_events,local_state_hits,remote_state_hits,retained_state_type_distribution,oracle_gap,llm_step_latency_quantiles_available
asg-retention-v2-online,heuristic,heuristic,1,0.02,1607992000,,,5.398036806153265e-07,4720507,884531527680,3534,0,0,True,False,asg,asg-v2,none,none,explicit_selective_state,none,paper_usable,True,62,10,62,,0.12658227848101267,0.02031486852875397,0.42424242424242425,1401262000,0,0,0,0,0,0,0,2445,159,"{""assistant_delta"": 1, ""system_prefix"": 62, ""task_prefix"": 62}",0.0,False
asg-prefetch-v2-online,heuristic,heuristic,1,0.02,1633812498,,,5.312727140124986e-07,4720507,884531527680,3534,0,0,True,False,asg,asg-v2,asg_cost_aware,windowed,explicit_selective_state,none,paper_usable,True,62,10,62,,0.12658227848101267,0.02031486852875397,0.42424242424242425,1415551508,53249,1925185536,0,13107200,0,51201,0,2454,150,"{""assistant_delta"": 1, ""system_prefix"": 62, ""task_prefix"": 62}",0.0,False
asg-retention-v2-online,heuristic,heuristic,2,0.02,1607992000,,,5.398036806153265e-07,4720507,884531527680,3534,0,0,True,False,asg,asg-v2,none,none,explicit_selective_state,none,paper_usable,True,62,10,62,,0.12658227848101267,0.02031486852875397,0.42424242424242425,1401262000,0,0,0,0,0,0,0,2444,160,"{""assistant_delta"": 1, ""system_prefix"": 62, ""task_prefix"": 62}",0.0,False
asg-prefetch-v2-online,heuristic,heuristic,2,0.02,1638127000,,,5.298734469305494e-07,4720507,884531527680,3534,0,0,True,False,asg,asg-v2,asg_cost_aware,windowed,explicit_selective_state,none,paper_usable,True,62,10,62,,0.12658227848101267,0.02031486852875397,0.42424242424242425,1427834241,49153,1929904128,0,13107200,0,51201,0,2453,151,"{""assistant_delta"": 1, ""system_prefix"": 62, ""task_prefix"": 62}",0.0,False
asg-retention-v2-online,heuristic,heuristic,4,0.02,1607992000,,,5.398036806153265e-07,4720507,884531527680,3534,0,0,True,False,asg,asg-v2,none,none,explicit_selective_state,none,paper_usable,True,62,10,62,,0.12658227848101267,0.02031486852875397,0.42424242424242425,1401262000,0,0,0,0,0,0,0,2435,169,"{""assistant_delta"": 1, ""system_prefix"": 62, ""task_prefix"": 62}",0.0,False
asg-prefetch-v2-online,heuristic,heuristic,4,0.02,1600556000,,,5.423115467375088e-07,4720507,884531527680,3534,0,0,True,False,asg,asg-v2,asg_cost_aware,windowed,explicit_selective_state,none,paper_usable,True,62,10,62,,0.12658227848101267,0.02031486852875397,0.42424242424242425,1395715719,51201,2020081664,0,26214400,0,102402,0,2445,159,"{""assistant_delta"": 1, ""system_prefix"": 62, ""task_prefix"": 62}",0.0,False
asg-retention-v2-online,heuristic,heuristic,8,0.02,1607992000,,,5.398036806153265e-07,4720507,884531527680,3534,0,0,True,False,asg,asg-v2,none,none,explicit_selective_state,none,paper_usable,True,62,10,62,,0.12658227848101267,0.02031486852875397,0.42424242424242425,1401262000,0,0,0,0,0,0,0,2430,174,"{""assistant_delta"": 1, ""system_prefix"": 62, ""task_prefix"": 62}",0.0,False
asg-prefetch-v2-online,heuristic,heuristic,8,0.02,1618093000,,,5.36433937975135e-07,4720507,884531527680,3534,0,0,True,False,asg,asg-v2,asg_cost_aware,windowed,explicit_selective_state,none,paper_usable,True,62,10,62,,0.12658227848101267,0.02031486852875397,0.42424242424242425,1410064995,0,2047868928,0,26214400,0,102402,0,2443,161,"{""assistant_delta"": 1, ""system_prefix"": 62, ""task_prefix"": 62}",0.0,False
asg-retention-v2-online,heuristic,heuristic,16,0.02,1607992000,,,5.398036806153265e-07,4720507,884531527680,3534,0,0,True,False,asg,asg-v2,none,none,explicit_selective_state,none,paper_usable,True,62,10,62,,0.12658227848101267,0.02031486852875397,0.42424242424242425,1401262000,0,0,0,0,0,0,0,2431,173,"{""assistant_delta"": 1, ""system_prefix"": 62, ""task_prefix"": 62}",0.0,False
asg-prefetch-v2-online,heuristic,heuristic,16,0.02,1645426249,,,5.275228838287483e-07,4720507,884531527680,3534,0,0,True,False,asg,asg-v2,asg_cost_aware,windowed,explicit_selective_state,none,paper_usable,True,62,10,62,,0.12658227848101267,0.02031486852875397,0.42424242424242425,1408092552,49153,2183135232,0,0,0,0,0,2432,172,"{""assistant_delta"": 1, ""system_prefix"": 62, ""task_prefix"": 62}",0.0,False
asg-retention-v2-online,heuristic,heuristic,1,0.05,1605367000,,,5.406863352741148e-07,4708882,878436679680,3100,0,0,True,False,asg,asg-v2,none,none,explicit_selective_state,none,paper_usable,True,62,10,62,,0.12658227848101267,0.022727499132490725,0.494949494949495,1397422000,0,0,0,0,0,0,0,2891,147,"{""assistant_delta"": 1, ""file_context"": 1, ""system_prefix"": 62, ""task_prefix"": 62}",0.0,False
asg-prefetch-v2-online,heuristic,heuristic,1,0.05,1605367000,,,5.406863352741148e-07,4708882,878436679680,3100,0,0,True,False,asg,asg-v2,asg_cost_aware,windowed,explicit_selective_state,none,paper_usable,True,62,10,62,,0.12658227848101267,0.022727499132490725,0.494949494949495,1390941311,92162,1561329664,0,144179200,190567,373338,1,2912,126,"{""assistant_delta"": 1, ""file_context"": 1, ""system_prefix"": 62, ""task_prefix"": 62}",0.0,False
asg-retention-v2-online,heuristic,heuristic,2,0.05,1605367000,,,5.406863352741148e-07,4708882,878436679680,3100,0,0,True,False,asg,asg-v2,none,none,explicit_selective_state,none,paper_usable,True,62,10,62,,0.12658227848101267,0.022727499132490725,0.494949494949495,1397422000,0,0,0,0,0,0,0,2783,255,"{""assistant_delta"": 1, ""file_context"": 1, ""system_prefix"": 62, ""task_prefix"": 62}",0.0,False
asg-prefetch-v2-online,heuristic,heuristic,2,0.05,1605367000,,,5.406863352741148e-07,4708882,878436679680,3100,0,0,True,False,asg,asg-v2,asg_cost_aware,windowed,explicit_selective_state,none,paper_usable,True,62,10,62,,0.12658227848101267,0.022727499132490725,0.494949494949495,1387002287,196810,2844786688,6291456,99090432,0,387279,0,2805,233,"{""assistant_delta"": 1, ""file_context"": 1, ""system_prefix"": 62, ""task_prefix"": 62}",0.0,False
asg-retention-v2-online,heuristic,heuristic,4,0.05,1605367000,,,5.406863352741148e-07,4708882,878436679680,3100,0,0,True,False,asg,asg-v2,none,none,explicit_selective_state,none,paper_usable,True,62,10,62,,0.12658227848101267,0.022727499132490725,0.494949494949495,1397422000,0,0,0,0,0,0,0,2771,267,"{""assistant_delta"": 1, ""file_context"": 1, ""system_prefix"": 62, ""task_prefix"": 62}",0.0,False
asg-prefetch-v2-online,heuristic,heuristic,4,0.05,1605367000,,,5.406863352741148e-07,4708882,878436679680,3100,0,0,True,False,asg,asg-v2,asg_cost_aware,windowed,explicit_selective_state,none,paper_usable,True,62,10,62,,0.12658227848101267,0.022727499132490725,0.494949494949495,1354309492,53348,2778726400,25165824,67108864,0,262152,0,2796,242,"{""assistant_delta"": 1, ""file_context"": 1, ""system_prefix"": 62, ""task_prefix"": 62}",0.0,False
asg-retention-v2-online,heuristic,heuristic,8,0.05,1605367000,,,5.406863352741148e-07,4708882,878436679680,3100,0,0,True,False,asg,asg-v2,none,none,explicit_selective_state,none,paper_usable,True,62,10,62,,0.12658227848101267,0.022727499132490725,0.494949494949495,1397422000,0,0,0,0,0,0,0,2766,272,"{""assistant_delta"": 1, ""file_context"": 1, ""system_prefix"": 62, ""task_prefix"": 62}",0.0,False
asg-prefetch-v2-online,heuristic,heuristic,8,0.05,1605367000,,,5.406863352741148e-07,4708882,878436679680,3100,0,0,True,False,asg,asg-v2,asg_cost_aware,windowed,explicit_selective_state,none,paper_usable,True,62,10,62,,0.12658227848101267,0.022727499132490725,0.494949494949495,1359649437,0,2896166912,31457280,70778880,0,276489,0,2783,255,"{""assistant_delta"": 1, ""file_context"": 1, ""system_prefix"": 62, ""task_prefix"": 62}",0.0,False
asg-retention-v2-online,heuristic,heuristic,16,0.05,1605367000,,,5.406863352741148e-07,4708882,878436679680,3100,0,0,True,False,asg,asg-v2,none,none,explicit_selective_state,none,paper_usable,True,62,10,62,,0.12658227848101267,0.022727499132490725,0.494949494949495,1397422000,0,0,0,0,0,0,0,2698,340,"{""assistant_delta"": 1, ""file_context"": 1, ""system_prefix"": 62, ""task_prefix"": 62}",0.0,False
asg-prefetch-v2-online,heuristic,heuristic,16,0.05,1605367000,,,5.406863352741148e-07,4708882,878436679680,3100,0,0,True,False,asg,asg-v2,asg_cost_aware,windowed,explicit_selective_state,none,paper_usable,True,62,10,62,,0.12658227848101267,0.022727499132490725,0.494949494949495,1353018013,102402,3215982592,44040192,11010048,0,43011,0,2747,291,"{""assistant_delta"": 1, ""file_context"": 1, ""system_prefix"": 62, ""task_prefix"": 62}",0.0,False
asg-retention-v2-online,heuristic,heuristic,1,0.1,1573297000,,,5.517076559606991e-07,4640907,842798202880,3244,1,159,True,False,asg,asg-v2,none,none,explicit_selective_state,none,paper_usable,True,62,10,62,,0.12658227848101267,0.036834902598211205,0.4714890843923102,1366500000,0,0,0,0,0,0,0,2629,265,"{""assistant_delta"": 1, ""summary_state"": 1, ""system_prefix"": 62, ""task_prefix"": 62}",0.0,False
asg-prefetch-v2-online,heuristic,heuristic,1,0.1,1590998201,,,5.455694415332655e-07,4640907,842798202880,3244,1,159,True,False,asg,asg-v2,asg_cost_aware,windowed,explicit_selective_state,none,paper_usable,True,62,10,62,,0.12658227848101267,0.036834902598211205,0.4714890843923102,1357685127,49252,1830813696,0,291504128,565662,573462,1,2716,178,"{""assistant_delta"": 1, ""summary_state"": 1, ""system_prefix"": 62, ""task_prefix"": 62}",0.0,False
asg-retention-v2-online,heuristic,heuristic,2,0.1,1573297000,,,5.517076559606991e-07,4640907,842798202880,3244,1,159,True,False,asg,asg-v2,none,none,explicit_selective_state,none,paper_usable,True,62,10,62,,0.12658227848101267,0.036834902598211205,0.4714890843923102,1366500000,0,0,0,0,0,0,0,2556,338,"{""assistant_delta"": 1, ""summary_state"": 1, ""system_prefix"": 62, ""task_prefix"": 62}",0.0,False
