panel,memory_budget_gb,policy,cache_byte_miss_gb,concurrency,prefill_vs_nocache
memory_miss,0.02,lru-system,86.17459712,,
memory_miss,0.05,lru-system,83.8336512,,
memory_miss,0.1,lru-system,79.730573312,,
memory_miss,0.25,lru-system,67.930423296,,
memory_miss,0.5,lru-system,53.145501696,,
memory_miss,1.0,lru-system,27.516207104,,
memory_miss,2.0,lru-system,4.296015872,,
memory_miss,0.02,asg-retention-v2-online,69.839880192,,
memory_miss,0.05,asg-retention-v2-online,67.341123584,,
memory_miss,0.1,asg-retention-v2-online,64.39043072,,
memory_miss,0.25,asg-retention-v2-online,55.074881536,,
memory_miss,0.5,asg-retention-v2-online,41.25360128,,
memory_miss,1.0,asg-retention-v2-online,19.966984192,,
memory_miss,2.0,asg-retention-v2-online,3.421503488,,
memory_miss,0.02,nocache,87.797792768,,
memory_miss,0.05,nocache,87.797792768,,
memory_miss,0.1,nocache,87.797792768,,
memory_miss,0.25,nocache,87.797792768,,
memory_miss,0.5,nocache,87.797792768,,
memory_miss,1.0,nocache,87.797792768,,
memory_miss,2.0,nocache,87.797792768,,
concurrency_prefill,,lru-system,,1.0,0.9881124958542837
concurrency_prefill,,lru-system,,2.0,0.9881124958542837
concurrency_prefill,,lru-system,,4.0,0.9881124958542837
concurrency_prefill,,lru-system,,8.0,0.9881124958542837
concurrency_prefill,,asg-retention-v2-online,,1.0,0.9840329671673661
concurrency_prefill,,asg-retention-v2-online,,2.0,0.9840329671673661
concurrency_prefill,,asg-retention-v2-online,,4.0,0.9840329671673661
concurrency_prefill,,asg-retention-v2-online,,8.0,0.9840329671673661
concurrency_prefill,,kvflow-like,,1.0,0.9888405591698927
concurrency_prefill,,kvflow-like,,2.0,0.9908177330899741
concurrency_prefill,,kvflow-like,,4.0,0.9908177330899741
concurrency_prefill,,kvflow-like,,8.0,0.9908177330899741
