panel,memory_budget_gb,hidden_mcycles,exposed_mcycles,prefetch_migration_gb,unused_prefetch_events
hidden_vs_exposed,0.02,0.110595,0.253959,,
hidden_vs_exposed,0.05,0.876556,0.704524,,
hidden_vs_exposed,0.1,1.220624,1.046641,,
hidden_vs_exposed,0.25,1.712156,1.202193,,
hidden_vs_exposed,0.5,1.937443,1.523832,,
hidden_vs_exposed,1.0,3.520659,1.837276,,
hidden_vs_exposed,2.0,12.305241,2.163107,,
prefetch_migration,0.02,,,0.093323264,
prefetch_migration,0.05,,,0.404750336,
prefetch_migration,0.1,,,0.580386816,
prefetch_migration,0.25,,,0.746061824,
prefetch_migration,0.5,,,0.88604672,
prefetch_migration,1.0,,,1.371537408,
prefetch_migration,2.0,,,3.703570432,
unused_prefetch,0.02,,,,1.0
unused_prefetch,0.05,,,,6.0
unused_prefetch,0.1,,,,11.0
unused_prefetch,0.25,,,,14.0
unused_prefetch,0.5,,,,13.0
unused_prefetch,1.0,,,,18.0
unused_prefetch,2.0,,,,18.0
