panel,trace,live_kv_over_budget,lru_regret_tokens,memory_budget_gb,policy,cache_byte_miss_gb,tokens_preserved,metric,value
trace_pressure,T1,18.5595703125,2926.0,,,,,,
trace_pressure,T2,9.81640625,1820.0,,,,,,
memory_cliff,,,,0.02,lru-system,86.17459712,,,
memory_cliff,,,,0.05,lru-system,83.8336512,,,
memory_cliff,,,,0.1,lru-system,79.730573312,,,
memory_cliff,,,,0.25,lru-system,67.930423296,,,
memory_cliff,,,,0.5,lru-system,53.145501696,,,
memory_cliff,,,,1.0,lru-system,27.516207104,,,
memory_cliff,,,,2.0,lru-system,4.296015872,,,
delayed_reuse_retention,,,,0.02,lru-system,,0.0,,
delayed_reuse_retention,,,,0.05,lru-system,,0.0,,
delayed_reuse_retention,,,,0.1,lru-system,,0.0,,
delayed_reuse_retention,,,,0.25,lru-system,,469.0,,
delayed_reuse_retention,,,,0.5,lru-system,,469.0,,
delayed_reuse_retention,,,,1.0,lru-system,,1386.0,,
delayed_reuse_retention,,,,2.0,lru-system,,2468.0,,
delayed_reuse_retention,,,,0.02,asg-retention-v2-online,,1008.0,,
delayed_reuse_retention,,,,0.05,asg-retention-v2-online,,1008.0,,
delayed_reuse_retention,,,,0.1,asg-retention-v2-online,,1158.0,,
delayed_reuse_retention,,,,0.25,asg-retention-v2-online,,1422.0,,
delayed_reuse_retention,,,,0.5,asg-retention-v2-online,,1925.0,,
delayed_reuse_retention,,,,1.0,asg-retention-v2-online,,2973.0,,
delayed_reuse_retention,,,,2.0,asg-retention-v2-online,,3949.0,,
delayed_reuse_retention,,,,0.02,asg-retention-v2-oracle,,1008.0,,
delayed_reuse_retention,,,,0.05,asg-retention-v2-oracle,,1008.0,,
delayed_reuse_retention,,,,0.1,asg-retention-v2-oracle,,1161.0,,
delayed_reuse_retention,,,,0.25,asg-retention-v2-oracle,,1422.0,,
delayed_reuse_retention,,,,0.5,asg-retention-v2-oracle,,1925.0,,
delayed_reuse_retention,,,,1.0,asg-retention-v2-oracle,,3010.0,,
delayed_reuse_retention,,,,2.0,asg-retention-v2-oracle,,3949.0,,
topology_traffic,,,,0.02,,,,remote_read_gb,0.866123776
topology_traffic,,,,0.05,,,,remote_read_gb,0.114819072
topology_traffic,,,,0.1,,,,remote_read_gb,1.068498944
topology_traffic,,,,0.25,,,,remote_read_gb,2.654994432
topology_traffic,,,,0.5,,,,remote_read_gb,1.978138624
topology_traffic,,,,1.0,,,,remote_read_gb,12.165578752
topology_traffic,,,,2.0,,,,remote_read_gb,24.730140672
topology_traffic,,,,0.02,,,,prefetch_move_gb,0.093323264
topology_traffic,,,,0.05,,,,prefetch_move_gb,0.404750336
topology_traffic,,,,0.1,,,,prefetch_move_gb,0.580386816
topology_traffic,,,,0.25,,,,prefetch_move_gb,0.746061824
topology_traffic,,,,0.5,,,,prefetch_move_gb,0.88604672
topology_traffic,,,,1.0,,,,prefetch_move_gb,1.371537408
topology_traffic,,,,2.0,,,,prefetch_move_gb,3.703570432
