panel,label,value,count,mean,max,metric,smoke_mean,opportunity_mean
selection_funnel,Loaded,181,,,,,,
selection_funnel,Smoke,112,,,,,,
selection_funnel,Unusable,67,,,,,,
selection_funnel,Opp.,2,,,,,,
selection_funnel,Ctrl,0,,,,,,
pressure_distribution,smoke,,112,12.232953752790179,62.83203125,,,
pressure_distribution,opp.,,2,14.18798828125,18.5595703125,,,
opportunity_vs_smoke,,,,,,asg_opportunity_score,0.09862364315884516,0.4507587041237277
opportunity_vs_smoke,,,,,,delayed_reuse_ratio,0.0,0.07276785714285713
opportunity_vs_smoke,,,,,,LRU_regret_tokens,0.0,2.373
