panel,memory_budget_gb,policy,cache_byte_miss_gb,concurrency,prefill_vs_nocache
memory_miss,0.01,lru-system,1734.780911616,,
memory_miss,0.02,lru-system,1734.780911616,,
memory_miss,0.05,lru-system,1733.472288768,,
memory_miss,0.1,lru-system,1710.621720576,,
memory_miss,0.25,lru-system,67.930423296,,
memory_miss,0.5,lru-system,53.145501696,,
memory_miss,1.0,lru-system,27.516207104,,
memory_miss,2.0,lru-system,4.296015872,,
memory_miss,0.01,asg-retention-v2-online,1734.780911616,,
memory_miss,0.02,asg-retention-v2-online,1396.552237056,,
memory_miss,0.05,asg-retention-v2-online,1395.243614208,,
memory_miss,0.1,asg-retention-v2-online,1372.29238272,,
memory_miss,0.25,asg-retention-v2-online,55.074881536,,
memory_miss,0.5,asg-retention-v2-online,41.25360128,,
memory_miss,1.0,asg-retention-v2-online,19.966984192,,
memory_miss,2.0,asg-retention-v2-online,3.421503488,,
memory_miss,0.01,nocache,1734.780911616,,
memory_miss,0.02,nocache,1734.780911616,,
memory_miss,0.05,nocache,1734.780911616,,
memory_miss,0.1,nocache,1734.780911616,,
memory_miss,0.25,nocache,87.797792768,,
memory_miss,0.5,nocache,87.797792768,,
memory_miss,1.0,nocache,87.797792768,,
memory_miss,2.0,nocache,87.797792768,,
concurrency_prefill,,lru-system,,1.0,0.8903111366796107
concurrency_prefill,,lru-system,,2.0,0.8903111366796107
concurrency_prefill,,lru-system,,4.0,0.8903111366796107
concurrency_prefill,,lru-system,,8.0,0.8903111366796107
concurrency_prefill,,asg-retention-v2-online,,1.0,0.6962462246512297
concurrency_prefill,,asg-retention-v2-online,,2.0,0.6962462246512297
concurrency_prefill,,asg-retention-v2-online,,4.0,0.6962462246512297
concurrency_prefill,,asg-retention-v2-online,,8.0,0.6962462246512297
concurrency_prefill,,kvflow-like,,1.0,0.9001294405292679
concurrency_prefill,,kvflow-like,,2.0,0.9001294405292679
concurrency_prefill,,kvflow-like,,4.0,0.9001294405292679
concurrency_prefill,,kvflow-like,,8.0,0.9001294405292679
