panel,memory_budget_gb,policy,tokens_preserved,reduction_vs_lru_pct
tokens_preserved,0.01,lru-system,0.0,
tokens_preserved,0.02,lru-system,0.0,
tokens_preserved,0.05,lru-system,0.0,
tokens_preserved,0.1,lru-system,128.0,
tokens_preserved,0.25,lru-system,469.0,
tokens_preserved,0.5,lru-system,469.0,
tokens_preserved,1.0,lru-system,1386.0,
tokens_preserved,2.0,lru-system,2468.0,
tokens_preserved,0.01,asg-retention-v2-online,0.0,
tokens_preserved,0.02,asg-retention-v2-online,21504.0,
tokens_preserved,0.05,asg-retention-v2-online,21504.0,
tokens_preserved,0.1,asg-retention-v2-online,21632.0,
tokens_preserved,0.25,asg-retention-v2-online,1422.0,
tokens_preserved,0.5,asg-retention-v2-online,1925.0,
tokens_preserved,1.0,asg-retention-v2-online,2973.0,
tokens_preserved,2.0,asg-retention-v2-online,3949.0,
tokens_preserved,0.01,asg-retention-v2-oracle,0.0,
tokens_preserved,0.02,asg-retention-v2-oracle,21504.0,
tokens_preserved,0.05,asg-retention-v2-oracle,21504.0,
tokens_preserved,0.1,asg-retention-v2-oracle,21632.0,
tokens_preserved,0.25,asg-retention-v2-oracle,1422.0,
tokens_preserved,0.5,asg-retention-v2-oracle,1925.0,
tokens_preserved,1.0,asg-retention-v2-oracle,3010.0,
tokens_preserved,2.0,asg-retention-v2-oracle,3949.0,
prefill_reduction,0.01,asg-retention-v2-graph-only,,0.0
prefill_reduction,0.02,asg-retention-v2-graph-only,,19.329785704012657
prefill_reduction,0.05,asg-retention-v2-graph-only,,19.34425285701949
prefill_reduction,0.1,asg-retention-v2-graph-only,,19.6062417967041
prefill_reduction,0.25,asg-retention-v2-graph-only,,0.44392837313307965
prefill_reduction,0.5,asg-retention-v2-graph-only,,0.41205985880242346
prefill_reduction,1.0,asg-retention-v2-graph-only,,0.2641883952515511
prefill_reduction,2.0,asg-retention-v2-graph-only,,0.03082939973029367
prefill_reduction,0.01,asg-retention-v2-online,,0.0
prefill_reduction,0.02,asg-retention-v2-online,,19.329785704012657
prefill_reduction,0.05,asg-retention-v2-online,,19.34425285701949
prefill_reduction,0.1,asg-retention-v2-online,,19.6062417967041
prefill_reduction,0.25,asg-retention-v2-online,,0.44403702819707563
prefill_reduction,0.5,asg-retention-v2-online,,0.41286075259990146
prefill_reduction,1.0,asg-retention-v2-online,,0.2644455129111633
prefill_reduction,2.0,asg-retention-v2-online,,0.030884948198276186
prefill_reduction,0.01,asg-retention-v2-oracle,,0.0
prefill_reduction,0.02,asg-retention-v2-oracle,,19.329785704012657
prefill_reduction,0.05,asg-retention-v2-oracle,,19.34425285701949
prefill_reduction,0.1,asg-retention-v2-oracle,,19.6062417967041
prefill_reduction,0.25,asg-retention-v2-oracle,,0.44403702819707563
prefill_reduction,0.5,asg-retention-v2-oracle,,0.41286075259990146
prefill_reduction,1.0,asg-retention-v2-oracle,,0.264757727212121
prefill_reduction,2.0,asg-retention-v2-oracle,,0.030884948198276186
