panel,trace,live_kv_over_budget,lru_regret_tokens,memory_budget_gb,policy,cache_byte_miss_gb,tokens_preserved,metric,value
trace_pressure,T1,79.84375029744115,0.0,,,,,,
trace_pressure,T2,82.34375030675437,0.0,,,,,,
trace_pressure,T3,82.50000030733645,0.0,,,,,,
trace_pressure,T4,81.09375030209776,0.0,,,,,,
trace_pressure,T5,81.09375030209776,0.0,,,,,,
trace_pressure,T6,83.75000031199306,0.0,,,,,,
trace_pressure,T7,271.56250101164915,11264.0,,,,,,
trace_pressure,T8,377.343751405715,19712.0,,,,,,
trace_pressure,T9,506.2500018859282,29312.0,,,,,,
trace_pressure,T10,414.062501542503,15872.0,,,,,,
trace_pressure,T11,349.8437513032695,14336.0,,,,,,
trace_pressure,T12,428.7500015972182,25472.0,,,,,,
trace_pressure,T13,361.5625013469253,14848.0,,,,,,
trace_pressure,T14,484.8437518061837,25088.0,,,,,,
trace_pressure,T15,401.25000149477273,20608.0,,,,,,
trace_pressure,T16,334.0625012444798,11264.0,,,,,,
trace_pressure,T17,419.84375156403985,22784.0,,,,,,
trace_pressure,T18,553.7500020628795,34176.0,,,,,,
trace_pressure,T19,818.1250030477531,41856.0,,,,,,
trace_pressure,T20,901.406253358,46976.0,,,,,,
trace_pressure,T21,1005.3125037450809,50048.0,,,,,,
trace_pressure,T22,1067.3437539761653,53120.0,,,,,,
memory_cliff,,,,0.01,lru-system,1734.780911616,,,
memory_cliff,,,,0.02,lru-system,1734.780911616,,,
memory_cliff,,,,0.05,lru-system,1733.472288768,,,
memory_cliff,,,,0.1,lru-system,1710.621720576,,,
memory_cliff,,,,0.25,lru-system,67.930423296,,,
memory_cliff,,,,0.5,lru-system,53.145501696,,,
memory_cliff,,,,1.0,lru-system,27.516207104,,,
memory_cliff,,,,2.0,lru-system,4.296015872,,,
delayed_reuse_retention,,,,0.01,lru-system,,0.0,,
delayed_reuse_retention,,,,0.02,lru-system,,0.0,,
delayed_reuse_retention,,,,0.05,lru-system,,0.0,,
delayed_reuse_retention,,,,0.1,lru-system,,128.0,,
delayed_reuse_retention,,,,0.25,lru-system,,469.0,,
delayed_reuse_retention,,,,0.5,lru-system,,469.0,,
delayed_reuse_retention,,,,1.0,lru-system,,1386.0,,
delayed_reuse_retention,,,,2.0,lru-system,,2468.0,,
delayed_reuse_retention,,,,0.01,asg-retention-v2-online,,0.0,,
delayed_reuse_retention,,,,0.02,asg-retention-v2-online,,21504.0,,
delayed_reuse_retention,,,,0.05,asg-retention-v2-online,,21504.0,,
delayed_reuse_retention,,,,0.1,asg-retention-v2-online,,21632.0,,
delayed_reuse_retention,,,,0.25,asg-retention-v2-online,,1422.0,,
delayed_reuse_retention,,,,0.5,asg-retention-v2-online,,1925.0,,
delayed_reuse_retention,,,,1.0,asg-retention-v2-online,,2973.0,,
delayed_reuse_retention,,,,2.0,asg-retention-v2-online,,3949.0,,
delayed_reuse_retention,,,,0.01,asg-retention-v2-oracle,,0.0,,
delayed_reuse_retention,,,,0.02,asg-retention-v2-oracle,,21504.0,,
delayed_reuse_retention,,,,0.05,asg-retention-v2-oracle,,21504.0,,
delayed_reuse_retention,,,,0.1,asg-retention-v2-oracle,,21632.0,,
delayed_reuse_retention,,,,0.25,asg-retention-v2-oracle,,1422.0,,
delayed_reuse_retention,,,,0.5,asg-retention-v2-oracle,,1925.0,,
delayed_reuse_retention,,,,1.0,asg-retention-v2-oracle,,3010.0,,
delayed_reuse_retention,,,,2.0,asg-retention-v2-oracle,,3949.0,,
topology_traffic,,,,0.01,,,,remote_read_gb,0.0
topology_traffic,,,,0.02,,,,remote_read_gb,0.0
topology_traffic,,,,0.05,,,,remote_read_gb,1.308622848
topology_traffic,,,,0.1,,,,remote_read_gb,0.905969664
topology_traffic,,,,0.25,,,,remote_read_gb,2.654994432
topology_traffic,,,,0.5,,,,remote_read_gb,1.978138624
topology_traffic,,,,1.0,,,,remote_read_gb,12.165578752
topology_traffic,,,,2.0,,,,remote_read_gb,24.730140672
topology_traffic,,,,0.01,,,,prefetch_move_gb,0.0
topology_traffic,,,,0.02,,,,prefetch_move_gb,0.0
topology_traffic,,,,0.05,,,,prefetch_move_gb,0.0
topology_traffic,,,,0.1,,,,prefetch_move_gb,0.0
topology_traffic,,,,0.25,,,,prefetch_move_gb,0.746061824
topology_traffic,,,,0.5,,,,prefetch_move_gb,0.88604672
topology_traffic,,,,1.0,,,,prefetch_move_gb,1.371537408
topology_traffic,,,,2.0,,,,prefetch_move_gb,3.703570432
