trace_idx,state_id,state_type,tokens,access_count,first_access,last_access,cross_agent
0,state_d9b8a7f01fc7d31f,system_prefix,104,25,2,50,False
0,state_c293093dbc5bbf12,failure_summary,1261,25,2,50,False
0,state_b095db5f1ab10095,assistant_delta,67,24,4,50,False
0,state_9fa479fac440c47e,test_failure_summary,16,24,4,50,False
0,state_767ef49f78bdf66d,assistant_delta,97,23,6,50,False
0,state_bc28b6794df015aa,tool_observation,123,23,6,50,False
0,state_dbcc6bd78c65426f,assistant_delta,72,22,8,50,False
0,state_697bd9bb272b0c63,file_context,339,22,8,50,False
0,state_bd44b0ac81e1c722,assistant_delta,50,21,10,50,False
0,state_9f53eae0885ec367,test_failure_summary,1510,21,10,50,False
0,state_81cbbbe401b5d83e,assistant_delta,91,20,12,50,False
0,state_098eaea956dab2bb,tool_observation,55,20,12,50,False
0,state_e1ae36c48ba00c3e,assistant_delta,74,19,14,50,False
0,state_b8bbc9016854c8b1,test_failure_summary,1459,19,14,50,False
0,state_f7613bcb86b3b642,assistant_delta,97,18,16,50,False
0,state_a982e354514e6138,tool_observation,19,18,16,50,False
0,state_44b12f9861e58984,assistant_delta,62,17,18,50,False
0,state_8b5e2197180229e8,tool_observation,587,17,18,50,False
0,state_f1255c2c65239147,assistant_delta,76,16,20,50,False
0,state_6c9a7d2b86afd928,tool_observation,19,16,20,50,False
0,state_bc0402c5283629b8,assistant_delta,97,15,22,50,False
0,state_a5c56567f48836ee,tool_observation,986,15,22,50,False
0,state_a40557535e40f1c0,assistant_delta,84,14,24,50,False
0,state_f6f8b55968ba2fcb,tool_observation,357,14,24,50,False
0,state_18dbb7483ed4fefc,assistant_delta,85,13,26,50,False
0,state_17508ba80b336b31,file_context,666,13,26,50,False
0,state_b06a021fd5495846,assistant_delta,124,12,28,50,False
0,state_2565f9198c69e26a,test_failure_summary,10,12,28,50,False
0,state_243ed939a8331391,assistant_delta,78,11,30,50,False
0,state_17319102d38b47db,file_context,171,11,30,50,False
0,state_247b592853ae370c,assistant_delta,115,10,32,50,False
0,state_b7fb354aff638947,test_failure_summary,1075,10,32,50,False
0,state_8bef869b3d8e3427,assistant_delta,135,9,34,50,False
0,state_5f76458bb7e24adf,test_failure_summary,1185,9,34,50,False
0,state_722710c892cff787,assistant_delta,128,8,36,50,False
0,state_74fd681470554b0c,test_failure_summary,934,8,36,50,False
0,state_2b5ec980f0aac96d,assistant_delta,123,7,38,50,False
0,state_7441e8fa7bbdd932,tool_observation,27,7,38,50,False
0,state_d222294d06351945,assistant_delta,71,6,40,50,False
0,state_bcdc3aa716bdd0e7,file_context,335,6,40,50,False
0,state_082b73d34657f5d1,assistant_delta,118,5,42,50,False
0,state_5771c74c4aa2c493,file_context,1279,5,42,50,False
0,state_563335c2004ef935,assistant_delta,136,4,44,50,False
0,state_61f6620a2d9eed1d,test_failure_summary,802,4,44,50,False
0,state_ce52d7b84f80a6b3,assistant_delta,175,3,46,50,False
0,state_6fd04a18c185654a,tool_observation,596,3,46,50,False
0,state_a7e0aef4c6ce6101,assistant_delta,339,2,48,50,False
0,state_35b76ff8c8d3cbb4,test_failure_summary,1844,2,48,50,False
0,state_b17ccf7f707bdcaf,assistant_delta,157,1,50,50,False
0,state_aa097e4eedceefda,test_failure_summary,247,1,50,50,False
1,state_1fbfcd573bd0ee93,system_prefix,104,41,2,82,False
1,state_73bcaa015909f0cc,failure_summary,1271,41,2,82,False
1,state_34b38871d990f4be,assistant_delta,63,40,4,82,False
1,state_b85f55c2a8a864a8,file_context,123,40,4,82,False
1,state_eca9538eb96ab036,assistant_delta,74,39,6,82,False
1,state_3cbb3c8da71b88ab,file_context,549,39,6,82,False
1,state_0cf89d6c73b46712,assistant_delta,76,38,8,82,False
1,state_8e06d7b9eac461ad,file_context,10,38,8,82,False
1,state_88be5390f6d2b2ca,assistant_delta,70,37,10,82,False
1,state_43a0b2a073bcd602,file_context,665,37,10,82,False
1,state_c454a29aafa68fdd,assistant_delta,128,36,12,82,False
1,state_798e9c1f067ff104,file_context,66,36,12,82,False
1,state_72d5cf25dfa56574,assistant_delta,53,35,14,82,False
1,state_a6ea5d51e9d5e9b8,tool_observation,5,35,14,82,False
1,state_2bd48ff44ca54b49,assistant_delta,137,34,16,82,False
1,state_13f7e69fe7e5f34c,file_context,1439,34,16,82,False
1,state_62c19ab7426936b0,assistant_delta,114,33,18,82,False
1,state_3cb383633850b32c,file_context,976,33,18,82,False
1,state_2368d41110a0b1f5,assistant_delta,104,32,20,82,False
1,state_0d79c612490d3be4,file_context,772,32,20,82,False
1,state_e43a57badb1e135f,assistant_delta,62,31,22,82,False
1,state_745c396e58a70288,file_context,3,31,22,82,False
1,state_67d068839462b74a,assistant_delta,72,30,24,82,False
1,state_e246a31d0351118d,file_context,365,30,24,82,False
1,state_deadf8b623f5dd6b,assistant_delta,96,29,26,82,False
1,state_f671eb4548b775d6,file_context,140,29,26,82,False
1,state_39f5bc7de77c64d2,assistant_delta,97,28,28,82,False
1,state_fc34a97a3d3e2565,file_context,1398,28,28,82,False
1,state_a2e2897fb2120fc7,assistant_delta,68,27,30,82,False
1,state_459927241563269f,file_context,517,27,30,82,False
1,state_2f5cec2bf2a26b84,assistant_delta,128,26,32,82,False
