sweep_type,setting,policy,effective_prefill_tokens,cache_hit_ratio,state_misses,LRU_regret_states_preserved,oracle_gap,model_compute_cycles,model_comm_cycles
concurrency,1,nocache,1081303,0.0,3778,0,9.831718141472694,577189000,0
concurrency,1,lru-basic,983792,0.2668078348332451,2770,1,1.0,536433000,0
concurrency,1,lru-system,983792,0.2668078348332451,2770,1,1.0,536433000,0
concurrency,1,kvflow-like,1032726,0.16013763896241398,3173,0,5.432026084593787,563236000,0
concurrency,1,asg-retention-v2-graph-only,972821,0.1127580730545262,3352,1,0.006340005434290372,530553000,0
concurrency,1,asg-retention-v2-online,972825,0.11381683430386448,3348,1,0.006702291459106965,530557000,0
concurrency,1,asg-retention-v2-oracle,972751,0.11461090524086819,3345,1,0.0,530540000,0
concurrency,1,asg-placement-v2-online,972825,0.11381683430386448,3348,1,0.006702291459106965,529245010,344963
concurrency,1,asg-prefetch-v2-online,972825,0.11381683430386448,3348,1,0.006702291459106965,527762046,272025
concurrency,2,nocache,1081303,0.0,3778,0,9.791110710421925,577189000,0
concurrency,2,lru-basic,983792,0.2668078348332451,2770,1,1.0,536433000,0
concurrency,2,lru-system,983792,0.2668078348332451,2770,1,1.0,536433000,0
concurrency,2,kvflow-like,1027497,0.15272631021704605,3201,0,4.9402271907681214,553593000,0
concurrency,2,asg-retention-v2-graph-only,972794,0.1127580730545262,3352,1,0.00847457627118644,530553000,0
concurrency,2,asg-retention-v2-online,972800,0.11487559555320276,3344,1,0.009015506671474938,530558000,0
concurrency,2,asg-retention-v2-oracle,972700,0.11461090524086819,3345,1,0.0,530540000,0
concurrency,2,asg-placement-v2-online,972800,0.11487559555320276,3344,1,0.009015506671474938,528200621,344963
concurrency,2,asg-prefetch-v2-online,972800,0.11487559555320276,3344,1,0.009015506671474938,538276252,837270
concurrency,4,nocache,1081303,0.0,3778,0,9.767397950008991,577189000,0
concurrency,4,lru-basic,983792,0.2668078348332451,2770,0,1.0,536433000,0
concurrency,4,lru-system,983792,0.2668078348332451,2770,0,1.0,536433000,0
concurrency,4,kvflow-like,1024751,0.16013763896241398,3173,0,4.6827009530659955,553681000,0
concurrency,4,asg-retention-v2-graph-only,972785,0.1127580730545262,3352,0,0.0103398669304082,530553000,0
concurrency,4,asg-retention-v2-online,972768,0.11461090524086819,3345,0,0.008811364862434813,530547000,0
concurrency,4,asg-retention-v2-oracle,972670,0.11514028586553732,3343,0,0.0,530540000,0
concurrency,4,asg-placement-v2-online,972768,0.11461090524086819,3345,0,0.008811364862434813,528102349,345161
concurrency,4,asg-prefetch-v2-online,972768,0.11461090524086819,3345,0,0.008811364862434813,513956734,4618118
concurrency,8,nocache,1081303,0.0,3778,0,9.767397950008991,577189000,0
concurrency,8,lru-basic,983792,0.2668078348332451,2770,0,1.0,536433000,0
concurrency,8,lru-system,983792,0.2668078348332451,2770,0,1.0,536433000,0
concurrency,8,kvflow-like,1024751,0.16013763896241398,3173,0,4.6827009530659955,553681000,0
concurrency,8,asg-retention-v2-graph-only,972785,0.1127580730545262,3352,0,0.0103398669304082,530553000,0
concurrency,8,asg-retention-v2-online,972768,0.11461090524086819,3345,0,0.008811364862434813,530547000,0
concurrency,8,asg-retention-v2-oracle,972670,0.11514028586553732,3343,0,0.0,530540000,0
concurrency,8,asg-placement-v2-online,972768,0.11461090524086819,3345,0,0.008811364862434813,528102349,345161
concurrency,8,asg-prefetch-v2-online,972768,0.11461090524086819,3345,0,0.008811364862434813,513956734,4618118
concurrency,16,nocache,1081303,0.0,3778,0,9.767397950008991,577189000,0
concurrency,16,lru-basic,983792,0.2668078348332451,2770,0,1.0,536433000,0
concurrency,16,lru-system,983792,0.2668078348332451,2770,0,1.0,536433000,0
concurrency,16,kvflow-like,1024751,0.16013763896241398,3173,0,4.6827009530659955,553681000,0
concurrency,16,asg-retention-v2-graph-only,972785,0.1127580730545262,3352,0,0.0103398669304082,530553000,0
concurrency,16,asg-retention-v2-online,972768,0.11461090524086819,3345,0,0.008811364862434813,530547000,0
concurrency,16,asg-retention-v2-oracle,972670,0.11514028586553732,3343,0,0.0,530540000,0
concurrency,16,asg-placement-v2-online,972768,0.11461090524086819,3345,0,0.008811364862434813,528102349,345161
concurrency,16,asg-prefetch-v2-online,972768,0.11461090524086819,3345,0,0.008811364862434813,513956734,4618118
