trace_idx,state_id,state_type,tokens,left_step,right_step,reuse_distance,delayed,high_value,cross_agent
0,state_d9b8a7f01fc7d31f,system_prefix,104,2,4,2,False,False,False
0,state_d9b8a7f01fc7d31f,system_prefix,104,4,6,2,False,False,False
0,state_d9b8a7f01fc7d31f,system_prefix,104,6,8,2,False,False,False
0,state_d9b8a7f01fc7d31f,system_prefix,104,8,10,2,False,False,False
0,state_d9b8a7f01fc7d31f,system_prefix,104,10,12,2,False,False,False
0,state_d9b8a7f01fc7d31f,system_prefix,104,12,14,2,False,False,False
0,state_d9b8a7f01fc7d31f,system_prefix,104,14,16,2,False,False,False
0,state_d9b8a7f01fc7d31f,system_prefix,104,16,18,2,False,False,False
0,state_d9b8a7f01fc7d31f,system_prefix,104,18,20,2,False,False,False
0,state_d9b8a7f01fc7d31f,system_prefix,104,20,22,2,False,False,False
0,state_d9b8a7f01fc7d31f,system_prefix,104,22,24,2,False,False,False
0,state_d9b8a7f01fc7d31f,system_prefix,104,24,26,2,False,False,False
0,state_d9b8a7f01fc7d31f,system_prefix,104,26,28,2,False,False,False
0,state_d9b8a7f01fc7d31f,system_prefix,104,28,30,2,False,False,False
0,state_d9b8a7f01fc7d31f,system_prefix,104,30,32,2,False,False,False
0,state_d9b8a7f01fc7d31f,system_prefix,104,32,34,2,False,False,False
0,state_d9b8a7f01fc7d31f,system_prefix,104,34,36,2,False,False,False
0,state_d9b8a7f01fc7d31f,system_prefix,104,36,38,2,False,False,False
0,state_d9b8a7f01fc7d31f,system_prefix,104,38,40,2,False,False,False
0,state_d9b8a7f01fc7d31f,system_prefix,104,40,42,2,False,False,False
0,state_d9b8a7f01fc7d31f,system_prefix,104,42,44,2,False,False,False
0,state_d9b8a7f01fc7d31f,system_prefix,104,44,46,2,False,False,False
0,state_d9b8a7f01fc7d31f,system_prefix,104,46,48,2,False,False,False
0,state_d9b8a7f01fc7d31f,system_prefix,104,48,50,2,False,False,False
0,state_c293093dbc5bbf12,failure_summary,1261,2,4,2,False,True,False
0,state_c293093dbc5bbf12,failure_summary,1261,4,6,2,False,True,False
0,state_c293093dbc5bbf12,failure_summary,1261,6,8,2,False,True,False
0,state_c293093dbc5bbf12,failure_summary,1261,8,10,2,False,True,False
0,state_c293093dbc5bbf12,failure_summary,1261,10,12,2,False,True,False
0,state_c293093dbc5bbf12,failure_summary,1261,12,14,2,False,True,False
0,state_c293093dbc5bbf12,failure_summary,1261,14,16,2,False,True,False
0,state_c293093dbc5bbf12,failure_summary,1261,16,18,2,False,True,False
0,state_c293093dbc5bbf12,failure_summary,1261,18,20,2,False,True,False
0,state_c293093dbc5bbf12,failure_summary,1261,20,22,2,False,True,False
0,state_c293093dbc5bbf12,failure_summary,1261,22,24,2,False,True,False
0,state_c293093dbc5bbf12,failure_summary,1261,24,26,2,False,True,False
0,state_c293093dbc5bbf12,failure_summary,1261,26,28,2,False,True,False
0,state_c293093dbc5bbf12,failure_summary,1261,28,30,2,False,True,False
0,state_c293093dbc5bbf12,failure_summary,1261,30,32,2,False,True,False
0,state_c293093dbc5bbf12,failure_summary,1261,32,34,2,False,True,False
0,state_c293093dbc5bbf12,failure_summary,1261,34,36,2,False,True,False
0,state_c293093dbc5bbf12,failure_summary,1261,36,38,2,False,True,False
0,state_c293093dbc5bbf12,failure_summary,1261,38,40,2,False,True,False
0,state_c293093dbc5bbf12,failure_summary,1261,40,42,2,False,True,False
0,state_c293093dbc5bbf12,failure_summary,1261,42,44,2,False,True,False
0,state_c293093dbc5bbf12,failure_summary,1261,44,46,2,False,True,False
0,state_c293093dbc5bbf12,failure_summary,1261,46,48,2,False,True,False
0,state_c293093dbc5bbf12,failure_summary,1261,48,50,2,False,True,False
0,state_b095db5f1ab10095,assistant_delta,67,4,6,2,False,False,False
0,state_b095db5f1ab10095,assistant_delta,67,6,8,2,False,False,False
0,state_b095db5f1ab10095,assistant_delta,67,8,10,2,False,False,False
0,state_b095db5f1ab10095,assistant_delta,67,10,12,2,False,False,False
0,state_b095db5f1ab10095,assistant_delta,67,12,14,2,False,False,False
0,state_b095db5f1ab10095,assistant_delta,67,14,16,2,False,False,False
0,state_b095db5f1ab10095,assistant_delta,67,16,18,2,False,False,False
0,state_b095db5f1ab10095,assistant_delta,67,18,20,2,False,False,False
0,state_b095db5f1ab10095,assistant_delta,67,20,22,2,False,False,False
0,state_b095db5f1ab10095,assistant_delta,67,22,24,2,False,False,False
0,state_b095db5f1ab10095,assistant_delta,67,24,26,2,False,False,False
0,state_b095db5f1ab10095,assistant_delta,67,26,28,2,False,False,False
0,state_b095db5f1ab10095,assistant_delta,67,28,30,2,False,False,False
0,state_b095db5f1ab10095,assistant_delta,67,30,32,2,False,False,False
0,state_b095db5f1ab10095,assistant_delta,67,32,34,2,False,False,False
0,state_b095db5f1ab10095,assistant_delta,67,34,36,2,False,False,False
0,state_b095db5f1ab10095,assistant_delta,67,36,38,2,False,False,False
0,state_b095db5f1ab10095,assistant_delta,67,38,40,2,False,False,False
0,state_b095db5f1ab10095,assistant_delta,67,40,42,2,False,False,False
0,state_b095db5f1ab10095,assistant_delta,67,42,44,2,False,False,False
0,state_b095db5f1ab10095,assistant_delta,67,44,46,2,False,False,False
0,state_b095db5f1ab10095,assistant_delta,67,46,48,2,False,False,False
0,state_b095db5f1ab10095,assistant_delta,67,48,50,2,False,False,False
0,state_9fa479fac440c47e,test_failure_summary,16,4,6,2,False,False,False
0,state_9fa479fac440c47e,test_failure_summary,16,6,8,2,False,False,False
0,state_9fa479fac440c47e,test_failure_summary,16,8,10,2,False,False,False
0,state_9fa479fac440c47e,test_failure_summary,16,10,12,2,False,False,False
0,state_9fa479fac440c47e,test_failure_summary,16,12,14,2,False,False,False
0,state_9fa479fac440c47e,test_failure_summary,16,14,16,2,False,False,False
0,state_9fa479fac440c47e,test_failure_summary,16,16,18,2,False,False,False
0,state_9fa479fac440c47e,test_failure_summary,16,18,20,2,False,False,False
0,state_9fa479fac440c47e,test_failure_summary,16,20,22,2,False,False,False
0,state_9fa479fac440c47e,test_failure_summary,16,22,24,2,False,False,False
0,state_9fa479fac440c47e,test_failure_summary,16,24,26,2,False,False,False
0,state_9fa479fac440c47e,test_failure_summary,16,26,28,2,False,False,False
0,state_9fa479fac440c47e,test_failure_summary,16,28,30,2,False,False,False
0,state_9fa479fac440c47e,test_failure_summary,16,30,32,2,False,False,False
0,state_9fa479fac440c47e,test_failure_summary,16,32,34,2,False,False,False
0,state_9fa479fac440c47e,test_failure_summary,16,34,36,2,False,False,False
0,state_9fa479fac440c47e,test_failure_summary,16,36,38,2,False,False,False
0,state_9fa479fac440c47e,test_failure_summary,16,38,40,2,False,False,False
0,state_9fa479fac440c47e,test_failure_summary,16,40,42,2,False,False,False
0,state_9fa479fac440c47e,test_failure_summary,16,42,44,2,False,False,False
0,state_9fa479fac440c47e,test_failure_summary,16,44,46,2,False,False,False
0,state_9fa479fac440c47e,test_failure_summary,16,46,48,2,False,False,False
0,state_9fa479fac440c47e,test_failure_summary,16,48,50,2,False,False,False
0,state_767ef49f78bdf66d,assistant_delta,97,6,8,2,False,False,False
0,state_767ef49f78bdf66d,assistant_delta,97,8,10,2,False,False,False
0,state_767ef49f78bdf66d,assistant_delta,97,10,12,2,False,False,False
0,state_767ef49f78bdf66d,assistant_delta,97,12,14,2,False,False,False
0,state_767ef49f78bdf66d,assistant_delta,97,14,16,2,False,False,False
0,state_767ef49f78bdf66d,assistant_delta,97,16,18,2,False,False,False
0,state_767ef49f78bdf66d,assistant_delta,97,18,20,2,False,False,False
0,state_767ef49f78bdf66d,assistant_delta,97,20,22,2,False,False,False
0,state_767ef49f78bdf66d,assistant_delta,97,22,24,2,False,False,False
0,state_767ef49f78bdf66d,assistant_delta,97,24,26,2,False,False,False
0,state_767ef49f78bdf66d,assistant_delta,97,26,28,2,False,False,False
0,state_767ef49f78bdf66d,assistant_delta,97,28,30,2,False,False,False
0,state_767ef49f78bdf66d,assistant_delta,97,30,32,2,False,False,False
0,state_767ef49f78bdf66d,assistant_delta,97,32,34,2,False,False,False
0,state_767ef49f78bdf66d,assistant_delta,97,34,36,2,False,False,False
0,state_767ef49f78bdf66d,assistant_delta,97,36,38,2,False,False,False
0,state_767ef49f78bdf66d,assistant_delta,97,38,40,2,False,False,False
0,state_767ef49f78bdf66d,assistant_delta,97,40,42,2,False,False,False
0,state_767ef49f78bdf66d,assistant_delta,97,42,44,2,False,False,False
0,state_767ef49f78bdf66d,assistant_delta,97,44,46,2,False,False,False
0,state_767ef49f78bdf66d,assistant_delta,97,46,48,2,False,False,False
0,state_767ef49f78bdf66d,assistant_delta,97,48,50,2,False,False,False
0,state_bc28b6794df015aa,tool_observation,123,6,8,2,False,False,False
0,state_bc28b6794df015aa,tool_observation,123,8,10,2,False,False,False
0,state_bc28b6794df015aa,tool_observation,123,10,12,2,False,False,False
0,state_bc28b6794df015aa,tool_observation,123,12,14,2,False,False,False
0,state_bc28b6794df015aa,tool_observation,123,14,16,2,False,False,False
0,state_bc28b6794df015aa,tool_observation,123,16,18,2,False,False,False
0,state_bc28b6794df015aa,tool_observation,123,18,20,2,False,False,False
0,state_bc28b6794df015aa,tool_observation,123,20,22,2,False,False,False
0,state_bc28b6794df015aa,tool_observation,123,22,24,2,False,False,False
0,state_bc28b6794df015aa,tool_observation,123,24,26,2,False,False,False
0,state_bc28b6794df015aa,tool_observation,123,26,28,2,False,False,False
0,state_bc28b6794df015aa,tool_observation,123,28,30,2,False,False,False
0,state_bc28b6794df015aa,tool_observation,123,30,32,2,False,False,False
0,state_bc28b6794df015aa,tool_observation,123,32,34,2,False,False,False
0,state_bc28b6794df015aa,tool_observation,123,34,36,2,False,False,False
0,state_bc28b6794df015aa,tool_observation,123,36,38,2,False,False,False
0,state_bc28b6794df015aa,tool_observation,123,38,40,2,False,False,False
0,state_bc28b6794df015aa,tool_observation,123,40,42,2,False,False,False
0,state_bc28b6794df015aa,tool_observation,123,42,44,2,False,False,False
0,state_bc28b6794df015aa,tool_observation,123,44,46,2,False,False,False
0,state_bc28b6794df015aa,tool_observation,123,46,48,2,False,False,False
0,state_bc28b6794df015aa,tool_observation,123,48,50,2,False,False,False
0,state_dbcc6bd78c65426f,assistant_delta,72,8,10,2,False,False,False
0,state_dbcc6bd78c65426f,assistant_delta,72,10,12,2,False,False,False
0,state_dbcc6bd78c65426f,assistant_delta,72,12,14,2,False,False,False
0,state_dbcc6bd78c65426f,assistant_delta,72,14,16,2,False,False,False
0,state_dbcc6bd78c65426f,assistant_delta,72,16,18,2,False,False,False
0,state_dbcc6bd78c65426f,assistant_delta,72,18,20,2,False,False,False
0,state_dbcc6bd78c65426f,assistant_delta,72,20,22,2,False,False,False
0,state_dbcc6bd78c65426f,assistant_delta,72,22,24,2,False,False,False
0,state_dbcc6bd78c65426f,assistant_delta,72,24,26,2,False,False,False
0,state_dbcc6bd78c65426f,assistant_delta,72,26,28,2,False,False,False
0,state_dbcc6bd78c65426f,assistant_delta,72,28,30,2,False,False,False
0,state_dbcc6bd78c65426f,assistant_delta,72,30,32,2,False,False,False
0,state_dbcc6bd78c65426f,assistant_delta,72,32,34,2,False,False,False
0,state_dbcc6bd78c65426f,assistant_delta,72,34,36,2,False,False,False
0,state_dbcc6bd78c65426f,assistant_delta,72,36,38,2,False,False,False
0,state_dbcc6bd78c65426f,assistant_delta,72,38,40,2,False,False,False
0,state_dbcc6bd78c65426f,assistant_delta,72,40,42,2,False,False,False
0,state_dbcc6bd78c65426f,assistant_delta,72,42,44,2,False,False,False
0,state_dbcc6bd78c65426f,assistant_delta,72,44,46,2,False,False,False
0,state_dbcc6bd78c65426f,assistant_delta,72,46,48,2,False,False,False
0,state_dbcc6bd78c65426f,assistant_delta,72,48,50,2,False,False,False
0,state_697bd9bb272b0c63,file_context,339,8,10,2,False,True,False
0,state_697bd9bb272b0c63,file_context,339,10,12,2,False,True,False
0,state_697bd9bb272b0c63,file_context,339,12,14,2,False,True,False
0,state_697bd9bb272b0c63,file_context,339,14,16,2,False,True,False
0,state_697bd9bb272b0c63,file_context,339,16,18,2,False,True,False
0,state_697bd9bb272b0c63,file_context,339,18,20,2,False,True,False
0,state_697bd9bb272b0c63,file_context,339,20,22,2,False,True,False
0,state_697bd9bb272b0c63,file_context,339,22,24,2,False,True,False
0,state_697bd9bb272b0c63,file_context,339,24,26,2,False,True,False
0,state_697bd9bb272b0c63,file_context,339,26,28,2,False,True,False
0,state_697bd9bb272b0c63,file_context,339,28,30,2,False,True,False
0,state_697bd9bb272b0c63,file_context,339,30,32,2,False,True,False
0,state_697bd9bb272b0c63,file_context,339,32,34,2,False,True,False
0,state_697bd9bb272b0c63,file_context,339,34,36,2,False,True,False
0,state_697bd9bb272b0c63,file_context,339,36,38,2,False,True,False
0,state_697bd9bb272b0c63,file_context,339,38,40,2,False,True,False
0,state_697bd9bb272b0c63,file_context,339,40,42,2,False,True,False
0,state_697bd9bb272b0c63,file_context,339,42,44,2,False,True,False
0,state_697bd9bb272b0c63,file_context,339,44,46,2,False,True,False
0,state_697bd9bb272b0c63,file_context,339,46,48,2,False,True,False
0,state_697bd9bb272b0c63,file_context,339,48,50,2,False,True,False
0,state_bd44b0ac81e1c722,assistant_delta,50,10,12,2,False,False,False
0,state_bd44b0ac81e1c722,assistant_delta,50,12,14,2,False,False,False
0,state_bd44b0ac81e1c722,assistant_delta,50,14,16,2,False,False,False
0,state_bd44b0ac81e1c722,assistant_delta,50,16,18,2,False,False,False
0,state_bd44b0ac81e1c722,assistant_delta,50,18,20,2,False,False,False
0,state_bd44b0ac81e1c722,assistant_delta,50,20,22,2,False,False,False
0,state_bd44b0ac81e1c722,assistant_delta,50,22,24,2,False,False,False
0,state_bd44b0ac81e1c722,assistant_delta,50,24,26,2,False,False,False
0,state_bd44b0ac81e1c722,assistant_delta,50,26,28,2,False,False,False
0,state_bd44b0ac81e1c722,assistant_delta,50,28,30,2,False,False,False
0,state_bd44b0ac81e1c722,assistant_delta,50,30,32,2,False,False,False
0,state_bd44b0ac81e1c722,assistant_delta,50,32,34,2,False,False,False
0,state_bd44b0ac81e1c722,assistant_delta,50,34,36,2,False,False,False
0,state_bd44b0ac81e1c722,assistant_delta,50,36,38,2,False,False,False
0,state_bd44b0ac81e1c722,assistant_delta,50,38,40,2,False,False,False
0,state_bd44b0ac81e1c722,assistant_delta,50,40,42,2,False,False,False
0,state_bd44b0ac81e1c722,assistant_delta,50,42,44,2,False,False,False
0,state_bd44b0ac81e1c722,assistant_delta,50,44,46,2,False,False,False
0,state_bd44b0ac81e1c722,assistant_delta,50,46,48,2,False,False,False
0,state_bd44b0ac81e1c722,assistant_delta,50,48,50,2,False,False,False
0,state_9f53eae0885ec367,test_failure_summary,1510,10,12,2,False,True,False
0,state_9f53eae0885ec367,test_failure_summary,1510,12,14,2,False,True,False
0,state_9f53eae0885ec367,test_failure_summary,1510,14,16,2,False,True,False
0,state_9f53eae0885ec367,test_failure_summary,1510,16,18,2,False,True,False
0,state_9f53eae0885ec367,test_failure_summary,1510,18,20,2,False,True,False
0,state_9f53eae0885ec367,test_failure_summary,1510,20,22,2,False,True,False
0,state_9f53eae0885ec367,test_failure_summary,1510,22,24,2,False,True,False
0,state_9f53eae0885ec367,test_failure_summary,1510,24,26,2,False,True,False
0,state_9f53eae0885ec367,test_failure_summary,1510,26,28,2,False,True,False
0,state_9f53eae0885ec367,test_failure_summary,1510,28,30,2,False,True,False
0,state_9f53eae0885ec367,test_failure_summary,1510,30,32,2,False,True,False
0,state_9f53eae0885ec367,test_failure_summary,1510,32,34,2,False,True,False
0,state_9f53eae0885ec367,test_failure_summary,1510,34,36,2,False,True,False
0,state_9f53eae0885ec367,test_failure_summary,1510,36,38,2,False,True,False
0,state_9f53eae0885ec367,test_failure_summary,1510,38,40,2,False,True,False
0,state_9f53eae0885ec367,test_failure_summary,1510,40,42,2,False,True,False
0,state_9f53eae0885ec367,test_failure_summary,1510,42,44,2,False,True,False
0,state_9f53eae0885ec367,test_failure_summary,1510,44,46,2,False,True,False
0,state_9f53eae0885ec367,test_failure_summary,1510,46,48,2,False,True,False
0,state_9f53eae0885ec367,test_failure_summary,1510,48,50,2,False,True,False
0,state_81cbbbe401b5d83e,assistant_delta,91,12,14,2,False,False,False
0,state_81cbbbe401b5d83e,assistant_delta,91,14,16,2,False,False,False
0,state_81cbbbe401b5d83e,assistant_delta,91,16,18,2,False,False,False
0,state_81cbbbe401b5d83e,assistant_delta,91,18,20,2,False,False,False
0,state_81cbbbe401b5d83e,assistant_delta,91,20,22,2,False,False,False
0,state_81cbbbe401b5d83e,assistant_delta,91,22,24,2,False,False,False
0,state_81cbbbe401b5d83e,assistant_delta,91,24,26,2,False,False,False
0,state_81cbbbe401b5d83e,assistant_delta,91,26,28,2,False,False,False
0,state_81cbbbe401b5d83e,assistant_delta,91,28,30,2,False,False,False
0,state_81cbbbe401b5d83e,assistant_delta,91,30,32,2,False,False,False
0,state_81cbbbe401b5d83e,assistant_delta,91,32,34,2,False,False,False
0,state_81cbbbe401b5d83e,assistant_delta,91,34,36,2,False,False,False
0,state_81cbbbe401b5d83e,assistant_delta,91,36,38,2,False,False,False
0,state_81cbbbe401b5d83e,assistant_delta,91,38,40,2,False,False,False
0,state_81cbbbe401b5d83e,assistant_delta,91,40,42,2,False,False,False
0,state_81cbbbe401b5d83e,assistant_delta,91,42,44,2,False,False,False
0,state_81cbbbe401b5d83e,assistant_delta,91,44,46,2,False,False,False
