trace_idx,state_id,state_type,tokens,left_step,right_step,reuse_distance,delayed,high_value,cross_agent
0,syn_control_short_reuse_0000:system,system_prefix,1024,11,12,1,False,True,True
0,syn_control_short_reuse_0000:system,system_prefix,1024,12,14,2,False,True,True
0,syn_control_short_reuse_0000:system,system_prefix,1024,14,15,1,False,True,True
0,syn_control_short_reuse_0000:system,system_prefix,1024,15,16,1,False,True,True
0,syn_control_short_reuse_0000:system,system_prefix,1024,16,18,2,False,True,True
0,syn_control_short_reuse_0000:system,system_prefix,1024,18,19,1,False,True,True
0,syn_control_short_reuse_0000:system,system_prefix,1024,19,20,1,False,True,True
0,syn_control_short_reuse_0000:system,system_prefix,1024,20,22,2,False,True,True
0,syn_control_short_reuse_0000:system,system_prefix,1024,22,23,1,False,True,True
0,syn_control_short_reuse_0000:system,system_prefix,1024,23,24,1,False,True,True
0,syn_control_short_reuse_0000:system,system_prefix,1024,24,26,2,False,True,True
0,syn_control_short_reuse_0000:system,system_prefix,1024,26,27,1,False,True,True
0,syn_control_short_reuse_0000:system,system_prefix,1024,27,28,1,False,True,True
0,syn_control_short_reuse_0000:task,task_prefix,768,11,12,1,False,True,True
0,syn_control_short_reuse_0000:task,task_prefix,768,12,14,2,False,True,True
0,syn_control_short_reuse_0000:task,task_prefix,768,14,15,1,False,True,True
0,syn_control_short_reuse_0000:task,task_prefix,768,15,16,1,False,True,True
0,syn_control_short_reuse_0000:task,task_prefix,768,16,18,2,False,True,True
0,syn_control_short_reuse_0000:task,task_prefix,768,18,19,1,False,True,True
0,syn_control_short_reuse_0000:task,task_prefix,768,19,20,1,False,True,True
0,syn_control_short_reuse_0000:task,task_prefix,768,20,22,2,False,True,True
0,syn_control_short_reuse_0000:task,task_prefix,768,22,23,1,False,True,True
0,syn_control_short_reuse_0000:task,task_prefix,768,23,24,1,False,True,True
0,syn_control_short_reuse_0000:task,task_prefix,768,24,26,2,False,True,True
0,syn_control_short_reuse_0000:task,task_prefix,768,26,27,1,False,True,True
