current,next,count,probability
edit,pytest,2,1.0
try,run,2,1.0
unknown,open,2,1.0
open,search,2,0.6666666666666666
run,try,2,0.4
fetch,read,1,1.0
find,read,1,1.0
fix,run,1,1.0
inspect,read,1,1.0
list,open,1,1.0
patch,run,1,1.0
pytest,edit,1,1.0
update,run,1,1.0
open,pytest,1,0.3333333333333333
read,fix,1,0.3333333333333333
read,run,1,0.3333333333333333
read,update,1,0.3333333333333333
search,edit,1,0.3333333333333333
search,fetch,1,0.3333333333333333
search,patch,1,0.3333333333333333
run,give,1,0.2
run,run,1,0.2
run,submit,1,0.2
