K,baseline,n_train,n_test,future_tool_cosine,future_tool_cosine_ci_low,future_tool_cosine_ci_high,future_tool_top3_recall,future_tool_top3_recall_ci_low,future_tool_top3_recall_ci_high,remaining_steps_mae,remaining_steps_mae_ci_low,remaining_steps_mae_ci_high,remaining_steps_r2,remaining_steps_r2_ci_low,remaining_steps_r2_ci_high,future_obs_spearman,future_obs_mae,future_obs_mae_ci_low,future_obs_mae_ci_high,long_auc,long_accuracy,long_accuracy_ci_low,long_accuracy_ci_high,future_tool_cosine_delta_global,future_tool_top3_recall_delta_global,remaining_steps_mae_delta_global,future_obs_mae_delta_global,long_auc_delta_global,long_accuracy_delta_global,long_auc_ci_low,long_auc_ci_high,future_obs_spearman_ci_low,future_obs_spearman_ci_high
1,global_mean_baseline,4,2,0.3130134168543381,0.2939617357917602,0.33206509791691596,0.0,0.0,0.0,1.75,0.75,2.75,-3.0625,-3.0625,-3.0625,,79.5,37.25,121.75,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,
1,task_baseline,4,2,0.3130134168543381,0.2939617357917602,0.33206509791691596,0.0,0.0,0.0,1.75,0.75,2.75,-3.0625,-3.0625,-3.0625,,79.5,37.25,121.75,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,
1,harness_baseline,4,2,0.3130134168543381,0.2939617357917602,0.33206509791691596,0.0,0.0,0.0,1.75,0.75,2.75,-3.0625,-3.0625,-3.0625,,79.5,37.25,121.75,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,
1,task_harness_baseline,4,2,0.3130134168543381,0.2939617357917602,0.33206509791691596,0.0,0.0,0.0,1.75,0.75,2.75,-3.0625,-3.0625,-3.0625,,79.5,37.25,121.75,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,
1,early_fingerprint_model,4,2,0.3130134168543381,0.2939617357917602,0.33206509791691596,0.0,0.0,0.0,1.75,0.75,2.75,-3.0625,-3.0625,-3.0625,,79.5,37.25,121.75,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,
2,global_mean_baseline,4,2,0.03944637622786627,0.0,0.07889275245573255,0.0,0.0,0.0,1.25,1.25,1.25,,,,,22.0,1.25,42.75,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,
2,task_baseline,4,2,0.03944637622786627,0.0,0.07889275245573255,0.0,0.0,0.0,1.25,1.25,1.25,,,,,22.0,1.25,42.75,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,
2,harness_baseline,4,2,0.03944637622786627,0.0,0.07889275245573255,0.0,0.0,0.0,1.25,1.25,1.25,,,,,22.0,1.25,42.75,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,
2,task_harness_baseline,4,2,0.03944637622786627,0.0,0.07889275245573255,0.0,0.0,0.0,1.25,1.25,1.25,,,,,22.0,1.25,42.75,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,
2,early_fingerprint_model,4,2,0.03944637622786627,0.0,0.07889275245573255,0.0,0.0,0.0,1.25,1.25,1.25,,,,,22.0,1.25,42.75,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,
3,global_mean_baseline,4,2,0.4675104460629539,0.3872983346207417,0.5477225575051661,0.5,0.0,1.0,1.5,0.5,2.5,-0.4444444444444444,-0.4444444444444444,-0.4444444444444444,,63.5,18.5,108.5,0.5,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,,
3,task_baseline,4,2,0.4675104460629539,0.3872983346207417,0.5477225575051661,0.5,0.0,1.0,1.5,0.5,2.5,-0.4444444444444444,-0.4444444444444444,-0.4444444444444444,,63.5,18.5,108.5,0.5,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,,
3,harness_baseline,4,2,0.7738612787525829,0.5477225575051661,0.9999999999999998,1.0,1.0,1.0,1.25,0.0,2.5,-0.38888888888888884,-0.38888888888888884,-0.38888888888888884,-0.9999999999999999,71.25,34.0,108.5,1.0,1.0,1.0,1.0,0.30635083268962904,0.5,0.25,-7.75,0.5,0.5,1.0,1.0,-0.9999999999999999,-0.9999999999999999
3,task_harness_baseline,4,2,0.4675104460629539,0.3872983346207417,0.5477225575051661,0.5,0.0,1.0,1.5,0.5,2.5,-0.4444444444444444,-0.4444444444444444,-0.4444444444444444,,63.5,18.5,108.5,0.5,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,,
3,early_fingerprint_model,4,2,0.4675104460629539,0.3872983346207417,0.5477225575051661,0.5,0.0,1.0,1.5,0.5,2.5,-0.4444444444444444,-0.4444444444444444,-0.4444444444444444,,63.5,18.5,108.5,0.5,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,,
5,global_mean_baseline,4,2,0.2886751345948128,0.2886751345948128,0.2886751345948128,1.0,1.0,1.0,0.5,0.0,1.0,-1.0,-1.0,-1.0,,18.0,14.0,22.0,0.5,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,,
5,task_baseline,4,2,0.2886751345948128,0.2886751345948128,0.2886751345948128,1.0,1.0,1.0,0.5,0.0,1.0,-1.0,-1.0,-1.0,,18.0,14.0,22.0,0.5,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,,
5,harness_baseline,4,2,0.2886751345948128,0.2886751345948128,0.2886751345948128,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.9999999999999999,7.0,0.0,14.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5,11.0,0.5,0.5,1.0,1.0,0.9999999999999999,0.9999999999999999
5,task_harness_baseline,4,2,0.2886751345948128,0.2886751345948128,0.2886751345948128,1.0,1.0,1.0,0.5,0.0,1.0,-1.0,-1.0,-1.0,,18.0,14.0,22.0,0.5,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,,
5,early_fingerprint_model,4,2,0.2886751345948128,0.2886751345948128,0.2886751345948128,1.0,1.0,1.0,0.5,0.0,1.0,-1.0,-1.0,-1.0,,18.0,14.0,22.0,0.5,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,,
