semantic_tool,tool_wrapper,phase,count,trace_count,pct_steps
run,pytest,execute/test,6,4,0.17142857142857143
read,cat,explore/read,4,3,0.11428571428571428
pytest,pytest,execute/test,3,2,0.08571428571428572
edit,edit,edit/write,2,2,0.05714285714285714
open,open,explore/read,2,2,0.05714285714285714
search,search,explore/read,2,2,0.05714285714285714
try,sed,edit/write,2,1,0.05714285714285714
unknown,unknown,unknown,2,2,0.05714285714285714
fetch,fetch,retrieve/browser,1,1,0.02857142857142857
find,find,explore/read,1,1,0.02857142857142857
fix,edit,unknown,1,1,0.02857142857142857
give,final,verify/final,1,1,0.02857142857142857
inspect,ls,unknown,1,1,0.02857142857142857
list,ls,unknown,1,1,0.02857142857142857
open,cat,explore/read,1,1,0.02857142857142857
patch,edit,unknown,1,1,0.02857142857142857
run,python,execute/test,1,1,0.02857142857142857
search,grep,explore/read,1,1,0.02857142857142857
submit,final,verify/final,1,1,0.02857142857142857
update,edit,unknown,1,1,0.02857142857142857
