view,k,conditional_recall,global_recall,delta_vs_global,n_test
wrapper_tool,1,0.375,0.375,0.0,8
wrapper_tool,3,0.375,0.625,-0.25,8
wrapper_tool,5,0.375,0.625,-0.25,8
semantic_tool,1,0.125,0.0,0.125,8
semantic_tool,3,0.125,0.0,0.125,8
semantic_tool,5,0.125,0.0,0.125,8
collapsed_semantic_tool,1,0.125,0.0,0.125,8
collapsed_semantic_tool,3,0.125,0.0,0.125,8
collapsed_semantic_tool,5,0.125,0.0,0.125,8
phase,1,0.375,0.375,0.0,8
phase,3,0.75,0.75,0.0,8
phase,5,0.875,1.0,-0.125,8
collapsed_phase,1,0.375,0.375,0.0,8
collapsed_phase,3,0.75,0.75,0.0,8
collapsed_phase,5,0.875,1.0,-0.125,8
