trace_id,dataset,task_id,model,agent_or_harness,success,reward,resolved,duration_s,input_tokens,output_tokens,cache_tokens,total_steps
swe_agent:pydantic__pydantic-3681,swe_agent,pydantic__pydantic-3681,swe-agent-llama-405b,SWE-agent,False,0.0,False,,,,,22
swe_agent:oasis-open__cti-python-stix2-133,swe_agent,oasis-open__cti-python-stix2-133,swe-agent-llama-70b,SWE-agent,False,0.0,False,,,,,11
swe_agent:mozilla__bleach-423,swe_agent,mozilla__bleach-423,swe-agent-llama-70b,SWE-agent,False,0.0,False,,,,,9
swe_agent:mie-lab__trackintel-408,swe_agent,mie-lab__trackintel-408,swe-agent-llama-70b,SWE-agent,True,1.0,True,,,,,24
swe_agent:mie-lab__trackintel-408,swe_agent,mie-lab__trackintel-408,swe-agent-llama-70b,SWE-agent,True,1.0,True,,,,,9
swe_agent:jpetrucciani__hubspot3-78,swe_agent,jpetrucciani__hubspot3-78,swe-agent-llama-70b,SWE-agent,False,0.0,False,,,,,27
swe_agent:jpetrucciani__hubspot3-78,swe_agent,jpetrucciani__hubspot3-78,swe-agent-llama-70b,SWE-agent,False,0.0,False,,,,,22
swe_agent:jpetrucciani__hubspot3-78,swe_agent,jpetrucciani__hubspot3-78,swe-agent-llama-70b,SWE-agent,False,0.0,False,,,,,24
swe_agent:mdowds__python-mock-firestore-34,swe_agent,mdowds__python-mock-firestore-34,swe-agent-llama-70b,SWE-agent,False,0.0,False,,,,,40
swe_agent:pydantic__pydantic-2196,swe_agent,pydantic__pydantic-2196,swe-agent-llama-70b,SWE-agent,False,0.0,False,,,,,11
swe_agent:oasis-open__cti-python-stix2-133,swe_agent,oasis-open__cti-python-stix2-133,swe-agent-llama-70b,SWE-agent,False,0.0,False,,,,,15
swe_agent:pydantic__pydantic-3681,swe_agent,pydantic__pydantic-3681,swe-agent-llama-70b,SWE-agent,False,0.0,False,,,,,15
swe_agent:mozilla__bleach-423,swe_agent,mozilla__bleach-423,swe-agent-llama-70b,SWE-agent,False,0.0,False,,,,,12
swe_agent:mozman__svgwrite-109,swe_agent,mozman__svgwrite-109,swe-agent-llama-70b,SWE-agent,True,1.0,True,,,,,12
swe_agent:pydantic__pydantic-4482,swe_agent,pydantic__pydantic-4482,swe-agent-llama-70b,SWE-agent,True,1.0,True,,,,,13
swe_agent:pika__pika-1067,swe_agent,pika__pika-1067,swe-agent-llama-70b,SWE-agent,False,0.0,False,,,,,74
swe_agent:oasis-open__cti-python-stix2-133,swe_agent,oasis-open__cti-python-stix2-133,swe-agent-llama-70b,SWE-agent,False,0.0,False,,,,,24
swe_agent:mozman__svgwrite-109,swe_agent,mozman__svgwrite-109,swe-agent-llama-70b,SWE-agent,True,1.0,True,,,,,11
swe_agent:mozman__svgwrite-109,swe_agent,mozman__svgwrite-109,swe-agent-llama-70b,SWE-agent,True,1.0,True,,,,,13
swe_agent:pydantic__pydantic-4482,swe_agent,pydantic__pydantic-4482,swe-agent-llama-70b,SWE-agent,True,1.0,True,,,,,13
