cur_tool,next_tool,count,probability
end_of_edit,end_of_edit,75,0.5033557046979866
end_of_edit,python,38,0.2550335570469799
none/unknown,none/unknown,30,0.75
open,end_of_edit,26,0.5306122448979592
python,end_of_edit,20,0.425531914893617
open,open,12,0.24489795918367346
end_of_edit,open,12,0.08053691275167785
search_file,goto,10,0.8333333333333334
create,end_of_edit,9,0.6428571428571429
goto,open,9,0.5294117647058824
python,search_file,9,0.19148936170212766
goto,end_of_edit,7,0.4117647058823529
python,python,7,0.14893617021276595
rm,submit,6,0.6666666666666666
find_file,open,6,0.375
search_dir,open,6,0.375
python,rm,6,0.1276595744680851
end_of_edit,create,6,0.040268456375838924
submit,end_of_edit,5,0.5
end_of_edit,goto,5,0.03355704697986577
end_of_edit,submit,5,0.03355704697986577
ls,search_dir,4,0.5714285714285714
find_file,find_file,4,0.25
none/unknown,create,4,0.1
end_of_edit,search_dir,4,0.026845637583892617
create,create,3,0.21428571428571427
find_file,ls,3,0.1875
search_dir,end_of_edit,3,0.1875
search_dir,find_file,3,0.1875
none/unknown,find_file,3,0.075
submit,python,2,0.2
find_file,search_dir,2,0.125
search_dir,search_dir,2,0.125
none/unknown,search_dir,2,0.05
python,find_file,2,0.0425531914893617
open,find_file,2,0.04081632653061224
open,goto,2,0.04081632653061224
open,ls,2,0.04081632653061224
open,search_file,2,0.04081632653061224
cd,end_of_edit,1,1.0
scroll_down,end_of_edit,1,0.25
scroll_down,open,1,0.25
scroll_down,search_file,1,0.25
scroll_down,submit,1,0.25
ls,find_file,1,0.14285714285714285
ls,open,1,0.14285714285714285
ls,scroll_down,1,0.14285714285714285
rm,end_of_edit,1,0.1111111111111111
rm,open,1,0.1111111111111111
rm,rm,1,0.1111111111111111
submit,rm,1,0.1
submit,search_dir,1,0.1
submit,submit,1,0.1
search_file,end_of_edit,1,0.08333333333333333
search_file,scroll_down,1,0.08333333333333333
create,python,1,0.07142857142857142
create,submit,1,0.07142857142857142
find_file,end_of_edit,1,0.0625
search_dir,ls,1,0.0625
search_dir,scroll_down,1,0.0625
goto,search_dir,1,0.058823529411764705
none/unknown,ls,1,0.025
python,create,1,0.02127659574468085
python,open,1,0.02127659574468085
python,submit,1,0.02127659574468085
open,allow_mutation:,1,0.02040816326530612
open,scroll_down,1,0.02040816326530612
open,submit,1,0.02040816326530612
end_of_edit,cd,1,0.006711409395973154
end_of_edit,find_file,1,0.006711409395973154
end_of_edit,rm,1,0.006711409395973154
end_of_edit,search_file,1,0.006711409395973154
