tool_name,phase,count,trace_count,pct_steps
end_of_edit,edit/write,140,10,0.3491271820448878
none/unknown,verify/final,40,10,0.09975062344139651
open,explore/read,36,9,0.08977556109725686
python,execute/test,29,5,0.07231920199501247
python,verify/final,17,5,0.04239401496259352
submit,verify/final,16,7,0.0399002493765586
find_file,explore/read,14,6,0.034912718204488775
goto,unknown,13,4,0.032418952618453865
open,edit/write,13,5,0.032418952618453865
search_file,explore/read,12,3,0.029925187032418952
search_dir,explore/read,11,6,0.02743142144638404
create,edit/write,9,5,0.022443890274314215
create,verify/final,5,4,0.012468827930174564
end_of_edit,retrieve/browser,5,3,0.012468827930174564
end_of_edit,verify/final,5,4,0.012468827930174564
search_dir,edit/write,5,5,0.012468827930174564
ls,explore/read,4,3,0.00997506234413965
rm,verify/final,4,4,0.00997506234413965
rm,execute/test,3,2,0.007481296758104738
find_file,edit/write,2,2,0.004987531172069825
goto,execute/test,2,1,0.004987531172069825
goto,explore/read,2,2,0.004987531172069825
ls,verify/final,2,1,0.004987531172069825
python,explore/read,2,1,0.004987531172069825
rm,unknown,2,1,0.004987531172069825
scroll_down,explore/read,2,2,0.004987531172069825
allow_mutation:,edit/write,1,1,0.0024937655860349127
cd,edit/write,1,1,0.0024937655860349127
ls,edit/write,1,1,0.0024937655860349127
scroll_down,edit/write,1,1,0.0024937655860349127
scroll_down,retrieve/browser,1,1,0.0024937655860349127
search_file,verify/final,1,1,0.0024937655860349127
