trace_id,step_id,object_type,object_id,size_chars,access_type,phase,tool_name
terminalbench:break-filter-js-from-html__RuHrdiy,1,file,file:filter.py,443,write,edit/write,bash_command
terminalbench:break-filter-js-from-html__RuHrdiy,1,file,file:test_outputs.py,443,write,edit/write,bash_command
terminalbench:break-filter-js-from-html__RuHrdiy,1,test_log,test_log:7945fac7e641609d,443,read,edit/write,bash_command
terminalbench:break-filter-js-from-html__RuHrdiy,2,file,file:filter.py,9,read,explore/read,bash_command
terminalbench:break-filter-js-from-html__RuHrdiy,2,file,file:test_outputs.py,15,read,explore/read,bash_command
terminalbench:break-filter-js-from-html__RuHrdiy,2,observation,observation:2d4ca5c1d86a4e2a,3,read,explore/read,bash_command
terminalbench:break-filter-js-from-html__RuHrdiy,3,file,file:filter.py,9,read,explore/read,bash_command
terminalbench:break-filter-js-from-html__RuHrdiy,3,file,file:test_outputs.py,15,read,explore/read,bash_command
terminalbench:break-filter-js-from-html__RuHrdiy,3,observation,observation:219907d80a3c3c18,3,read,explore/read,bash_command
terminalbench:break-filter-js-from-html__RuHrdiy,4,file,file:filter.py,256,retrieve,retrieve/browser,bash_command
terminalbench:break-filter-js-from-html__RuHrdiy,4,file,file:app/out.h,256,retrieve,retrieve/browser,bash_command
terminalbench:break-filter-js-from-html__RuHrdiy,4,browser_page,browser_page:400597aa7cbb71f0,256,read,retrieve/browser,bash_command
terminalbench:break-filter-js-from-html__RuHrdiy,5,file,file:app/out.h,281,retrieve,retrieve/browser,bash_command
terminalbench:break-filter-js-from-html__RuHrdiy,5,browser_page,browser_page:cfb5d947ad066c91,281,read,retrieve/browser,bash_command
terminalbench:break-filter-js-from-html__RuHrdiy,6,file,file:app/test_outputs.py,226,retrieve,retrieve/browser,
terminalbench:break-filter-js-from-html__RuHrdiy,6,browser_page,browser_page:9a69648284494a8f,226,read,retrieve/browser,
terminalbench:break-filter-js-from-html__RuHrdiy,7,file,file:app/test_outputs.py,222,retrieve,retrieve/browser,bash_command
terminalbench:break-filter-js-from-html__RuHrdiy,7,browser_page,browser_page:3487ae24bd56ca44,222,read,retrieve/browser,bash_command
terminalbench:break-filter-js-from-html__RuHrdiy,8,file,file:test_outputs.py,883,execute,execute/test,bash_command
terminalbench:break-filter-js-from-html__RuHrdiy,8,file,file:app/test_outputs.py,883,execute,execute/test,bash_command
terminalbench:break-filter-js-from-html__RuHrdiy,8,test_log,test_log:be9cf0651eb3e67d,883,read,execute/test,bash_command
terminalbench:break-filter-js-from-html__RuHrdiy,9,file,file:app/test_outputs.py,862,execute,execute/test,bash_command
terminalbench:break-filter-js-from-html__RuHrdiy,9,file,file:tests/filter.py,862,execute,execute/test,bash_command
terminalbench:break-filter-js-from-html__RuHrdiy,9,test_log,test_log:5820738aa5e4803e,862,read,execute/test,bash_command
terminalbench:break-filter-js-from-html__RuHrdiy,9,test_case,test:tests/filter.py',862,execute,execute/test,bash_command
terminalbench:break-filter-js-from-html__RuHrdiy,10,file,file:tests/filter.py,248,write,edit/write,bash_command
terminalbench:break-filter-js-from-html__RuHrdiy,10,file,file:app/filter.py,248,write,edit/write,bash_command
terminalbench:break-filter-js-from-html__RuHrdiy,10,file,file:filter.py,248,write,edit/write,bash_command
terminalbench:break-filter-js-from-html__RuHrdiy,10,test_log,test_log:41234f2fcc4b5775,248,read,edit/write,bash_command
terminalbench:break-filter-js-from-html__RuHrdiy,10,test_case,test:tests/filter.py,248,execute,edit/write,bash_command
terminalbench:break-filter-js-from-html__RuHrdiy,11,file,file:app/test_outputs.py,854,read,verify/final,bash_command
terminalbench:break-filter-js-from-html__RuHrdiy,11,test_log,test_log:017e793082c07d48,854,read,verify/final,bash_command
terminalbench:break-filter-js-from-html__RuHrdiy,12,file,file:app/out.h,376,retrieve,retrieve/browser,bash_command
terminalbench:break-filter-js-from-html__RuHrdiy,12,browser_page,browser_page:8b9298c73236d6d7,376,read,retrieve/browser,bash_command
terminalbench:break-filter-js-from-html__RuHrdiy,13,file,file:app/out.h,264,execute,execute/test,bash_command
terminalbench:break-filter-js-from-html__RuHrdiy,13,test_log,test_log:ee0bbea68fdffe44,264,read,execute/test,bash_command
terminalbench:break-filter-js-from-html__RuHrdiy,14,file,file:pp/out.h,343,read,verify/final,bash_command
terminalbench:break-filter-js-from-html__RuHrdiy,14,observation,observation:b8a250aa019a064b,343,read,verify/final,bash_command
terminalbench:break-filter-js-from-html__RuHrdiy,15,file,file:app/out.h,254,execute,execute/test,bash_command
terminalbench:break-filter-js-from-html__RuHrdiy,15,test_log,test_log:b621c022c8e5a45c,254,read,execute/test,bash_command
terminalbench:break-filter-js-from-html__RuHrdiy,16,file,file:app/out.h,249,retrieve,retrieve/browser,bash_command
terminalbench:break-filter-js-from-html__RuHrdiy,16,browser_page,browser_page:5e504cf3619e8fa7,249,read,retrieve/browser,bash_command
terminalbench:break-filter-js-from-html__RuHrdiy,17,file,file:app/out.h,411,retrieve,retrieve/browser,bash_command
terminalbench:break-filter-js-from-html__RuHrdiy,17,browser_page,browser_page:709442d28d3825d7,411,read,retrieve/browser,bash_command
terminalbench:break-filter-js-from-html__RuHrdiy,18,file,file:app/test_outputs.py,854,read,verify/final,bash_command
terminalbench:break-filter-js-from-html__RuHrdiy,18,test_log,test_log:017e793082c07d48,854,read,verify/final,bash_command
terminalbench:break-filter-js-from-html__RuHrdiy,19,file,file:app/out.h,302,retrieve,retrieve/browser,bash_command
terminalbench:break-filter-js-from-html__RuHrdiy,19,browser_page,browser_page:3b3ef47d8f8c1746,302,read,retrieve/browser,bash_command
terminalbench:break-filter-js-from-html__RuHrdiy,20,file,file:tmp/test.h,343,write,edit/write,bash_command
terminalbench:break-filter-js-from-html__RuHrdiy,20,file,file:app/filter.py,343,write,edit/write,bash_command
terminalbench:break-filter-js-from-html__RuHrdiy,20,file,file:mp/test.h,343,write,edit/write,bash_command
terminalbench:break-filter-js-from-html__RuHrdiy,20,observation,observation:d7ba506a330d595f,343,read,edit/write,bash_command
terminalbench:break-filter-js-from-html__RuHrdiy,21,file,file:mp/test.h,987,retrieve,retrieve/browser,bash_command
terminalbench:break-filter-js-from-html__RuHrdiy,21,file,file:tmp/test.h,987,retrieve,retrieve/browser,bash_command
terminalbench:break-filter-js-from-html__RuHrdiy,21,file,file:app/test_outputs.py,987,retrieve,retrieve/browser,bash_command
terminalbench:break-filter-js-from-html__RuHrdiy,21,browser_page,browser_page:29843ac0b19ace66,987,read,retrieve/browser,bash_command
terminalbench:break-filter-js-from-html__RuHrdiy,22,file,file:app/out.h,285,retrieve,retrieve/browser,bash_command
terminalbench:break-filter-js-from-html__RuHrdiy,22,browser_page,browser_page:63fe4a7784f57d34,285,read,retrieve/browser,bash_command
terminalbench:break-filter-js-from-html__RuHrdiy,23,file,file:app/out.h,291,read,verify/final,bash_command
terminalbench:break-filter-js-from-html__RuHrdiy,23,observation,observation:43408002890870da,291,read,verify/final,bash_command
terminalbench:break-filter-js-from-html__RuHrdiy,24,file,file:app/out.h,275,retrieve,retrieve/browser,bash_command
terminalbench:break-filter-js-from-html__RuHrdiy,24,browser_page,browser_page:8b847c447fed3d79,275,read,retrieve/browser,bash_command
terminalbench:break-filter-js-from-html__RuHrdiy,25,test_log,test_log:a014d2db8d897885,336,read,execute/test,bash_command
terminalbench:break-filter-js-from-html__RuHrdiy,25,browser_page,url:http://www.w3.org/1999/xhtml,336,retrieve,execute/test,bash_command
terminalbench:break-filter-js-from-html__RuHrdiy,26,file,file:app/out.h,242,execute,execute/test,bash_command
terminalbench:break-filter-js-from-html__RuHrdiy,26,test_log,test_log:705758206fc78384,242,read,execute/test,bash_command
terminalbench:break-filter-js-from-html__RuHrdiy,27,file,file:tmp/test2.h,285,execute,execute/test,bash_command
terminalbench:break-filter-js-from-html__RuHrdiy,27,file,file:app/filter.py,285,execute,execute/test,bash_command
terminalbench:break-filter-js-from-html__RuHrdiy,27,test_log,test_log:29a686e7bbc3fd85,285,read,execute/test,bash_command
terminalbench:break-filter-js-from-html__RuHrdiy,28,file,file:tmp/test2.h,452,execute,execute/test,bash_command
terminalbench:break-filter-js-from-html__RuHrdiy,28,file,file:app/filter.py,452,execute,execute/test,bash_command
terminalbench:break-filter-js-from-html__RuHrdiy,28,test_log,test_log:847e763e0592bf37,452,read,execute/test,bash_command
terminalbench:break-filter-js-from-html__RuHrdiy,29,file,file:tmp/test2.h,712,retrieve,retrieve/browser,bash_command
terminalbench:break-filter-js-from-html__RuHrdiy,29,file,file:app/filter.py,712,retrieve,retrieve/browser,bash_command
terminalbench:break-filter-js-from-html__RuHrdiy,29,file,file:app/out.h,712,retrieve,retrieve/browser,bash_command
terminalbench:break-filter-js-from-html__RuHrdiy,29,browser_page,browser_page:ded6dd07da37e1ac,712,read,retrieve/browser,bash_command
terminalbench:break-filter-js-from-html__RuHrdiy,30,file,file:app/out.h,248,execute,execute/test,bash_command
terminalbench:break-filter-js-from-html__RuHrdiy,30,test_log,test_log:d78341365629dde0,248,read,execute/test,bash_command
terminalbench:break-filter-js-from-html__RuHrdiy,31,file,file:app/test_outputs.py,854,execute,execute/test,bash_command
terminalbench:break-filter-js-from-html__RuHrdiy,31,test_log,test_log:017e793082c07d48,854,read,execute/test,bash_command
terminalbench:break-filter-js-from-html__RuHrdiy,32,file,file:app/out.h,262,retrieve,retrieve/browser,bash_command
terminalbench:break-filter-js-from-html__RuHrdiy,32,browser_page,browser_page:afcd7faa5c574554,262,read,retrieve/browser,bash_command
terminalbench:break-filter-js-from-html__RuHrdiy,33,file,file:app/out.h,403,retrieve,retrieve/browser,bash_command
terminalbench:break-filter-js-from-html__RuHrdiy,33,browser_page,browser_page:7e2e668d41e46ec3,403,read,retrieve/browser,bash_command
terminalbench:break-filter-js-from-html__RuHrdiy,34,file,file:app/out.h,370,execute,execute/test,bash_command
terminalbench:break-filter-js-from-html__RuHrdiy,34,test_log,test_log:a705f5ff5669df67,370,read,execute/test,bash_command
terminalbench:break-filter-js-from-html__RuHrdiy,35,file,file:app/out.h,344,execute,execute/test,bash_command
terminalbench:break-filter-js-from-html__RuHrdiy,35,test_log,test_log:be0f5ddbc95fe7d8,344,read,execute/test,bash_command
terminalbench:break-filter-js-from-html__RuHrdiy,36,file,file:app/out.h,326,execute,execute/test,bash_command
terminalbench:break-filter-js-from-html__RuHrdiy,36,test_log,test_log:1cbe63a3541772f5,326,read,execute/test,bash_command
terminalbench:break-filter-js-from-html__RuHrdiy,37,file,file:app/out.h,274,execute,execute/test,bash_command
terminalbench:break-filter-js-from-html__RuHrdiy,37,test_log,test_log:9a14d4d98e6063b8,274,read,execute/test,bash_command
terminalbench:break-filter-js-from-html__RuHrdiy,38,file,file:app/out.h,322,execute,execute/test,bash_command
terminalbench:break-filter-js-from-html__RuHrdiy,38,test_log,test_log:32e9717ff9eda8a4,322,read,execute/test,bash_command
terminalbench:break-filter-js-from-html__RuHrdiy,39,file,file:app/out.h,255,retrieve,retrieve/browser,bash_command
terminalbench:break-filter-js-from-html__RuHrdiy,39,browser_page,browser_page:2f848d4257e7fe2c,255,read,retrieve/browser,bash_command
