tool_name,phase,count,trace_count,pct_steps
none/unknown,unknown,23659,1352,0.3103430182986817
bash_command,execute/test,8701,832,0.11413392798583327
execute_bash,execute/test,6048,230,0.07933363940447301
none/unknown,verify/final,4713,426,0.06182199777005312
bash_command,verify/final,4323,765,0.056706237292582146
str_replace_editor,edit/write,4151,211,0.05445005574867187
bash_command,edit/write,3533,627,0.046343542992064016
bash_command,explore/read,3287,526,0.04311667869089001
execute_bash,explore/read,2689,212,0.03527251262543451
bash,execute/test,2186,102,0.028674493342952714
none/unknown,edit/write,1269,432,0.016645897553617103
execute_bash,edit/write,1105,98,0.014494654686167771
none/unknown,execute/test,1040,453,0.013642027939922608
shell,unknown,938,55,0.012304059815045582
bash_command,retrieve/browser,881,188,0.011556371745261362
task_tracker,unknown,730,81,0.00957565422706106
execute_ipython_cell,execute/test,699,63,0.009169016855774906
execute_bash,retrieve/browser,696,72,0.009129664852102053
none/unknown,explore/read,633,257,0.008303272774972125
execute,unknown,431,26,0.005653571194333311
run_shell_command,execute/test,396,36,0.005194464484816685
todowrite,edit/write,359,69,0.004709123106184823
read,explore/read,335,85,0.004394307076801994
mark_task_complete,unknown,318,210,0.00417131238932249
think,unknown,294,80,0.00385649635993966
none/unknown,retrieve/browser,271,175,0.003554797665114449
write,edit/write,254,80,0.0033318029776349444
read_file,explore/read,236,56,0.0030956909555978226
edit,edit/write,232,46,0.003043221617367351
finish,verify/final,189,189,0.0024791762313897815
mark_task_complete,verify/final,164,120,0.0021512428674493344
mark_task_complete,execute/test,163,117,0.0021381255328917163
write_file,edit/write,100,43,0.0013117334557617892
grep,explore/read,98,18,0.0012854987866465534
execute_ipython_cell,explore/read,81,29,0.0010625040991670493
mark_task_complete,explore/read,80,62,0.0010493867646094314
bashoutput,execute/test,74,12,0.000970682757263724
mark_task_complete,retrieve/browser,73,51,0.0009575654227061061
update_plan,unknown,57,18,0.0007476880697842199
run_shell_command,verify/final,55,15,0.000721453400668984
execute_bash,verify/final,48,17,0.0006296320587656588
webfetch,retrieve/browser,39,7,0.0005115760477470977
replace,edit/write,36,10,0.00047222404407424413
think,edit/write,34,12,0.00044598937495900833
think,explore/read,34,13,0.00044598937495900833
execute_ipython_cell,verify/final,31,10,0.00040663737128615466
glob,explore/read,30,17,0.0003935200367285368
edit_file,edit/write,26,12,0.0003410506984980652
ls,explore/read,23,11,0.0003016986948252115
task_tracker,edit/write,23,23,0.0003016986948252115
