current,next,count,probability
unknown,ls,596,0.13713759779107226
unknown,edit,291,0.06695812241141279
edit,unknown,231,0.2920353982300885
python,unknown,229,0.475103734439834
ls,unknown,226,0.386986301369863
create,cd,221,0.5525
ls,mark_task_complete,210,0.3595890410958904
cd,unknown,200,0.26143790849673204
unknown,python,199,0.04578923147722043
unknown,cd,196,0.04509894155545329
edit,cd,156,0.1972187104930468
unknown,cat,153,0.03520478601012425
finish,unknown,147,1.0
cd,create,142,0.18562091503267975
unknown,apt-get,113,0.026000920386562355
cat,unknown,105,0.5384615384615384
unknown,git,105,0.024160147261849976
cd,edit,104,0.13594771241830064
your_command_here,ls,100,0.36496350364963503
view,cd,99,0.24029126213592233
unknown,echo,99,0.02277956741831569
cd,view,94,0.12287581699346405
edit,python,79,0.09987357774968394
unknown,view,79,0.018177634606534744
python,edit,75,0.15560165975103735
apt-get,unknown,71,0.6173913043478261
git,unknown,70,0.5223880597014925
bashoutput,unknown,68,0.9315068493150684
unknown,"[bash,",63,0.014496088357109986
cd,think,62,0.08104575163398693
"[bash,",unknown,61,0.5980392156862745
create,python,61,0.1525
unknown,attack.py,60,0.013805798435342844
attack.py,unknown,56,0.8615384615384616
echo,unknown,56,0.7
unknown,ars.r,56,0.012885411872986655
plan,cd,55,0.17973856209150327
view,grep,54,0.13106796116504854
unknown,which,51,0.011734928670041417
cd,plan,50,0.06535947712418301
think,create,49,0.25654450261780104
ars.r,unknown,48,0.8275862068965517
unknown,#,48,0.011044638748274275
unknown,mkdir,47,0.010814542107685227
unknown,pwd,47,0.010814542107685227
#,unknown,45,0.8333333333333334
cat,mark_task_complete,44,0.22564102564102564
update_plan,"[bash,",43,0.7678571428571429
ls,{},43,0.07363013698630137
unknown,plan,43,0.009894155545329039
eval,unknown,42,0.9545454545454546
mkdir,unknown,42,0.49411764705882355
your_command_here,$34,42,0.15328467153284672
python,view,42,0.08713692946058091
unknown,cp,42,0.009664058904739991
wget,unknown,41,0.8913043478260869
"[bash,",update_plan,41,0.4019607843137255
unknown,wget,41,0.009433962264150943
bottle.py,bottle.py,40,0.5128205128205128
grep,view,40,0.33613445378151263
tesseract,unknown,39,0.8297872340425532
cp,unknown,39,0.7090909090909091
unknown,tesseract,39,0.008973768982972849
which,unknown,38,0.5428571428571428
view,python,37,0.08980582524271845
ls,view,37,0.06335616438356165
unknown,eval,37,0.008513575701794753
unknown,create,36,0.008283479061205707
unknown,gpt2.c,36,0.008283479061205707
unknown,grep,36,0.008283479061205707
unknown,sleep,36,0.008283479061205707
rscript,unknown,34,0.5964912280701754
make,unknown,33,0.4782608695652174
grep,unknown,33,0.2773109243697479
unknown,bashoutput,33,0.007593189139438564
out.html,unknown,32,0.8
think,edit,32,0.16753926701570682
curl,unknown,31,0.6595744680851063
python,create,31,0.06431535269709543
unknown,bottle.py,31,0.007132995858260469
unknown,curl,31,0.007132995858260469
unknown,out.html,31,0.007132995858260469
sleep,bashoutput,30,0.6976744186046512
edit,ls,30,0.03792667509481669
node,unknown,28,0.717948717948718
unknown,make,28,0.006442705936493327
wc,unknown,27,0.6428571428571429
view,think,27,0.06553398058252427
unknown,find,27,0.006212609295904279
unknown,pip,27,0.006212609295904279
{message:,unknown,26,1.0
bottle.py,unknown,26,0.3333333333333333
your_command_here,mkdir,26,0.0948905109489051
cd,finish,26,0.03398692810457516
unknown,node,26,0.005982512655315232
g++,edit,25,0.4807692307692308
plan,mkdir,25,0.08169934640522876
view,unknown,25,0.06067961165048544
edit,g++,25,0.0316055625790139
unknown,rscript,25,0.005752416014726185
