K,baseline,n_train,n_test,future_tool_cosine,future_tool_cosine_ci_low,future_tool_cosine_ci_high,future_tool_top3_recall,future_tool_top3_recall_ci_low,future_tool_top3_recall_ci_high,remaining_steps_mae,remaining_steps_mae_ci_low,remaining_steps_mae_ci_high,remaining_steps_r2,remaining_steps_r2_ci_low,remaining_steps_r2_ci_high,future_obs_spearman,future_obs_mae,future_obs_mae_ci_low,future_obs_mae_ci_high,long_auc,long_auc_ci_low,long_auc_ci_high,long_accuracy,long_accuracy_ci_low,long_accuracy_ci_high,future_tool_cosine_delta_global,future_tool_top3_recall_delta_global,remaining_steps_mae_delta_global,future_obs_mae_delta_global,long_auc_delta_global,long_accuracy_delta_global,future_obs_spearman_ci_low,future_obs_spearman_ci_high
1,global_mean_baseline,1050,450,0.5316313090643789,0.5144959605872638,0.5528361561043845,0.5233853006681515,0.48658240534521163,0.5701797822321207,52.814971428571425,35.88766603174602,74.94305619047618,-0.0006184696044782001,-0.057806078262677564,-5.015711676475963e-06,,8447.5168,7192.162553333334,9707.899246666668,0.5,0.5,0.5,0.7488888888888889,0.7133333333333334,0.7912222222222223,0.0,0.0,0.0,0.0,0.0,0.0,,
1,task_baseline,1050,450,0.6038852644148376,0.5883088171887503,0.6206883602077042,0.7104677060133631,0.6688147735708982,0.7500139198218263,53.065908197490906,37.81437827182094,75.55958026203703,-0.007730786713754156,-0.7803250053178535,0.014180705323802037,0.27379648453151556,7941.175822844771,6744.433897386124,9176.292423525447,0.690252356818361,0.6352308882329839,0.740835025354725,0.7466666666666667,0.7044444444444444,0.7911666666666667,0.07225395535045864,0.1870824053452116,-0.25093676891948036,506.34097715522876,0.19025235681836095,-0.0022222222222222365,0.17919079378135114,0.3595637588423626
1,harness_baseline,1050,450,0.6061918336062716,0.589063746117443,0.6258592330460104,0.6035634743875279,0.5557726246818326,0.6534253897550112,47.03140323598937,31.355875281982527,68.55562333684301,0.0627787075473244,0.0015175623222296961,0.07279907185682782,0.15790332200218707,8288.965963495748,7050.381684198952,9545.93510911388,0.7784328142643313,0.7302503621564376,0.8123376618704896,0.7933333333333333,0.7642777777777778,0.8245,0.07456052454189266,0.08017817371937641,5.783568192582052,158.5508365042515,0.2784328142643313,0.0444444444444444,0.0800268091527036,0.26014479660853085
1,task_harness_baseline,1050,450,0.6587485494306382,0.639550622477732,0.6785786044819055,0.6726057906458798,0.6280274684484038,0.7155796130952381,46.689620876436564,30.881688229374113,70.17943768759383,0.047251592113485064,-1.8723781360386555,0.23491422328809566,0.318207856952157,7411.9385208191225,6303.978363948185,8548.882039677233,0.8347207268716683,0.7813774491430755,0.872158851338313,0.8133333333333334,0.7799444444444444,0.8422777777777778,0.12711724036625927,0.1492204899777283,6.1253505521348615,1035.578279180877,0.3347207268716683,0.06444444444444442,0.2407536426972773,0.39902211331184934
1,early_fingerprint_model,1050,450,0.5847144196470732,0.5652146737796815,0.6027088147562,0.5478841870824054,0.5077951002227171,0.6,50.777997670158804,33.346640226839654,72.80614161377645,0.009072354948544081,-0.0045854208369814345,0.014007424354868767,0.3050557610973762,5837.40015281347,5051.948209785173,6729.154424714569,0.6830046479871852,0.6330776661388311,0.7238956652112293,0.78,0.7466666666666667,0.8112222222222223,0.053083110582694215,0.024498886414253906,2.0369737584126213,2610.116647186529,0.1830046479871852,0.03111111111111109,0.20742762767913728,0.3980953889002534
2,global_mean_baseline,1050,450,0.4391442882064497,0.42145599580229726,0.455188996081313,0.46205357142857145,0.4228187919463087,0.5078907615480649,49.38355132275133,35.12796465608466,69.39339544973548,-3.577603693827314e-05,-0.0866995361713225,-6.810610377372395e-06,,8299.838933333334,6873.155526666668,9731.345368888891,0.5,0.5,0.5,0.7577777777777778,0.72,0.7933333333333333,0.0,0.0,0.0,0.0,0.0,0.0,,
2,task_baseline,1050,450,0.5534316635553289,0.5360435566895511,0.5707330069096563,0.6071428571428571,0.5637512892183973,0.6540719050963082,49.66999981519865,35.00007359137503,70.11273025270934,-0.005003647311489612,-0.56761949473879,0.025437712643820776,0.248388776326988,8030.089933236535,6702.712079642942,9443.569004479736,0.709529446581829,0.6554865861878819,0.7558954896677607,0.7711111111111111,0.7355555555555555,0.8111666666666667,0.11428737534887923,0.14508928571428564,-0.2864484924473203,269.74900009679914,0.20952944658182904,0.013333333333333308,0.15108479584431397,0.3431367538947179
2,harness_baseline,1050,450,0.5613848379155802,0.5444525000399123,0.5837143117758679,0.5178571428571429,0.47866741237882177,0.5647879464285714,44.41891888530396,30.544897854642294,64.99178114607363,0.0587762756125646,-0.3008327189750555,0.07048602822570671,0.12405361517324326,8045.810552281083,6644.377938073595,9307.693548595635,0.7391643573946032,0.6863703279049866,0.7845252298782133,0.7755555555555556,0.7398888888888889,0.8133888888888889,0.12224054970913056,0.05580357142857145,4.964632437447371,254.02838105225146,0.23916435739460318,0.01777777777777778,0.03642599783733664,0.21466108416699387
2,task_harness_baseline,1050,450,0.6389366784100367,0.6198733111069956,0.6608894270963179,0.6875,0.6473181681380418,0.7289444444444445,38.24944046911694,23.198779799117005,59.18399147796106,0.056707635033689696,-0.750530451510665,0.15578594339389898,0.3544849986054958,7662.516037886225,6409.052577441943,9003.241039012459,0.8218004250854206,0.7785412771903976,0.8630698996462782,0.8155555555555556,0.7844444444444445,0.8467222222222223,0.19979239020358697,0.22544642857142855,11.13411085363439,637.3228954471097,0.3218004250854206,0.05777777777777782,0.25106241299564036,0.4453595743797808
2,early_fingerprint_model,1050,450,0.5823562623774776,0.5622451011910665,0.6031312358399454,0.5647321428571429,0.5233780760626399,0.6103563474387529,49.50188320461142,34.627297456573096,69.51389918787963,0.0009413496696747403,-1.0025291241669139,0.04903920693258173,0.4254264395391999,5699.356011638092,4851.9512265601115,6471.647902319208,0.7131076972746105,0.6540579180724612,0.7665755456632375,0.7622222222222222,0.7222222222222222,0.8000555555555556,0.14321197417102793,0.10267857142857145,-0.1183318818600867,2600.482921695242,0.21310769727461054,0.004444444444444473,0.33861629205462135,0.5029107396675949
