current,next,count,probability
unknown,unknown,26665,0.8425492922143579
cd,cd,2903,0.6477019187862562
edit,edit,1046,0.5178217821782178
python,python,978,0.3027863777089783
view,view,962,0.6508795669824087
cat,cat,877,0.3089115885875308
"[bash,","[bash,",792,0.8712871287128713
unknown,ls,719,0.02271865520728008
ls,ls,643,0.28426171529619804
sed,sed,642,0.47767857142857145
python,cat,531,0.16439628482972135
cat,python,519,0.18281084889045437
execute_ipython_cell,execute_ipython_cell,516,0.7424460431654676
grep,grep,493,0.4539594843462247
create,create,469,0.5114503816793893
git,git,389,0.5425383542538355
plan,plan,366,0.5273775216138329
echo,echo,335,0.3973902728351127
unknown,edit,291,0.00919489383215369
python,unknown,278,0.08606811145510836
apt-get,apt-get,276,0.2993492407809111
ls,cat,264,0.11671087533156499
find,find,247,0.37537993920972645
curl,curl,237,0.5851851851851851
create,cd,234,0.25517993456924754
edit,unknown,229,0.11336633663366337
your_command_here,unknown,225,0.8211678832116789
unknown,cd,222,0.007014661274014156
cd,unknown,219,0.048862115127175365
unknown,python,217,0.0068566734074823055
mark_task_complete,mark_task_complete,215,0.7904411764705882
pip,pip,215,0.4291417165668663
make,make,214,0.34516129032258064
7z,7z,199,0.6482084690553745
grep,sed,197,0.18139963167587478
c-c,c-c,192,0.4129032258064516
unknown,cat,188,0.005940343781597573
ls,unknown,186,0.08222811671087533
edit,cd,182,0.0900990099009901
cp,cp,160,0.2527646129541864
view,edit,152,0.10284167794316644
finish,unknown,147,1.0
python,sim,147,0.045510835913312696
sed,grep,132,0.09821428571428571
rm,rm,131,0.30465116279069765
make,cp,127,0.20483870967741935
cat,unknown,124,0.043677351179992954
unknown,apt-get,124,0.003918099089989888
cd,create,122,0.027219991075412762
which,which,121,0.2775229357798165
mkdir,mkdir,119,0.29455445544554454
ls,cd,118,0.052166224580017684
think,think,116,0.37662337662337664
unknown,git,116,0.0036653185035389283
sim,python,114,0.336283185840708
sqlite3,sqlite3,113,0.5594059405940595
unknown,echo,113,0.003570525783619818
find,echo,109,0.1656534954407295
echo,make,107,0.1269276393831554
{code:,{code:,106,0.828125
cp,find,105,0.16587677725118483
apt-get,unknown,104,0.11279826464208242
run_shell_command,run_shell_command,103,0.6645161290322581
edit,python,100,0.04950495049504951
cat,ls,99,0.03487143360338147
tesseract,tesseract,98,0.4688995215311005
cd,edit,96,0.0214190093708166
cat,cp,95,0.03346248679112364
cd,ls,94,0.020972780008924587
cat,mark_task_complete,93,0.03275801338499472
cd,view,91,0.02030343596608657
wget,wget,89,0.4238095238095238
cat,echo,89,0.03134906657273688
sed,make,88,0.06547619047619048
unknown,view,88,0.002780586450960566
python,pip,86,0.026625386996904025
edit,view,85,0.04207920792079208
node,node,84,0.5
insert,insert,83,0.6335877862595419
sed,python,82,0.06101190476190476
pip,python,81,0.16167664670658682
pytest,pytest,76,0.3958333333333333
ls,find,76,0.03359858532272325
pdftotext,pdftotext,75,0.6756756756756757
which,apt-get,75,0.1720183486238532
apt-get,cd,75,0.08134490238611713
ls,python,74,0.032714412024756855
git,unknown,69,0.09623430962343096
cat,g++,69,0.02430433251144769
python,edit,69,0.021362229102167184
bashoutput,unknown,68,0.918918918918919
create,python,67,0.07306434023991276
unknown,c-c,66,0.0020854398382204246
make,unknown,65,0.10483870967741936
cd,cat,65,0.014502454261490405
{keystrokes:,{keystrokes:,64,0.5079365079365079
unknown,"[bash,",63,0.0019906471183013144
pwd,pwd,62,0.4189189189189189
g++,release,62,0.2897196261682243
cp,python,62,0.09794628751974724
