semantic_tool,tool_wrapper,phase,count,trace_count,pct_steps
unknown,unknown,unknown,31038,1471,0.4071358299993441
cd,execute_bash,execute/test,2604,119,0.03415753918803699
python,bash_command,execute/test,2022,303,0.026523250475503378
edit,str_replace_editor,edit/write,1661,132,0.02178789270020332
cat,bash_command,edit/write,1526,330,0.020017052534924903
ls,bash_command,explore/read,1523,624,0.01997770053125205
cd,bash_command,execute/test,1492,229,0.019571063159965894
view,str_replace_editor,explore/read,1413,160,0.01853479372991408
sed,bash_command,edit/write,1021,181,0.013392798583327868
cat,bash_command,explore/read,948,415,0.012435233160621761
create,str_replace_editor,edit/write,917,142,0.012028595789335607
"[bash,",shell,execute/test,877,51,0.011503902407030892
python,execute_bash,execute/test,862,84,0.011307142388666622
unknown,bash_command,unknown,742,125,0.009733062241752476
execute_ipython_cell,execute_ipython_cell,unknown,700,55,0.009182134190332524
echo,bash_command,edit/write,699,426,0.009169016855774906
plan,task_tracker,unknown,694,77,0.009103430182986818
mark_task_complete,mark_task_complete,unknown,657,395,0.008618088804354955
grep,bash_command,explore/read,610,142,0.008001574080146914
ls,execute_bash,explore/read,571,131,0.007489998032399817
apt-get,bash_command,execute/test,522,241,0.006847248639076539
grep,execute_bash,explore/read,453,53,0.005942152554600905
edit,todowrite,edit/write,359,69,0.004709123106184823
git,bash_command,execute/test,357,111,0.004682888437069588
sed,execute_bash,edit/write,339,28,0.004446776415032465
echo,execute_bash,edit/write,331,32,0.004341837738571522
make,execute_bash,execute/test,330,9,0.004328720404013904
find,execute_bash,explore/read,328,36,0.004302485734898669
sim,bash_command,execute/test,322,14,0.004223781727552961
pip,execute_bash,execute/test,311,48,0.004079491047419164
think,think,unknown,309,67,0.004053256378303929
find,bash_command,explore/read,298,84,0.0039089656981701314
cp,bash_command,edit/write,283,83,0.0037122056798058636
your_command_here,unknown,unknown,274,274,0.0035941496687873025
7z,bash_command,execute/test,269,27,0.003528562995999213
apt-get,execute_bash,execute/test,266,67,0.003489210992326359
c-c,bash_command,execute/test,258,81,0.003384272315865416
cp,execute_bash,edit/write,254,18,0.0033318029776349444
rm,bash_command,edit/write,249,86,0.003266216304846855
make,bash_command,execute/test,245,44,0.0032137469666163837
mkdir,bash_command,edit/write,241,119,0.003161277628385912
python,bash,execute/test,230,49,0.003016986948252115
cat,execute_bash,explore/read,224,51,0.002938282940906408
curl,execute_bash,retrieve/browser,223,29,0.0029251656063487897
git,execute_bash,execute/test,221,27,0.0028989309372335543
c-c,execute_bash,execute/test,213,39,0.002793992260772611
which,bash_command,execute/test,213,135,0.002793992260772611
unknown,unknown,edit/write,172,4,0.0022561815439102774
cd,bash,execute/test,169,32,0.002216829540237424
finish,finish,verify/final,163,163,0.0021381255328917163
