view,k,conditional_recall,global_recall,delta_vs_global,n_test
wrapper_tool,1,0.86477742741308,0.45325361398910685,0.4115238134239731,24419
wrapper_tool,3,0.9555673860518449,0.8430730169130595,0.11249436913878541,24419
wrapper_tool,5,0.9704738113763872,0.9124042753593513,0.058069536017035905,24419
semantic_tool,1,0.6301240837053115,0.46205823334288876,0.16806585036242272,24419
semantic_tool,3,0.7373766329497522,0.5474016134976862,0.18997501945206596,24419
semantic_tool,5,0.7794340472582825,0.6191490233015275,0.16028502395675492,24419
collapsed_semantic_tool,1,0.3144278606965174,0.23582089552238805,0.07860696517412935,4020
collapsed_semantic_tool,3,0.5077114427860696,0.3582089552238806,0.14950248756218903,4020
collapsed_semantic_tool,5,0.599502487562189,0.46691542288557214,0.1325870646766169,4020
phase,1,0.7449117490478726,0.5239772308448339,0.22093451820303867,24419
phase,3,0.9428723534952291,0.9000368565461321,0.04283549694909705,24419
phase,5,0.9976657520782997,0.9976657520782997,0.0,24419
collapsed_phase,1,0.4338308457711443,0.4490049751243781,-0.015174129353233812,4020
collapsed_phase,3,0.8793532338308457,0.8529850746268657,0.026368159203980057,4020
collapsed_phase,5,0.9955223880597015,0.9980099502487563,-0.0024875621890547706,4020
