current,next,count,probability
unknown,unknown,26545,0.8509649291530422
bash_command,bash_command,19382,0.9586507072905331
execute_bash,execute_bash,8832,0.8373151308304891
str_replace_editor,str_replace_editor,2896,0.6978313253012048
bash,unknown,1601,0.7340669417698303
unknown,bash,1524,0.04885554914406617
unknown,bash_command,1269,0.04068090017311021
str_replace_editor,execute_bash,1077,0.25951807228915663
execute_bash,str_replace_editor,911,0.08636708380735685
shell,shell,827,0.8854389721627409
execute_ipython_cell,execute_ipython_cell,637,0.7592371871275327
bash_command,mark_task_complete,504,0.024928281729152242
bash,bash,442,0.2026593305823017
task_tracker,task_tracker,430,0.5665349143610013
run_shell_command,run_shell_command,335,0.6950207468879668
bash_command,unknown,326,0.01612424572163419
execute,execute,298,0.691415313225058
unknown,execute_bash,293,0.009392831954863115
mark_task_complete,mark_task_complete,268,0.7790697674418605
unknown,todowrite,255,0.008174648970955952
unknown,write,233,0.0074693851381675965
execute_bash,unknown,226,0.02142586272279105
todowrite,unknown,221,0.6155988857938719
unknown,read,218,0.006988523433993717
task_tracker,execute_bash,205,0.27009222661396576
read,unknown,203,0.6059701492537314
execute_bash,task_tracker,188,0.01782328403488813
finish,unknown,173,1.0
write,unknown,173,0.6811023622047244
unknown,edit,168,0.005385651086747451
execute_bash,think,160,0.015168752370117557
edit,unknown,156,0.6753246753246753
think,think,156,0.40310077519379844
unknown,str_replace_editor,145,0.0046483298070141696
execute_bash,execute_ipython_cell,128,0.012135001896094046
think,str_replace_editor,113,0.29198966408268734
execute_ipython_cell,execute_bash,104,0.12395709177592372
execute_bash,finish,103,0.009764884338263178
todowrite,bash,98,0.27298050139275765
think,execute_bash,75,0.1937984496124031
bashoutput,unknown,68,0.918918918918919
read_file,read_file,68,0.27755102040816326
bash,todowrite,68,0.031178358551123338
read,read,67,0.2
mark_task_complete,bash_command,67,0.19476744186046513
unknown,shell,67,0.0021478489453099956
unknown,task_tracker,65,0.002083734051420145
shell,unknown,64,0.06852248394004283
write,bash,60,0.23622047244094488
task_tracker,str_replace_editor,50,0.06587615283267458
str_replace_editor,task_tracker,50,0.012048192771084338
write_file,execute,49,0.44545454545454544
run_shell_command,read_file,46,0.0954356846473029
unknown,run_shell_command,46,0.0014746425594665642
update_plan,shell,44,0.7719298245614035
shell,update_plan,43,0.046038543897216275
str_replace_editor,unknown,43,0.01036144578313253
unknown,mark_task_complete,43,0.0013784702186317882
unknown,read_file,42,0.0013464127716868628
execute,write_file,41,0.0951276102088167
write_file,run_shell_command,40,0.36363636363636365
execute,unknown,40,0.09280742459396751
bash,bashoutput,40,0.018340210912425492
execute_ipython_cell,str_replace_editor,38,0.04529201430274136
edit,bash,37,0.16017316017316016
unknown,grep,37,0.0011861255369622363
read,edit,36,0.10746268656716418
str_replace_editor,think,36,0.008674698795180723
grep,read_file,33,0.336734693877551
grep,unknown,33,0.336734693877551
read_file,unknown,33,0.1346938775510204
unknown,bashoutput,33,0.0010578957491825351
execute,read_file,32,0.07424593967517401
read_file,execute,30,0.12244897959183673
run_shell_command,write_file,30,0.06224066390041494
read_file,grep,29,0.11836734693877551
task_tracker,unknown,25,0.03293807641633729
edit,edit,24,0.1038961038961039
str_replace_editor,execute_ipython_cell,24,0.005783132530120482
str_replace_editor,finish,24,0.005783132530120482
unknown,execute,24,0.0007693787266782073
unknown,finish,24,0.0007693787266782073
save_plan,unknown,23,1.0
replace,run_shell_command,23,0.6571428571428571
read_file,run_shell_command,23,0.09387755102040816
task_tracker,finish,23,0.030303030303030304
unknown,save_plan,23,0.0007373212797332821
unknown,webfetch,23,0.0007373212797332821
webfetch,unknown,22,0.5641025641025641
task_tracker,execute_ipython_cell,22,0.028985507246376812
grep,grep,21,0.21428571428571427
execute_ipython_cell,task_tracker,20,0.023837902264600714
read_file,write_file,19,0.07755102040816327
write,todowrite,19,0.07480314960629922
run_shell_command,unknown,19,0.03941908713692946
todowrite,write,18,0.05013927576601671
think,execute_ipython_cell,18,0.046511627906976744
unknown,killshell,17,0.0005449765980637302
webfetch,webfetch,16,0.41025641025641024
read_file,replace,16,0.0653061224489796
