time,frontier_width,operator_ids,prefill_demand,decode_demand,local_tool_demand,total_demand,phase_mix_entropy,workflow
0.0,4,"[""O_expert_0"", ""O_expert_1"", ""O_expert_2"", ""O_expert_3""]",27.116,5.61,0.0,32.726,0.6609504282544638,mapreduce
8.502,1,"[""O_summarizer""]",5.87,1.506,0.0,7.376,0.7302012994476748,mapreduce
0.0,4,"[""O_debate_r0_a0"", ""O_debate_r0_a1"", ""O_debate_r0_a2"", ""O_debate_r0_a3""]",35.116,5.61,0.0,40.726,0.5783153742809588,debate
10.502,1,"[""O_transcript_r0""]",0.0,0.0,0.5675,0.5675,-0.0,debate
11.0695,4,"[""O_debate_r1_a0"", ""O_debate_r1_a1"", ""O_debate_r1_a2"", ""O_debate_r1_a3""]",42.694,5.934,0.0,48.628,0.5351636423423215,debate
23.6275,1,"[""O_transcript_r1""]",0.0,0.0,0.5945,0.5945,-0.0,debate
24.222,1,"[""O_judge""]",5.978,1.6500000000000001,0.0,7.628,0.7533691149224322,debate
0.0,1,"[""O_expert_draft""]",6.0,1.506,0.0,7.506,0.7232052294785849,reflection
7.506,3,"[""O_critic_0"", ""O_critic_1"", ""O_critic_2""]",15.898,4.416,0.0,20.314,0.7553675019105772,reflection
14.584,1,"[""O_revise""]",5.974,1.3800000000000001,0.0,7.354,0.6965357707514204,reflection
0.0,1,"[""O_refine_0""]",9.78,1.248,0.0,11.027999999999999,0.5093937675913173,iterative
11.028,1,"[""O_refine_1""]",10.002,1.71,0.0,11.712,0.5997495529726165,iterative
22.74,1,"[""O_refine_2""]",10.204,1.35,0.0,11.554,0.5202165462090724,iterative
34.294,1,"[""O_refine_3""]",9.686,1.302,0.0,10.988,0.5250131848564359,iterative
45.282,1,"[""O_refine_4""]",9.968,1.794,0.0,11.762,0.6161234122348443,iterative
57.044,1,"[""O_refine_5""]",10.196,1.8900000000000001,0.0,12.086,0.625576851198322,iterative
69.13,1,"[""O_refine_6""]",10.382,1.1340000000000001,0.0,11.516,0.46413216423237774,iterative
80.646,1,"[""O_refine_7""]",9.926,1.116,0.0,11.042,0.47237400005886654,iterative
0.0,4,"[""O_chain_0_0"", ""O_chain_1_0"", ""O_chain_2_0"", ""O_chain_3_0""]",27.326,5.88,0.0,33.206,0.6736394193783739,parallel_chains
8.138,1,"[""O_chain_0_1""]",7.306,1.314,0.0,8.620000000000001,0.6159034534501907,parallel_chains
8.22,1,"[""O_chain_1_1""]",7.268,1.692,0.0,8.959999999999999,0.6990370109346418,parallel_chains
8.274,1,"[""O_chain_2_1""]",7.354,1.3980000000000001,0.0,8.752,0.6336750164027143,parallel_chains
8.574,1,"[""O_chain_3_1""]",7.3580000000000005,1.464,0.0,8.822000000000001,0.6483528244974563,parallel_chains
17.396,1,"[""O_writer""]",5.956,1.446,0.0,7.402,0.712535362744654,parallel_chains
0.0,16,"[""O_analyst_0"", ""O_analyst_1"", ""O_analyst_2"", ""O_analyst_3"", ""O_analyst_4"", ""O_analyst_5"", ""O_analyst_6"", ""O_analyst_7"", ""O_researcher_0"", ""O_researcher_1"", ""O_researcher_2"", ""O_researcher_3"", ""O_researcher_4"", ""O_researcher_5"", ""O_researcher_6"", ""O_researcher_7""]",89.86800000000001,22.998,0.0,112.86600000000001,0.729392037179572,trading
6.852,1,"[""O_trader_6""]",4.17,1.278,0.0,5.448,0.7859127817868864,trading
7.004,1,"[""O_trader_0""]",4.054,1.482,0.0,5.5360000000000005,0.838148242573131,trading
7.112,1,"[""O_trader_1""]",4.148,1.494,0.0,5.6419999999999995,0.8339031795284322,trading
7.148,1,"[""O_trader_7""]",4.148,1.47,0.0,5.617999999999999,0.8292394516484456,trading
7.212,1,"[""O_trader_5""]",4.138,1.428,0.0,5.566,0.8215072970336783,trading
7.284,1,"[""O_trader_4""]",4.208,1.5,0.0,5.708,0.8309260166346855,trading
7.35,1,"[""O_trader_3""]",4.25,1.572,0.0,5.822,0.841479423903195,trading
7.392,1,"[""O_trader_2""]",4.15,1.332,0.0,5.482,0.7999560012617901,trading
12.3,1,"[""O_risk_6""]",5.226,1.734,0.0,6.96,0.80990891619398,trading
12.54,1,"[""O_risk_0""]",5.2940000000000005,1.26,0.0,6.554,0.7061525743238689,trading
12.754,1,"[""O_risk_1""]",5.298,1.8900000000000001,0.0,7.188000000000001,0.8311479131513999,trading
12.766,1,"[""O_risk_7""]",5.29,1.608,0.0,6.898,0.7833952582777483,trading
12.778,1,"[""O_risk_5""]",5.276,1.518,0.0,6.794,0.7663856955298003,trading
12.874,1,"[""O_risk_2""]",5.244,1.272,0.0,6.516,0.7122476762841764,trading
12.992,1,"[""O_risk_4""]",5.3,1.332,0.0,6.632,0.7236136654508292,trading
13.172,1,"[""O_risk_3""]",5.324,1.284,0.0,6.608,0.710400926271148,trading
19.942,1,"[""O_manager""]",12.618,1.3860000000000001,0.0,14.004000000000001,0.46572752997982414,trading
0.0,1,"[""O_planner""]",4.8,1.506,0.0,6.306,0.7930727542843254,software_dev
