workflow,scheduler,policy,wave_id,op_id,mode,start_time,finish_time,duration,resource_units,frontier_width,dependency_ready_time,resource_wait,critical_path_operator,criticality,prefill_cost,decode_cost,local_tool_cost
mapreduce,fixed_worker_pool,fixed_worker_pool,0,O_expert_1,fixed,0.0,8.501999999999999,8.501999999999999,1,4,0.0,0.0,True,1.0,6.792,1.71,0.0
mapreduce,fixed_worker_pool,fixed_worker_pool,0,O_expert_2,fixed,0.0,8.166,8.166,1,4,0.0,0.0,False,1.0,6.816,1.35,0.0
mapreduce,fixed_worker_pool,fixed_worker_pool,0,O_expert_0,fixed,0.0,8.138,8.138,1,4,0.0,0.0,False,1.0,6.890000000000001,1.248,0.0
mapreduce,fixed_worker_pool,fixed_worker_pool,0,O_expert_3,fixed,0.0,7.92,7.92,1,4,0.0,0.0,False,1.0,6.618,1.302,0.0
mapreduce,fixed_worker_pool,fixed_worker_pool,1,O_summarizer,fixed,8.501999999999999,15.878,7.376,1,1,8.501999999999999,0.0,True,2.0,5.87,1.506,0.0
mapreduce,static_full_resource,static_full_resource,0,O_expert_1,parallel,0.0,8.501999999999999,8.501999999999999,1,4,0.0,0.0,True,1.0,6.792,1.71,0.0
mapreduce,static_full_resource,static_full_resource,0,O_expert_2,parallel,0.0,8.166,8.166,1,4,0.0,0.0,False,1.0,6.816,1.35,0.0
mapreduce,static_full_resource,static_full_resource,0,O_expert_0,parallel,0.0,8.138,8.138,1,4,0.0,0.0,False,1.0,6.890000000000001,1.248,0.0
mapreduce,static_full_resource,static_full_resource,0,O_expert_3,parallel,0.0,7.92,7.92,1,4,0.0,0.0,False,1.0,6.618,1.302,0.0
mapreduce,static_full_resource,static_full_resource,1,O_summarizer,parallel,8.501999999999999,15.878,7.376,1,1,8.501999999999999,0.0,True,2.0,5.87,1.506,0.0
mapreduce,always_parallel,always_parallel,0,O_expert_1,parallel,0.0,8.501999999999999,8.501999999999999,1,4,0.0,0.0,True,1.0,6.792,1.71,0.0
mapreduce,always_parallel,always_parallel,0,O_expert_2,parallel,0.0,8.166,8.166,1,4,0.0,0.0,False,1.0,6.816,1.35,0.0
mapreduce,always_parallel,always_parallel,0,O_expert_0,parallel,0.0,8.138,8.138,1,4,0.0,0.0,False,1.0,6.890000000000001,1.248,0.0
mapreduce,always_parallel,always_parallel,0,O_expert_3,parallel,0.0,7.92,7.92,1,4,0.0,0.0,False,1.0,6.618,1.302,0.0
mapreduce,always_parallel,always_parallel,1,O_summarizer,parallel,8.501999999999999,15.878,7.376,1,1,8.501999999999999,0.0,True,2.0,5.87,1.506,0.0
mapreduce,always_consolidated,always_consolidated,0,O_expert_1,consolidated,0.0,2.709078613367091,2.709078613367091,8,4,0.0,0.0,True,1.0,6.792,1.71,0.0
mapreduce,always_consolidated,always_consolidated,1,O_expert_2,consolidated,2.709078613367091,5.311094134039365,2.6020155206722735,8,3,0.0,2.709078613367091,False,1.0,6.816,1.35,0.0
mapreduce,always_consolidated,always_consolidated,2,O_expert_0,consolidated,5.311094134039365,7.904187730320404,2.593093596281039,8,2,0.0,5.311094134039365,False,1.0,6.890000000000001,1.248,0.0
mapreduce,always_consolidated,always_consolidated,3,O_expert_3,consolidated,7.904187730320404,10.427817772412542,2.523630042092139,8,1,0.0,7.904187730320404,False,1.0,6.618,1.302,0.0
mapreduce,always_consolidated,always_consolidated,4,O_summarizer,consolidated,10.427817772412542,12.778107569189261,2.3502897967767193,8,1,10.427817772412542,0.0,True,2.0,5.87,1.506,0.0
mapreduce,static_split_resource,static_split_resource,0,O_expert_1,split_consolidated,0.0,3.966323247022968,3.966323247022968,4,4,0.0,0.0,True,1.0,6.792,1.71,0.0
mapreduce,static_split_resource,static_split_resource,0,O_expert_2,split_parallel,0.0,8.166,8.166,1,4,0.0,0.0,False,1.0,6.816,1.35,0.0
mapreduce,static_split_resource,static_split_resource,0,O_expert_0,split_parallel,0.0,8.138,8.138,1,4,0.0,0.0,False,1.0,6.890000000000001,1.248,0.0
mapreduce,static_split_resource,static_split_resource,0,O_expert_3,split_parallel,0.0,7.92,7.92,1,4,0.0,0.0,False,1.0,6.618,1.302,0.0
mapreduce,static_split_resource,static_split_resource,1,O_summarizer,split_consolidated,8.166,11.607025672787746,3.441025672787746,4,1,8.166,0.0,True,2.0,5.87,1.506,0.0
mapreduce,frontier_aware_morphing,frontier_aware_morphing,0,O_expert_1,parallel,0.0,8.501999999999999,8.501999999999999,1,4,0.0,0.0,True,1.0,6.792,1.71,0.0
mapreduce,frontier_aware_morphing,frontier_aware_morphing,0,O_expert_2,parallel,0.0,8.166,8.166,1,4,0.0,0.0,False,1.0,6.816,1.35,0.0
mapreduce,frontier_aware_morphing,frontier_aware_morphing,0,O_expert_0,parallel,0.0,8.138,8.138,1,4,0.0,0.0,False,1.0,6.890000000000001,1.248,0.0
mapreduce,frontier_aware_morphing,frontier_aware_morphing,0,O_expert_3,parallel,0.0,7.92,7.92,1,4,0.0,0.0,False,1.0,6.618,1.302,0.0
mapreduce,frontier_aware_morphing,frontier_aware_morphing,1,O_summarizer,consolidated_fast_lane,8.501999999999999,10.852289796776718,2.3502897967767193,8,1,8.501999999999999,0.0,True,2.0,5.87,1.506,0.0
debate,fixed_worker_pool,fixed_worker_pool,0,O_debate_r0_a1,fixed,0.0,10.501999999999999,10.501999999999999,1,4,0.0,0.0,True,1.0,8.792,1.71,0.0
debate,fixed_worker_pool,fixed_worker_pool,0,O_debate_r0_a2,fixed,0.0,10.166,10.166,1,4,0.0,0.0,False,1.0,8.816,1.35,0.0
debate,fixed_worker_pool,fixed_worker_pool,0,O_debate_r0_a0,fixed,0.0,10.138,10.138,1,4,0.0,0.0,False,1.0,8.89,1.248,0.0
debate,fixed_worker_pool,fixed_worker_pool,0,O_debate_r0_a3,fixed,0.0,9.92,9.92,1,4,0.0,0.0,False,1.0,8.618,1.302,0.0
debate,fixed_worker_pool,fixed_worker_pool,1,O_transcript_r0,fixed,10.501999999999999,11.0695,0.5675,1,1,10.501999999999999,0.0,True,0.8,0.0,0.0,0.5675
debate,fixed_worker_pool,fixed_worker_pool,2,O_debate_r1_a1,fixed,11.0695,23.6275,12.558000000000002,1,4,11.0695,0.0,True,1.0,10.668000000000001,1.8900000000000001,0.0
debate,fixed_worker_pool,fixed_worker_pool,2,O_debate_r1_a0,fixed,11.0695,23.4995,12.430000000000001,1,4,11.0695,0.0,False,1.0,10.636000000000001,1.794,0.0
debate,fixed_worker_pool,fixed_worker_pool,2,O_debate_r1_a2,fixed,11.0695,22.9495,11.88,1,4,11.0695,0.0,False,1.0,10.746,1.1340000000000001,0.0
debate,fixed_worker_pool,fixed_worker_pool,2,O_debate_r1_a3,fixed,11.0695,22.8295,11.76,1,4,11.0695,0.0,False,1.0,10.644,1.116,0.0
debate,fixed_worker_pool,fixed_worker_pool,3,O_transcript_r1,fixed,23.6275,24.222,0.5945,1,1,23.6275,0.0,True,0.8,0.0,0.0,0.5945
debate,fixed_worker_pool,fixed_worker_pool,4,O_judge,fixed,24.222,31.85,7.628,1,1,24.222,0.0,True,2.2,5.978,1.6500000000000001,0.0
debate,static_full_resource,static_full_resource,0,O_debate_r0_a1,parallel,0.0,10.501999999999999,10.501999999999999,1,4,0.0,0.0,True,1.0,8.792,1.71,0.0
debate,static_full_resource,static_full_resource,0,O_debate_r0_a2,parallel,0.0,10.166,10.166,1,4,0.0,0.0,False,1.0,8.816,1.35,0.0
debate,static_full_resource,static_full_resource,0,O_debate_r0_a0,parallel,0.0,10.138,10.138,1,4,0.0,0.0,False,1.0,8.89,1.248,0.0
debate,static_full_resource,static_full_resource,0,O_debate_r0_a3,parallel,0.0,9.92,9.92,1,4,0.0,0.0,False,1.0,8.618,1.302,0.0
debate,static_full_resource,static_full_resource,1,O_transcript_r0,parallel,10.501999999999999,11.0695,0.5675,1,1,10.501999999999999,0.0,True,0.8,0.0,0.0,0.5675
debate,static_full_resource,static_full_resource,2,O_debate_r1_a1,parallel,11.0695,23.6275,12.558000000000002,1,4,11.0695,0.0,True,1.0,10.668000000000001,1.8900000000000001,0.0
debate,static_full_resource,static_full_resource,2,O_debate_r1_a0,parallel,11.0695,23.4995,12.430000000000001,1,4,11.0695,0.0,False,1.0,10.636000000000001,1.794,0.0
debate,static_full_resource,static_full_resource,2,O_debate_r1_a2,parallel,11.0695,22.9495,11.88,1,4,11.0695,0.0,False,1.0,10.746,1.1340000000000001,0.0
debate,static_full_resource,static_full_resource,2,O_debate_r1_a3,parallel,11.0695,22.8295,11.76,1,4,11.0695,0.0,False,1.0,10.644,1.116,0.0
debate,static_full_resource,static_full_resource,3,O_transcript_r1,parallel,23.6275,24.222,0.5945,1,1,23.6275,0.0,True,0.8,0.0,0.0,0.5945
debate,static_full_resource,static_full_resource,4,O_judge,parallel,24.222,31.85,7.628,1,1,24.222,0.0,True,2.2,5.978,1.6500000000000001,0.0
debate,always_parallel,always_parallel,0,O_debate_r0_a1,parallel,0.0,10.501999999999999,10.501999999999999,1,4,0.0,0.0,True,1.0,8.792,1.71,0.0
debate,always_parallel,always_parallel,0,O_debate_r0_a2,parallel,0.0,10.166,10.166,1,4,0.0,0.0,False,1.0,8.816,1.35,0.0
debate,always_parallel,always_parallel,0,O_debate_r0_a0,parallel,0.0,10.138,10.138,1,4,0.0,0.0,False,1.0,8.89,1.248,0.0
debate,always_parallel,always_parallel,0,O_debate_r0_a3,parallel,0.0,9.92,9.92,1,4,0.0,0.0,False,1.0,8.618,1.302,0.0
debate,always_parallel,always_parallel,1,O_transcript_r0,parallel,10.501999999999999,11.0695,0.5675,1,1,10.501999999999999,0.0,True,0.8,0.0,0.0,0.5675
debate,always_parallel,always_parallel,2,O_debate_r1_a1,parallel,11.0695,23.6275,12.558000000000002,1,4,11.0695,0.0,True,1.0,10.668000000000001,1.8900000000000001,0.0
debate,always_parallel,always_parallel,2,O_debate_r1_a0,parallel,11.0695,23.4995,12.430000000000001,1,4,11.0695,0.0,False,1.0,10.636000000000001,1.794,0.0
debate,always_parallel,always_parallel,2,O_debate_r1_a2,parallel,11.0695,22.9495,11.88,1,4,11.0695,0.0,False,1.0,10.746,1.1340000000000001,0.0
debate,always_parallel,always_parallel,2,O_debate_r1_a3,parallel,11.0695,22.8295,11.76,1,4,11.0695,0.0,False,1.0,10.644,1.116,0.0
debate,always_parallel,always_parallel,3,O_transcript_r1,parallel,23.6275,24.222,0.5945,1,1,23.6275,0.0,True,0.8,0.0,0.0,0.5945
debate,always_parallel,always_parallel,4,O_judge,parallel,24.222,31.85,7.628,1,1,24.222,0.0,True,2.2,5.978,1.6500000000000001,0.0
debate,always_consolidated,always_consolidated,0,O_debate_r0_a1,consolidated,0.0,3.3463589270267224,3.3463589270267224,8,4,0.0,0.0,True,1.0,8.792,1.71,0.0
debate,always_consolidated,always_consolidated,1,O_debate_r0_a2,consolidated,3.3463589270267224,6.585654761358628,3.2392958343319047,8,3,0.0,3.3463589270267224,False,1.0,8.816,1.35,0.0
debate,always_consolidated,always_consolidated,2,O_debate_r0_a0,consolidated,6.585654761358628,9.816028671299296,3.2303739099406696,8,2,0.0,6.585654761358628,False,1.0,8.89,1.248,0.0
debate,always_consolidated,always_consolidated,3,O_debate_r0_a3,consolidated,9.816028671299296,12.976939027051067,3.16091035575177,8,1,0.0,9.816028671299296,False,1.0,8.618,1.302,0.0
debate,always_consolidated,always_consolidated,4,O_transcript_r0,consolidated,12.976939027051067,13.157767316051988,0.18082828900092032,8,1,12.976939027051067,0.0,True,0.8,0.0,0.0,0.5675
debate,always_consolidated,always_consolidated,5,O_debate_r1_a1,consolidated,13.157767316051988,17.15925040552081,4.001483089468824,8,4,13.157767316051988,0.0,True,1.0,10.668000000000001,1.8900000000000001,0.0
debate,always_consolidated,always_consolidated,6,O_debate_r1_a0,consolidated,17.15925040552081,21.11994755491542,3.9606971493946075,8,3,13.157767316051988,4.001483089468824,False,1.0,10.636000000000001,1.794,0.0
debate,always_consolidated,always_consolidated,7,O_debate_r1_a2,consolidated,21.11994755491542,24.90539261805363,3.7854450631382086,8,2,13.157767316051988,7.962180238863432,False,1.0,10.746,1.1340000000000001,0.0
debate,always_consolidated,always_consolidated,8,O_debate_r1_a3,consolidated,24.90539261805363,28.65260086237226,3.7472082443186303,8,1,13.157767316051988,11.74762530200164,False,1.0,10.644,1.116,0.0
