workflow,frontier_status,opportunity_taxonomy,consolidated_speedup_exponent,mode_switch_overhead,worker_count,criticality_threshold,flowmorph_latency,best_static_latency,best_static_oracle_latency,regret,winner,best_static_scheduler,best_static_oracle_scheduler,mode_switch_count,fixed_worker_pool_latency,always_parallel_latency,always_consolidated_latency,static_split_resource_latency
mapreduce,frontier_positive,frontier_only,0.2,0.0,4,0.8,14.091962697290349,15.878,15.878,-0.11248502977135988,frontier_aware_morphing,fixed_worker_pool,fixed_worker_pool,1,15.878,15.878,30.39163287509999,24.202962134038035
debate,frontier_positive,frontier_and_phase,0.2,0.0,4,0.8,29.7215743098132,31.85,31.85,-0.06682655228216017,frontier_aware_morphing,fixed_worker_pool,fixed_worker_pool,3,31.85,31.85,74.37924335179827,57.25467758336378
reflection,frontier_positive,frontier_only,0.2,0.0,4,0.8,18.33977408917226,21.562583875176927,21.562583875176927,-0.14946306085862004,frontier_aware_morphing,static_split_resource,static_split_resource,2,21.938,21.938,26.65690725521837,21.562583875176927
iterative,weak,weak,0.2,0.0,4,0.8,91.688,69.48651027510269,69.48651027510269,0.3195079107728944,always_consolidated,always_consolidated,always_consolidated,0,91.688,91.688,69.48651027510269,69.48651027510269
parallel_chains,frontier_positive,frontier_only,0.2,0.0,4,0.8,23.005667012654985,24.798000000000002,24.798000000000002,-0.0722773202413508,frontier_aware_morphing,fixed_worker_pool,fixed_worker_pool,2,24.798000000000002,24.798000000000002,57.416859255980384,40.21359611234274
trading,frontier_positive,frontier_only,0.2,0.0,4,0.8,70.14504739870581,73.536,73.536,-0.046112823668600256,frontier_aware_morphing,fixed_worker_pool,fixed_worker_pool,2,73.536,73.536,171.15623040692066,117.6817499404338
software_dev,frontier_positive,frontier_only,0.2,0.0,4,0.8,31.681340951491485,35.22,35.22,-0.1004729996737227,frontier_aware_morphing,fixed_worker_pool,fixed_worker_pool,3,35.22,35.22,71.82374522066172,52.5274692905859
mapreduce,frontier_positive,frontier_only,0.2,0.0,4,1.5,14.091962697290349,15.878,15.878,-0.11248502977135988,frontier_aware_morphing,fixed_worker_pool,fixed_worker_pool,1,15.878,15.878,30.39163287509999,29.813962697290354
debate,frontier_positive,frontier_and_phase,0.2,0.0,4,1.5,29.7215743098132,31.85,31.85,-0.06682655228216017,frontier_aware_morphing,fixed_worker_pool,fixed_worker_pool,3,31.85,31.85,74.37924335179827,72.95557430981322
reflection,frontier_positive,frontier_only,0.2,0.0,4,1.5,18.33977408917226,21.938,21.938,-0.16401795563988242,frontier_aware_morphing,fixed_worker_pool,fixed_worker_pool,2,21.938,21.938,26.65690725521837,24.49777408917226
iterative,weak,weak,0.2,0.0,4,1.5,91.688,69.48651027510269,69.48651027510269,0.3195079107728944,always_consolidated,always_consolidated,always_consolidated,0,91.688,91.688,69.48651027510269,69.48651027510269
parallel_chains,frontier_positive,frontier_only,0.2,0.0,4,1.5,23.005667012654985,24.798000000000002,24.798000000000002,-0.0722773202413508,frontier_aware_morphing,fixed_worker_pool,fixed_worker_pool,2,24.798000000000002,24.798000000000002,57.416859255980384,61.48336970816243
trading,frontier_positive,frontier_only,0.2,0.0,4,1.5,70.14504739870581,73.536,73.536,-0.046112823668600256,frontier_aware_morphing,fixed_worker_pool,fixed_worker_pool,2,73.536,73.536,171.15623040692066,141.87379740903933
software_dev,frontier_positive,frontier_only,0.2,0.0,4,1.5,31.681340951491485,35.22,35.22,-0.1004729996737227,frontier_aware_morphing,fixed_worker_pool,fixed_worker_pool,3,35.22,35.22,71.82374522066172,61.310637143459374
mapreduce,frontier_positive,frontier_only,0.2,0.0,4,2.0,14.091962697290349,15.878,15.878,-0.11248502977135988,frontier_aware_morphing,fixed_worker_pool,fixed_worker_pool,1,15.878,15.878,30.39163287509999,29.813962697290354
debate,frontier_positive,frontier_and_phase,0.2,0.0,4,2.0,29.7215743098132,31.85,31.85,-0.06682655228216017,frontier_aware_morphing,fixed_worker_pool,fixed_worker_pool,3,31.85,31.85,74.37924335179827,72.95557430981322
reflection,frontier_positive,frontier_only,0.2,0.0,4,2.0,18.33977408917226,21.938,21.938,-0.16401795563988242,frontier_aware_morphing,fixed_worker_pool,fixed_worker_pool,2,21.938,21.938,26.65690725521837,24.49777408917226
iterative,weak,weak,0.2,0.0,4,2.0,91.688,69.48651027510269,69.48651027510269,0.3195079107728944,always_consolidated,always_consolidated,always_consolidated,0,91.688,91.688,69.48651027510269,69.48651027510269
parallel_chains,frontier_positive,frontier_only,0.2,0.0,4,2.0,23.005667012654985,24.798000000000002,24.798000000000002,-0.0722773202413508,frontier_aware_morphing,fixed_worker_pool,fixed_worker_pool,2,24.798000000000002,24.798000000000002,57.416859255980384,61.48336970816243
trading,frontier_positive,frontier_only,0.2,0.0,4,2.0,70.14504739870581,73.536,73.536,-0.046112823668600256,frontier_aware_morphing,fixed_worker_pool,fixed_worker_pool,2,73.536,73.536,171.15623040692066,205.29436917287006
software_dev,frontier_positive,frontier_only,0.2,0.0,4,2.0,31.681340951491485,35.22,35.22,-0.1004729996737227,frontier_aware_morphing,fixed_worker_pool,fixed_worker_pool,3,35.22,35.22,71.82374522066172,73.758744769249
mapreduce,frontier_positive,frontier_only,0.2,0.0,8,0.8,13.368345174930433,13.75596269729035,13.75596269729035,-0.028178145789554243,frontier_aware_morphing,static_split_resource,static_split_resource,1,15.878,15.878,26.4574531189073,13.75596269729035
debate,frontier_positive,frontier_and_phase,0.2,0.0,8,0.8,28.85923726784687,29.2575743098132,29.2575743098132,-0.013614834837238243,frontier_aware_morphing,static_split_resource,static_split_resource,3,31.85,31.85,64.75089219744746,29.2575743098132
reflection,frontier_positive,frontier_only,0.2,0.0,8,0.8,16.8819437770426,17.983774089172258,17.983774089172258,-0.061268024535130916,frontier_aware_morphing,static_split_resource,static_split_resource,2,21.938,21.938,23.20618562676289,17.983774089172258
iterative,weak,weak,0.2,0.0,8,0.8,91.688,60.491520661472556,60.491520661472556,0.5157165665103984,always_consolidated,always_consolidated,always_consolidated,0,91.688,91.688,60.491520661472556,69.48651027510269
parallel_chains,frontier_positive,frontier_only,0.2,0.0,8,0.8,22.27949877777048,22.789667012654984,22.789667012654984,-0.02238594511280967,frontier_aware_morphing,static_split_resource,static_split_resource,2,24.798000000000002,24.798000000000002,49.98427916798801,22.789667012654984
trading,frontier_positive,frontier_only,0.2,0.0,8,0.8,42.10319439123181,46.86800000000001,46.86800000000001,-0.10166436819937263,frontier_aware_morphing,fixed_worker_pool,fixed_worker_pool,2,46.86800000000001,46.86800000000001,149.00015279238596,60.24055297733633
software_dev,frontier_positive,frontier_only,0.2,0.0,8,0.8,30.247644304017538,31.34534095149148,31.34534095149148,-0.035019451508684574,frontier_aware_morphing,static_split_resource,static_split_resource,3,35.22,35.22,62.52620185988436,31.34534095149148
mapreduce,frontier_positive,frontier_only,0.2,0.0,8,1.5,13.368345174930433,13.75596269729035,13.75596269729035,-0.028178145789554243,frontier_aware_morphing,static_split_resource,static_split_resource,1,15.878,15.878,26.4574531189073,13.75596269729035
debate,frontier_positive,frontier_and_phase,0.2,0.0,8,1.5,28.85923726784687,29.2575743098132,29.2575743098132,-0.013614834837238243,frontier_aware_morphing,static_split_resource,static_split_resource,3,31.85,31.85,64.75089219744746,29.2575743098132
reflection,frontier_positive,frontier_only,0.2,0.0,8,1.5,16.8819437770426,17.983774089172258,17.983774089172258,-0.061268024535130916,frontier_aware_morphing,static_split_resource,static_split_resource,2,21.938,21.938,23.20618562676289,17.983774089172258
iterative,weak,weak,0.2,0.0,8,1.5,91.688,60.491520661472556,60.491520661472556,0.5157165665103984,always_consolidated,always_consolidated,always_consolidated,0,91.688,91.688,60.491520661472556,69.48651027510269
parallel_chains,frontier_positive,frontier_only,0.2,0.0,8,1.5,22.27949877777048,22.789667012654984,22.789667012654984,-0.02238594511280967,frontier_aware_morphing,static_split_resource,static_split_resource,2,24.798000000000002,24.798000000000002,49.98427916798801,22.789667012654984
trading,frontier_positive,frontier_only,0.2,0.0,8,1.5,42.10319439123181,46.86800000000001,46.86800000000001,-0.10166436819937263,frontier_aware_morphing,fixed_worker_pool,fixed_worker_pool,2,46.86800000000001,46.86800000000001,149.00015279238596,63.385047398705815
software_dev,frontier_positive,frontier_only,0.2,0.0,8,1.5,30.247644304017538,31.34534095149148,31.34534095149148,-0.035019451508684574,frontier_aware_morphing,static_split_resource,static_split_resource,3,35.22,35.22,62.52620185988436,31.34534095149148
mapreduce,frontier_positive,frontier_only,0.2,0.0,8,2.0,13.368345174930433,13.75596269729035,13.75596269729035,-0.028178145789554243,frontier_aware_morphing,static_split_resource,static_split_resource,1,15.878,15.878,26.4574531189073,13.75596269729035
debate,frontier_positive,frontier_and_phase,0.2,0.0,8,2.0,28.85923726784687,29.2575743098132,29.2575743098132,-0.013614834837238243,frontier_aware_morphing,static_split_resource,static_split_resource,3,31.85,31.85,64.75089219744746,29.2575743098132
reflection,frontier_positive,frontier_only,0.2,0.0,8,2.0,16.8819437770426,17.983774089172258,17.983774089172258,-0.061268024535130916,frontier_aware_morphing,static_split_resource,static_split_resource,2,21.938,21.938,23.20618562676289,17.983774089172258
iterative,weak,weak,0.2,0.0,8,2.0,91.688,60.491520661472556,60.491520661472556,0.5157165665103984,always_consolidated,always_consolidated,always_consolidated,0,91.688,91.688,60.491520661472556,69.48651027510269
parallel_chains,frontier_positive,frontier_only,0.2,0.0,8,2.0,22.27949877777048,22.789667012654984,22.789667012654984,-0.02238594511280967,frontier_aware_morphing,static_split_resource,static_split_resource,2,24.798000000000002,24.798000000000002,49.98427916798801,22.789667012654984
