engine,model_name,input_len,output_len,batch_size,ttft_ms,decode_ms,total_ms
synthetic,Qwen2.5-14B-Instruct-1M-local,128,1,1,1.972384,0.0,1.972384
synthetic,Qwen2.5-14B-Instruct-1M-local,128,1,2,1.972384,0.0,1.972384
synthetic,Qwen2.5-14B-Instruct-1M-local,128,1,4,1.972384,0.0,1.972384
synthetic,Qwen2.5-14B-Instruct-1M-local,128,1,8,1.972384,0.0,1.972384
synthetic,Qwen2.5-14B-Instruct-1M-local,128,32,1,1.972384,13.02,14.992384
synthetic,Qwen2.5-14B-Instruct-1M-local,128,32,2,1.972384,13.02,14.992384
synthetic,Qwen2.5-14B-Instruct-1M-local,128,32,4,1.972384,13.02,14.992384
synthetic,Qwen2.5-14B-Instruct-1M-local,128,32,8,1.972384,13.02,14.992384
synthetic,Qwen2.5-14B-Instruct-1M-local,128,128,1,1.972384,53.339999999999996,55.312383999999994
synthetic,Qwen2.5-14B-Instruct-1M-local,128,128,2,1.972384,53.339999999999996,55.312383999999994
synthetic,Qwen2.5-14B-Instruct-1M-local,128,128,4,1.972384,53.339999999999996,55.312383999999994
synthetic,Qwen2.5-14B-Instruct-1M-local,128,128,8,1.972384,53.339999999999996,55.312383999999994
synthetic,Qwen2.5-14B-Instruct-1M-local,128,256,1,1.972384,107.1,109.072384
synthetic,Qwen2.5-14B-Instruct-1M-local,128,256,2,1.972384,107.1,109.072384
synthetic,Qwen2.5-14B-Instruct-1M-local,128,256,4,1.972384,107.1,109.072384
synthetic,Qwen2.5-14B-Instruct-1M-local,128,256,8,1.972384,107.1,109.072384
synthetic,Qwen2.5-14B-Instruct-1M-local,512,1,1,6.826144,0.0,6.826144
synthetic,Qwen2.5-14B-Instruct-1M-local,512,1,2,6.826144,0.0,6.826144
synthetic,Qwen2.5-14B-Instruct-1M-local,512,1,4,6.826144,0.0,6.826144
synthetic,Qwen2.5-14B-Instruct-1M-local,512,1,8,6.826144,0.0,6.826144
synthetic,Qwen2.5-14B-Instruct-1M-local,512,32,1,6.826144,13.02,19.846144
synthetic,Qwen2.5-14B-Instruct-1M-local,512,32,2,6.826144,13.02,19.846144
synthetic,Qwen2.5-14B-Instruct-1M-local,512,32,4,6.826144,13.02,19.846144
synthetic,Qwen2.5-14B-Instruct-1M-local,512,32,8,6.826144,13.02,19.846144
synthetic,Qwen2.5-14B-Instruct-1M-local,512,128,1,6.826144,53.339999999999996,60.166143999999996
synthetic,Qwen2.5-14B-Instruct-1M-local,512,128,2,6.826144,53.339999999999996,60.166143999999996
synthetic,Qwen2.5-14B-Instruct-1M-local,512,128,4,6.826144,53.339999999999996,60.166143999999996
synthetic,Qwen2.5-14B-Instruct-1M-local,512,128,8,6.826144,53.339999999999996,60.166143999999996
synthetic,Qwen2.5-14B-Instruct-1M-local,512,256,1,6.826144,107.1,113.926144
synthetic,Qwen2.5-14B-Instruct-1M-local,512,256,2,6.826144,107.1,113.926144
synthetic,Qwen2.5-14B-Instruct-1M-local,512,256,4,6.826144,107.1,113.926144
synthetic,Qwen2.5-14B-Instruct-1M-local,512,256,8,6.826144,107.1,113.926144
synthetic,Qwen2.5-14B-Instruct-1M-local,1024,1,1,13.756576,0.0,13.756576
synthetic,Qwen2.5-14B-Instruct-1M-local,1024,1,2,13.756576,0.0,13.756576
synthetic,Qwen2.5-14B-Instruct-1M-local,1024,1,4,13.756576,0.0,13.756576
synthetic,Qwen2.5-14B-Instruct-1M-local,1024,1,8,13.756576,0.0,13.756576
synthetic,Qwen2.5-14B-Instruct-1M-local,1024,32,1,13.756576,13.019999999999998,26.776576
synthetic,Qwen2.5-14B-Instruct-1M-local,1024,32,2,13.756576,13.019999999999998,26.776576
synthetic,Qwen2.5-14B-Instruct-1M-local,1024,32,4,13.756576,13.019999999999998,26.776576
synthetic,Qwen2.5-14B-Instruct-1M-local,1024,32,8,13.756576,13.019999999999998,26.776576
synthetic,Qwen2.5-14B-Instruct-1M-local,1024,128,1,13.756576,53.339999999999996,67.096576
synthetic,Qwen2.5-14B-Instruct-1M-local,1024,128,2,13.756576,53.339999999999996,67.096576
synthetic,Qwen2.5-14B-Instruct-1M-local,1024,128,4,13.756576,53.339999999999996,67.096576
synthetic,Qwen2.5-14B-Instruct-1M-local,1024,128,8,13.756576,53.339999999999996,67.096576
synthetic,Qwen2.5-14B-Instruct-1M-local,1024,256,1,13.756576,107.1,120.85657599999999
synthetic,Qwen2.5-14B-Instruct-1M-local,1024,256,2,13.756576,107.1,120.85657599999999
synthetic,Qwen2.5-14B-Instruct-1M-local,1024,256,4,13.756576,107.1,120.85657599999999
synthetic,Qwen2.5-14B-Instruct-1M-local,1024,256,8,13.756576,107.1,120.85657599999999
synthetic,Qwen2.5-14B-Instruct-1M-local,2048,1,1,29.190304,0.0,29.190304
synthetic,Qwen2.5-14B-Instruct-1M-local,2048,1,2,29.190304,0.0,29.190304
synthetic,Qwen2.5-14B-Instruct-1M-local,2048,1,4,29.190304,0.0,29.190304
synthetic,Qwen2.5-14B-Instruct-1M-local,2048,1,8,29.190304,0.0,29.190304
synthetic,Qwen2.5-14B-Instruct-1M-local,2048,32,1,29.190304,13.02,42.210304
synthetic,Qwen2.5-14B-Instruct-1M-local,2048,32,2,29.190304,13.02,42.210304
synthetic,Qwen2.5-14B-Instruct-1M-local,2048,32,4,29.190304,13.02,42.210304
synthetic,Qwen2.5-14B-Instruct-1M-local,2048,32,8,29.190304,13.02,42.210304
synthetic,Qwen2.5-14B-Instruct-1M-local,2048,128,1,29.190304,53.34,82.530304
synthetic,Qwen2.5-14B-Instruct-1M-local,2048,128,2,29.190304,53.34,82.530304
synthetic,Qwen2.5-14B-Instruct-1M-local,2048,128,4,29.190304,53.34,82.530304
synthetic,Qwen2.5-14B-Instruct-1M-local,2048,128,8,29.190304,53.34,82.530304
synthetic,Qwen2.5-14B-Instruct-1M-local,2048,256,1,29.190304,107.1,136.290304
synthetic,Qwen2.5-14B-Instruct-1M-local,2048,256,2,29.190304,107.1,136.290304
synthetic,Qwen2.5-14B-Instruct-1M-local,2048,256,4,29.190304,107.1,136.290304
synthetic,Qwen2.5-14B-Instruct-1M-local,2048,256,8,29.190304,107.1,136.290304
synthetic,Qwen2.5-14B-Instruct-1M-local,4096,1,1,66.349216,0.0,66.349216
synthetic,Qwen2.5-14B-Instruct-1M-local,4096,1,2,66.349216,0.0,66.349216
synthetic,Qwen2.5-14B-Instruct-1M-local,4096,1,4,66.349216,0.0,66.349216
synthetic,Qwen2.5-14B-Instruct-1M-local,4096,1,8,66.349216,0.0,66.349216
synthetic,Qwen2.5-14B-Instruct-1M-local,4096,32,1,66.349216,13.019999999999996,79.369216
