mode,old_mode_alias,shared_prefix_tokens,shared_kv_bytes,num_agents,decode_tokens_per_agent,ring_shards,reduction_topology,sram_total_bytes,sram_peak_region_bytes,local_sram_read_bytes,private_kv_write_bytes,payload_bytes,total_wire_bytes,max_directed_link_load_bytes,mean_active_link_load_bytes,network_latency_s,compute_latency_s,sram_latency_s,estimated_attention_stage_latency_s,attention_stage_latency_s,estimated_end_to_end_proxy_latency_s,metric_warning,estimated_latency_s,critical_path_latency_s,throughput_bound_latency_s,mesh_time_s,compute_time_s,total_sram_gib,peak_region_sram_gib,sram_port_gib,payload_gib,wire_traffic_tib,max_link_load_gib,hotspot_ratio,max_directed_link,local_sram_read_tib,setup_replication_payload_gib,setup_replication_wire_tib,steady_state_local_decode_read_gib,central_sram_read_bytes,central_query_payload_bytes,central_result_payload_bytes,central_compute_proxy_bytes,central_router_in_bytes,central_router_out_bytes,central_max_link_load_bytes,central_hotspot_ratio,central_compute_bytes_or_ops,central_region_queue_time_s,attention_stage_proxy_latency_s,query_bytes_sent,partial_bytes_returned,query_scatter_latency_s,local_shard_compute_latency_s,reduction_latency_s,local_suffix_latency_s,merge_latency_s,reduction_bytes,reduction_wire_bytes,reduction_byte_hops,query_scatter_byte_hops,partial_reduce_byte_hops,result_return_byte_hops,reduction_hops,reduction_edges,num_reduction_steps,setup_cycles,steady_state_cycles,max_reduction_link_load_bytes,query_tile_bytes,partial_state_bytes,online_state_bytes,state_vector_dim,state_dtype_bytes,scalar_state_bytes,query_dtype_bytes,packet_bytes,packet_model,shard_group_size,placement_unit,regions_per_shard,shard_bytes,shard_region_bytes,shard_bytes_per_region,query_tile_size,num_query_tiles_total,reduction,placement,num_shards,region_capacity_violation,vc_model,agents,decode_tokens
Pull-KV-Independent,Single-Home,2048,268435456,1,64,,,276824064.0,268435456.0,17179869184,8388608,17180917760.0,240532848640.0,17180393472.0,8590458880.0,0.171808415,0.000781632,0.000781632,0.172590047,0.172590047,0.172590047,"This is a shared-prefix attention-stage proxy, not full LLM end-to-end JCT.",0.172590047,0.172590047,0.172590047,0.171808415,0.000781632,0.2578125,0.25,16.0078125,16.0009765625,0.2187633514404297,16.00048828125,1.999938968568813,"(7,7)->(6,7)",,,,,17179869184,,,,,,,,,,0.172590047,524288,524288,,,,,,,,,,,,,,,,,,,,,,,,,,,"""""",,"""""","""""","""""","""""",1,,,,,,,1,64
Central-KV-Stationary,,2048,268435456,1,64,,,276824064.0,268435456.0,17179869184,8388608,1589248.0,22249472.0,1064960.0,794624.0,1.513e-05,0.000848359,0.000848359,0.000863489,0.000863489,0.000863489,"This is a shared-prefix attention-stage proxy, not full LLM end-to-end JCT.",0.000863489,0.000863489,0.000863489,1.513e-05,0.000848359,0.2578125,0.25,16.0078125,0.0014801025390625,2.0235776901245117e-05,0.0009918212890625,1.3402061855670102,"(7,7)->(6,7)",,,,,17179869184,524288,1064960,68719476736.0,524288,1064960,1064960.0,1.3402061855670102,68719476736.0,0.000848359,0.000863489,524288,1064960,,,,,,,,,,,,,,,,,,,,,,,,,,"query bytes in, exact FP32 online-softmax state out","""""",,"""""","""""","""""","""""",1,64,,,,,,1,64
Replicate-All,,2048,268435456,1,64,,,276824064.0,276824064.0,17179869184,8388608,268435456.0,3758096384.0,268435456.0,268435456.0,0.002684425,0.000781632,0.000781632,0.003466057,0.003466057,0.003466057,"This is a shared-prefix attention-stage proxy, not full LLM end-to-end JCT.",0.003466057,0.003466057,0.003466057,0.002684425,0.000781632,0.2578125,0.2578125,16.0078125,0.25,0.00341796875,0.25,1.0,"(7,7)->(6,7)",,0.25,0.00341796875,16.0,,,,,,,,,,,0.003466057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""""",,"""""","""""","""""","""""",1,,,,,,,1,64
KVRing-v1-sequential-pipeline,,2048,268435456,1,64,8,,276824064.0,41943040.0,2147483648.0,8388608,1179648.0,301989888.0,1179648.0,1179648.0,1.4846e-05,9.8038e-05,9.8038e-05,0.000112884,0.000112884,0.000112884,"This is a shared-prefix attention-stage proxy, not full LLM end-to-end JCT.",0.000112884,0.000112884,0.000112884,1.4846e-05,9.8038e-05,0.2578125,0.0390625,2.0078125,0.0010986328125,0.000274658203125,0.0010986328125,1.0,"(0,0)->(0,1)",,,,,,,,,,,,,,,0.000112884,,,,,,,,,,,,,,,,,,,,,,,,,,,,legacy fixed whole-query + aggregated online state,"[1, 1, 1, 1, 1, 1, 1, 1]",,"""""","""""","[33554432.0, 33554432.0, 33554432.0, 33554432.0, 33554432.0, 33554432.0, 33554432.0, 33554432.0]","""""",1,,,,,False,,1,64
KVRing-v2-query-tiled-parallel,,2048,268435456,1,64,8,selected_ring_reduce,276824064.0,41943040.0,17179869184,8388608,13778944.0,118358016.0,4734976.0,1075981.9636363636,4.7631e-05,0.000109771,0.000109771,9.7754e-05,9.7754e-05,9.7754e-05,"This is a shared-prefix attention-stage proxy, not full LLM end-to-end JCT.",9.7754e-05,1.807e-06,9.7754e-05,4.7631e-05,0.000109771,0.2578125,0.0390625,16.25390625,0.0128326416015625,0.00010764598846435547,0.0044097900390625,4.400609080841639,"(0,0)->(1,0)",0.015625,,,,,,,,,,,,,,9.7754e-05,4194304.0,,3.6841e-05,9.7657e-05,1.079e-05,1.2017e-05,9.7e-08,9584640.0,59637760.0,59637760.0,58720256.0,59637760.0,0.0,3584,56,8,140,10650,1064960.0,8192,16640,16640,4096,4,256,2,24832,"R*hidden_dim*dtype + FP32(m,l,z) online-softmax state","[1, 1, 1, 1, 1, 1, 1, 1]",region_group,"[1, 1, 1, 1, 1, 1, 1, 1]","[33554432, 33554432, 33554432, 33554432, 33554432, 33554432, 33554432, 33554432]","[33554432.0, 33554432.0, 33554432.0, 33554432.0, 33554432.0, 33554432.0, 33554432.0, 33554432.0]","[33554432.0, 33554432.0, 33554432.0, 33554432.0, 33554432.0, 33554432.0, 33554432.0, 33554432.0]",1,64,selected_ring,serpentine,8,False,not_modeled_for_performance,1,64
KVRing-v2-query-tiled-parallel,,2048,268435456,1,64,8,binary_tree_reduce,276824064.0,41943040.0,17179869184,8388608,12713984.0,109838336.0,3670016.0,998530.3272727273,6.887e-05,0.000109771,0.000109771,9.7754e-05,9.7754e-05,9.7754e-05,"This is a shared-prefix attention-stage proxy, not full LLM end-to-end JCT.",9.7754e-05,1.747e-06,9.7754e-05,6.887e-05,0.000109771,0.2578125,0.0390625,16.25390625,0.0118408203125,9.989738464355469e-05,0.00341796875,3.675417661097852,"(0,0)->(1,0)",0.015625,,,,,,,,,,,,,,9.7754e-05,4194304.0,,3.6841e-05,9.7657e-05,3.2029e-05,1.2017e-05,9.7e-08,8519680.0,51118080.0,51118080.0,58720256.0,51118080.0,0.0,3072,40,3,80,31949,3194880.0,8192,16640,16640,4096,4,256,2,24832,"R*hidden_dim*dtype + FP32(m,l,z) online-softmax state","[1, 1, 1, 1, 1, 1, 1, 1]",region_group,"[1, 1, 1, 1, 1, 1, 1, 1]","[33554432, 33554432, 33554432, 33554432, 33554432, 33554432, 33554432, 33554432]","[33554432.0, 33554432.0, 33554432.0, 33554432.0, 33554432.0, 33554432.0, 33554432.0, 33554432.0]","[33554432.0, 33554432.0, 33554432.0, 33554432.0, 33554432.0, 33554432.0, 33554432.0, 33554432.0]",1,64,binary_tree,serpentine,8,False,not_modeled_for_performance,1,64
Pull-KV-Independent,Single-Home,2048,268435456,1,64,,,276824064.0,268435456.0,17179869184,8388608,17180917760.0,240532848640.0,17180393472.0,8590458880.0,0.171808415,0.000781632,0.000781632,0.172590047,0.172590047,0.172590047,"This is a shared-prefix attention-stage proxy, not full LLM end-to-end JCT.",0.172590047,0.172590047,0.172590047,0.171808415,0.000781632,0.2578125,0.25,16.0078125,16.0009765625,0.2187633514404297,16.00048828125,1.999938968568813,"(7,7)->(6,7)",,,,,17179869184,,,,,,,,,,0.172590047,524288,524288,,,,,,,,,,,,,,,,,,,,,,,,,,,"""""",,"""""","""""","""""","""""",2,,,,,,,1,64
Central-KV-Stationary,,2048,268435456,1,64,,,276824064.0,268435456.0,17179869184,8388608,3178496.0,44498944.0,2129920.0,1589248.0,2.578e-05,0.000915468,0.000915468,0.000941248,0.000941248,0.000941248,"This is a shared-prefix attention-stage proxy, not full LLM end-to-end JCT.",0.000941248,0.000941248,0.000941248,2.578e-05,0.000915468,0.2578125,0.25,16.0078125,0.002960205078125,4.0471553802490234e-05,0.001983642578125,1.3402061855670102,"(7,7)->(6,7)",,,,,17179869184,1048576,2129920,137438953472.0,1048576,2129920,2129920.0,1.3402061855670102,137438953472.0,0.000915468,0.000941248,1048576,2129920,,,,,,,,,,,,,,,,,,,,,,,,,,"query bytes in, exact FP32 online-softmax state out","""""",,"""""","""""","""""","""""",2,64,,,,,,1,64
Replicate-All,,2048,268435456,1,64,,,276824064.0,276824064.0,17179869184,8388608,268435456.0,3758096384.0,268435456.0,268435456.0,0.002684425,0.000781632,0.000781632,0.003466057,0.003466057,0.003466057,"This is a shared-prefix attention-stage proxy, not full LLM end-to-end JCT.",0.003466057,0.003466057,0.003466057,0.002684425,0.000781632,0.2578125,0.2578125,16.0078125,0.25,0.00341796875,0.25,1.0,"(7,7)->(6,7)",,0.25,0.00341796875,16.0,,,,,,,,,,,0.003466057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""""",,"""""","""""","""""","""""",2,,,,,,,1,64
KVRing-v1-sequential-pipeline,,2048,268435456,1,64,8,,276824064.0,41943040.0,2147483648.0,8388608,1179648.0,301989888.0,1179648.0,1179648.0,1.4846e-05,9.8038e-05,9.8038e-05,0.000112884,0.000112884,0.000112884,"This is a shared-prefix attention-stage proxy, not full LLM end-to-end JCT.",0.000112884,0.000112884,0.000112884,1.4846e-05,9.8038e-05,0.2578125,0.0390625,2.0078125,0.0010986328125,0.000274658203125,0.0010986328125,1.0,"(0,0)->(0,1)",,,,,,,,,,,,,,,0.000112884,,,,,,,,,,,,,,,,,,,,,,,,,,,,legacy fixed whole-query + aggregated online state,"[1, 1, 1, 1, 1, 1, 1, 1]",,"""""","""""","[33554432.0, 33554432.0, 33554432.0, 33554432.0, 33554432.0, 33554432.0, 33554432.0, 33554432.0]","""""",2,,,,,False,,1,64
