mode,old_mode_alias,shared_prefix_tokens,shared_kv_bytes,num_agents,decode_tokens_per_agent,ring_shards,reduction_topology,sram_total_bytes,sram_peak_region_bytes,local_sram_read_bytes,private_kv_write_bytes,payload_bytes,total_wire_bytes,max_directed_link_load_bytes,mean_active_link_load_bytes,network_latency_s,compute_latency_s,sram_latency_s,estimated_attention_stage_latency_s,attention_stage_latency_s,estimated_end_to_end_proxy_latency_s,metric_warning,estimated_latency_s,critical_path_latency_s,throughput_bound_latency_s,mesh_time_s,compute_time_s,total_sram_gib,peak_region_sram_gib,sram_port_gib,payload_gib,wire_traffic_tib,max_link_load_gib,hotspot_ratio,max_directed_link,local_sram_read_tib,setup_replication_payload_gib,setup_replication_wire_tib,steady_state_local_decode_read_gib,central_sram_read_bytes,central_query_payload_bytes,central_result_payload_bytes,central_compute_proxy_bytes,central_router_in_bytes,central_router_out_bytes,central_max_link_load_bytes,central_hotspot_ratio,central_compute_bytes_or_ops,central_region_queue_time_s,attention_stage_proxy_latency_s,query_bytes_sent,partial_bytes_returned,query_scatter_latency_s,local_shard_compute_latency_s,reduction_latency_s,local_suffix_latency_s,merge_latency_s,reduction_bytes,reduction_wire_bytes,reduction_byte_hops,query_scatter_byte_hops,partial_reduce_byte_hops,result_return_byte_hops,reduction_hops,reduction_edges,num_reduction_steps,setup_cycles,steady_state_cycles,max_reduction_link_load_bytes,query_tile_bytes,partial_state_bytes,online_state_bytes,state_vector_dim,state_dtype_bytes,scalar_state_bytes,query_dtype_bytes,packet_bytes,packet_model,shard_group_size,placement_unit,regions_per_shard,shard_bytes,shard_region_bytes,shard_bytes_per_region,query_tile_size,num_query_tiles_total,reduction,placement,num_shards,region_capacity_violation,vc_model,agents,decode_tokens
KVRing-v1-sequential-pipeline,,32768,4294967296,8,256,1,,4563402752.0,1107296256.0,2199023255552.0,268435456,37748736.0,9663676416.0,37748736.0,37748736.0,0.000435391,0.100012208,0.100012208,0.100447599,0.100447599,0.100447599,"This is a shared-prefix attention-stage proxy, not full LLM end-to-end JCT.",0.100447599,0.100447599,0.100447599,0.000435391,0.100012208,4.25,1.03125,2048.25,0.03515625,0.0087890625,0.03515625,1.0,"(0,0)->(0,1)",,,,,,,,,,,,,,,0.100447599,,,,,,,,,,,,,,,,,,,,,,,,,,,,legacy fixed whole-query + aggregated online state,[4],,"""""","""""",[1073741824.0],"""""",,,,,1,True,,8,256
KVRing-v2-query-tiled-parallel,,32768,4294967296,8,256,1,selected_ring_reduce,4563402752.0,1107296256.0,1099511627776,268435456,135266304.0,100663296.0,50331648.0,33554432.0,0.000503332,0.01269765,0.01269765,0.0125031,0.0125031,0.0125031,"This is a shared-prefix attention-stage proxy, not full LLM end-to-end JCT.",0.0125031,4.8856e-05,0.0125031,0.000503332,0.01269765,4.25,1.03125,1056.125,0.1259765625,9.1552734375e-05,0.046875,1.5,"(0,0)->(0,1)",1.0,,,,,,,,,,,,,,0.0125031,67108864.0,,0.000503332,0.0125,0.0,0.00019455,3.1e-06,68157440.0,0.0,0.0,100663296.0,0.0,0.0,0,0,1,0,0,0.0,65536,133120,133120,4096,4,2048,2,198656,"R*hidden_dim*dtype + FP32(m,l,z) online-softmax state",[4],region_group,[4],[4294967296],[1073741824.0],[1073741824.0],8,256,selected_ring,serpentine,1,True,not_modeled_for_performance,8,256
KVRing-v2-query-tiled-parallel,,32768,4294967296,8,256,1,binary_tree_reduce,4563402752.0,1107296256.0,1099511627776,268435456,101187584.0,100663296.0,50331648.0,33554432.0,0.000503332,0.01269765,0.01269765,0.0125031,0.0125031,0.0125031,"This is a shared-prefix attention-stage proxy, not full LLM end-to-end JCT.",0.0125031,4.8856e-05,0.0125031,0.000503332,0.01269765,4.25,1.03125,1056.125,0.09423828125,9.1552734375e-05,0.046875,1.5,"(0,0)->(0,1)",1.0,,,,,,,,,,,,,,0.0125031,67108864.0,,0.000503332,0.0125,0.0,0.00019455,3.1e-06,34078720.0,0.0,0.0,100663296.0,0.0,0.0,0,0,0,0,0,0.0,65536,133120,133120,4096,4,2048,2,198656,"R*hidden_dim*dtype + FP32(m,l,z) online-softmax state",[4],region_group,[4],[4294967296],[1073741824.0],[1073741824.0],8,256,binary_tree,serpentine,1,True,not_modeled_for_performance,8,256
KVRing-v1-sequential-pipeline,,32768,4294967296,8,256,2,,4563402752.0,1107296256.0,2199023255552.0,268435456,37748736.0,9663676416.0,37748736.0,37748736.0,0.000435391,0.100012208,0.100012208,0.100447599,0.100447599,0.100447599,"This is a shared-prefix attention-stage proxy, not full LLM end-to-end JCT.",0.100447599,0.100447599,0.100447599,0.000435391,0.100012208,4.25,1.03125,2048.25,0.03515625,0.0087890625,0.03515625,1.0,"(0,0)->(0,1)",,,,,,,,,,,,,,,0.100447599,,,,,,,,,,,,,,,,,,,,,,,,,,,,legacy fixed whole-query + aggregated online state,"[2, 2]",,"""""","""""","[1073741824.0, 1073741824.0]","""""",,,,,2,True,,8,256
KVRing-v2-query-tiled-parallel,,32768,4294967296,8,256,2,selected_ring_reduce,4563402752.0,1107296256.0,1099511627776,268435456,169345024.0,1660944384.0,67633152.0,48851305.4117647,0.000676498,0.01269765,0.01269765,0.0125031,0.0125031,0.0125031,"This is a shared-prefix attention-stage proxy, not full LLM end-to-end JCT.",0.0125031,4.9006e-05,0.0125031,0.000676498,0.01269765,4.25,1.03125,1056.125,0.15771484375,0.0015106201171875,0.06298828125,1.384469696969697,"(0,0)->(1,0)",1.0,,,,,,,,,,,,,,0.0125031,67108864.0,,0.00033563,0.0125,0.000340868,0.00019455,3.1e-06,102236160.0,1090519040.0,1090519040.0,570425344.0,1090519040.0,0.0,8192,32,2,80,340788,34078720.0,65536,133120,133120,4096,4,2048,2,198656,"R*hidden_dim*dtype + FP32(m,l,z) online-softmax state","[2, 2]",region_group,"[2, 2]","[2147483648, 2147483648]","[1073741824.0, 1073741824.0]","[1073741824.0, 1073741824.0]",8,256,selected_ring,serpentine,2,True,not_modeled_for_performance,8,256
KVRing-v2-query-tiled-parallel,,32768,4294967296,8,256,2,binary_tree_reduce,4563402752.0,1107296256.0,1099511627776,268435456,135266304.0,1115684864.0,34078720.0,32814260.70588235,0.000676498,0.01269765,0.01269765,0.0125031,0.0125031,0.0125031,"This is a shared-prefix attention-stage proxy, not full LLM end-to-end JCT.",0.0125031,4.9006e-05,0.0125031,0.000676498,0.01269765,4.25,1.03125,1056.125,0.1259765625,0.00101470947265625,0.03173828125,1.0385338345864663,"(8,8)->(7,8)",1.0,,,,,,,,,,,,,,0.0125031,67108864.0,,0.00033563,0.0125,0.000340868,0.00019455,3.1e-06,68157440.0,545259520.0,545259520.0,570425344.0,545259520.0,0.0,4096,16,1,80,340788,34078720.0,65536,133120,133120,4096,4,2048,2,198656,"R*hidden_dim*dtype + FP32(m,l,z) online-softmax state","[2, 2]",region_group,"[2, 2]","[2147483648, 2147483648]","[1073741824.0, 1073741824.0]","[1073741824.0, 1073741824.0]",8,256,binary_tree,serpentine,2,True,not_modeled_for_performance,8,256
KVRing-v1-sequential-pipeline,,32768,4294967296,8,256,4,,4563402752.0,1107296256.0,2199023255552.0,268435456,37748736.0,9663676416.0,37748736.0,37748736.0,0.000435391,0.100012208,0.100012208,0.100447599,0.100447599,0.100447599,"This is a shared-prefix attention-stage proxy, not full LLM end-to-end JCT.",0.100447599,0.100447599,0.100447599,0.000435391,0.100012208,4.25,1.03125,2048.25,0.03515625,0.0087890625,0.03515625,1.0,"(0,0)->(0,1)",,,,,,,,,,,,,,,0.100447599,,,,,,,,,,,,,,,,,,,,,,,,,,,,legacy fixed whole-query + aggregated online state,"[1, 1, 1, 1]",,"""""","""""","[1073741824.0, 1073741824.0, 1073741824.0, 1073741824.0]","""""",,,,,4,True,,8,256
KVRing-v2-query-tiled-parallel,,32768,4294967296,8,256,4,selected_ring_reduce,4563402752.0,1107296256.0,1099511627776,268435456,237502464.0,2441084928.0,84410368.0,35898307.76470588,0.000844345,0.01269765,0.01269765,0.0125031,0.0125031,0.0125031,"This is a shared-prefix attention-stage proxy, not full LLM end-to-end JCT.",0.0125031,4.9081e-05,0.0125031,0.000844345,0.01269765,4.25,1.03125,1056.125,0.22119140625,0.00222015380859375,0.07861328125,2.3513745704467355,"(0,0)->(1,0)",1.0,,,,,,,,,,,,,,0.0125031,67108864.0,,0.000503437,0.0125,0.000340908,0.00019455,3.1e-06,170393600.0,1635778560.0,1635778560.0,805306368.0,1635778560.0,0.0,12288,48,4,120,340788,34078720.0,65536,133120,133120,4096,4,2048,2,198656,"R*hidden_dim*dtype + FP32(m,l,z) online-softmax state","[1, 1, 1, 1]",region_group,"[1, 1, 1, 1]","[1073741824, 1073741824, 1073741824, 1073741824]","[1073741824.0, 1073741824.0, 1073741824.0, 1073741824.0]","[1073741824.0, 1073741824.0, 1073741824.0, 1073741824.0]",8,256,selected_ring,serpentine,4,True,not_modeled_for_performance,8,256
KVRing-v2-query-tiled-parallel,,32768,4294967296,8,256,4,binary_tree_reduce,4563402752.0,1107296256.0,1099511627776,268435456,203423744.0,1895825408.0,68157440.0,29622272.0,0.001185092,0.01269765,0.01269765,0.0125031,0.0125031,0.0125031,"This is a shared-prefix attention-stage proxy, not full LLM end-to-end JCT.",0.0125031,4.9041e-05,0.0125031,0.001185092,0.01269765,4.25,1.03125,1056.125,0.189453125,0.0017242431640625,0.0634765625,2.3008849557522124,"(0,4)->(0,3)",1.0,,,,,,,,,,,,,,0.0125031,67108864.0,,0.000503437,0.0125,0.000681655,0.00019455,3.1e-06,136314880.0,1090519040.0,1090519040.0,805306368.0,1090519040.0,0.0,8192,28,2,80,681575,68157440.0,65536,133120,133120,4096,4,2048,2,198656,"R*hidden_dim*dtype + FP32(m,l,z) online-softmax state","[1, 1, 1, 1]",region_group,"[1, 1, 1, 1]","[1073741824, 1073741824, 1073741824, 1073741824]","[1073741824.0, 1073741824.0, 1073741824.0, 1073741824.0]","[1073741824.0, 1073741824.0, 1073741824.0, 1073741824.0]",8,256,binary_tree,serpentine,4,True,not_modeled_for_performance,8,256
KVRing-v1-sequential-pipeline,,32768,4294967296,8,256,8,,4563402752.0,570425344.0,1099511627776.0,268435456,37748736.0,9663676416.0,37748736.0,37748736.0,0.000435391,0.050012208,0.050012208,0.050447599,0.050447599,0.050447599,"This is a shared-prefix attention-stage proxy, not full LLM end-to-end JCT.",0.050447599,0.050447599,0.050447599,0.000435391,0.050012208,4.25,0.53125,1024.25,0.03515625,0.0087890625,0.03515625,1.0,"(0,0)->(0,1)",,,,,,,,,,,,,,,0.050447599,,,,,,,,,,,,,,,,,,,,,,,,,,,,legacy fixed whole-query + aggregated online state,"[1, 1, 1, 1, 1, 1, 1, 1]",,"""""","""""","[536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0]","""""",,,,,8,False,,8,256
