mode,old_mode_alias,shared_prefix_tokens,shared_kv_bytes,num_agents,decode_tokens_per_agent,ring_shards,reduction_topology,sram_total_bytes,sram_peak_region_bytes,local_sram_read_bytes,private_kv_write_bytes,payload_bytes,total_wire_bytes,max_directed_link_load_bytes,mean_active_link_load_bytes,network_latency_s,compute_latency_s,sram_latency_s,estimated_attention_stage_latency_s,attention_stage_latency_s,estimated_end_to_end_proxy_latency_s,metric_warning,estimated_latency_s,critical_path_latency_s,throughput_bound_latency_s,mesh_time_s,compute_time_s,total_sram_gib,peak_region_sram_gib,sram_port_gib,payload_gib,wire_traffic_tib,max_link_load_gib,hotspot_ratio,max_directed_link,local_sram_read_tib,setup_replication_payload_gib,setup_replication_wire_tib,steady_state_local_decode_read_gib,central_sram_read_bytes,central_query_payload_bytes,central_result_payload_bytes,central_compute_proxy_bytes,central_router_in_bytes,central_router_out_bytes,central_max_link_load_bytes,central_hotspot_ratio,central_compute_bytes_or_ops,central_region_queue_time_s,attention_stage_proxy_latency_s,query_bytes_sent,partial_bytes_returned,query_scatter_latency_s,local_shard_compute_latency_s,reduction_latency_s,local_suffix_latency_s,merge_latency_s,reduction_bytes,reduction_wire_bytes,reduction_byte_hops,query_scatter_byte_hops,partial_reduce_byte_hops,result_return_byte_hops,reduction_hops,reduction_edges,num_reduction_steps,setup_cycles,steady_state_cycles,max_reduction_link_load_bytes,query_tile_bytes,partial_state_bytes,online_state_bytes,state_vector_dim,state_dtype_bytes,scalar_state_bytes,query_dtype_bytes,packet_bytes,packet_model,shard_group_size,placement_unit,regions_per_shard,shard_bytes,shard_region_bytes,shard_bytes_per_region,query_tile_size,num_query_tiles_total,reduction,placement,num_shards,region_capacity_violation,vc_model,agents,decode_tokens,tile_formation_risk
KVRing-v2-query-tiled-parallel,,32768,4294967296,16,256,8,selected_ring_reduce,4831838208.0,570425344.0,17592186044416,536870912,881852416.0,7836860416.0,104136704.0,20461776.54308094,0.001167497,0.100200749,0.100200749,0.100006199,0.100006199,0.100006199,"This is a shared-prefix attention-stage proxy, not full LLM end-to-end JCT.",0.100006199,2.4716e-05,0.100006199,0.001167497,0.100200749,4.5,0.53125,16448.25,0.8212890625,0.007127583026885986,0.09698486328125,5.089328572264824,"(0,0)->(1,0)",16.0,,,,,,,,,,,,,,0.100006199,268435456.0,,0.00027278,0.1,0.000894717,0.00019455,6.199e-06,613416960.0,4485611520.0,4485611520.0,3351248896.0,4485611520.0,0.0,269568,114,8,150,894567,89456640.0,8192,16640,16640,4096,4,256,2,24832,"R*hidden_dim*dtype + FP32(m,l,z) online-softmax state","[1, 1, 1, 1, 1, 1, 1, 1]",region_group,"[1, 1, 1, 1, 1, 1, 1, 1]","[536870912, 536870912, 536870912, 536870912, 536870912, 536870912, 536870912, 536870912]","[536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0]","[536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0]",1,4096,selected_ring,serpentine,8,False,not_modeled_for_performance,16,256,0
KVRing-v2-query-tiled-parallel,,32768,4294967296,16,256,8,binary_tree_reduce,4831838208.0,570425344.0,17592186044416,536870912,813694976.0,7291600896.0,231735296.0,18744475.311053984,0.002317654,0.100200749,0.100200749,0.100006199,0.100006199,0.100006199,"This is a shared-prefix attention-stage proxy, not full LLM end-to-end JCT.",0.100006199,2.4716e-05,0.100006199,0.002317654,0.100200749,4.5,0.53125,16448.25,0.7578125,0.006631672382354736,0.2158203125,12.362858503878268,"(0,1)->(0,0)",16.0,,,,,,,,,,,,,,0.100006199,268435456.0,,0.00027278,0.1,0.002044874,0.00019455,6.199e-06,545259520.0,3940352000.0,3940352000.0,3351248896.0,3940352000.0,0.0,236800,100,3,150,2044724,204472320.0,8192,16640,16640,4096,4,256,2,24832,"R*hidden_dim*dtype + FP32(m,l,z) online-softmax state","[1, 1, 1, 1, 1, 1, 1, 1]",region_group,"[1, 1, 1, 1, 1, 1, 1, 1]","[536870912, 536870912, 536870912, 536870912, 536870912, 536870912, 536870912, 536870912]","[536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0]","[536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0]",1,4096,binary_tree,serpentine,8,False,not_modeled_for_performance,16,256,0
KVRing-v2-query-tiled-parallel,,32768,4294967296,16,256,16,selected_ring_reduce,4831838208.0,301989888.0,17592186044416,536870912,1695547392.0,17366319104.0,120913920.0,34388750.700990096,0.001230412,0.050200749,0.050200749,0.050006199,0.050006199,0.050006199,"This is a shared-prefix attention-stage proxy, not full LLM end-to-end JCT.",0.050006199,1.2509e-05,0.050006199,0.001230412,0.050200749,4.5,0.28125,16448.25,1.5791015625,0.015794575214385986,0.11260986328125,3.5160893471049746,"(0,0)->(1,0)",16.0,,,,,,,,,,,,,,0.050006199,536870912.0,,0.000335695,0.05,0.000894717,0.00019455,6.199e-06,1158676480.0,10483466240.0,10483466240.0,6882852864.0,10483466240.0,0.0,630016,200,16,150,894567,89456640.0,8192,16640,16640,4096,4,256,2,24832,"R*hidden_dim*dtype + FP32(m,l,z) online-softmax state","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",region_group,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456]","[268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0]","[268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0]",1,4096,selected_ring,serpentine,16,False,not_modeled_for_performance,16,256,0
KVRing-v2-query-tiled-parallel,,32768,4294967296,16,256,16,binary_tree_reduce,4831838208.0,301989888.0,17592186044416,536870912,1627389952.0,15730540544.0,299892736.0,30544738.92038835,0.003062143,0.050200749,0.050200749,0.050006199,0.050006199,0.050006199,"This is a shared-prefix attention-stage proxy, not full LLM end-to-end JCT.",0.050006199,1.2509e-05,0.050006199,0.003062143,0.050200749,4.5,0.28125,16448.25,1.515625,0.014306843280792236,0.279296875,9.81814697390732,"(0,1)->(0,0)",16.0,,,,,,,,,,,,,,0.050006199,536870912.0,,0.000335695,0.05,0.002726448,0.00019455,6.199e-06,1090519040.0,8847687680.0,8847687680.0,6882852864.0,8847687680.0,0.0,531712,162,4,150,2726298,272629760.0,8192,16640,16640,4096,4,256,2,24832,"R*hidden_dim*dtype + FP32(m,l,z) online-softmax state","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",region_group,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456]","[268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0]","[268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0]",1,4096,binary_tree,serpentine,16,False,not_modeled_for_performance,16,256,0
KVRing-v2-query-tiled-parallel,,32768,4294967296,16,256,8,selected_ring_reduce,4831838208.0,570425344.0,8796093022208,536870912,881852416.0,7675183104.0,114556928.0,32521962.305084746,0.001187793,0.050200749,0.050200749,0.050006199,0.050006199,0.050006199,"This is a shared-prefix attention-stage proxy, not full LLM end-to-end JCT.",0.050006199,2.4698e-05,0.050006199,0.001187793,0.050200749,4.5,0.53125,8256.25,0.8212890625,0.006980538368225098,0.106689453125,3.522448212852434,"(0,0)->(1,0)",8.0,,,,,,,,,,,,,,0.050006199,268435456.0,,0.000335685,0.05,0.000852108,0.00019455,6.199e-06,613416960.0,4336517120.0,4336517120.0,3338665984.0,4336517120.0,0.0,130304,84,8,140,851968,85196800.0,16384,33280,33280,4096,4,512,2,49664,"R*hidden_dim*dtype + FP32(m,l,z) online-softmax state","[1, 1, 1, 1, 1, 1, 1, 1]",region_group,"[1, 1, 1, 1, 1, 1, 1, 1]","[536870912, 536870912, 536870912, 536870912, 536870912, 536870912, 536870912, 536870912]","[536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0]","[536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0]",2,2048,selected_ring,serpentine,8,False,not_modeled_for_performance,16,256,0
KVRing-v2-query-tiled-parallel,,32768,4294967296,16,256,8,binary_tree_reduce,4831838208.0,570425344.0,8796093022208,536870912,813694976.0,7129923584.0,229638144.0,30211540.610169493,0.002380519,0.050200749,0.050200749,0.050006199,0.050006199,0.050006199,"This is a shared-prefix attention-stage proxy, not full LLM end-to-end JCT.",0.050006199,2.4668e-05,0.050006199,0.002380519,0.050200749,4.5,0.53125,8256.25,0.7578125,0.006484627723693848,0.2138671875,7.601007408496792,"(0,1)->(0,0)",8.0,,,,,,,,,,,,,,0.050006199,268435456.0,,0.000335685,0.05,0.002044834,0.00019455,6.199e-06,545259520.0,3791257600.0,3791257600.0,3338665984.0,3791257600.0,0.0,113920,70,3,110,2044724,204472320.0,16384,33280,33280,4096,4,512,2,49664,"R*hidden_dim*dtype + FP32(m,l,z) online-softmax state","[1, 1, 1, 1, 1, 1, 1, 1]",region_group,"[1, 1, 1, 1, 1, 1, 1, 1]","[536870912, 536870912, 536870912, 536870912, 536870912, 536870912, 536870912, 536870912]","[536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0]","[536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0]",2,2048,binary_tree,serpentine,8,False,not_modeled_for_performance,16,256,0
KVRing-v2-query-tiled-parallel,,32768,4294967296,16,256,16,selected_ring_reduce,4831838208.0,301989888.0,8796093022208,536870912,1695547392.0,17263362048.0,148111360.0,50330501.59766764,0.001481369,0.025200749,0.025200749,0.025006199,0.025006199,0.025006199,"This is a shared-prefix attention-stage proxy, not full LLM end-to-end JCT.",0.025006199,1.2466e-05,0.025006199,0.001481369,0.025200749,4.5,0.28125,8256.25,1.5791015625,0.015700936317443848,0.137939453125,2.9427753608333522,"(0,0)->(1,0)",8.0,,,,,,,,,,,,,,0.025006199,536870912.0,,0.000629291,0.025,0.000852078,0.00019455,6.199e-06,1158676480.0,10334371840.0,10334371840.0,6928990208.0,10334371840.0,0.0,310528,173,16,110,851968,85196800.0,16384,33280,33280,4096,4,512,2,49664,"R*hidden_dim*dtype + FP32(m,l,z) online-softmax state","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",region_group,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456]","[268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0]","[268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0]",2,2048,selected_ring,serpentine,16,False,not_modeled_for_performance,16,256,0
KVRing-v2-query-tiled-parallel,,32768,4294967296,16,256,16,binary_tree_reduce,4831838208.0,301989888.0,8796093022208,536870912,1627389952.0,15627583488.0,297795584.0,45561467.89504373,0.003355699,0.025200749,0.025200749,0.025006199,0.025006199,0.025006199,"This is a shared-prefix attention-stage proxy, not full LLM end-to-end JCT.",0.025006199,1.2466e-05,0.025006199,0.003355699,0.025200749,4.5,0.28125,8256.25,1.515625,0.014213204383850098,0.27734375,6.536127955447081,"(0,1)->(0,0)",8.0,,,,,,,,,,,,,,0.025006199,536870912.0,,0.000629291,0.025,0.002726408,0.00019455,6.199e-06,1090519040.0,8698593280.0,8698593280.0,6928990208.0,8698593280.0,0.0,261376,132,4,110,2726298,272629760.0,16384,33280,33280,4096,4,512,2,49664,"R*hidden_dim*dtype + FP32(m,l,z) online-softmax state","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",region_group,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456]","[268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0]","[268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0]",2,2048,binary_tree,serpentine,16,False,not_modeled_for_performance,16,256,0
KVRing-v2-query-tiled-parallel,,32768,4294967296,16,256,8,selected_ring_reduce,4831838208.0,570425344.0,4398046511104,536870912,881852416.0,7377256448.0,126877696.0,43395626.16470588,0.001269058,0.025200749,0.025200749,0.025006199,0.025006199,0.025006199,"This is a shared-prefix attention-stage proxy, not full LLM end-to-end JCT.",0.025006199,2.4701e-05,0.025006199,0.001269058,0.025200749,4.5,0.53125,4160.25,0.8212890625,0.006709575653076172,0.1181640625,2.9237438703716867,"(0,0)->(1,0)",4.0,,,,,,,,,,,,,,0.025006199,268435456.0,,0.000587343,0.025,0.000681715,0.00019455,6.199e-06,613416960.0,4055367680.0,4055367680.0,3321888768.0,4055367680.0,0.0,60928,64,8,140,681575,68157440.0,32768,66560,66560,4096,4,1024,2,99328,"R*hidden_dim*dtype + FP32(m,l,z) online-softmax state","[1, 1, 1, 1, 1, 1, 1, 1]",region_group,"[1, 1, 1, 1, 1, 1, 1, 1]","[536870912, 536870912, 536870912, 536870912, 536870912, 536870912, 536870912, 536870912]","[536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0]","[536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0]",4,1024,selected_ring,serpentine,8,False,not_modeled_for_performance,16,256,0
KVRing-v2-query-tiled-parallel,,32768,4294967296,16,256,8,binary_tree_reduce,4831838208.0,570425344.0,4398046511104,536870912,813694976.0,6831996928.0,229638144.0,40188217.22352941,0.002632147,0.025200749,0.025200749,0.025006199,0.025006199,0.025006199,"This is a shared-prefix attention-stage proxy, not full LLM end-to-end JCT.",0.025006199,2.4641e-05,0.025006199,0.002632147,0.025200749,4.5,0.53125,4160.25,0.7578125,0.006213665008544922,0.2138671875,5.7140664569104445,"(0,1)->(0,0)",4.0,,,,,,,,,,,,,,0.025006199,268435456.0,,0.000587343,0.025,0.002044804,0.00019455,6.199e-06,545259520.0,3510108160.0,3510108160.0,3321888768.0,3510108160.0,0.0,52736,48,3,80,2044724,204472320.0,32768,66560,66560,4096,4,1024,2,99328,"R*hidden_dim*dtype + FP32(m,l,z) online-softmax state","[1, 1, 1, 1, 1, 1, 1, 1]",region_group,"[1, 1, 1, 1, 1, 1, 1, 1]","[536870912, 536870912, 536870912, 536870912, 536870912, 536870912, 536870912, 536870912]","[536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0]","[536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0]",4,1024,binary_tree,serpentine,8,False,not_modeled_for_performance,16,256,0
