mode,estimated_latency_s,estimated_attention_stage_latency_s,critical_path_latency_s,throughput_bound_latency_s,mesh_time_s,compute_time_s,total_sram_gib,peak_region_sram_gib,sram_port_gib,payload_gib,wire_traffic_tib,max_link_load_gib,hotspot_ratio,max_directed_link,local_sram_read_tib,query_tile_size,num_query_tiles_total,reduction,placement,num_shards,region_capacity_violation,vc_model,shared_prefix_tokens,agents,decode_tokens
Pull-KV Independent,0.345175933,0.345175933,0.345175933,0.345175933,0.34361267,0.001563263,0.265625,0.25,32.015625,32.001953125,0.4531526565551758,32.0009765625,3.51713404817274,"(7,7)->(6,7)",,1,,,,,,,2048,2,64
Central KV-Stationary,0.001722818,0.001722818,0.001722818,0.001722818,2.61e-05,0.001696718,0.265625,0.25,32.015625,0.002960205078125,4.191696643829346e-05,0.001983642578125,2.356914326341984,"(7,7)->(6,7)",,1,,,,,,,2048,2,64
Replicate-All,0.006150798,0.006150798,0.006150798,0.006150798,0.005368785,0.000782013,0.515625,0.2578125,16.015625,0.5,0.007080078125,0.5,1.517241379310345,"(7,7)->(6,7)",,1,,,,,,,2048,2,64
KVRing-v1-sequential-pipeline,0.000224488,0.000224488,0.000224488,0.000224488,2.8412e-05,0.000196076,0.265625,0.0390625,4.015625,0.002197265625,0.00054931640625,0.002197265625,1.0,"(0,0)->(0,1)",,1,,,,,False,,2048,2,64
KVRing-v2-ring,0.000195507,0.000195507,1.807e-06,0.000195507,5.8281e-05,0.000207524,0.265625,0.0390625,32.5078125,0.025665283203125,0.0002336353063583374,0.005401611328125,4.267236430894827,"(0,0)->(1,0)",0.03125,1,128,ring,serpentine,8,False,not_modeled_for_performance,2048,2,64
KVRing-v2-tree,0.000195507,0.000195507,1.747e-06,0.000195507,0.000100819,0.000207524,0.265625,0.0390625,32.5078125,0.023681640625,0.00021813809871673584,0.006439208984375,5.390668761527427,"(0,2)->(0,1)",0.03125,1,128,tree,serpentine,8,False,not_modeled_for_performance,2048,2,64
Pull-KV Independent,0.345175933,0.345175933,0.345175933,0.345175933,0.34361267,0.001563263,0.265625,0.25,32.015625,32.001953125,0.4531526565551758,32.0009765625,3.51713404817274,"(7,7)->(6,7)",,2,,,,,,,2048,2,64
Central KV-Stationary,0.001722818,0.001722818,0.001722818,0.001722818,2.61e-05,0.001696718,0.265625,0.25,32.015625,0.002960205078125,4.191696643829346e-05,0.001983642578125,2.356914326341984,"(7,7)->(6,7)",,2,,,,,,,2048,2,64
Replicate-All,0.006150798,0.006150798,0.006150798,0.006150798,0.005368785,0.000782013,0.515625,0.2578125,16.015625,0.5,0.007080078125,0.5,1.517241379310345,"(7,7)->(6,7)",,2,,,,,,,2048,2,64
KVRing-v1-sequential-pipeline,0.000224488,0.000224488,0.000224488,0.000224488,2.8412e-05,0.000196076,0.265625,0.0390625,4.015625,0.002197265625,0.00054931640625,0.002197265625,1.0,"(0,0)->(0,1)",,2,,,,,False,,2048,2,64
KVRing-v2-ring,9.7851e-05,9.7851e-05,1.809e-06,9.7851e-05,9.4981e-05,0.000109868,0.265625,0.0390625,16.5078125,0.025665283203125,0.00021529197692871094,0.008819580078125,4.400609080841639,"(0,0)->(1,0)",0.015625,2,64,ring,serpentine,8,False,not_modeled_for_performance,2048,2,64
