mode,shared_prefix_tokens,shared_kv_bytes,num_agents,decode_tokens_per_agent,ring_shards,reduction_topology,sram_total_bytes,sram_peak_region_bytes,local_sram_read_bytes,private_kv_write_bytes,payload_bytes,total_wire_bytes,max_directed_link_load_bytes,mean_active_link_load_bytes,network_latency_s,compute_latency_s,sram_latency_s,estimated_attention_stage_latency_s,attention_stage_latency_s,estimated_end_to_end_proxy_latency_s,estimated_latency_s,critical_path_latency_s,throughput_bound_latency_s,mesh_time_s,compute_time_s,total_sram_gib,peak_region_sram_gib,sram_port_gib,payload_gib,wire_traffic_tib,max_link_load_gib,hotspot_ratio,max_directed_link,local_sram_read_tib,setup_replication_payload_gib,setup_replication_wire_tib,steady_state_local_decode_read_gib,central_sram_read_bytes,central_compute_bytes_or_ops,central_region_queue_time_s,query_bytes_sent,partial_bytes_returned,query_scatter_latency_s,local_shard_compute_latency_s,reduction_latency_s,local_suffix_latency_s,merge_latency_s,reduction_bytes,reduction_wire_bytes,reduction_hops,num_reduction_steps,max_reduction_link_load_bytes,query_tile_bytes,partial_state_bytes,online_state_bytes,state_vector_dim,state_dtype_bytes,scalar_state_bytes,query_dtype_bytes,packet_bytes,packet_model,shard_group_size,shard_region_bytes,query_tile_size,num_query_tiles_total,reduction,placement,num_shards,region_capacity_violation,vc_model,agents,decode_tokens
KVRing-v2-query-tiled-parallel,32768,4294967296,8,256,1,ring_reduce,4563402752.0,1107296256.0,1099511627776,268435456,135266304.0,100663296.0,50331648.0,33554432.0,0.000503332,0.01269765,0.01269765,0.0125031,0.0125031,0.0125031,0.0125031,4.8856e-05,0.0125031,0.000503332,0.01269765,4.25,1.03125,1056.125,0.1259765625,9.1552734375e-05,0.046875,1.5,"(0,0)->(0,1)",1.0,,,,,,,67108864.0,,0.000503332,0.0125,0.0,0.00019455,3.1e-06,68157440.0,0.0,0,1,0.0,65536,133120,133120,4096,4,2048,2,198656,"R*hidden_dim*dtype + FP32(m,l,z) online-softmax state",[4],[1073741824.0],8,256,ring,serpentine,1,True,not_modeled_for_performance,8,256
KVRing-v2-query-tiled-parallel,32768,4294967296,8,256,1,binary_tree_reduce,4563402752.0,1107296256.0,1099511627776,268435456,101187584.0,100663296.0,50331648.0,33554432.0,0.000503332,0.01269765,0.01269765,0.0125031,0.0125031,0.0125031,0.0125031,4.8856e-05,0.0125031,0.000503332,0.01269765,4.25,1.03125,1056.125,0.09423828125,9.1552734375e-05,0.046875,1.5,"(0,0)->(0,1)",1.0,,,,,,,67108864.0,,0.000503332,0.0125,0.0,0.00019455,3.1e-06,34078720.0,0.0,0,0,0.0,65536,133120,133120,4096,4,2048,2,198656,"R*hidden_dim*dtype + FP32(m,l,z) online-softmax state",[4],[1073741824.0],8,256,tree,serpentine,1,True,not_modeled_for_performance,8,256
KVRing-v2-query-tiled-parallel,32768,4294967296,8,256,2,ring_reduce,4563402752.0,1107296256.0,1099511627776,268435456,169345024.0,1660944384.0,67633152.0,48851305.4117647,0.000676498,0.01269765,0.01269765,0.0125031,0.0125031,0.0125031,0.0125031,4.9006e-05,0.0125031,0.000676498,0.01269765,4.25,1.03125,1056.125,0.15771484375,0.0015106201171875,0.06298828125,1.384469696969697,"(0,0)->(1,0)",1.0,,,,,,,67108864.0,,0.00033563,0.0125,0.000340868,0.00019455,3.1e-06,102236160.0,1090519040.0,8192,2,34078720.0,65536,133120,133120,4096,4,2048,2,198656,"R*hidden_dim*dtype + FP32(m,l,z) online-softmax state","[2, 2]","[1073741824.0, 1073741824.0]",8,256,ring,serpentine,2,True,not_modeled_for_performance,8,256
KVRing-v2-query-tiled-parallel,32768,4294967296,8,256,2,binary_tree_reduce,4563402752.0,1107296256.0,1099511627776,268435456,135266304.0,1115684864.0,34078720.0,32814260.70588235,0.000676498,0.01269765,0.01269765,0.0125031,0.0125031,0.0125031,0.0125031,4.9006e-05,0.0125031,0.000676498,0.01269765,4.25,1.03125,1056.125,0.1259765625,0.00101470947265625,0.03173828125,1.0385338345864663,"(8,8)->(7,8)",1.0,,,,,,,67108864.0,,0.00033563,0.0125,0.000340868,0.00019455,3.1e-06,68157440.0,545259520.0,4096,1,34078720.0,65536,133120,133120,4096,4,2048,2,198656,"R*hidden_dim*dtype + FP32(m,l,z) online-softmax state","[2, 2]","[1073741824.0, 1073741824.0]",8,256,tree,serpentine,2,True,not_modeled_for_performance,8,256
KVRing-v2-query-tiled-parallel,32768,4294967296,8,256,4,ring_reduce,4563402752.0,1107296256.0,1099511627776,268435456,237502464.0,2441084928.0,84410368.0,35898307.76470588,0.000844345,0.01269765,0.01269765,0.0125031,0.0125031,0.0125031,0.0125031,4.9081e-05,0.0125031,0.000844345,0.01269765,4.25,1.03125,1056.125,0.22119140625,0.00222015380859375,0.07861328125,2.3513745704467355,"(0,0)->(1,0)",1.0,,,,,,,67108864.0,,0.000503437,0.0125,0.000340908,0.00019455,3.1e-06,170393600.0,1635778560.0,12288,4,34078720.0,65536,133120,133120,4096,4,2048,2,198656,"R*hidden_dim*dtype + FP32(m,l,z) online-softmax state","[1, 1, 1, 1]","[1073741824.0, 1073741824.0, 1073741824.0, 1073741824.0]",8,256,ring,serpentine,4,True,not_modeled_for_performance,8,256
KVRing-v2-query-tiled-parallel,32768,4294967296,8,256,4,binary_tree_reduce,4563402752.0,1107296256.0,1099511627776,268435456,203423744.0,1895825408.0,68157440.0,29622272.0,0.001185092,0.01269765,0.01269765,0.0125031,0.0125031,0.0125031,0.0125031,4.9041e-05,0.0125031,0.001185092,0.01269765,4.25,1.03125,1056.125,0.189453125,0.0017242431640625,0.0634765625,2.3008849557522124,"(0,4)->(0,3)",1.0,,,,,,,67108864.0,,0.000503437,0.0125,0.000681655,0.00019455,3.1e-06,136314880.0,1090519040.0,8192,2,68157440.0,65536,133120,133120,4096,4,2048,2,198656,"R*hidden_dim*dtype + FP32(m,l,z) online-softmax state","[1, 1, 1, 1]","[1073741824.0, 1073741824.0, 1073741824.0, 1073741824.0]",8,256,tree,serpentine,4,True,not_modeled_for_performance,8,256
KVRing-v2-query-tiled-parallel,32768,4294967296,8,256,8,ring_reduce,4563402752.0,570425344.0,1099511627776,268435456,440926208.0,3787456512.0,151519232.0,34431422.836363636,0.001515474,0.00644765,0.00644765,0.0062531,0.0062531,0.0062531,0.0062531,2.4707e-05,0.0062531,0.001515474,0.00644765,4.25,0.53125,1056.125,0.41064453125,0.003444671630859375,0.14111328125,4.400609080841639,"(0,0)->(1,0)",1.0,,,,,,,134217728.0,,0.001174546,0.00625,0.000340928,0.00019455,3.1e-06,306708480.0,1908408320.0,14336,8,34078720.0,65536,133120,133120,4096,4,2048,2,198656,"R*hidden_dim*dtype + FP32(m,l,z) online-softmax state","[1, 1, 1, 1, 1, 1, 1, 1]","[536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0]",8,256,ring,serpentine,8,False,not_modeled_for_performance,8,256
KVRing-v2-query-tiled-parallel,32768,4294967296,8,256,8,binary_tree_reduce,4563402752.0,570425344.0,1099511627776,268435456,406847488.0,3514826752.0,117440512.0,31952970.472727273,0.002196988,0.00644765,0.00644765,0.0062531,0.0062531,0.0062531,0.0062531,2.4647e-05,0.0062531,0.002196988,0.00644765,4.25,0.53125,1056.125,0.37890625,0.00319671630859375,0.109375,3.675417661097852,"(0,0)->(1,0)",1.0,,,,,,,134217728.0,,0.001174546,0.00625,0.001022442,0.00019455,3.1e-06,272629760.0,1635778560.0,12288,3,102236160.0,65536,133120,133120,4096,4,2048,2,198656,"R*hidden_dim*dtype + FP32(m,l,z) online-softmax state","[1, 1, 1, 1, 1, 1, 1, 1]","[536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0]",8,256,tree,serpentine,8,False,not_modeled_for_performance,8,256
KVRing-v2-query-tiled-parallel,32768,4294967296,8,256,16,ring_reduce,4563402752.0,301989888.0,1099511627776,268435456,847773696.0,8933867520.0,285736960.0,40424739.90950226,0.002857591,0.00332265,0.00332265,0.0031281,0.0031281,0.0031281,0.0031281,1.244e-05,0.0031281,0.002857591,0.00332265,4.25,0.28125,1056.125,0.78955078125,0.00812530517578125,0.26611328125,7.068368544600939,"(0,0)->(1,0)",1.0,,,,,,,268435456.0,,0.002516723,0.003125,0.000340868,0.00019455,3.1e-06,579338240.0,4907335680.0,36864,16,34078720.0,65536,133120,133120,4096,4,2048,2,198656,"R*hidden_dim*dtype + FP32(m,l,z) online-softmax state","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0]",8,256,ring,serpentine,16,False,not_modeled_for_performance,8,256
KVRing-v2-query-tiled-parallel,32768,4294967296,8,256,16,binary_tree_reduce,4563402752.0,301989888.0,1099511627776,268435456,813694976.0,8115978240.0,251658240.0,38832431.77033493,0.003879952,0.00332265,0.00332265,0.0031281,0.0031281,0.0031281,0.0031281,1.244e-05,0.0031281,0.003879952,0.00332265,4.25,0.28125,1056.125,0.7578125,0.007381439208984375,0.234375,6.48062015503876,"(0,0)->(1,0)",1.0,,,,,,,268435456.0,,0.002516723,0.003125,0.001363229,0.00019455,3.1e-06,545259520.0,4089446400.0,30720,4,136314880.0,65536,133120,133120,4096,4,2048,2,198656,"R*hidden_dim*dtype + FP32(m,l,z) online-softmax state","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0]",8,256,tree,serpentine,16,False,not_modeled_for_performance,8,256
