mode,old_mode_alias,shared_prefix_tokens,shared_kv_bytes,num_agents,decode_tokens_per_agent,ring_shards,reduction_topology,sram_total_bytes,sram_peak_region_bytes,local_sram_read_bytes,private_kv_write_bytes,payload_bytes,total_wire_bytes,max_directed_link_load_bytes,mean_active_link_load_bytes,network_latency_s,compute_latency_s,sram_latency_s,serialized_latency_s,throughput_bound_latency_s,critical_path_latency_s,estimated_attention_stage_latency_s,attention_stage_latency_s,estimated_end_to_end_proxy_latency_s,metric_warning,estimated_latency_s,mesh_time_s,compute_time_s,total_sram_gib,peak_region_sram_gib,sram_port_gib,payload_gib,wire_traffic_tib,max_link_load_gib,hotspot_ratio,max_directed_link,local_sram_read_tib,setup_replication_payload_gib,setup_replication_wire_tib,steady_state_local_decode_read_gib,central_sram_read_bytes,central_query_payload_bytes,central_result_payload_bytes,central_compute_proxy_bytes,central_router_in_bytes,central_router_out_bytes,central_max_link_load_bytes,central_hotspot_ratio,central_compute_bytes_or_ops,central_region_queue_time_s,attention_stage_proxy_latency_s,query_bytes_sent,partial_bytes_returned,query_scatter_latency_s,local_shard_compute_latency_s,reduction_latency_s,local_suffix_latency_s,merge_latency_s,central_query_mesh_latency_s,central_sram_read_latency_s,central_compute_latency_s,central_return_mesh_latency_s,central_queue_latency_s,reduction_bytes,reduction_wire_bytes,reduction_byte_hops,query_scatter_byte_hops,partial_reduce_byte_hops,result_return_byte_hops,reduction_hops,reduction_edges,num_reduction_steps,setup_cycles,steady_state_cycles,max_reduction_link_load_bytes,query_tile_bytes,partial_state_bytes,online_state_bytes,state_vector_dim,state_dtype_bytes,scalar_state_bytes,query_dtype_bytes,packet_bytes,packet_model,actual_query_tile_sizes,requested_query_tile_size,logical_decode_queries,query_tiles,query_tile_payload_bytes_per_step,partial_state_payload_bytes_per_step,shard_group_size,placement_unit,regions_per_shard,shard_bytes,shard_region_bytes,shard_bytes_per_region,query_tile_size,num_query_tiles_total,reduction,placement,num_shards,region_capacity_violation,valid_capacity,capacity_valid,capacity_violation_reason,vc_model,agents,decode_tokens
KVRing-v2-ring,,32768,4294967296,8,256,8,selected_ring_reduce,4563402752.0,570425344.0,8796093022208,268435456,440926208.0,4197974016.0,70057984.0,15155140.851985559,0.000721853,0.004294968,0.05,0.050919503,0.0500031,2.4716e-05,0.0500031,0.0500031,0.0500031,"This is a shared-prefix attention-stage proxy, not full LLM end-to-end JCT.",0.0500031,0.000721853,0.05019765,4.25,0.53125,8224.125,0.41064453125,0.003818035125732422,0.06524658203125,4.622720744348695,"(0,0)->(1,0)",8.0,,,,,,,,,,,,,,0.0500031,134217728.0,,0.000167923,0.05,0.00055393,0.00019455,3.1e-06,,,,,,306708480.0,2419589120.0,2419589120.0,1778384896.0,2419589120.0,0.0,145408,114,8,150,553780,55377920.0,8192,16640,16640,4096,4,256,2,24832,"R*hidden_dim*dtype + FP32(m,l,z) online-softmax state","[1, 1, 1, 1, 1, 1, 1, 1]",1,2048,2048,65536,133120,"[1, 1, 1, 1, 1, 1, 1, 1]",region_group,"[1, 1, 1, 1, 1, 1, 1, 1]","[536870912, 536870912, 536870912, 536870912, 536870912, 536870912, 536870912, 536870912]","[536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0]","[536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0]",1,2048,selected_ring,serpentine,8,False,True,True,,not_modeled_for_performance,8,256
KVRing-v2-tree,,32768,4294967296,8,256,8,binary_tree_reduce,4563402752.0,570425344.0,8796093022208,268435456,406847488.0,3925344256.0,112721920.0,14170917.891696751,0.001190435,0.004294968,0.05,0.051388085,0.0500031,2.4716e-05,0.0500031,0.0500031,0.0500031,"This is a shared-prefix attention-stage proxy, not full LLM end-to-end JCT.",0.0500031,0.001190435,0.05019765,4.25,0.53125,8224.125,0.37890625,0.003570079803466797,0.10498046875,7.954454387605182,"(0,2)->(0,1)",8.0,,,,,,,,,,,,,,0.0500031,134217728.0,,0.000167923,0.05,0.001022512,0.00019455,3.1e-06,,,,,,272629760.0,2146959360.0,2146959360.0,1778384896.0,2146959360.0,0.0,129024,100,3,150,1022362,102236160.0,8192,16640,16640,4096,4,256,2,24832,"R*hidden_dim*dtype + FP32(m,l,z) online-softmax state","[1, 1, 1, 1, 1, 1, 1, 1]",1,2048,2048,65536,133120,"[1, 1, 1, 1, 1, 1, 1, 1]",region_group,"[1, 1, 1, 1, 1, 1, 1, 1]","[536870912, 536870912, 536870912, 536870912, 536870912, 536870912, 536870912, 536870912]","[536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0]","[536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0]",1,2048,binary_tree,serpentine,8,False,True,True,,not_modeled_for_performance,8,256
Central-KV-Stationary,,32768,4294967296,8,256,,,4563402752.0,4294967296.0,8796093022208,268435456,50855936.0,584843264.0,17039360.0,4873693.866666666,0.000295241,0.034359739,0.4,0.43465498,0.434359739,0.434359899,0.434359739,0.434359739,0.434359739,"This is a shared-prefix attention-stage proxy, not full LLM end-to-end JCT.",0.43465498,0.000295241,0.434359739,4.25,4.0,8192.25,0.04736328125,0.0005319118499755859,0.015869140625,3.4961900493052447,"(7,7)->(8,7)",,,,,8796093022208,16777216,34078720,35184372088832.0,16777216,34078720,17039360.0,3.4961900493052447,35184372088832.0,0.434359739,0.434359739,16777216,34078720,0.000104367,,0.0,0.0,0.0,0.000104367,0.4,0.034359739,0.000190874,0.434359739,,,,,,,,,,,,,8192,16640,,,,,,,"query bytes in, exact FP32 online-softmax state out","[1, 1, 1, 1, 1, 1, 1, 1]",1,2048,2048,65536,133120,"""""",,"""""","""""","""""","""""",1,2048,,,,True,False,False,peak region SRAM 4294967296.0 exceeds capacity 1073741824.0,,8,256
KVRing-v2-ring,,32768,4294967296,8,256,8,selected_ring_reduce,4563402752.0,570425344.0,4398046511104,268435456,440926208.0,4036624384.0,80478208.0,22425691.02222222,0.000847006,0.004294968,0.025,0.026044656,0.0250031,2.4698e-05,0.0250031,0.0250031,0.0250031,"This is a shared-prefix attention-stage proxy, not full LLM end-to-end JCT.",0.0250031,0.000847006,0.02519765,4.25,0.53125,4128.125,0.41064453125,0.00367128849029541,0.074951171875,3.588661233237004,"(0,0)->(1,0)",4.0,,,,,,,,,,,,,,0.0250031,134217728.0,,0.000335685,0.025,0.000511321,0.00019455,3.1e-06,,,,,,306708480.0,2291793920.0,2291793920.0,1744830464.0,2291793920.0,0.0,68864,84,8,140,511181,51118080.0,16384,33280,33280,4096,4,512,2,49664,"R*hidden_dim*dtype + FP32(m,l,z) online-softmax state","[2, 2, 2, 2]",2,2048,1024,65536,133120,"[1, 1, 1, 1, 1, 1, 1, 1]",region_group,"[1, 1, 1, 1, 1, 1, 1, 1]","[536870912, 536870912, 536870912, 536870912, 536870912, 536870912, 536870912, 536870912]","[536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0]","[536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0]",2,1024,selected_ring,serpentine,8,False,True,True,,not_modeled_for_performance,8,256
KVRing-v2-tree,,32768,4294967296,8,256,8,binary_tree_reduce,4563402752.0,570425344.0,4398046511104,268435456,406847488.0,3763994624.0,110624768.0,20911081.244444445,0.001358157,0.004294968,0.025,0.026555807,0.0250031,2.4668e-05,0.0250031,0.0250031,0.0250031,"This is a shared-prefix attention-stage proxy, not full LLM end-to-end JCT.",0.0250031,0.001358157,0.02519765,4.25,0.53125,4128.125,0.37890625,0.003423333168029785,0.10302734375,5.290246195633249,"(0,2)->(0,1)",4.0,,,,,,,,,,,,,,0.0250031,134217728.0,,0.000335685,0.025,0.001022472,0.00019455,3.1e-06,,,,,,272629760.0,2019164160.0,2019164160.0,1744830464.0,2019164160.0,0.0,60672,70,3,110,1022362,102236160.0,16384,33280,33280,4096,4,512,2,49664,"R*hidden_dim*dtype + FP32(m,l,z) online-softmax state","[2, 2, 2, 2]",2,2048,1024,65536,133120,"[1, 1, 1, 1, 1, 1, 1, 1]",region_group,"[1, 1, 1, 1, 1, 1, 1, 1]","[536870912, 536870912, 536870912, 536870912, 536870912, 536870912, 536870912, 536870912]","[536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0]","[536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0]",2,1024,binary_tree,serpentine,8,False,True,True,,not_modeled_for_performance,8,256
Central-KV-Stationary,,32768,4294967296,8,256,,,4563402752.0,4294967296.0,4398046511104,268435456,50855936.0,572129280.0,17039360.0,8413665.88235294,0.000292681,0.034359739,0.2,0.23465242,0.234359739,0.234359889,0.234359739,0.234359739,0.234359739,"This is a shared-prefix attention-stage proxy, not full LLM end-to-end JCT.",0.23465242,0.000292681,0.234359739,4.25,4.0,4096.25,0.04736328125,0.0005203485488891602,0.015869140625,2.025200458190149,"(7,7)->(6,7)",,,,,4398046511104,16777216,34078720,35184372088832.0,16777216,34078720,17039360.0,2.025200458190149,35184372088832.0,0.234359739,0.234359739,16777216,34078720,0.000103087,,0.0,0.0,0.0,0.000103087,0.2,0.034359739,0.000189594,0.234359739,,,,,,,,,,,,,16384,33280,,,,,,,"query bytes in, exact FP32 online-softmax state out","[2, 2, 2, 2]",2,2048,1024,65536,133120,"""""",,"""""","""""","""""","""""",2,1024,,,,True,False,False,peak region SRAM 4294967296.0 exceeds capacity 1073741824.0,,8,256
KVRing-v2-ring,,32768,4294967296,8,256,8,selected_ring_reduce,4563402752.0,570425344.0,3298534883328,268435456,440926208.0,4391829504.0,99418112.0,21319560.699029125,0.001057397,0.004294968,0.01875,0.020005047,0.0187531,2.4719e-05,0.0187531,0.0187531,0.0187531,"This is a shared-prefix attention-stage proxy, not full LLM end-to-end JCT.",0.0187531,0.001057397,0.01894765,4.25,0.53125,3104.125,0.41064453125,0.003994345664978027,0.09259033203125,4.663234548004895,"(0,0)->(1,0)",3.0,,,,,,,,,,,,,,0.0187531,134217728.0,,0.000503467,0.01875,0.00055393,0.00019455,3.1e-06,,,,,,306708480.0,2479226880.0,2479226880.0,1912602624.0,2479226880.0,0.0,56320,84,8,150,553780,55377920.0,24576,49920,49920,4096,4,768,2,74496,"R*hidden_dim*dtype + FP32(m,l,z) online-softmax state","[3, 3, 2]",3,2048,768,65536,133120,"[1, 1, 1, 1, 1, 1, 1, 1]",region_group,"[1, 1, 1, 1, 1, 1, 1, 1]","[536870912, 536870912, 536870912, 536870912, 536870912, 536870912, 536870912, 536870912]","[536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0]","[536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0]",3,768,selected_ring,serpentine,8,False,True,True,,not_modeled_for_performance,8,256
KVRing-v2-tree,,32768,4294967296,8,256,8,binary_tree_reduce,4563402752.0,570425344.0,3298534883328,268435456,406847488.0,4119199744.0,112721920.0,20192155.60784314,0.001525979,0.004294968,0.01875,0.020473629,0.0187531,2.4719e-05,0.0187531,0.0187531,0.0187531,"This is a shared-prefix attention-stage proxy, not full LLM end-to-end JCT.",0.0187531,0.001525979,0.01894765,4.25,0.53125,3104.125,0.37890625,0.0037463903427124023,0.10498046875,5.582460941228879,"(0,2)->(0,1)",3.0,,,,,,,,,,,,,,0.0187531,134217728.0,,0.000503467,0.01875,0.001022512,0.00019455,3.1e-06,,,,,,272629760.0,2206597120.0,2206597120.0,1912602624.0,2206597120.0,0.0,50176,70,3,150,1022362,102236160.0,24576,49920,49920,4096,4,768,2,74496,"R*hidden_dim*dtype + FP32(m,l,z) online-softmax state","[3, 3, 2]",3,2048,768,65536,133120,"[1, 1, 1, 1, 1, 1, 1, 1]",region_group,"[1, 1, 1, 1, 1, 1, 1, 1]","[536870912, 536870912, 536870912, 536870912, 536870912, 536870912, 536870912, 536870912]","[536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0]","[536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0]",3,768,binary_tree,serpentine,8,False,True,True,,not_modeled_for_performance,8,256
Central-KV-Stationary,,32768,4294967296,8,256,,,4563402752.0,4294967296.0,3298534883328,268435456,50855936.0,673841152.0,21299200.0,9909428.705882354,0.000316867,0.034359739,0.15,0.184676606,0.184359739,0.184359899,0.184359739,0.184359739,0.184359739,"This is a shared-prefix attention-stage proxy, not full LLM end-to-end JCT.",0.184676606,0.000316867,0.184359739,4.25,4.0,3072.25,0.04736328125,0.0006128549575805664,0.01983642578125,2.1493872787395447,"(7,7)->(8,7)",,,,,3298534883328,16777216,34078720,35184372088832.0,16777216,34078720,21299200.0,2.1493872787395447,35184372088832.0,0.184359739,0.184359739,16777216,34078720,8.3395e-05,,0.0,0.0,0.0,8.3395e-05,0.15,0.034359739,0.000233472,0.184359739,,,,,,,,,,,,,24576,49920,,,,,,,"query bytes in, exact FP32 online-softmax state out","[3, 3, 2]",3,2048,768,65536,133120,"""""",,"""""","""""","""""","""""",3,768,,,,True,False,False,peak region SRAM 4294967296.0 exceeds capacity 1073741824.0,,8,256
KVRing-v2-ring,,32768,4294967296,8,256,8,selected_ring_reduce,4563402752.0,570425344.0,2199023255552,268435456,440926208.0,3722444800.0,92798976.0,26214400.0,0.000928271,0.004294968,0.0125,0.013625921,0.0125031,2.4701e-05,0.0125031,0.0125031,0.0125031,"This is a shared-prefix attention-stage proxy, not full LLM end-to-end JCT.",0.0125031,0.000928271,0.01269765,4.25,0.53125,2080.125,0.41064453125,0.0033855438232421875,0.08642578125,3.54,"(0,0)->(1,0)",2.0,,,,,,,,,,,,,,0.0125031,134217728.0,,0.000587343,0.0125,0.000340928,0.00019455,3.1e-06,,,,,,306708480.0,2044723200.0,2044723200.0,1677721600.0,2044723200.0,0.0,30720,64,8,140,340788,34078720.0,32768,66560,66560,4096,4,1024,2,99328,"R*hidden_dim*dtype + FP32(m,l,z) online-softmax state","[4, 4]",4,2048,512,65536,133120,"[1, 1, 1, 1, 1, 1, 1, 1]",region_group,"[1, 1, 1, 1, 1, 1, 1, 1]","[536870912, 536870912, 536870912, 536870912, 536870912, 536870912, 536870912, 536870912]","[536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0]","[536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0]",4,512,selected_ring,serpentine,8,False,True,True,,not_modeled_for_performance,8,256
