mode,old_mode_alias,shared_prefix_tokens,shared_kv_bytes,num_agents,decode_tokens_per_agent,ring_shards,reduction_topology,sram_total_bytes,sram_peak_region_bytes,local_sram_read_bytes,private_kv_write_bytes,payload_bytes,total_wire_bytes,max_directed_link_load_bytes,mean_active_link_load_bytes,network_latency_s,compute_latency_s,sram_latency_s,serialized_latency_s,throughput_bound_latency_s,critical_path_latency_s,estimated_attention_stage_latency_s,attention_stage_latency_s,estimated_end_to_end_proxy_latency_s,metric_warning,estimated_latency_s,mesh_time_s,compute_time_s,total_sram_gib,peak_region_sram_gib,sram_port_gib,payload_gib,wire_traffic_tib,max_link_load_gib,hotspot_ratio,max_directed_link,local_sram_read_tib,setup_replication_payload_gib,setup_replication_wire_tib,steady_state_local_decode_read_gib,central_sram_read_bytes,central_query_payload_bytes,central_result_payload_bytes,central_compute_proxy_bytes,central_router_in_bytes,central_router_out_bytes,central_max_link_load_bytes,central_hotspot_ratio,central_compute_bytes_or_ops,central_region_queue_time_s,attention_stage_proxy_latency_s,query_bytes_sent,partial_bytes_returned,query_scatter_latency_s,local_shard_compute_latency_s,reduction_latency_s,local_suffix_latency_s,merge_latency_s,central_query_mesh_latency_s,central_sram_read_latency_s,central_compute_latency_s,central_return_mesh_latency_s,central_queue_latency_s,reduction_bytes,reduction_wire_bytes,reduction_byte_hops,query_scatter_byte_hops,partial_reduce_byte_hops,result_return_byte_hops,reduction_hops,reduction_edges,num_reduction_steps,setup_cycles,steady_state_cycles,max_reduction_link_load_bytes,query_tile_bytes,partial_state_bytes,online_state_bytes,state_vector_dim,state_dtype_bytes,scalar_state_bytes,query_dtype_bytes,packet_bytes,packet_model,actual_query_tile_sizes,requested_query_tile_size,logical_decode_queries,query_tiles,query_tile_payload_bytes_per_step,partial_state_payload_bytes_per_step,shard_group_size,placement_unit,regions_per_shard,shard_bytes,shard_region_bytes,shard_bytes_per_region,query_tile_size,num_query_tiles_total,reduction,placement,num_shards,region_capacity_violation,valid_capacity,capacity_valid,capacity_violation_reason,vc_model,agents,decode_tokens,link_bandwidth_gbps,region_sram_bandwidth_tibps,region_capacity_gib
Replicate-All,,32768,4294967296,8,256,,,34628173824.0,4328521728.0,1099511627776,268435456,34359738368.0,395136991232.0,17179869184.0,6585616520.533334,0.171798772,0.050012208,0.050012208,0.22181098,0.22181098,0.22181098,0.22181098,0.22181098,0.22181098,"This is a shared-prefix attention-stage proxy, not full LLM end-to-end JCT.",0.22181098,0.171798772,0.050012208,32.25,4.03125,1024.25,32.0,0.359375,16.0,2.608695652173913,"(7,7)->(8,7)",,32.0,0.359375,1024.0,,,,,,,,,,,0.22181098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""""",,2048,2048,,,"""""",,"""""","""""","""""","""""",,,,,,True,False,False,peak region SRAM 4328521728.0 exceeds capacity 1073741824.0,,,,,,
Pull-KV-Independent,Single-Home,32768,4294967296,8,256,,,4563402752.0,4294967296.0,8796093022208,268435456,8796126576640.0,101155455631360.0,4398054899712.0,842962130261.3334,43.980569478,0.400012208,0.400012208,44.380581686,44.380581686,44.380581686,44.380581686,44.380581686,44.380581686,"This is a shared-prefix attention-stage proxy, not full LLM end-to-end JCT.",44.380581686,43.980569478,0.400012208,4.25,4.0,8192.25,8192.03125,92.00035095214844,4096.0078125,5.217381353001616,"(7,7)->(8,7)",,,,,8796093022208,,,,,,,,,,44.380581686,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""""",,2048,2048,,,"""""",,"""""","""""","""""","""""",,,,,,True,False,False,peak region SRAM 4294967296.0 exceeds capacity 1073741824.0,,,,,,
Central-KV-Stationary,,32768,4294967296,8,256,,,4563402752.0,4294967296.0,1099511627776,268435456,50855936.0,711983104.0,34078720.0,25427968.0,0.000544401,0.034359739,0.05,0.08490414,0.084359739,0.084359879,0.084359739,0.084359739,0.084359739,"This is a shared-prefix attention-stage proxy, not full LLM end-to-end JCT.",0.08490414,0.000544401,0.084359739,4.25,4.0,1024.25,0.04736328125,0.0006475448608398438,0.03173828125,1.3402061855670102,"(7,7)->(6,7)",,,,,1099511627776,16777216,34078720,35184372088832.0,16777216,34078720,34078720.0,1.3402061855670102,35184372088832.0,0.084359739,0.084359739,16777216,34078720,0.000185693,,0.0,0.0,0.0,0.000185693,0.05,0.034359739,0.000358708,0.084359739,,,,,,,,,,,,,65536,133120,,,,,,,"query bytes in, exact FP32 online-softmax state out",[8],8,2048,256,65536,133120,"""""",,"""""","""""","""""","""""",8,256,,,,True,False,False,peak region SRAM 4294967296.0 exceeds capacity 1073741824.0,,,,,,
Replicate-All,,8192,1073741824,1,64,,,1082130432.0,1082130432.0,68719476736,8388608,1073741824.0,15032385536.0,1073741824.0,1073741824.0,0.010737489,0.003125382,0.003125382,0.013862871,0.013862871,0.013862871,0.013862871,0.013862871,0.013862871,"This is a shared-prefix attention-stage proxy, not full LLM end-to-end JCT.",0.013862871,0.010737489,0.003125382,1.0078125,1.0078125,64.0078125,1.0,0.013671875,1.0,1.0,"(7,7)->(6,7)",,1.0,0.013671875,64.0,,,,,,,,,,,0.013862871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""""",,64,64,,,"""""",,"""""","""""","""""","""""",1,,,,,True,False,False,peak region SRAM 1082130432.0 exceeds capacity 1073741824.0,,1,64,,,
Replicate-All,,8192,1073741824,1,64,,,1082130432.0,1082130432.0,68719476736,8388608,1073741824.0,15032385536.0,1073741824.0,1073741824.0,0.010737489,0.003125382,0.003125382,0.013862871,0.013862871,0.013862871,0.013862871,0.013862871,0.013862871,"This is a shared-prefix attention-stage proxy, not full LLM end-to-end JCT.",0.013862871,0.010737489,0.003125382,1.0078125,1.0078125,64.0078125,1.0,0.013671875,1.0,1.0,"(7,7)->(6,7)",,1.0,0.013671875,64.0,,,,,,,,,,,0.013862871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""""",,64,64,,,"""""",,"""""","""""","""""","""""",2,,,,,True,False,False,peak region SRAM 1082130432.0 exceeds capacity 1073741824.0,,1,64,,,
Replicate-All,,8192,1073741824,1,64,,,1082130432.0,1082130432.0,68719476736,8388608,1073741824.0,15032385536.0,1073741824.0,1073741824.0,0.010737489,0.003125382,0.003125382,0.013862871,0.013862871,0.013862871,0.013862871,0.013862871,0.013862871,"This is a shared-prefix attention-stage proxy, not full LLM end-to-end JCT.",0.013862871,0.010737489,0.003125382,1.0078125,1.0078125,64.0078125,1.0,0.013671875,1.0,1.0,"(7,7)->(6,7)",,1.0,0.013671875,64.0,,,,,,,,,,,0.013862871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""""",,64,64,,,"""""",,"""""","""""","""""","""""",4,,,,,True,False,False,peak region SRAM 1082130432.0 exceeds capacity 1073741824.0,,1,64,,,
Replicate-All,,8192,1073741824,1,64,,,1082130432.0,1082130432.0,68719476736,8388608,1073741824.0,15032385536.0,1073741824.0,1073741824.0,0.010737489,0.003125382,0.003125382,0.013862871,0.013862871,0.013862871,0.013862871,0.013862871,0.013862871,"This is a shared-prefix attention-stage proxy, not full LLM end-to-end JCT.",0.013862871,0.010737489,0.003125382,1.0078125,1.0078125,64.0078125,1.0,0.013671875,1.0,1.0,"(7,7)->(6,7)",,1.0,0.013671875,64.0,,,,,,,,,,,0.013862871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""""",,64,64,,,"""""",,"""""","""""","""""","""""",8,,,,,True,False,False,peak region SRAM 1082130432.0 exceeds capacity 1073741824.0,,1,64,,,
Replicate-All,,8192,1073741824,1,64,,,1082130432.0,1082130432.0,68719476736,8388608,1073741824.0,15032385536.0,1073741824.0,1073741824.0,0.010737489,0.003125382,0.003125382,0.013862871,0.013862871,0.013862871,0.013862871,0.013862871,0.013862871,"This is a shared-prefix attention-stage proxy, not full LLM end-to-end JCT.",0.013862871,0.010737489,0.003125382,1.0078125,1.0078125,64.0078125,1.0,0.013671875,1.0,1.0,"(7,7)->(6,7)",,1.0,0.013671875,64.0,,,,,,,,,,,0.013862871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""""",,64,64,,,"""""",,"""""","""""","""""","""""",16,,,,,True,False,False,peak region SRAM 1082130432.0 exceeds capacity 1073741824.0,,1,64,,,
Replicate-All,,8192,1073741824,1,256,,,1107296256.0,1107296256.0,274877906944,33554432,1073741824.0,15032385536.0,1073741824.0,1073741824.0,0.010737489,0.012501526,0.012501526,0.023239015,0.023239015,0.023239015,0.023239015,0.023239015,0.023239015,"This is a shared-prefix attention-stage proxy, not full LLM end-to-end JCT.",0.023239015,0.010737489,0.012501526,1.03125,1.03125,256.03125,1.0,0.013671875,1.0,1.0,"(7,7)->(6,7)",,1.0,0.013671875,256.0,,,,,,,,,,,0.023239015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""""",,256,256,,,"""""",,"""""","""""","""""","""""",1,,,,,True,False,False,peak region SRAM 1107296256.0 exceeds capacity 1073741824.0,,1,256,,,
Replicate-All,,8192,1073741824,1,256,,,1107296256.0,1107296256.0,274877906944,33554432,1073741824.0,15032385536.0,1073741824.0,1073741824.0,0.010737489,0.012501526,0.012501526,0.023239015,0.023239015,0.023239015,0.023239015,0.023239015,0.023239015,"This is a shared-prefix attention-stage proxy, not full LLM end-to-end JCT.",0.023239015,0.010737489,0.012501526,1.03125,1.03125,256.03125,1.0,0.013671875,1.0,1.0,"(7,7)->(6,7)",,1.0,0.013671875,256.0,,,,,,,,,,,0.023239015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""""",,256,256,,,"""""",,"""""","""""","""""","""""",2,,,,,True,False,False,peak region SRAM 1107296256.0 exceeds capacity 1073741824.0,,1,256,,,
