kv_storage_precision,state_precision,num_shards,query_tile_size,reduction_topology,max_abs_error,mean_abs_error,relative_error,cosine_similarity,nan_or_inf_count,passes_fp32_gate
fp32,fp32,1,1,ring_reduce,2.60770320892334e-08,1.04919308796525e-08,2.0881800295868295e-07,0.9999999229785576,0,True
fp32,fp32,1,1,binary_tree_reduce,2.60770320892334e-08,1.04919308796525e-08,2.0881800295868295e-07,0.9999999229785576,0,True
fp32,fp32,1,2,ring_reduce,1.043081283569336e-07,2.578599378466606e-08,3.193707444681421e-07,0.9999999230283872,0,True
fp32,fp32,1,2,binary_tree_reduce,1.043081283569336e-07,2.578599378466606e-08,3.193707444681421e-07,0.9999999230283872,0,True
fp32,fp32,1,4,ring_reduce,2.086162567138672e-07,2.626711648190394e-08,3.5412288307547357e-07,0.9999999753671311,0,True
fp32,fp32,1,4,binary_tree_reduce,2.086162567138672e-07,2.626711648190394e-08,3.5412288307547357e-07,0.9999999753671311,0,True
fp32,fp32,1,8,ring_reduce,3.8743019104003906e-07,3.0345688628585776e-08,4.808375246319325e-07,1.0000000093823465,0,True
fp32,fp32,1,8,binary_tree_reduce,3.8743019104003906e-07,3.0345688628585776e-08,4.808375246319325e-07,1.0000000093823465,0,True
fp32,fp32,1,16,ring_reduce,1.7881393432617188e-07,2.3959785266924882e-08,3.484950206481207e-07,0.9999999487013503,0,True
fp32,fp32,1,16,binary_tree_reduce,1.7881393432617188e-07,2.3959785266924882e-08,3.484950206481207e-07,0.9999999487013503,0,True
fp32,fp32,2,1,ring_reduce,2.9802322387695312e-08,9.747964213602245e-09,1.708240354336905e-07,0.9999999918235698,0,True
fp32,fp32,2,1,binary_tree_reduce,2.9802322387695312e-08,9.747964213602245e-09,1.708240354336905e-07,0.9999999918235698,0,True
fp32,fp32,2,2,ring_reduce,7.82310962677002e-08,1.775333657860756e-08,2.546628283774986e-07,0.9999999307564827,0,True
fp32,fp32,2,2,binary_tree_reduce,7.82310962677002e-08,1.775333657860756e-08,2.546628283774986e-07,0.9999999307564827,0,True
fp32,fp32,2,4,ring_reduce,8.940696716308594e-08,1.6700141713954508e-08,2.0256704322889322e-07,1.0000000819320622,0,True
fp32,fp32,2,4,binary_tree_reduce,8.940696716308594e-08,1.6700141713954508e-08,2.0256704322889322e-07,1.0000000819320622,0,True
fp32,fp32,2,8,ring_reduce,1.2665987014770508e-07,2.037677404587157e-08,2.576334384816527e-07,1.00000004669043,0,True
fp32,fp32,2,8,binary_tree_reduce,1.2665987014770508e-07,2.037677404587157e-08,2.576334384816527e-07,1.00000004669043,0,True
fp32,fp32,2,16,ring_reduce,1.5273690223693848e-07,2.3152090022904304e-08,3.111570018950376e-07,0.9999999304269506,0,True
fp32,fp32,2,16,binary_tree_reduce,1.5273690223693848e-07,2.3152090022904304e-08,3.111570018950376e-07,0.9999999304269506,0,True
fp32,fp32,4,1,ring_reduce,4.470348358154297e-08,1.2994860298931599e-08,1.6088448731920934e-07,0.9999999466480514,0,True
fp32,fp32,4,1,binary_tree_reduce,4.470348358154297e-08,1.2718373909592628e-08,1.542656005875931e-07,0.9999999466480514,0,True
fp32,fp32,4,2,ring_reduce,1.0058283805847168e-07,1.5410478226840496e-08,2.3270155330887433e-07,1.000000062512451,0,True
fp32,fp32,4,2,binary_tree_reduce,1.0058283805847168e-07,1.588341547176242e-08,2.3802990875030322e-07,1.000000062512451,0,True
fp32,fp32,4,4,ring_reduce,4.842877388000488e-08,1.5254954632837325e-08,2.0605136733160642e-07,0.9999999652234589,0,True
fp32,fp32,4,4,binary_tree_reduce,4.470348358154297e-08,1.5455952961929142e-08,2.046851140771085e-07,0.9999999652234589,0,True
fp32,fp32,4,8,ring_reduce,5.960464477539063e-08,1.4004854165250435e-08,1.8955795181453819e-07,1.000000060419539,0,True
