mode,old_mode_alias,shared_prefix_tokens,shared_kv_bytes,num_agents,decode_tokens_per_agent,ring_shards,reduction_topology,sram_total_bytes,sram_peak_region_bytes,local_sram_read_bytes,private_kv_write_bytes,payload_bytes,total_wire_bytes,max_directed_link_load_bytes,mean_active_link_load_bytes,network_latency_s,compute_latency_s,sram_latency_s,serialized_latency_s,throughput_bound_latency_s,critical_path_latency_s,estimated_attention_stage_latency_s,attention_stage_latency_s,estimated_end_to_end_proxy_latency_s,metric_warning,estimated_latency_s,mesh_time_s,compute_time_s,total_sram_gib,peak_region_sram_gib,sram_port_gib,payload_gib,wire_traffic_tib,max_link_load_gib,hotspot_ratio,max_directed_link,local_sram_read_tib,setup_replication_payload_gib,setup_replication_wire_tib,steady_state_local_decode_read_gib,central_sram_read_bytes,central_query_payload_bytes,central_result_payload_bytes,central_compute_proxy_bytes,central_router_in_bytes,central_router_out_bytes,central_max_link_load_bytes,central_hotspot_ratio,central_compute_bytes_or_ops,central_region_queue_time_s,attention_stage_proxy_latency_s,query_bytes_sent,partial_bytes_returned,query_scatter_latency_s,local_shard_compute_latency_s,reduction_latency_s,local_suffix_latency_s,merge_latency_s,central_query_mesh_latency_s,central_sram_read_latency_s,central_compute_latency_s,central_return_mesh_latency_s,central_queue_latency_s,reduction_bytes,reduction_wire_bytes,reduction_byte_hops,query_scatter_byte_hops,partial_reduce_byte_hops,result_return_byte_hops,reduction_hops,reduction_edges,num_reduction_steps,setup_cycles,steady_state_cycles,max_reduction_link_load_bytes,query_tile_bytes,partial_state_bytes,online_state_bytes,state_vector_dim,state_dtype_bytes,scalar_state_bytes,query_dtype_bytes,packet_bytes,packet_model,actual_query_tile_sizes,requested_query_tile_size,logical_decode_queries,query_tiles,query_tile_payload_bytes_per_step,partial_state_payload_bytes_per_step,shard_group_size,placement_unit,regions_per_shard,shard_bytes,shard_region_bytes,shard_bytes_per_region,query_tile_size,num_query_tiles_total,reduction,placement,num_shards,region_capacity_violation,valid_capacity,capacity_valid,capacity_violation_reason,vc_model,agents,decode_tokens
Central-KV-Stationary,,32768,4294967296,1,256,,,4328521728.0,4294967296.0,1099511627776,33554432,6356992.0,88997888.0,4259840.0,3178496.0,9.9411e-05,0.004294968,0.05,0.054394379,0.054294968,0.054295108,0.054294968,0.054294968,0.054294968,"This is a shared-prefix attention-stage proxy, not full LLM end-to-end JCT.",0.054394379,9.9411e-05,0.054294968,4.03125,4.0,1024.03125,0.00592041015625,8.094310760498047e-05,0.00396728515625,1.3402061855670102,"(7,7)->(6,7)",,,,,1099511627776,2097152,4259840,4398046511104.0,2097152,4259840,4259840.0,1.3402061855670102,4398046511104.0,0.054294968,0.054294968,2097152,4259840,3.8892e-05,,0.0,0.0,0.0,3.8892e-05,0.05,0.004294968,6.0519e-05,0.054294968,,,,,,,,,,,,,8192,16640,,,,,,,"query bytes in, exact FP32 online-softmax state out",[1],8,256,256,8192,16640,"""""",,"""""","""""","""""","""""",8,256,,,,True,False,False,peak region SRAM 4294967296.0 exceeds capacity 1073741824.0,,1,256
KVRing-v2-ring,,32768,4294967296,1,256,8,selected_ring_reduce,4328521728.0,570425344.0,1099511627776,33554432,55115776.0,473432064.0,18939904.0,4303927.8545454545,0.00018968,0.000536871,0.00625,0.006634618,0.006250388,2.4696e-05,0.006250388,0.006250388,0.006250388,"This is a shared-prefix attention-stage proxy, not full LLM end-to-end JCT.",0.006250388,0.00018968,0.006444938,4.03125,0.53125,1028.015625,0.05133056640625,0.0004305839538574219,0.01763916015625,4.400609080841639,"(0,0)->(1,0)",1.0,,,,,,,,,,,,,,0.006250388,16777216.0,,0.000146941,0.00625,4.2739e-05,0.00019455,3.88e-07,,,,,,38338560.0,238551040.0,238551040.0,234881024.0,238551040.0,0.0,14336,56,8,140,42599,4259840.0,8192,16640,16640,4096,4,2048,2,24832,"R*hidden_dim*dtype + FP32(m,l,z) online-softmax state",[1],8,256,256,8192,16640,"[1, 1, 1, 1, 1, 1, 1, 1]",region_group,"[1, 1, 1, 1, 1, 1, 1, 1]","[536870912, 536870912, 536870912, 536870912, 536870912, 536870912, 536870912, 536870912]","[536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0]","[536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0]",8,256,selected_ring,serpentine,8,False,True,True,,not_modeled_for_performance,1,256
KVRing-v2-tree,,32768,4294967296,1,256,8,binary_tree_reduce,4328521728.0,570425344.0,1099511627776,33554432,50855936.0,439353344.0,14680064.0,3994121.309090909,0.000274817,0.000536871,0.00625,0.006719755,0.006250388,2.4636e-05,0.006250388,0.006250388,0.006250388,"This is a shared-prefix attention-stage proxy, not full LLM end-to-end JCT.",0.006250388,0.000274817,0.006444938,4.03125,0.53125,1028.015625,0.04736328125,0.00039958953857421875,0.013671875,3.675417661097852,"(0,0)->(1,0)",1.0,,,,,,,,,,,,,,0.006250388,16777216.0,,0.000146941,0.00625,0.000127876,0.00019455,3.88e-07,,,,,,34078720.0,204472320.0,204472320.0,234881024.0,204472320.0,0.0,12288,40,3,80,127796,12779520.0,8192,16640,16640,4096,4,2048,2,24832,"R*hidden_dim*dtype + FP32(m,l,z) online-softmax state",[1],8,256,256,8192,16640,"[1, 1, 1, 1, 1, 1, 1, 1]",region_group,"[1, 1, 1, 1, 1, 1, 1, 1]","[536870912, 536870912, 536870912, 536870912, 536870912, 536870912, 536870912, 536870912]","[536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0]","[536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0]",8,256,binary_tree,serpentine,8,False,True,True,,not_modeled_for_performance,1,256
Central-KV-Stationary,,32768,4294967296,2,256,,,4362076160.0,4294967296.0,1099511627776,67108864,12713984.0,177995776.0,8519680.0,6356992.0,0.000162981,0.008589935,0.05,0.058752916,0.058589935,0.058590075,0.058589935,0.058589935,0.058589935,"This is a shared-prefix attention-stage proxy, not full LLM end-to-end JCT.",0.058752916,0.000162981,0.058589935,4.0625,4.0,1024.0625,0.0118408203125,0.00016188621520996094,0.0079345703125,1.3402061855670102,"(7,7)->(6,7)",,,,,1099511627776,4194304,8519680,8796093022208.0,4194304,8519680,8519680.0,1.3402061855670102,8796093022208.0,0.058589935,0.058589935,4194304,8519680,5.9864e-05,,0.0,0.0,0.0,5.9864e-05,0.05,0.008589935,0.000103117,0.058589935,,,,,,,,,,,,,16384,33280,,,,,,,"query bytes in, exact FP32 online-softmax state out",[2],8,512,256,16384,33280,"""""",,"""""","""""","""""","""""",8,256,,,,True,False,False,peak region SRAM 4294967296.0 exceeds capacity 1073741824.0,,2,256
KVRing-v2-ring,,32768,4294967296,2,256,8,selected_ring_reduce,4362076160.0,570425344.0,1099511627776,67108864,110231552.0,946864128.0,37879808.0,8607855.709090909,0.000379079,0.001073742,0.00625,0.006824404,0.006250775,2.4698e-05,0.006250775,0.006250775,0.006250775,"This is a shared-prefix attention-stage proxy, not full LLM end-to-end JCT.",0.006250775,0.000379079,0.006445325,4.0625,0.53125,1032.03125,0.1026611328125,0.0008611679077148438,0.0352783203125,4.400609080841639,"(0,0)->(1,0)",1.0,,,,,,,,,,,,,,0.006250775,33554432.0,,0.000293742,0.00625,8.5337e-05,0.00019455,7.75e-07,,,,,,76677120.0,477102080.0,477102080.0,469762048.0,477102080.0,0.0,14336,56,8,140,85197,8519680.0,16384,33280,33280,4096,4,2048,2,49664,"R*hidden_dim*dtype + FP32(m,l,z) online-softmax state",[2],8,512,256,16384,33280,"[1, 1, 1, 1, 1, 1, 1, 1]",region_group,"[1, 1, 1, 1, 1, 1, 1, 1]","[536870912, 536870912, 536870912, 536870912, 536870912, 536870912, 536870912, 536870912]","[536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0]","[536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0]",8,256,selected_ring,serpentine,8,False,True,True,,not_modeled_for_performance,2,256
KVRing-v2-tree,,32768,4294967296,2,256,8,binary_tree_reduce,4362076160.0,570425344.0,1099511627776,67108864,101711872.0,878706688.0,29360128.0,7988242.618181818,0.000549413,0.001073742,0.00625,0.006994738,0.006250775,2.4638e-05,0.006250775,0.006250775,0.006250775,"This is a shared-prefix attention-stage proxy, not full LLM end-to-end JCT.",0.006250775,0.000549413,0.006445325,4.0625,0.53125,1032.03125,0.0947265625,0.0007991790771484375,0.02734375,3.675417661097852,"(0,0)->(1,0)",1.0,,,,,,,,,,,,,,0.006250775,33554432.0,,0.000293742,0.00625,0.000255671,0.00019455,7.75e-07,,,,,,68157440.0,408944640.0,408944640.0,469762048.0,408944640.0,0.0,12288,40,3,80,255591,25559040.0,16384,33280,33280,4096,4,2048,2,49664,"R*hidden_dim*dtype + FP32(m,l,z) online-softmax state",[2],8,512,256,16384,33280,"[1, 1, 1, 1, 1, 1, 1, 1]",region_group,"[1, 1, 1, 1, 1, 1, 1, 1]","[536870912, 536870912, 536870912, 536870912, 536870912, 536870912, 536870912, 536870912]","[536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0]","[536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0]",8,256,binary_tree,serpentine,8,False,True,True,,not_modeled_for_performance,2,256
Central-KV-Stationary,,32768,4294967296,4,256,,,4429185024.0,4294967296.0,1099511627776,134217728,25427968.0,355991552.0,17039360.0,12713984.0,0.000290121,0.01717987,0.05,0.067469991,0.06717987,0.06718001,0.06717987,0.06717987,0.06717987,"This is a shared-prefix attention-stage proxy, not full LLM end-to-end JCT.",0.067469991,0.000290121,0.06717987,4.125,4.0,1024.125,0.023681640625,0.0003237724304199219,0.015869140625,1.3402061855670102,"(7,7)->(6,7)",,,,,1099511627776,8388608,17039360,17592186044416.0,8388608,17039360,17039360.0,1.3402061855670102,17592186044416.0,0.06717987,0.06717987,8388608,17039360,0.000101807,,0.0,0.0,0.0,0.000101807,0.05,0.01717987,0.000188314,0.06717987,,,,,,,,,,,,,32768,66560,,,,,,,"query bytes in, exact FP32 online-softmax state out",[4],8,1024,256,32768,66560,"""""",,"""""","""""","""""","""""",8,256,,,,True,False,False,peak region SRAM 4294967296.0 exceeds capacity 1073741824.0,,4,256
KVRing-v2-ring,,32768,4294967296,4,256,8,selected_ring_reduce,4429185024.0,570425344.0,1099511627776,134217728,220463104.0,1893728256.0,75759616.0,17215711.418181818,0.000757877,0.002147484,0.00625,0.007203977,0.00625155,2.4701e-05,0.00625155,0.00625155,0.00625155,"This is a shared-prefix attention-stage proxy, not full LLM end-to-end JCT.",0.00625155,0.000757877,0.0064461,4.125,0.53125,1040.0625,0.205322265625,0.0017223358154296875,0.070556640625,4.400609080841639,"(0,0)->(1,0)",1.0,,,,,,,,,,,,,,0.00625155,67108864.0,,0.000587343,0.00625,0.000170534,0.00019455,1.55e-06,,,,,,153354240.0,954204160.0,954204160.0,939524096.0,954204160.0,0.0,14336,56,8,140,170394,17039360.0,32768,66560,66560,4096,4,2048,2,99328,"R*hidden_dim*dtype + FP32(m,l,z) online-softmax state",[4],8,1024,256,32768,66560,"[1, 1, 1, 1, 1, 1, 1, 1]",region_group,"[1, 1, 1, 1, 1, 1, 1, 1]","[536870912, 536870912, 536870912, 536870912, 536870912, 536870912, 536870912, 536870912]","[536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0]","[536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0]",8,256,selected_ring,serpentine,8,False,True,True,,not_modeled_for_performance,4,256
KVRing-v2-tree,,32768,4294967296,4,256,8,binary_tree_reduce,4429185024.0,570425344.0,1099511627776,134217728,203423744.0,1757413376.0,58720256.0,15976485.236363636,0.001098604,0.002147484,0.00625,0.007544704,0.00625155,2.4641e-05,0.00625155,0.00625155,0.00625155,"This is a shared-prefix attention-stage proxy, not full LLM end-to-end JCT.",0.00625155,0.001098604,0.0064461,4.125,0.53125,1040.0625,0.189453125,0.001598358154296875,0.0546875,3.675417661097852,"(0,0)->(1,0)",1.0,,,,,,,,,,,,,,0.00625155,67108864.0,,0.000587343,0.00625,0.000511261,0.00019455,1.55e-06,,,,,,136314880.0,817889280.0,817889280.0,939524096.0,817889280.0,0.0,12288,40,3,80,511181,51118080.0,32768,66560,66560,4096,4,2048,2,99328,"R*hidden_dim*dtype + FP32(m,l,z) online-softmax state",[4],8,1024,256,32768,66560,"[1, 1, 1, 1, 1, 1, 1, 1]",region_group,"[1, 1, 1, 1, 1, 1, 1, 1]","[536870912, 536870912, 536870912, 536870912, 536870912, 536870912, 536870912, 536870912]","[536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0]","[536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0]",8,256,binary_tree,serpentine,8,False,True,True,,not_modeled_for_performance,4,256
Central-KV-Stationary,,32768,4294967296,8,256,,,4563402752.0,4294967296.0,1099511627776,268435456,50855936.0,711983104.0,34078720.0,25427968.0,0.000544401,0.034359739,0.05,0.08490414,0.084359739,0.084359879,0.084359739,0.084359739,0.084359739,"This is a shared-prefix attention-stage proxy, not full LLM end-to-end JCT.",0.08490414,0.000544401,0.084359739,4.25,4.0,1024.25,0.04736328125,0.0006475448608398438,0.03173828125,1.3402061855670102,"(7,7)->(6,7)",,,,,1099511627776,16777216,34078720,35184372088832.0,16777216,34078720,34078720.0,1.3402061855670102,35184372088832.0,0.084359739,0.084359739,16777216,34078720,0.000185693,,0.0,0.0,0.0,0.000185693,0.05,0.034359739,0.000358708,0.084359739,,,,,,,,,,,,,65536,133120,,,,,,,"query bytes in, exact FP32 online-softmax state out",[8],8,2048,256,65536,133120,"""""",,"""""","""""","""""","""""",8,256,,,,True,False,False,peak region SRAM 4294967296.0 exceeds capacity 1073741824.0,,8,256
