mode,reduction_topology,latency_bound,latency_s
Central-KV-Stationary,,critical_path,0.084359879
Central-KV-Stationary,,throughput_bound,0.084359739
Central-KV-Stationary,,serialized,0.08490414
Central-KV-Stationary,,conservative_max,0.084359879
KVRing-v2-ring,selected_ring_reduce,critical_path,2.4707e-05
KVRing-v2-ring,selected_ring_reduce,throughput_bound,0.0062531
KVRing-v2-ring,selected_ring_reduce,serialized,0.007963124
KVRing-v2-ring,selected_ring_reduce,conservative_max,0.0062531
KVRing-v2-tree,binary_tree_reduce,critical_path,2.4647e-05
KVRing-v2-tree,binary_tree_reduce,throughput_bound,0.0062531
KVRing-v2-tree,binary_tree_reduce,serialized,0.008644638
KVRing-v2-tree,binary_tree_reduce,conservative_max,0.0062531
KVRing-v3-adaptive,selected_ring_reduce,critical_path,2.4707e-05
KVRing-v3-adaptive,selected_ring_reduce,throughput_bound,0.0062531
KVRing-v3-adaptive,selected_ring_reduce,serialized,0.007963124
KVRing-v3-adaptive,selected_ring_reduce,conservative_max,0.0062531
