mode,edge,bytes,gib
Replicate-All,"(7,7)->(8,7)",17179869184.0,16.0
Replicate-All,"(7,7)->(6,7)",12884901888.0,12.0
Replicate-All,"(6,7)->(5,7)",12884901888.0,12.0
Replicate-All,"(5,7)->(4,7)",12884901888.0,12.0
Replicate-All,"(4,7)->(3,7)",12884901888.0,12.0
Replicate-All,"(3,7)->(2,7)",12884901888.0,12.0
Replicate-All,"(2,7)->(1,7)",12884901888.0,12.0
Replicate-All,"(1,7)->(0,7)",12884901888.0,12.0
Pull-KV-Independent,"(7,7)->(8,7)",4398054899712.0,4096.0078125
Pull-KV-Independent,"(7,7)->(6,7)",3298541174784.0,3072.005859375
Pull-KV-Independent,"(6,7)->(5,7)",3298541174784.0,3072.005859375
Pull-KV-Independent,"(5,7)->(4,7)",3298541174784.0,3072.005859375
Pull-KV-Independent,"(4,7)->(3,7)",3298541174784.0,3072.005859375
Pull-KV-Independent,"(3,7)->(2,7)",3298541174784.0,3072.005859375
Pull-KV-Independent,"(2,7)->(1,7)",3298541174784.0,3072.005859375
Pull-KV-Independent,"(1,7)->(0,7)",3298541174784.0,3072.005859375
Central-KV-Stationary,"(7,7)->(6,7)",34078720.0,0.03173828125
Central-KV-Stationary,"(6,7)->(5,7)",34078720.0,0.03173828125
Central-KV-Stationary,"(5,7)->(4,7)",34078720.0,0.03173828125
Central-KV-Stationary,"(4,7)->(3,7)",34078720.0,0.03173828125
Central-KV-Stationary,"(3,7)->(2,7)",34078720.0,0.03173828125
Central-KV-Stationary,"(2,7)->(1,7)",34078720.0,0.03173828125
Central-KV-Stationary,"(1,7)->(0,7)",34078720.0,0.03173828125
Central-KV-Stationary,"(0,7)->(0,6)",34078720.0,0.03173828125
KVRing-v1-sequential-pipeline,"(0,0)->(0,1)",37748736.0,0.03515625
KVRing-v1-sequential-pipeline,"(0,1)->(0,2)",37748736.0,0.03515625
KVRing-v1-sequential-pipeline,"(0,2)->(0,3)",37748736.0,0.03515625
KVRing-v1-sequential-pipeline,"(0,3)->(0,4)",37748736.0,0.03515625
KVRing-v1-sequential-pipeline,"(0,4)->(0,5)",37748736.0,0.03515625
KVRing-v1-sequential-pipeline,"(0,5)->(0,6)",37748736.0,0.03515625
KVRing-v1-sequential-pipeline,"(0,6)->(0,7)",37748736.0,0.03515625
KVRing-v1-sequential-pipeline,"(0,7)->(0,8)",37748736.0,0.03515625
KVRing-v2-ring,"(0,0)->(1,0)",151519232.0,0.14111328125
KVRing-v2-ring,"(1,0)->(2,0)",151519232.0,0.14111328125
KVRing-v2-ring,"(2,0)->(3,0)",100663296.0,0.09375
KVRing-v2-ring,"(3,0)->(4,0)",100663296.0,0.09375
KVRing-v2-ring,"(4,0)->(5,0)",83886080.0,0.078125
KVRing-v2-ring,"(5,0)->(6,0)",83886080.0,0.078125
KVRing-v2-ring,"(6,0)->(7,0)",67108864.0,0.0625
KVRing-v2-ring,"(7,0)->(8,0)",67108864.0,0.0625
KVRing-v2-tree,"(0,0)->(1,0)",117440512.0,0.109375
KVRing-v2-tree,"(1,0)->(2,0)",117440512.0,0.109375
KVRing-v2-tree,"(0,2)->(0,1)",102236160.0,0.09521484375
KVRing-v2-tree,"(0,1)->(0,0)",102236160.0,0.09521484375
KVRing-v2-tree,"(2,0)->(3,0)",100663296.0,0.09375
KVRing-v2-tree,"(3,0)->(4,0)",100663296.0,0.09375
KVRing-v2-tree,"(4,0)->(5,0)",83886080.0,0.078125
KVRing-v2-tree,"(5,0)->(6,0)",83886080.0,0.078125
KVRing-v2-region-split,"(0,0)->(1,0)",151519232.0,0.14111328125
KVRing-v2-region-split,"(1,0)->(2,0)",151519232.0,0.14111328125
KVRing-v2-region-split,"(2,0)->(3,0)",100663296.0,0.09375
KVRing-v2-region-split,"(3,0)->(4,0)",100663296.0,0.09375
KVRing-v2-region-split,"(4,0)->(5,0)",83886080.0,0.078125
KVRing-v2-region-split,"(5,0)->(6,0)",83886080.0,0.078125
KVRing-v2-region-split,"(6,0)->(7,0)",67108864.0,0.0625
KVRing-v2-region-split,"(7,0)->(8,0)",67108864.0,0.0625
KVRing-v3-adaptive,"(0,0)->(1,0)",151519232.0,0.14111328125
KVRing-v3-adaptive,"(1,0)->(2,0)",151519232.0,0.14111328125
KVRing-v3-adaptive,"(2,0)->(3,0)",100663296.0,0.09375
KVRing-v3-adaptive,"(3,0)->(4,0)",100663296.0,0.09375
KVRing-v3-adaptive,"(4,0)->(5,0)",83886080.0,0.078125
KVRing-v3-adaptive,"(5,0)->(6,0)",83886080.0,0.078125
KVRing-v3-adaptive,"(6,0)->(7,0)",67108864.0,0.0625
KVRing-v3-adaptive,"(7,0)->(8,0)",67108864.0,0.0625
