mode,old_mode_alias,shared_prefix_tokens,shared_kv_bytes,num_agents,decode_tokens_per_agent,ring_shards,reduction_topology,sram_total_bytes,sram_peak_region_bytes,local_sram_read_bytes,private_kv_write_bytes,payload_bytes,total_wire_bytes,max_directed_link_load_bytes,mean_active_link_load_bytes,network_latency_s,compute_latency_s,sram_latency_s,serialized_latency_s,throughput_bound_latency_s,critical_path_latency_s,conservative_max_latency_s,estimated_attention_stage_latency_s,attention_stage_latency_s,estimated_end_to_end_proxy_latency_s,metric_warning,estimated_latency_s,mesh_time_s,compute_time_s,total_sram_gib,peak_region_sram_gib,sram_port_gib,payload_gib,wire_traffic_tib,max_link_load_gib,hotspot_ratio,max_directed_link,local_sram_read_tib,setup_replication_payload_gib,setup_replication_wire_tib,steady_state_local_decode_read_gib,central_sram_read_bytes,central_query_payload_bytes,central_query_wire_bytes,central_result_payload_bytes,central_result_wire_bytes,central_compute_proxy_bytes,central_router_in_bytes,central_router_out_bytes,central_max_link_load_bytes,central_max_directed_link_load_bytes,central_hotspot_ratio,central_bottleneck_component,central_total_latency_s,central_compute_bytes_or_ops,central_region_queue_time_s,attention_stage_proxy_latency_s,query_bytes_sent,partial_bytes_returned,query_scatter_latency_s,local_shard_compute_latency_s,reduction_latency_s,local_suffix_latency_s,merge_latency_s,central_query_mesh_latency_s,central_sram_read_latency_s,central_compute_latency_s,central_return_mesh_latency_s,central_result_mesh_latency_s,central_queue_latency_s,reduction_bytes,reduction_wire_bytes,reduction_byte_hops,query_scatter_byte_hops,partial_reduce_byte_hops,result_return_byte_hops,reduction_hops,reduction_edges,num_reduction_steps,setup_cycles,steady_state_cycles,max_reduction_link_load_bytes,query_tile_bytes,partial_state_bytes,online_state_bytes,state_vector_dim,state_dtype_bytes,scalar_state_bytes,query_dtype_bytes,packet_bytes,packet_model,actual_query_tile_sizes,requested_query_tile_size,logical_decode_queries,query_tiles,query_tile_payload_bytes_per_step,partial_state_payload_bytes_per_step,shard_group_size,placement_unit,regions_per_shard,shard_bytes,shard_region_bytes,shard_bytes_per_region,query_tile_size,num_query_tiles_total,reduction,placement,num_shards,region_capacity_violation,valid_capacity,capacity_valid,region_capacity_bytes,peak_region_sram_bytes,capacity_violation_reason,latency_bound_used,selected_mode,selected_reduction_topology,selected_query_tile_size,selected_num_shards,selection_reason,candidate_count,valid_candidate_count,vc_model,agents,decode_tokens
KVRing-v2-ring,,32768,4294967296,8,256,8,selected_ring_reduce,4563402752.0,570425344.0,1099511627776,268435456,440926208.0,3787456512.0,151519232.0,34431422.836363636,0.001515474,0.004294968,0.00625,0.007963124,0.0062531,2.4707e-05,0.0062531,0.0062531,0.0062531,0.0062531,"This is a shared-prefix attention-stage proxy, not full LLM serving latency.",0.0062531,0.001515474,0.00644765,4.25,0.53125,1056.125,0.41064453125,0.003444671630859375,0.14111328125,4.400609080841639,"(0,0)->(1,0)",1.0,,,,,,,,,,,,,,,,,,,0.0062531,134217728.0,306708480.0,0.001174546,0.00625,0.000340928,0.00019455,3.1e-06,,,,,,,306708480.0,1908408320.0,1908408320.0,1879048192.0,1908408320.0,0.0,14336,56,8,140,340788,34078720.0,65536,133120,133120,4096,4,2048,2,198656,"R*hidden_dim*dtype + FP32(m,l,z) online-softmax state",[8],8,2048,256,65536,133120,"[1, 1, 1, 1, 1, 1, 1, 1]",region_group,"[1, 1, 1, 1, 1, 1, 1, 1]","[536870912, 536870912, 536870912, 536870912, 536870912, 536870912, 536870912, 536870912]","[536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0]","[536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0]",8,256,selected_ring,serpentine,8,False,True,True,1073741824.0,570425344.0,,throughput_bound,,,,,,,,not_modeled_for_performance,8,256
KVRing-v2-tree,,32768,4294967296,8,256,8,binary_tree_reduce,4563402752.0,570425344.0,1099511627776,268435456,406847488.0,3514826752.0,117440512.0,31952970.472727273,0.002196988,0.004294968,0.00625,0.008644638,0.0062531,2.4647e-05,0.0062531,0.0062531,0.0062531,0.0062531,"This is a shared-prefix attention-stage proxy, not full LLM serving latency.",0.0062531,0.002196988,0.00644765,4.25,0.53125,1056.125,0.37890625,0.00319671630859375,0.109375,3.675417661097852,"(0,0)->(1,0)",1.0,,,,,,,,,,,,,,,,,,,0.0062531,134217728.0,272629760.0,0.001174546,0.00625,0.001022442,0.00019455,3.1e-06,,,,,,,272629760.0,1635778560.0,1635778560.0,1879048192.0,1635778560.0,0.0,12288,40,3,80,1022362,102236160.0,65536,133120,133120,4096,4,2048,2,198656,"R*hidden_dim*dtype + FP32(m,l,z) online-softmax state",[8],8,2048,256,65536,133120,"[1, 1, 1, 1, 1, 1, 1, 1]",region_group,"[1, 1, 1, 1, 1, 1, 1, 1]","[536870912, 536870912, 536870912, 536870912, 536870912, 536870912, 536870912, 536870912]","[536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0]","[536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0]",8,256,binary_tree,serpentine,8,False,True,True,1073741824.0,570425344.0,,throughput_bound,,,,,,,,not_modeled_for_performance,8,256
KVRing-v2-region-split,,32768,4294967296,8,256,8,region_split_ring,4563402752.0,570425344.0,1099511627776,268435456,304611328.0,2696937472.0,151519232.0,31359738.046511628,0.001515394,0.004294968,0.00625,0.007963044,0.0062531,2.4627e-05,0.0062531,0.0062531,0.0062531,0.0062531,"This is a shared-prefix attention-stage proxy, not full LLM serving latency.",0.0062531,0.001515394,0.00644765,4.25,0.53125,1056.125,0.28369140625,0.002452850341796875,0.14111328125,4.8316485225505446,"(0,0)->(1,0)",1.0,,,,,,,,,,,,,,,,,,,0.0062531,134217728.0,170393600.0,0.001174546,0.00625,0.000340848,0.00019455,3.1e-06,,,,,,,170393600.0,817889280.0,817889280.0,1879048192.0,817889280.0,0.0,6144,24,8,60,340788,34078720.0,65536,133120,133120,4096,4,2048,2,198656,"R*hidden_dim*dtype + FP32(m,l,z) online-softmax state",[8],8,2048,256,65536,133120,"[1, 1, 1, 1, 1, 1, 1, 1]",region_group,"[1, 1, 1, 1, 1, 1, 1, 1]","[536870912, 536870912, 536870912, 536870912, 536870912, 536870912, 536870912, 536870912]","[536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0]","[536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0]",8,256,region_split_ring,serpentine,8,False,True,True,1073741824.0,570425344.0,,throughput_bound,,,,,,,,not_modeled_for_performance,8,256
KVRing-v2-balanced-tree,,32768,4294967296,8,256,8,balanced_tree_reduce,4563402752.0,570425344.0,1099511627776,268435456,406847488.0,5759303680.0,102236160.0,47994197.333333336,0.001861523,0.004294968,0.00625,0.008309173,0.0062531,2.4727e-05,0.0062531,0.0062531,0.0062531,0.0062531,"This is a shared-prefix attention-stage proxy, not full LLM serving latency.",0.0062531,0.001861523,0.00644765,4.25,0.53125,1056.125,0.37890625,0.005238056182861328,0.09521484375,2.130177514792899,"(0,8)->(0,7)",1.0,,,,,,,,,,,,,,,,,,,0.0062531,134217728.0,272629760.0,0.000839011,0.00625,0.001022512,0.00019455,3.1e-06,,,,,,,272629760.0,3578265600.0,3578265600.0,2181038080.0,3578265600.0,0.0,26880,82,3,150,1022362,102236160.0,65536,133120,133120,4096,4,2048,2,198656,"R*hidden_dim*dtype + FP32(m,l,z) online-softmax state",[8],8,2048,256,65536,133120,"[1, 1, 1, 1, 1, 1, 1, 1]",region_group,"[1, 1, 1, 1, 1, 1, 1, 1]","[536870912, 536870912, 536870912, 536870912, 536870912, 536870912, 536870912, 536870912]","[536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0]","[536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0]",8,256,balanced_tree,balanced_link_load,8,False,True,True,1073741824.0,570425344.0,,throughput_bound,,,,,,,,not_modeled_for_performance,8,256
KVRing-v2-ring,,32768,4294967296,8,256,16,selected_ring_reduce,4563402752.0,301989888.0,1099511627776,268435456,847773696.0,8933867520.0,285736960.0,40424739.90950226,0.002857591,0.002147484,0.003125,0.006180241,0.0031281,1.244e-05,0.0031281,0.0031281,0.0031281,0.0031281,"This is a shared-prefix attention-stage proxy, not full LLM serving latency.",0.0031281,0.002857591,0.00332265,4.25,0.28125,1056.125,0.78955078125,0.00812530517578125,0.26611328125,7.068368544600939,"(0,0)->(1,0)",1.0,,,,,,,,,,,,,,,,,,,0.0031281,268435456.0,579338240.0,0.002516723,0.003125,0.000340868,0.00019455,3.1e-06,,,,,,,579338240.0,4907335680.0,4907335680.0,4026531840.0,4907335680.0,0.0,36864,144,16,80,340788,34078720.0,65536,133120,133120,4096,4,2048,2,198656,"R*hidden_dim*dtype + FP32(m,l,z) online-softmax state",[8],8,2048,256,65536,133120,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",region_group,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456]","[268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0]","[268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0]",8,256,selected_ring,serpentine,16,False,True,True,1073741824.0,301989888.0,,throughput_bound,,,,,,,,not_modeled_for_performance,8,256
KVRing-v2-tree,,32768,4294967296,8,256,16,binary_tree_reduce,4563402752.0,301989888.0,1099511627776,268435456,813694976.0,8115978240.0,251658240.0,38832431.77033493,0.003879952,0.002147484,0.003125,0.007202602,0.0031281,1.244e-05,0.0031281,0.0031281,0.0031281,0.0031281,"This is a shared-prefix attention-stage proxy, not full LLM serving latency.",0.0031281,0.003879952,0.00332265,4.25,0.28125,1056.125,0.7578125,0.007381439208984375,0.234375,6.48062015503876,"(0,0)->(1,0)",1.0,,,,,,,,,,,,,,,,,,,0.0031281,268435456.0,545259520.0,0.002516723,0.003125,0.001363229,0.00019455,3.1e-06,,,,,,,545259520.0,4089446400.0,4089446400.0,4026531840.0,4089446400.0,0.0,30720,102,4,80,1363149,136314880.0,65536,133120,133120,4096,4,2048,2,198656,"R*hidden_dim*dtype + FP32(m,l,z) online-softmax state",[8],8,2048,256,65536,133120,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",region_group,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456]","[268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0]","[268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0]",8,256,binary_tree,serpentine,16,False,True,True,1073741824.0,301989888.0,,throughput_bound,,,,,,,,not_modeled_for_performance,8,256
KVRing-v2-region-split,,32768,4294967296,8,256,16,region_split_ring,4563402752.0,301989888.0,1099511627776,268435456,575143936.0,6957301760.0,285736960.0,37811422.60869565,0.002857591,0.002147484,0.003125,0.006180241,0.0031281,1.244e-05,0.0031281,0.0031281,0.0031281,0.0031281,"This is a shared-prefix attention-stage proxy, not full LLM serving latency.",0.0031281,0.002857591,0.00332265,4.25,0.28125,1056.125,0.53564453125,0.006327629089355469,0.26611328125,7.556895252449134,"(0,0)->(1,0)",1.0,,,,,,,,,,,,,,,,,,,0.0031281,268435456.0,306708480.0,0.002516723,0.003125,0.000340868,0.00019455,3.1e-06,,,,,,,306708480.0,2930769920.0,2930769920.0,4026531840.0,2930769920.0,0.0,22016,86,16,80,340788,34078720.0,65536,133120,133120,4096,4,2048,2,198656,"R*hidden_dim*dtype + FP32(m,l,z) online-softmax state",[8],8,2048,256,65536,133120,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",region_group,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456]","[268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0]","[268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0]",8,256,region_split_ring,serpentine,16,False,True,True,1073741824.0,301989888.0,,throughput_bound,,,,,,,,not_modeled_for_performance,8,256
KVRing-v2-balanced-tree,,32768,4294967296,8,256,16,balanced_tree_reduce,4563402752.0,301989888.0,1099511627776,268435456,813694976.0,8482979840.0,218103808.0,49608069.23976608,0.003203701,0.002147484,0.003125,0.006526351,0.0031281,1.252e-05,0.0031281,0.0031281,0.0031281,0.0031281,"This is a shared-prefix attention-stage proxy, not full LLM serving latency.",0.0031281,0.003203701,0.00332265,4.25,0.28125,1056.125,0.7578125,0.0077152252197265625,0.203125,4.3965389369592085,"(0,0)->(1,0)",1.0,,,,,,,,,,,,,,,,,,,0.0031281,268435456.0,545259520.0,0.002181189,0.003125,0.001022512,0.00019455,3.1e-06,,,,,,,545259520.0,5043650560.0,5043650560.0,3439329280.0,5043650560.0,0.0,37888,116,4,150,1022362,102236160.0,65536,133120,133120,4096,4,2048,2,198656,"R*hidden_dim*dtype + FP32(m,l,z) online-softmax state",[8],8,2048,256,65536,133120,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",region_group,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456]","[268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0]","[268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0]",8,256,balanced_tree,balanced_link_load,16,False,True,True,1073741824.0,301989888.0,,throughput_bound,,,,,,,,not_modeled_for_performance,8,256
KVRing-v2-ring,,32768,4294967296,8,256,32,selected_ring_reduce,4563402752.0,167772160.0,1099511627776,268435456,1661468672.0,15141437440.0,503316480.0,47614583.14465409,0.005374133,0.001073742,0.0015625,0.007134283,0.005036405,6.296e-06,0.005036405,0.005036405,0.005036405,0.005036405,"This is a shared-prefix attention-stage proxy, not full LLM serving latency.",0.005036405,0.005374133,0.00176015,4.25,0.15625,1056.125,1.54736328125,0.01377105712890625,0.46875,10.570637119113574,"(0,0)->(1,0)",1.0,,,,,,,,,,,,,,,,,,,0.005036405,536870912.0,1124597760.0,0.005033305,0.0015625,0.000340828,0.00019455,3.1e-06,,,,,,,1124597760.0,7088373760.0,7088373760.0,8053063680.0,7088373760.0,0.0,53248,208,32,40,340788,34078720.0,65536,133120,133120,4096,4,2048,2,198656,"R*hidden_dim*dtype + FP32(m,l,z) online-softmax state",[8],8,2048,256,65536,133120,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",region_group,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[134217728, 134217728, 134217728, 134217728, 134217728, 134217728, 134217728, 134217728, 134217728, 134217728, 134217728, 134217728, 134217728, 134217728, 134217728, 134217728, 134217728, 134217728, 134217728, 134217728, 134217728, 134217728, 134217728, 134217728, 134217728, 134217728, 134217728, 134217728, 134217728, 134217728, 134217728, 134217728]","[134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0]","[134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0]",8,256,selected_ring,serpentine,32,False,True,True,1073741824.0,167772160.0,,throughput_bound,,,,,,,,not_modeled_for_performance,8,256
KVRing-v2-tree,,32768,4294967296,8,256,32,binary_tree_reduce,4563402752.0,167772160.0,1099511627776,268435456,1627389952.0,15686696960.0,503316480.0,53175243.93220339,0.006737321,0.001073742,0.0015625,0.008497471,0.005036405,6.336e-06,0.005036405,0.005036405,0.005036405,0.005036405,"This is a shared-prefix attention-stage proxy, not full LLM serving latency.",0.005036405,0.006737321,0.00176015,4.25,0.15625,1056.125,1.515625,0.0142669677734375,0.46875,9.46524064171123,"(0,0)->(1,0)",1.0,,,,,,,,,,,,,,,,,,,0.005036405,536870912.0,1090519040.0,0.005033305,0.0015625,0.001704016,0.00019455,3.1e-06,,,,,,,1090519040.0,7633633280.0,7633633280.0,8053063680.0,7633633280.0,0.0,57344,170,5,80,1703936,170393600.0,65536,133120,133120,4096,4,2048,2,198656,"R*hidden_dim*dtype + FP32(m,l,z) online-softmax state",[8],8,2048,256,65536,133120,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",region_group,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[134217728, 134217728, 134217728, 134217728, 134217728, 134217728, 134217728, 134217728, 134217728, 134217728, 134217728, 134217728, 134217728, 134217728, 134217728, 134217728, 134217728, 134217728, 134217728, 134217728, 134217728, 134217728, 134217728, 134217728, 134217728, 134217728, 134217728, 134217728, 134217728, 134217728, 134217728, 134217728]","[134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0]","[134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0]",8,256,binary_tree,serpentine,32,False,True,True,1073741824.0,167772160.0,,throughput_bound,,,,,,,,not_modeled_for_performance,8,256
