mode,old_mode_alias,shared_prefix_tokens,shared_kv_bytes,num_agents,decode_tokens_per_agent,ring_shards,reduction_topology,sram_total_bytes,sram_peak_region_bytes,local_sram_read_bytes,private_kv_write_bytes,payload_bytes,total_wire_bytes,max_directed_link_load_bytes,mean_active_link_load_bytes,network_latency_s,compute_latency_s,sram_latency_s,serialized_latency_s,throughput_bound_latency_s,critical_path_latency_s,conservative_max_latency_s,estimated_attention_stage_latency_s,attention_stage_latency_s,estimated_end_to_end_proxy_latency_s,metric_warning,estimated_latency_s,mesh_time_s,compute_time_s,total_sram_gib,peak_region_sram_gib,sram_port_gib,payload_gib,wire_traffic_tib,max_link_load_gib,hotspot_ratio,max_directed_link,local_sram_read_tib,setup_replication_payload_gib,setup_replication_wire_tib,steady_state_local_decode_read_gib,central_sram_read_bytes,central_query_payload_bytes,central_query_wire_bytes,central_result_payload_bytes,central_result_wire_bytes,central_compute_proxy_bytes,central_router_in_bytes,central_router_out_bytes,central_max_link_load_bytes,central_max_directed_link_load_bytes,central_hotspot_ratio,central_bottleneck_component,central_total_latency_s,central_compute_bytes_or_ops,central_region_queue_time_s,attention_stage_proxy_latency_s,query_bytes_sent,partial_bytes_returned,query_scatter_latency_s,local_shard_compute_latency_s,reduction_latency_s,local_suffix_latency_s,merge_latency_s,central_query_mesh_latency_s,central_sram_read_latency_s,central_compute_latency_s,central_return_mesh_latency_s,central_result_mesh_latency_s,central_queue_latency_s,reduction_bytes,reduction_wire_bytes,reduction_byte_hops,query_scatter_byte_hops,partial_reduce_byte_hops,result_return_byte_hops,reduction_hops,reduction_edges,num_reduction_steps,setup_cycles,steady_state_cycles,max_reduction_link_load_bytes,query_tile_bytes,partial_state_bytes,online_state_bytes,state_vector_dim,state_dtype_bytes,scalar_state_bytes,query_dtype_bytes,packet_bytes,packet_model,actual_query_tile_sizes,requested_query_tile_size,logical_decode_queries,query_tiles,query_tile_payload_bytes_per_step,partial_state_payload_bytes_per_step,shard_group_size,placement_unit,regions_per_shard,shard_bytes,shard_region_bytes,shard_bytes_per_region,query_tile_size,num_query_tiles_total,reduction,placement,num_shards,region_capacity_violation,valid_capacity,capacity_valid,region_capacity_bytes,peak_region_sram_bytes,capacity_violation_reason,latency_bound_used,selected_mode,selected_reduction_topology,selected_query_tile_size,selected_num_shards,selection_reason,candidate_count,valid_candidate_count,vc_model,agents,decode_tokens
Replicate-All,,2048,268435456,8,256,,,2415919104.0,301989888.0,68719476736,268435456,2147483648.0,24696061952.0,1073741824.0,411601032.53333336,0.010737499,0.003137208,0.003137208,0.013874707,0.013874707,0.013874707,0.013874707,0.013874707,0.013874707,0.013874707,"This is a shared-prefix attention-stage proxy, not full LLM serving latency.",0.013874707,0.010737499,0.003137208,2.25,0.28125,64.25,2.0,0.0224609375,1.0,2.608695652173913,"(7,7)->(8,7)",,2.0,0.0224609375,64.0,,,,,,,,,,,,,,,,0.013874707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""""",,2048,2048,,,"""""",,"""""","""""","""""","""""",,,,,,False,True,True,1073741824.0,301989888.0,,throughput_bound,,,,,,,,,8,256
Pull-KV-Independent,Single-Home,2048,268435456,8,256,,,536870912.0,268435456.0,549755813888,268435456,549789368320.0,6322577735680.0,274886295552.0,52688147797.333336,2.748883436,0.025012208,0.025012208,2.773895644,2.773895644,2.773895644,2.773895644,2.773895644,2.773895644,2.773895644,"This is a shared-prefix attention-stage proxy, not full LLM serving latency.",2.773895644,2.748883436,0.025012208,0.5,0.25,512.25,512.03125,5.7503509521484375,256.0078125,5.217232091918643,"(7,7)->(8,7)",,,,,549755813888,,,,,,,,,,,,,,,2.773895644,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""""",,2048,2048,,,"""""",,"""""","""""","""""","""""",,,,,,False,True,True,1073741824.0,268435456.0,,throughput_bound,,,,,,,,,8,256
Central-KV-Stationary,,2048,268435456,8,256,,,536870912.0,268435456.0,68719476736,268435456,50855936.0,711983104.0,34078720.0,25427968.0,0.000544401,0.002147484,0.003125,0.005816885,0.005272484,0.005272624,0.005272624,0.005272484,0.005272484,0.005272484,"This is a shared-prefix attention-stage proxy, not full LLM serving latency.",0.005816885,0.000544401,0.005272484,0.5,0.25,64.25,0.04736328125,0.0006475448608398438,0.03173828125,1.3402061855670102,"(7,7)->(6,7)",,,,,68719476736,16777216,234881024.0,34078720,477102080.0,2199023255552.0,16777216,34078720,34078720.0,34078720.0,1.3402061855670102,queue,0.005272484,2199023255552.0,0.005272484,0.005272484,16777216,34078720,0.000185693,,0.0,0.0,0.0,0.000185693,0.003125,0.002147484,0.000358708,0.000358708,0.005272484,,,,,,,,,,,,,65536,133120,,,,,,,"query bytes in, exact FP32 online-softmax state out",[8],8,2048,256,65536,133120,"""""",,"""""","""""","""""","""""",8,256,,,,False,True,True,1073741824.0,268435456.0,,throughput_bound,,,,,,,,,8,256
KVRing-v1-sequential-pipeline,,2048,268435456,8,256,8,,536870912.0,67108864.0,68719476736.0,268435456,37748736.0,9663676416.0,37748736.0,37748736.0,0.000435391,0.0,0.003137208,0.003572599,0.003137208,1.28e-06,0.003137208,0.003137208,0.003137208,0.003137208,"This is a shared-prefix attention-stage proxy, not full LLM serving latency.",0.003572599,0.000435391,0.003137208,0.5,0.0625,64.25,0.03515625,0.0087890625,0.03515625,1.0,"(0,0)->(0,1)",,,,,,,,,,,,,,,,,,,,0.003137208,,,0.0,,0.000435391,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,legacy fixed whole-query + aggregated online state,"""""",,2048,2048,,,"[1, 1, 1, 1, 1, 1, 1, 1]",,"""""","""""","[33554432.0, 33554432.0, 33554432.0, 33554432.0, 33554432.0, 33554432.0, 33554432.0, 33554432.0]","""""",,,,,,False,True,True,1073741824.0,67108864.0,,throughput_bound,,,,,,,,,8,256
KVRing-v2-ring,,2048,268435456,8,256,8,selected_ring_reduce,536870912.0,67108864.0,68719476736,268435456,440926208.0,3787456512.0,151519232.0,34431422.836363636,0.001515474,0.000268436,0.000390625,0.002103749,0.001177646,1.818e-06,0.001177646,0.001177646,0.001177646,0.001177646,"This is a shared-prefix attention-stage proxy, not full LLM serving latency.",0.001177646,0.001515474,0.000588275,0.5,0.0625,96.125,0.41064453125,0.003444671630859375,0.14111328125,4.400609080841639,"(0,0)->(1,0)",0.0625,,,,,,,,,,,,,,,,,,,0.001177646,134217728.0,306708480.0,0.001174546,0.000390625,0.000340928,0.00019455,3.1e-06,,,,,,,306708480.0,1908408320.0,1908408320.0,1879048192.0,1908408320.0,0.0,14336,56,8,140,340788,34078720.0,65536,133120,133120,4096,4,2048,2,198656,"R*hidden_dim*dtype + FP32(m,l,z) online-softmax state",[8],8,2048,256,65536,133120,"[1, 1, 1, 1, 1, 1, 1, 1]",region_group,"[1, 1, 1, 1, 1, 1, 1, 1]","[33554432, 33554432, 33554432, 33554432, 33554432, 33554432, 33554432, 33554432]","[33554432.0, 33554432.0, 33554432.0, 33554432.0, 33554432.0, 33554432.0, 33554432.0, 33554432.0]","[33554432.0, 33554432.0, 33554432.0, 33554432.0, 33554432.0, 33554432.0, 33554432.0, 33554432.0]",8,256,selected_ring,serpentine,8,False,True,True,1073741824.0,67108864.0,,throughput_bound,,,,,,,,not_modeled_for_performance,8,256
KVRing-v2-tree,,2048,268435456,8,256,8,binary_tree_reduce,536870912.0,67108864.0,68719476736,268435456,406847488.0,3514826752.0,117440512.0,31952970.472727273,0.002196988,0.000268436,0.000390625,0.002785263,0.001177646,1.758e-06,0.001177646,0.001177646,0.001177646,0.001177646,"This is a shared-prefix attention-stage proxy, not full LLM serving latency.",0.001177646,0.002196988,0.000588275,0.5,0.0625,96.125,0.37890625,0.00319671630859375,0.109375,3.675417661097852,"(0,0)->(1,0)",0.0625,,,,,,,,,,,,,,,,,,,0.001177646,134217728.0,272629760.0,0.001174546,0.000390625,0.001022442,0.00019455,3.1e-06,,,,,,,272629760.0,1635778560.0,1635778560.0,1879048192.0,1635778560.0,0.0,12288,40,3,80,1022362,102236160.0,65536,133120,133120,4096,4,2048,2,198656,"R*hidden_dim*dtype + FP32(m,l,z) online-softmax state",[8],8,2048,256,65536,133120,"[1, 1, 1, 1, 1, 1, 1, 1]",region_group,"[1, 1, 1, 1, 1, 1, 1, 1]","[33554432, 33554432, 33554432, 33554432, 33554432, 33554432, 33554432, 33554432]","[33554432.0, 33554432.0, 33554432.0, 33554432.0, 33554432.0, 33554432.0, 33554432.0, 33554432.0]","[33554432.0, 33554432.0, 33554432.0, 33554432.0, 33554432.0, 33554432.0, 33554432.0, 33554432.0]",8,256,binary_tree,serpentine,8,False,True,True,1073741824.0,67108864.0,,throughput_bound,,,,,,,,not_modeled_for_performance,8,256
Replicate-All,,8192,1073741824,8,256,,,8858370048.0,1107296256.0,274877906944,268435456,8589934592.0,98784247808.0,4294967296.0,1646404130.1333334,0.042949753,0.012512208,0.012512208,0.055461961,0.055461961,0.055461961,0.055461961,0.055461961,0.055461961,0.055461961,"This is a shared-prefix attention-stage proxy, not full LLM serving latency.",0.055461961,0.042949753,0.012512208,8.25,1.03125,256.25,8.0,0.08984375,4.0,2.608695652173913,"(7,7)->(8,7)",,8.0,0.08984375,256.0,,,,,,,,,,,,,,,,0.055461961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""""",,2048,2048,,,"""""",,"""""","""""","""""","""""",,,,,,True,False,False,1073741824.0,1107296256.0,peak region SRAM 1107296256.0 exceeds capacity 1073741824.0,throughput_bound,,,,,,,,,8,256
Pull-KV-Independent,Single-Home,8192,1073741824,8,256,,,1342177280.0,1073741824.0,2199023255552,268435456,2199056809984.0,25289153314816.0,1099520016384.0,210742944290.13333,10.995220644,0.100012208,0.100012208,11.095232852,11.095232852,11.095232852,11.095232852,11.095232852,11.095232852,11.095232852,"This is a shared-prefix attention-stage proxy, not full LLM serving latency.",11.095232852,10.995220644,0.100012208,1.25,1.0,2048.25,2048.03125,23.000350952148438,1024.0078125,5.217351499418516,"(7,7)->(8,7)",,,,,2199023255552,,,,,,,,,,,,,,,11.095232852,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""""",,2048,2048,,,"""""",,"""""","""""","""""","""""",,,,,,False,True,True,1073741824.0,1073741824.0,,throughput_bound,,,,,,,,,8,256
Central-KV-Stationary,,8192,1073741824,8,256,,,1342177280.0,1073741824.0,274877906944,268435456,50855936.0,711983104.0,34078720.0,25427968.0,0.000544401,0.008589935,0.0125,0.021634336,0.021089935,0.021090075,0.021090075,0.021089935,0.021089935,0.021089935,"This is a shared-prefix attention-stage proxy, not full LLM serving latency.",0.021634336,0.000544401,0.021089935,1.25,1.0,256.25,0.04736328125,0.0006475448608398438,0.03173828125,1.3402061855670102,"(7,7)->(6,7)",,,,,274877906944,16777216,234881024.0,34078720,477102080.0,8796093022208.0,16777216,34078720,34078720.0,34078720.0,1.3402061855670102,queue,0.021089935,8796093022208.0,0.021089935,0.021089935,16777216,34078720,0.000185693,,0.0,0.0,0.0,0.000185693,0.0125,0.008589935,0.000358708,0.000358708,0.021089935,,,,,,,,,,,,,65536,133120,,,,,,,"query bytes in, exact FP32 online-softmax state out",[8],8,2048,256,65536,133120,"""""",,"""""","""""","""""","""""",8,256,,,,False,True,True,1073741824.0,1073741824.0,,throughput_bound,,,,,,,,,8,256
KVRing-v1-sequential-pipeline,,8192,1073741824,8,256,8,,1342177280.0,167772160.0,274877906944.0,268435456,37748736.0,9663676416.0,37748736.0,37748736.0,0.000435391,0.0,0.012512208,0.012947599,0.012512208,1.28e-06,0.012512208,0.012512208,0.012512208,0.012512208,"This is a shared-prefix attention-stage proxy, not full LLM serving latency.",0.012947599,0.000435391,0.012512208,1.25,0.15625,256.25,0.03515625,0.0087890625,0.03515625,1.0,"(0,0)->(0,1)",,,,,,,,,,,,,,,,,,,,0.012512208,,,0.0,,0.000435391,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,legacy fixed whole-query + aggregated online state,"""""",,2048,2048,,,"[1, 1, 1, 1, 1, 1, 1, 1]",,"""""","""""","[134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0]","""""",,,,,,False,True,True,1073741824.0,167772160.0,,throughput_bound,,,,,,,,,8,256
KVRing-v2-ring,,8192,1073741824,8,256,8,selected_ring_reduce,1342177280.0,167772160.0,274877906944,268435456,440926208.0,3787456512.0,151519232.0,34431422.836363636,0.001515474,0.001073742,0.0015625,0.003275624,0.0015656,6.396e-06,0.0015656,0.0015656,0.0015656,0.0015656,"This is a shared-prefix attention-stage proxy, not full LLM serving latency.",0.0015656,0.001515474,0.00176015,1.25,0.15625,288.125,0.41064453125,0.003444671630859375,0.14111328125,4.400609080841639,"(0,0)->(1,0)",0.25,,,,,,,,,,,,,,,,,,,0.0015656,134217728.0,306708480.0,0.001174546,0.0015625,0.000340928,0.00019455,3.1e-06,,,,,,,306708480.0,1908408320.0,1908408320.0,1879048192.0,1908408320.0,0.0,14336,56,8,140,340788,34078720.0,65536,133120,133120,4096,4,2048,2,198656,"R*hidden_dim*dtype + FP32(m,l,z) online-softmax state",[8],8,2048,256,65536,133120,"[1, 1, 1, 1, 1, 1, 1, 1]",region_group,"[1, 1, 1, 1, 1, 1, 1, 1]","[134217728, 134217728, 134217728, 134217728, 134217728, 134217728, 134217728, 134217728]","[134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0]","[134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0]",8,256,selected_ring,serpentine,8,False,True,True,1073741824.0,167772160.0,,throughput_bound,,,,,,,,not_modeled_for_performance,8,256
KVRing-v2-tree,,8192,1073741824,8,256,8,binary_tree_reduce,1342177280.0,167772160.0,274877906944,268435456,406847488.0,3514826752.0,117440512.0,31952970.472727273,0.002196988,0.001073742,0.0015625,0.003957138,0.0015656,6.336e-06,0.0015656,0.0015656,0.0015656,0.0015656,"This is a shared-prefix attention-stage proxy, not full LLM serving latency.",0.0015656,0.002196988,0.00176015,1.25,0.15625,288.125,0.37890625,0.00319671630859375,0.109375,3.675417661097852,"(0,0)->(1,0)",0.25,,,,,,,,,,,,,,,,,,,0.0015656,134217728.0,272629760.0,0.001174546,0.0015625,0.001022442,0.00019455,3.1e-06,,,,,,,272629760.0,1635778560.0,1635778560.0,1879048192.0,1635778560.0,0.0,12288,40,3,80,1022362,102236160.0,65536,133120,133120,4096,4,2048,2,198656,"R*hidden_dim*dtype + FP32(m,l,z) online-softmax state",[8],8,2048,256,65536,133120,"[1, 1, 1, 1, 1, 1, 1, 1]",region_group,"[1, 1, 1, 1, 1, 1, 1, 1]","[134217728, 134217728, 134217728, 134217728, 134217728, 134217728, 134217728, 134217728]","[134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0]","[134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0, 134217728.0]",8,256,binary_tree,serpentine,8,False,True,True,1073741824.0,167772160.0,,throughput_bound,,,,,,,,not_modeled_for_performance,8,256
Replicate-All,,32768,4294967296,8,256,,,34628173824.0,4328521728.0,1099511627776,268435456,34359738368.0,395136991232.0,17179869184.0,6585616520.533334,0.171798772,0.050012208,0.050012208,0.22181098,0.22181098,0.22181098,0.22181098,0.22181098,0.22181098,0.22181098,"This is a shared-prefix attention-stage proxy, not full LLM serving latency.",0.22181098,0.171798772,0.050012208,32.25,4.03125,1024.25,32.0,0.359375,16.0,2.608695652173913,"(7,7)->(8,7)",,32.0,0.359375,1024.0,,,,,,,,,,,,,,,,0.22181098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""""",,2048,2048,,,"""""",,"""""","""""","""""","""""",,,,,,True,False,False,1073741824.0,4328521728.0,peak region SRAM 4328521728.0 exceeds capacity 1073741824.0,throughput_bound,,,,,,,,,8,256
Pull-KV-Independent,Single-Home,32768,4294967296,8,256,,,4563402752.0,4294967296.0,8796093022208,268435456,8796126576640.0,101155455631360.0,4398054899712.0,842962130261.3334,43.980569478,0.400012208,0.400012208,44.380581686,44.380581686,44.380581686,44.380581686,44.380581686,44.380581686,44.380581686,"This is a shared-prefix attention-stage proxy, not full LLM serving latency.",44.380581686,43.980569478,0.400012208,4.25,4.0,8192.25,8192.03125,92.00035095214844,4096.0078125,5.217381353001616,"(7,7)->(8,7)",,,,,8796093022208,,,,,,,,,,,,,,,44.380581686,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""""",,2048,2048,,,"""""",,"""""","""""","""""","""""",,,,,,True,False,False,1073741824.0,4294967296.0,peak region SRAM 4294967296.0 exceeds capacity 1073741824.0,throughput_bound,,,,,,,,,8,256
Central-KV-Stationary,,32768,4294967296,8,256,,,4563402752.0,4294967296.0,1099511627776,268435456,50855936.0,711983104.0,34078720.0,25427968.0,0.000544401,0.034359739,0.05,0.08490414,0.084359739,0.084359879,0.084359879,0.084359739,0.084359739,0.084359739,"This is a shared-prefix attention-stage proxy, not full LLM serving latency.",0.08490414,0.000544401,0.084359739,4.25,4.0,1024.25,0.04736328125,0.0006475448608398438,0.03173828125,1.3402061855670102,"(7,7)->(6,7)",,,,,1099511627776,16777216,234881024.0,34078720,477102080.0,35184372088832.0,16777216,34078720,34078720.0,34078720.0,1.3402061855670102,queue,0.084359739,35184372088832.0,0.084359739,0.084359739,16777216,34078720,0.000185693,,0.0,0.0,0.0,0.000185693,0.05,0.034359739,0.000358708,0.000358708,0.084359739,,,,,,,,,,,,,65536,133120,,,,,,,"query bytes in, exact FP32 online-softmax state out",[8],8,2048,256,65536,133120,"""""",,"""""","""""","""""","""""",8,256,,,,True,False,False,1073741824.0,4294967296.0,peak region SRAM 4294967296.0 exceeds capacity 1073741824.0,throughput_bound,,,,,,,,,8,256
KVRing-v1-sequential-pipeline,,32768,4294967296,8,256,8,,4563402752.0,570425344.0,1099511627776.0,268435456,37748736.0,9663676416.0,37748736.0,37748736.0,0.000435391,0.0,0.050012208,0.050447599,0.050012208,1.28e-06,0.050012208,0.050012208,0.050012208,0.050012208,"This is a shared-prefix attention-stage proxy, not full LLM serving latency.",0.050447599,0.000435391,0.050012208,4.25,0.53125,1024.25,0.03515625,0.0087890625,0.03515625,1.0,"(0,0)->(0,1)",,,,,,,,,,,,,,,,,,,,0.050012208,,,0.0,,0.000435391,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,legacy fixed whole-query + aggregated online state,"""""",,2048,2048,,,"[1, 1, 1, 1, 1, 1, 1, 1]",,"""""","""""","[536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0]","""""",,,,,,False,True,True,1073741824.0,570425344.0,,throughput_bound,,,,,,,,,8,256
KVRing-v2-ring,,32768,4294967296,8,256,8,selected_ring_reduce,4563402752.0,570425344.0,1099511627776,268435456,440926208.0,3787456512.0,151519232.0,34431422.836363636,0.001515474,0.004294968,0.00625,0.007963124,0.0062531,2.4707e-05,0.0062531,0.0062531,0.0062531,0.0062531,"This is a shared-prefix attention-stage proxy, not full LLM serving latency.",0.0062531,0.001515474,0.00644765,4.25,0.53125,1056.125,0.41064453125,0.003444671630859375,0.14111328125,4.400609080841639,"(0,0)->(1,0)",1.0,,,,,,,,,,,,,,,,,,,0.0062531,134217728.0,306708480.0,0.001174546,0.00625,0.000340928,0.00019455,3.1e-06,,,,,,,306708480.0,1908408320.0,1908408320.0,1879048192.0,1908408320.0,0.0,14336,56,8,140,340788,34078720.0,65536,133120,133120,4096,4,2048,2,198656,"R*hidden_dim*dtype + FP32(m,l,z) online-softmax state",[8],8,2048,256,65536,133120,"[1, 1, 1, 1, 1, 1, 1, 1]",region_group,"[1, 1, 1, 1, 1, 1, 1, 1]","[536870912, 536870912, 536870912, 536870912, 536870912, 536870912, 536870912, 536870912]","[536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0]","[536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0]",8,256,selected_ring,serpentine,8,False,True,True,1073741824.0,570425344.0,,throughput_bound,,,,,,,,not_modeled_for_performance,8,256
KVRing-v2-tree,,32768,4294967296,8,256,8,binary_tree_reduce,4563402752.0,570425344.0,1099511627776,268435456,406847488.0,3514826752.0,117440512.0,31952970.472727273,0.002196988,0.004294968,0.00625,0.008644638,0.0062531,2.4647e-05,0.0062531,0.0062531,0.0062531,0.0062531,"This is a shared-prefix attention-stage proxy, not full LLM serving latency.",0.0062531,0.002196988,0.00644765,4.25,0.53125,1056.125,0.37890625,0.00319671630859375,0.109375,3.675417661097852,"(0,0)->(1,0)",1.0,,,,,,,,,,,,,,,,,,,0.0062531,134217728.0,272629760.0,0.001174546,0.00625,0.001022442,0.00019455,3.1e-06,,,,,,,272629760.0,1635778560.0,1635778560.0,1879048192.0,1635778560.0,0.0,12288,40,3,80,1022362,102236160.0,65536,133120,133120,4096,4,2048,2,198656,"R*hidden_dim*dtype + FP32(m,l,z) online-softmax state",[8],8,2048,256,65536,133120,"[1, 1, 1, 1, 1, 1, 1, 1]",region_group,"[1, 1, 1, 1, 1, 1, 1, 1]","[536870912, 536870912, 536870912, 536870912, 536870912, 536870912, 536870912, 536870912]","[536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0]","[536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0]",8,256,binary_tree,serpentine,8,False,True,True,1073741824.0,570425344.0,,throughput_bound,,,,,,,,not_modeled_for_performance,8,256
Replicate-All,,65536,8589934592,8,256,,,68987912192.0,8623489024.0,2199023255552,268435456,68719476736.0,790273982464.0,34359738368.0,13171233041.066668,0.343597464,0.100012208,0.100012208,0.443609672,0.443609672,0.443609672,0.443609672,0.443609672,0.443609672,0.443609672,"This is a shared-prefix attention-stage proxy, not full LLM serving latency.",0.443609672,0.343597464,0.100012208,64.25,8.03125,2048.25,64.0,0.71875,32.0,2.608695652173913,"(7,7)->(8,7)",,64.0,0.71875,2048.0,,,,,,,,,,,,,,,,0.443609672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""""",,2048,2048,,,"""""",,"""""","""""","""""","""""",,,,,,True,False,False,1073741824.0,8623489024.0,peak region SRAM 8623489024.0 exceeds capacity 1073741824.0,throughput_bound,,,,,,,,,8,256
