mode,old_mode_alias,shared_prefix_tokens,shared_kv_bytes,num_agents,decode_tokens_per_agent,ring_shards,reduction_topology,sram_total_bytes,sram_peak_region_bytes,local_sram_read_bytes,private_kv_write_bytes,payload_bytes,total_wire_bytes,max_directed_link_load_bytes,mean_active_link_load_bytes,network_latency_s,compute_latency_s,sram_latency_s,serialized_latency_s,throughput_bound_latency_s,critical_path_latency_s,estimated_attention_stage_latency_s,attention_stage_latency_s,estimated_end_to_end_proxy_latency_s,metric_warning,estimated_latency_s,mesh_time_s,compute_time_s,total_sram_gib,peak_region_sram_gib,sram_port_gib,payload_gib,wire_traffic_tib,max_link_load_gib,hotspot_ratio,max_directed_link,local_sram_read_tib,setup_replication_payload_gib,setup_replication_wire_tib,steady_state_local_decode_read_gib,central_sram_read_bytes,central_query_payload_bytes,central_result_payload_bytes,central_compute_proxy_bytes,central_router_in_bytes,central_router_out_bytes,central_max_link_load_bytes,central_hotspot_ratio,central_compute_bytes_or_ops,central_region_queue_time_s,attention_stage_proxy_latency_s,query_bytes_sent,partial_bytes_returned,query_scatter_latency_s,local_shard_compute_latency_s,reduction_latency_s,local_suffix_latency_s,merge_latency_s,central_query_mesh_latency_s,central_sram_read_latency_s,central_compute_latency_s,central_return_mesh_latency_s,central_queue_latency_s,reduction_bytes,reduction_wire_bytes,reduction_byte_hops,query_scatter_byte_hops,partial_reduce_byte_hops,result_return_byte_hops,reduction_hops,reduction_edges,num_reduction_steps,setup_cycles,steady_state_cycles,max_reduction_link_load_bytes,query_tile_bytes,partial_state_bytes,online_state_bytes,state_vector_dim,state_dtype_bytes,scalar_state_bytes,query_dtype_bytes,packet_bytes,packet_model,actual_query_tile_sizes,requested_query_tile_size,logical_decode_queries,query_tiles,query_tile_payload_bytes_per_step,partial_state_payload_bytes_per_step,shard_group_size,placement_unit,regions_per_shard,shard_bytes,shard_region_bytes,shard_bytes_per_region,query_tile_size,num_query_tiles_total,reduction,placement,num_shards,region_capacity_violation,valid_capacity,capacity_valid,capacity_violation_reason,vc_model
KVRing-v2-ring,,32768,4294967296,8,256,4,selected_ring_reduce,4563402752.0,4294967296.0,1099511627776,268435456,237502464.0,1416626176.0,67108864.0,50593792.0,0.001012017,0.008589935,0.0125,0.013709667,0.0125031,4.8981e-05,0.0125031,0.0125031,0.0125031,"This is a shared-prefix attention-stage proxy, not full LLM end-to-end JCT.",0.0125031,0.001012017,0.01269765,4.25,4.0,1056.125,0.22119140625,0.0012884140014648438,0.0625,1.3264248704663213,"(0,0)->(1,0)",1.0,,,,,,,,,,,,,,0.0125031,67108864.0,,0.000671159,0.0125,0.000340858,0.00019455,3.1e-06,,,,,,170393600.0,477102080.0,477102080.0,939524096.0,477102080.0,0.0,3584,14,4,70,340788,34078720.0,65536,133120,133120,4096,4,2048,2,198656,"R*hidden_dim*dtype + FP32(m,l,z) online-softmax state",[8],8,2048,256,65536,133120,"[1, 1, 1, 1]",region_group,"[1, 1, 1, 1]","[1073741824, 1073741824, 1073741824, 1073741824]","[1073741824.0, 1073741824.0, 1073741824.0, 1073741824.0]","[1073741824.0, 1073741824.0, 1073741824.0, 1073741824.0]",8,256,ring,central,4,True,False,False,peak region SRAM 4294967296.0 exceeds capacity 1073741824.0,not_modeled_for_performance
KVRing-v2-tree,,32768,4294967296,8,256,4,binary_tree_reduce,4563402752.0,4294967296.0,1099511627776,268435456,203423744.0,1416626176.0,67108864.0,50593792.0,0.001012017,0.008589935,0.0125,0.013709667,0.0125031,4.8981e-05,0.0125031,0.0125031,0.0125031,"This is a shared-prefix attention-stage proxy, not full LLM end-to-end JCT.",0.0125031,0.001012017,0.01269765,4.25,4.0,1056.125,0.189453125,0.0012884140014648438,0.0625,1.3264248704663213,"(0,0)->(1,0)",1.0,,,,,,,,,,,,,,0.0125031,67108864.0,,0.000671159,0.0125,0.000340858,0.00019455,3.1e-06,,,,,,136314880.0,477102080.0,477102080.0,939524096.0,477102080.0,0.0,3584,14,2,70,340788,34078720.0,65536,133120,133120,4096,4,2048,2,198656,"R*hidden_dim*dtype + FP32(m,l,z) online-softmax state",[8],8,2048,256,65536,133120,"[1, 1, 1, 1]",region_group,"[1, 1, 1, 1]","[1073741824, 1073741824, 1073741824, 1073741824]","[1073741824.0, 1073741824.0, 1073741824.0, 1073741824.0]","[1073741824.0, 1073741824.0, 1073741824.0, 1073741824.0]",8,256,tree,central,4,True,False,False,peak region SRAM 4294967296.0 exceeds capacity 1073741824.0,not_modeled_for_performance
KVRing-v2-ring,,32768,4294967296,8,256,4,selected_ring_reduce,4563402752.0,1073741824.0,1099511627776,268435456,237502464.0,2475163648.0,50855936.0,31732867.282051284,0.00084427,0.008589935,0.0125,0.01354192,0.0125031,4.9006e-05,0.0125031,0.0125031,0.0125031,"This is a shared-prefix attention-stage proxy, not full LLM end-to-end JCT.",0.0125031,0.00084427,0.01269765,4.25,1.0,1056.125,0.22119140625,0.002251148223876953,0.04736328125,1.6026265621690319,"(0,2)->(0,3)",1.0,,,,,,,,,,,,,,0.0125031,67108864.0,,0.000503397,0.0125,0.000340873,0.00019455,3.1e-06,,,,,,170393600.0,1669857280.0,1669857280.0,805306368.0,1669857280.0,0.0,12544,49,4,85,340788,34078720.0,65536,133120,133120,4096,4,2048,2,198656,"R*hidden_dim*dtype + FP32(m,l,z) online-softmax state",[8],8,2048,256,65536,133120,"[1, 1, 1, 1]",region_group,"[1, 1, 1, 1]","[1073741824, 1073741824, 1073741824, 1073741824]","[1073741824.0, 1073741824.0, 1073741824.0, 1073741824.0]","[1073741824.0, 1073741824.0, 1073741824.0, 1073741824.0]",8,256,ring,random,4,False,True,True,,not_modeled_for_performance
KVRing-v2-tree,,32768,4294967296,8,256,4,binary_tree_reduce,4563402752.0,1073741824.0,1099511627776,268435456,203423744.0,1929904128.0,50855936.0,30154752.0,0.00084424,0.008589935,0.0125,0.01354189,0.0125031,4.8976e-05,0.0125031,0.0125031,0.0125031,"This is a shared-prefix attention-stage proxy, not full LLM end-to-end JCT.",0.0125031,0.00084424,0.01269765,4.25,1.0,1056.125,0.189453125,0.0017552375793457031,0.04736328125,1.6864982341754957,"(0,6)->(0,7)",1.0,,,,,,,,,,,,,,0.0125031,67108864.0,,0.000503397,0.0125,0.000340843,0.00019455,3.1e-06,,,,,,136314880.0,1124597760.0,1124597760.0,805306368.0,1124597760.0,0.0,8448,33,2,55,340788,34078720.0,65536,133120,133120,4096,4,2048,2,198656,"R*hidden_dim*dtype + FP32(m,l,z) online-softmax state",[8],8,2048,256,65536,133120,"[1, 1, 1, 1]",region_group,"[1, 1, 1, 1]","[1073741824, 1073741824, 1073741824, 1073741824]","[1073741824.0, 1073741824.0, 1073741824.0, 1073741824.0]","[1073741824.0, 1073741824.0, 1073741824.0, 1073741824.0]",8,256,tree,random,4,False,True,True,,not_modeled_for_performance
KVRing-v2-ring,,32768,4294967296,8,256,4,selected_ring_reduce,4563402752.0,1107296256.0,1099511627776,268435456,237502464.0,2441084928.0,84410368.0,35898307.76470588,0.000844345,0.008589935,0.0125,0.013541995,0.0125031,4.9081e-05,0.0125031,0.0125031,0.0125031,"This is a shared-prefix attention-stage proxy, not full LLM end-to-end JCT.",0.0125031,0.000844345,0.01269765,4.25,1.03125,1056.125,0.22119140625,0.00222015380859375,0.07861328125,2.3513745704467355,"(0,0)->(1,0)",1.0,,,,,,,,,,,,,,0.0125031,67108864.0,,0.000503437,0.0125,0.000340908,0.00019455,3.1e-06,,,,,,170393600.0,1635778560.0,1635778560.0,805306368.0,1635778560.0,0.0,12288,48,4,120,340788,34078720.0,65536,133120,133120,4096,4,2048,2,198656,"R*hidden_dim*dtype + FP32(m,l,z) online-softmax state",[8],8,2048,256,65536,133120,"[1, 1, 1, 1]",region_group,"[1, 1, 1, 1]","[1073741824, 1073741824, 1073741824, 1073741824]","[1073741824.0, 1073741824.0, 1073741824.0, 1073741824.0]","[1073741824.0, 1073741824.0, 1073741824.0, 1073741824.0]",8,256,ring,serpentine,4,True,False,False,peak region SRAM 1107296256.0 exceeds capacity 1073741824.0,not_modeled_for_performance
KVRing-v2-tree,,32768,4294967296,8,256,4,binary_tree_reduce,4563402752.0,1107296256.0,1099511627776,268435456,203423744.0,1895825408.0,68157440.0,29622272.0,0.001185092,0.008589935,0.0125,0.013882742,0.0125031,4.9041e-05,0.0125031,0.0125031,0.0125031,"This is a shared-prefix attention-stage proxy, not full LLM end-to-end JCT.",0.0125031,0.001185092,0.01269765,4.25,1.03125,1056.125,0.189453125,0.0017242431640625,0.0634765625,2.3008849557522124,"(0,4)->(0,3)",1.0,,,,,,,,,,,,,,0.0125031,67108864.0,,0.000503437,0.0125,0.000681655,0.00019455,3.1e-06,,,,,,136314880.0,1090519040.0,1090519040.0,805306368.0,1090519040.0,0.0,8192,28,2,80,681575,68157440.0,65536,133120,133120,4096,4,2048,2,198656,"R*hidden_dim*dtype + FP32(m,l,z) online-softmax state",[8],8,2048,256,65536,133120,"[1, 1, 1, 1]",region_group,"[1, 1, 1, 1]","[1073741824, 1073741824, 1073741824, 1073741824]","[1073741824.0, 1073741824.0, 1073741824.0, 1073741824.0]","[1073741824.0, 1073741824.0, 1073741824.0, 1073741824.0]",8,256,tree,serpentine,4,True,False,False,peak region SRAM 1107296256.0 exceeds capacity 1073741824.0,not_modeled_for_performance
KVRing-v2-ring,,32768,4294967296,8,256,4,selected_ring_reduce,4563402752.0,1107296256.0,1099511627776,268435456,237502464.0,305135616.0,84410368.0,50855936.0,0.000844135,0.008589935,0.0125,0.013541785,0.0125031,4.8871e-05,0.0125031,0.0125031,0.0125031,"This is a shared-prefix attention-stage proxy, not full LLM end-to-end JCT.",0.0125031,0.000844135,0.01269765,4.25,1.03125,1056.125,0.22119140625,0.00027751922607421875,0.07861328125,1.6597938144329898,"(0,0)->(0,1)",1.0,,,,,,,,,,,,,,0.0125031,67108864.0,,0.000503332,0.0125,0.000340803,0.00019455,3.1e-06,,,,,,170393600.0,204472320.0,204472320.0,100663296.0,204472320.0,0.0,1536,6,4,15,340788,34078720.0,65536,133120,133120,4096,4,2048,2,198656,"R*hidden_dim*dtype + FP32(m,l,z) online-softmax state",[8],8,2048,256,65536,133120,"[1, 1, 1, 1]",region_group,"[1, 1, 1, 1]","[1073741824, 1073741824, 1073741824, 1073741824]","[1073741824.0, 1073741824.0, 1073741824.0, 1073741824.0]","[1073741824.0, 1073741824.0, 1073741824.0, 1073741824.0]",8,256,ring,stripe,4,True,False,False,peak region SRAM 1107296256.0 exceeds capacity 1073741824.0,not_modeled_for_performance
KVRing-v2-tree,,32768,4294967296,8,256,4,binary_tree_reduce,4563402752.0,1107296256.0,1099511627776,268435456,203423744.0,236978176.0,68157440.0,39496362.666666664,0.001184917,0.008589935,0.0125,0.013882567,0.0125031,4.8866e-05,0.0125031,0.0125031,0.0125031,"This is a shared-prefix attention-stage proxy, not full LLM end-to-end JCT.",0.0125031,0.001184917,0.01269765,4.25,1.03125,1056.125,0.189453125,0.0002155303955078125,0.0634765625,1.7256637168141593,"(0,1)->(0,0)",1.0,,,,,,,,,,,,,,0.0125031,67108864.0,,0.000503332,0.0125,0.000681585,0.00019455,3.1e-06,,,,,,136314880.0,136314880.0,136314880.0,100663296.0,136314880.0,0.0,1024,3,2,10,681575,68157440.0,65536,133120,133120,4096,4,2048,2,198656,"R*hidden_dim*dtype + FP32(m,l,z) online-softmax state",[8],8,2048,256,65536,133120,"[1, 1, 1, 1]",region_group,"[1, 1, 1, 1]","[1073741824, 1073741824, 1073741824, 1073741824]","[1073741824.0, 1073741824.0, 1073741824.0, 1073741824.0]","[1073741824.0, 1073741824.0, 1073741824.0, 1073741824.0]",8,256,tree,stripe,4,True,False,False,peak region SRAM 1107296256.0 exceeds capacity 1073741824.0,not_modeled_for_performance
KVRing-v2-ring,,32768,4294967296,8,256,4,selected_ring_reduce,4563402752.0,1107296256.0,1099511627776,268435456,237502464.0,2441084928.0,84410368.0,35898307.76470588,0.000844345,0.008589935,0.0125,0.013541995,0.0125031,4.9081e-05,0.0125031,0.0125031,0.0125031,"This is a shared-prefix attention-stage proxy, not full LLM end-to-end JCT.",0.0125031,0.000844345,0.01269765,4.25,1.03125,1056.125,0.22119140625,0.00222015380859375,0.07861328125,2.3513745704467355,"(0,0)->(1,0)",1.0,,,,,,,,,,,,,,0.0125031,67108864.0,,0.000503437,0.0125,0.000340908,0.00019455,3.1e-06,,,,,,170393600.0,1635778560.0,1635778560.0,805306368.0,1635778560.0,0.0,12288,48,4,120,340788,34078720.0,65536,133120,133120,4096,4,2048,2,198656,"R*hidden_dim*dtype + FP32(m,l,z) online-softmax state",[8],8,2048,256,65536,133120,"[1, 1, 1, 1]",region_group,"[1, 1, 1, 1]","[1073741824, 1073741824, 1073741824, 1073741824]","[1073741824.0, 1073741824.0, 1073741824.0, 1073741824.0]","[1073741824.0, 1073741824.0, 1073741824.0, 1073741824.0]",8,256,ring,region_split,4,True,False,False,peak region SRAM 1107296256.0 exceeds capacity 1073741824.0,not_modeled_for_performance
KVRing-v2-tree,,32768,4294967296,8,256,4,binary_tree_reduce,4563402752.0,1107296256.0,1099511627776,268435456,203423744.0,1895825408.0,68157440.0,29622272.0,0.001185092,0.008589935,0.0125,0.013882742,0.0125031,4.9041e-05,0.0125031,0.0125031,0.0125031,"This is a shared-prefix attention-stage proxy, not full LLM end-to-end JCT.",0.0125031,0.001185092,0.01269765,4.25,1.03125,1056.125,0.189453125,0.0017242431640625,0.0634765625,2.3008849557522124,"(0,4)->(0,3)",1.0,,,,,,,,,,,,,,0.0125031,67108864.0,,0.000503437,0.0125,0.000681655,0.00019455,3.1e-06,,,,,,136314880.0,1090519040.0,1090519040.0,805306368.0,1090519040.0,0.0,8192,28,2,80,681575,68157440.0,65536,133120,133120,4096,4,2048,2,198656,"R*hidden_dim*dtype + FP32(m,l,z) online-softmax state",[8],8,2048,256,65536,133120,"[1, 1, 1, 1]",region_group,"[1, 1, 1, 1]","[1073741824, 1073741824, 1073741824, 1073741824]","[1073741824.0, 1073741824.0, 1073741824.0, 1073741824.0]","[1073741824.0, 1073741824.0, 1073741824.0, 1073741824.0]",8,256,tree,region_split,4,True,False,False,peak region SRAM 1107296256.0 exceeds capacity 1073741824.0,not_modeled_for_performance
