mode,old_mode_alias,shared_prefix_tokens,shared_kv_bytes,num_agents,decode_tokens_per_agent,ring_shards,reduction_topology,sram_total_bytes,sram_peak_region_bytes,local_sram_read_bytes,private_kv_write_bytes,payload_bytes,total_wire_bytes,max_directed_link_load_bytes,mean_active_link_load_bytes,network_latency_s,compute_latency_s,sram_latency_s,serialized_latency_s,throughput_bound_latency_s,critical_path_latency_s,conservative_max_latency_s,estimated_attention_stage_latency_s,attention_stage_latency_s,estimated_end_to_end_proxy_latency_s,metric_warning,estimated_latency_s,mesh_time_s,compute_time_s,total_sram_gib,peak_region_sram_gib,sram_port_gib,payload_gib,wire_traffic_tib,max_link_load_gib,hotspot_ratio,max_directed_link,local_sram_read_tib,setup_replication_payload_gib,setup_replication_wire_tib,steady_state_local_decode_read_gib,central_sram_read_bytes,central_query_payload_bytes,central_query_wire_bytes,central_result_payload_bytes,central_result_wire_bytes,central_compute_proxy_bytes,central_router_in_bytes,central_router_out_bytes,central_max_link_load_bytes,central_max_directed_link_load_bytes,central_hotspot_ratio,central_bottleneck_component,central_total_latency_s,central_compute_bytes_or_ops,central_region_queue_time_s,attention_stage_proxy_latency_s,query_bytes_sent,partial_bytes_returned,query_scatter_latency_s,local_shard_compute_latency_s,reduction_latency_s,local_suffix_latency_s,merge_latency_s,central_query_mesh_latency_s,central_sram_read_latency_s,central_compute_latency_s,central_return_mesh_latency_s,central_result_mesh_latency_s,central_queue_latency_s,reduction_bytes,reduction_wire_bytes,reduction_byte_hops,query_scatter_byte_hops,partial_reduce_byte_hops,result_return_byte_hops,reduction_hops,reduction_edges,num_reduction_steps,setup_cycles,steady_state_cycles,max_reduction_link_load_bytes,query_tile_bytes,partial_state_bytes,online_state_bytes,state_vector_dim,state_dtype_bytes,scalar_state_bytes,query_dtype_bytes,packet_bytes,packet_model,actual_query_tile_sizes,requested_query_tile_size,logical_decode_queries,query_tiles,query_tile_payload_bytes_per_step,partial_state_payload_bytes_per_step,shard_group_size,placement_unit,regions_per_shard,shard_bytes,shard_region_bytes,shard_bytes_per_region,query_tile_size,num_query_tiles_total,reduction,placement,num_shards,region_capacity_violation,valid_capacity,capacity_valid,region_capacity_bytes,peak_region_sram_bytes,capacity_violation_reason,latency_bound_used,selected_mode,selected_reduction_topology,selected_query_tile_size,selected_num_shards,selection_reason,candidate_count,valid_candidate_count,vc_model,agents,decode_tokens
Central-KV-Stationary,,512,67108864,2,32,8,,75497472.0,67108864.0,4294967296,8388608,1589248.0,23044096.0,1064960.0,451845.01960784313,1.8072e-05,1.6778e-05,0.000195313,0.000230163,0.000212091,0.000212241,0.000212241,0.000212091,0.000212091,0.000212091,"This is a shared-prefix attention-stage proxy, not full LLM serving latency.",0.000230163,1.8072e-05,0.000212091,0.0703125,0.0625,4.0078125,0.0014801025390625,2.095848321914673e-05,0.0009918212890625,2.356914326341984,"(7,7)->(6,7)",,,,,4294967296,524288,7602176.0,1064960,15441920.0,17179869184.0,524288,1064960,1064960.0,1064960.0,2.356914326341984,queue,0.000212091,17179869184.0,0.000212091,0.000212091,524288,1064960,5.022e-06,,0.0,0.0,0.0,5.022e-06,0.000195313,1.6778e-05,1.305e-05,1.305e-05,0.000212091,,,,,,,,,,,,,8192,16640,,,,,,,"query bytes in, exact FP32 online-softmax state out","[1, 1]",1,64,64,16384,33280,"""""",,"""""","""""","""""","""""",1,64,,,8,False,True,True,1073741824.0,67108864.0,,throughput_bound,,,,,,,,,2,32
KVRing-v2-ring,,512,67108864,2,32,8,selected_ring_reduce,75497472.0,12582912.0,4294967296,8388608,13778944.0,128442368.0,2899968.0,679589.2486772487,2.9281e-05,2.098e-06,2.4415e-05,5.675e-05,2.4512e-05,6.63e-07,2.4512e-05,2.4512e-05,2.4512e-05,2.4512e-05,"This is a shared-prefix attention-stage proxy, not full LLM serving latency.",2.4512e-05,2.9281e-05,2.7469e-05,0.0703125,0.01171875,4.12890625,0.0128326416015625,0.0001168176531791687,0.0027008056640625,4.267236430894827,"(0,0)->(1,0)",0.00390625,,,,,,,,,,,,,,,,,,,2.4512e-05,4194304.0,9584640.0,1.8491e-05,2.4415e-05,1.079e-05,2.957e-06,9.7e-08,,,,,,,9584640.0,67624960.0,67624960.0,60817408.0,67624960.0,0.0,4064,71,8,140,10650,1064960.0,8192,16640,16640,4096,4,256,2,24832,"R*hidden_dim*dtype + FP32(m,l,z) online-softmax state","[1, 1]",1,64,64,16384,33280,"[1, 1, 1, 1, 1, 1, 1, 1]",region_group,"[1, 1, 1, 1, 1, 1, 1, 1]","[8388608, 8388608, 8388608, 8388608, 8388608, 8388608, 8388608, 8388608]","[8388608.0, 8388608.0, 8388608.0, 8388608.0, 8388608.0, 8388608.0, 8388608.0, 8388608.0]","[8388608.0, 8388608.0, 8388608.0, 8388608.0, 8388608.0, 8388608.0, 8388608.0, 8388608.0]",1,64,selected_ring,serpentine,8,False,True,True,1073741824.0,12582912.0,,throughput_bound,,,,,,,,not_modeled_for_performance,2,32
KVRing-v2-tree,,512,67108864,2,32,8,binary_tree_reduce,75497472.0,12582912.0,4294967296,8388608,12713984.0,119922688.0,3457024.0,641297.7967914438,5.052e-05,2.098e-06,2.4415e-05,7.7989e-05,3.2126e-05,6.03e-07,3.2126e-05,3.2126e-05,3.2126e-05,3.2126e-05,"This is a shared-prefix attention-stage proxy, not full LLM serving latency.",3.2126e-05,5.052e-05,2.7469e-05,0.0703125,0.01171875,4.12890625,0.0118408203125,0.00010906904935836792,0.0032196044921875,5.390668761527427,"(0,2)->(0,1)",0.00390625,,,,,,,,,,,,,,,,,,,3.2126e-05,4194304.0,8519680.0,1.8491e-05,2.4415e-05,3.2029e-05,2.957e-06,9.7e-08,,,,,,,8519680.0,59105280.0,59105280.0,60817408.0,59105280.0,0.0,3552,55,3,80,31949,3194880.0,8192,16640,16640,4096,4,256,2,24832,"R*hidden_dim*dtype + FP32(m,l,z) online-softmax state","[1, 1]",1,64,64,16384,33280,"[1, 1, 1, 1, 1, 1, 1, 1]",region_group,"[1, 1, 1, 1, 1, 1, 1, 1]","[8388608, 8388608, 8388608, 8388608, 8388608, 8388608, 8388608, 8388608]","[8388608.0, 8388608.0, 8388608.0, 8388608.0, 8388608.0, 8388608.0, 8388608.0, 8388608.0]","[8388608.0, 8388608.0, 8388608.0, 8388608.0, 8388608.0, 8388608.0, 8388608.0, 8388608.0]",1,64,binary_tree,serpentine,8,False,True,True,1073741824.0,12582912.0,,throughput_bound,,,,,,,,not_modeled_for_performance,2,32
KVRing-v2-region-split,,512,67108864,2,32,8,region_split_ring,75497472.0,12582912.0,4294967296,8388608,9519104.0,94363648.0,2367488.0,510073.77297297295,2.3891e-05,2.098e-06,2.4415e-05,5.136e-05,2.4512e-05,5.98e-07,2.4512e-05,2.4512e-05,2.4512e-05,2.4512e-05,"This is a shared-prefix attention-stage proxy, not full LLM serving latency.",2.4512e-05,2.3891e-05,2.7469e-05,0.0703125,0.01171875,4.12890625,0.0088653564453125,8.582323789596558e-05,0.00220489501953125,4.641461932459415,"(0,0)->(1,0)",0.00390625,,,,,,,,,,,,,,,,,,,2.4512e-05,4194304.0,5324800.0,1.8491e-05,2.4415e-05,5.4e-06,2.957e-06,9.7e-08,,,,,,,5324800.0,33546240.0,33546240.0,60817408.0,33546240.0,0.0,2016,63,8,75,5325,532480.0,8192,16640,16640,4096,4,256,2,24832,"R*hidden_dim*dtype + FP32(m,l,z) online-softmax state","[1, 1]",1,64,64,16384,33280,"[1, 1, 1, 1, 1, 1, 1, 1]",region_group,"[1, 1, 1, 1, 1, 1, 1, 1]","[8388608, 8388608, 8388608, 8388608, 8388608, 8388608, 8388608, 8388608]","[8388608.0, 8388608.0, 8388608.0, 8388608.0, 8388608.0, 8388608.0, 8388608.0, 8388608.0]","[8388608.0, 8388608.0, 8388608.0, 8388608.0, 8388608.0, 8388608.0, 8388608.0, 8388608.0]",1,64,region_split_ring,serpentine,8,False,True,True,1073741824.0,12582912.0,,throughput_bound,,,,,,,,not_modeled_for_performance,2,32
KVRing-v3-adaptive,,512,67108864,2,32,8,selected_ring_reduce,75497472.0,12582912.0,4294967296,8388608,13778944.0,128442368.0,2899968.0,679589.2486772487,2.9281e-05,2.098e-06,2.4415e-05,5.675e-05,2.4512e-05,6.63e-07,2.4512e-05,2.4512e-05,2.4512e-05,2.4512e-05,"This is a shared-prefix attention-stage proxy, not full LLM serving latency.",2.4512e-05,2.9281e-05,2.7469e-05,0.0703125,0.01171875,4.12890625,0.0128326416015625,0.0001168176531791687,0.0027008056640625,4.267236430894827,"(0,0)->(1,0)",0.00390625,,,,,,,,,,,,,,,,,,,2.4512e-05,4194304.0,9584640.0,1.8491e-05,2.4415e-05,1.079e-05,2.957e-06,9.7e-08,,,,,,,9584640.0,67624960.0,67624960.0,60817408.0,67624960.0,0.0,4064,71,8,140,10650,1064960.0,8192,16640,16640,4096,4,256,2,24832,"R*hidden_dim*dtype + FP32(m,l,z) online-softmax state","[1, 1]",1,64,64,16384,33280,"[1, 1, 1, 1, 1, 1, 1, 1]",region_group,"[1, 1, 1, 1, 1, 1, 1, 1]","[8388608, 8388608, 8388608, 8388608, 8388608, 8388608, 8388608, 8388608]","[8388608.0, 8388608.0, 8388608.0, 8388608.0, 8388608.0, 8388608.0, 8388608.0, 8388608.0]","[8388608.0, 8388608.0, 8388608.0, 8388608.0, 8388608.0, 8388608.0, 8388608.0, 8388608.0]",1,64,selected_ring,serpentine,8,False,True,True,1073741824.0,12582912.0,,throughput_bound,KVRing-v2-ring,selected_ring_reduce,1,8,selected lowest objective among 5 valid candidates,5,5,not_modeled_for_performance,2,32
Central-KV-Stationary,,512,67108864,2,32,8,,75497472.0,67108864.0,2147483648,8388608,1589248.0,22249472.0,1064960.0,794624.0,2.0373e-05,1.6778e-05,9.7657e-05,0.000134808,0.000114435,0.000114575,0.000114575,0.000114435,0.000114435,0.000114435,"This is a shared-prefix attention-stage proxy, not full LLM serving latency.",0.000134808,2.0373e-05,0.000114435,0.0703125,0.0625,2.0078125,0.0014801025390625,2.0235776901245117e-05,0.0009918212890625,1.3402061855670102,"(7,7)->(6,7)",,,,,2147483648,524288,7340032.0,1064960,14909440.0,17179869184.0,524288,1064960,1064960.0,1064960.0,1.3402061855670102,queue,0.000114435,17179869184.0,0.000114435,0.000114435,524288,1064960,7.483e-06,,0.0,0.0,0.0,7.483e-06,9.7657e-05,1.6778e-05,1.289e-05,1.289e-05,0.000114435,,,,,,,,,,,,,16384,33280,,,,,,,"query bytes in, exact FP32 online-softmax state out",[2],2,64,32,16384,33280,"""""",,"""""","""""","""""","""""",2,32,,,8,False,True,True,1073741824.0,67108864.0,,throughput_bound,,,,,,,,,2,32
KVRing-v2-ring,,512,67108864,2,32,8,selected_ring_reduce,75497472.0,12582912.0,2147483648,8388608,13778944.0,118358016.0,4734976.0,1075981.9636363636,4.7631e-05,2.098e-06,1.2208e-05,6.2893e-05,3.6938e-05,6.65e-07,3.6938e-05,3.6938e-05,3.6938e-05,3.6938e-05,"This is a shared-prefix attention-stage proxy, not full LLM serving latency.",3.6938e-05,4.7631e-05,1.5262e-05,0.0703125,0.01171875,2.12890625,0.0128326416015625,0.00010764598846435547,0.0044097900390625,4.400609080841639,"(0,0)->(1,0)",0.001953125,,,,,,,,,,,,,,,,,,,3.6938e-05,4194304.0,9584640.0,3.6841e-05,1.2208e-05,1.079e-05,2.957e-06,9.7e-08,,,,,,,9584640.0,59637760.0,59637760.0,58720256.0,59637760.0,0.0,1792,56,8,140,10650,1064960.0,16384,33280,33280,4096,4,512,2,49664,"R*hidden_dim*dtype + FP32(m,l,z) online-softmax state",[2],2,64,32,16384,33280,"[1, 1, 1, 1, 1, 1, 1, 1]",region_group,"[1, 1, 1, 1, 1, 1, 1, 1]","[8388608, 8388608, 8388608, 8388608, 8388608, 8388608, 8388608, 8388608]","[8388608.0, 8388608.0, 8388608.0, 8388608.0, 8388608.0, 8388608.0, 8388608.0, 8388608.0]","[8388608.0, 8388608.0, 8388608.0, 8388608.0, 8388608.0, 8388608.0, 8388608.0, 8388608.0]",2,32,selected_ring,serpentine,8,False,True,True,1073741824.0,12582912.0,,throughput_bound,,,,,,,,not_modeled_for_performance,2,32
KVRing-v2-tree,,512,67108864,2,32,8,binary_tree_reduce,75497472.0,12582912.0,2147483648,8388608,12713984.0,109838336.0,3670016.0,998530.3272727273,6.887e-05,2.098e-06,1.2208e-05,8.4132e-05,3.6938e-05,6.05e-07,3.6938e-05,3.6938e-05,3.6938e-05,3.6938e-05,"This is a shared-prefix attention-stage proxy, not full LLM serving latency.",3.6938e-05,6.887e-05,1.5262e-05,0.0703125,0.01171875,2.12890625,0.0118408203125,9.989738464355469e-05,0.00341796875,3.675417661097852,"(0,0)->(1,0)",0.001953125,,,,,,,,,,,,,,,,,,,3.6938e-05,4194304.0,8519680.0,3.6841e-05,1.2208e-05,3.2029e-05,2.957e-06,9.7e-08,,,,,,,8519680.0,51118080.0,51118080.0,58720256.0,51118080.0,0.0,1536,40,3,80,31949,3194880.0,16384,33280,33280,4096,4,512,2,49664,"R*hidden_dim*dtype + FP32(m,l,z) online-softmax state",[2],2,64,32,16384,33280,"[1, 1, 1, 1, 1, 1, 1, 1]",region_group,"[1, 1, 1, 1, 1, 1, 1, 1]","[8388608, 8388608, 8388608, 8388608, 8388608, 8388608, 8388608, 8388608]","[8388608.0, 8388608.0, 8388608.0, 8388608.0, 8388608.0, 8388608.0, 8388608.0, 8388608.0]","[8388608.0, 8388608.0, 8388608.0, 8388608.0, 8388608.0, 8388608.0, 8388608.0, 8388608.0]",2,32,binary_tree,serpentine,8,False,True,True,1073741824.0,12582912.0,,throughput_bound,,,,,,,,not_modeled_for_performance,2,32
KVRing-v2-region-split,,512,67108864,2,32,8,region_split_ring,75497472.0,12582912.0,2147483648,8388608,9519104.0,84279296.0,4734976.0,979991.8139534884,4.7551e-05,2.098e-06,1.2208e-05,6.2813e-05,3.6938e-05,5.85e-07,3.6938e-05,3.6938e-05,3.6938e-05,3.6938e-05,"This is a shared-prefix attention-stage proxy, not full LLM serving latency.",3.6938e-05,4.7551e-05,1.5262e-05,0.0703125,0.01171875,2.12890625,0.0088653564453125,7.665157318115234e-05,0.0044097900390625,4.8316485225505446,"(0,0)->(1,0)",0.001953125,,,,,,,,,,,,,,,,,,,3.6938e-05,4194304.0,5324800.0,3.6841e-05,1.2208e-05,1.071e-05,2.957e-06,9.7e-08,,,,,,,5324800.0,25559040.0,25559040.0,58720256.0,25559040.0,0.0,768,24,8,60,10650,1064960.0,16384,33280,33280,4096,4,512,2,49664,"R*hidden_dim*dtype + FP32(m,l,z) online-softmax state",[2],2,64,32,16384,33280,"[1, 1, 1, 1, 1, 1, 1, 1]",region_group,"[1, 1, 1, 1, 1, 1, 1, 1]","[8388608, 8388608, 8388608, 8388608, 8388608, 8388608, 8388608, 8388608]","[8388608.0, 8388608.0, 8388608.0, 8388608.0, 8388608.0, 8388608.0, 8388608.0, 8388608.0]","[8388608.0, 8388608.0, 8388608.0, 8388608.0, 8388608.0, 8388608.0, 8388608.0, 8388608.0]",2,32,region_split_ring,serpentine,8,False,True,True,1073741824.0,12582912.0,,throughput_bound,,,,,,,,not_modeled_for_performance,2,32
KVRing-v3-adaptive,,512,67108864,2,32,8,selected_ring_reduce,75497472.0,12582912.0,2147483648,8388608,13778944.0,118358016.0,4734976.0,1075981.9636363636,4.7631e-05,2.098e-06,1.2208e-05,6.2893e-05,3.6938e-05,6.65e-07,3.6938e-05,3.6938e-05,3.6938e-05,3.6938e-05,"This is a shared-prefix attention-stage proxy, not full LLM serving latency.",3.6938e-05,4.7631e-05,1.5262e-05,0.0703125,0.01171875,2.12890625,0.0128326416015625,0.00010764598846435547,0.0044097900390625,4.400609080841639,"(0,0)->(1,0)",0.001953125,,,,,,,,,,,,,,,,,,,3.6938e-05,4194304.0,9584640.0,3.6841e-05,1.2208e-05,1.079e-05,2.957e-06,9.7e-08,,,,,,,9584640.0,59637760.0,59637760.0,58720256.0,59637760.0,0.0,1792,56,8,140,10650,1064960.0,16384,33280,33280,4096,4,512,2,49664,"R*hidden_dim*dtype + FP32(m,l,z) online-softmax state",[2],2,64,32,16384,33280,"[1, 1, 1, 1, 1, 1, 1, 1]",region_group,"[1, 1, 1, 1, 1, 1, 1, 1]","[8388608, 8388608, 8388608, 8388608, 8388608, 8388608, 8388608, 8388608]","[8388608.0, 8388608.0, 8388608.0, 8388608.0, 8388608.0, 8388608.0, 8388608.0, 8388608.0]","[8388608.0, 8388608.0, 8388608.0, 8388608.0, 8388608.0, 8388608.0, 8388608.0, 8388608.0]",2,32,selected_ring,serpentine,8,False,True,True,1073741824.0,12582912.0,,throughput_bound,KVRing-v2-ring,selected_ring_reduce,2,8,selected lowest objective among 5 valid candidates,5,5,not_modeled_for_performance,2,32
