reuse_group_size,shared_prefix_tokens,decode_tokens,arrival_rate_jobs_per_s,cross_job_prefix_hit_rate_observed,shared_kv_read_reduction_ratio,waferagent_vs_apc_jct_p99_delta_pct,apc_like_jct_p99_ms,waferagent_jct_p99_ms,regime_label
1,512,32,2.0,0.0,0.09904347826098259,5.0067297376507165,289304.18387216376,1737772.0444916969,traffic_reduction_only
1,512,32,4.0,0.0,0.09904347826098259,4.924155581866228,289304.18387216376,1713882.9957435324,traffic_reduction_only
1,512,32,8.0,0.0,0.09904347826098259,4.925413710062284,289304.1838721637,1714246.977494499,traffic_reduction_only
1,512,32,16.0,0.0,0.09904347826098259,4.925859101873922,289304.1838721637,1714375.831209068,traffic_reduction_only
1,512,128,2.0,0.0,0.09904347826098259,5.0067297376507165,289304.18387216376,1737772.0444916969,traffic_reduction_only
1,512,128,4.0,0.0,0.09904347826098259,4.924155581866228,289304.18387216376,1713882.9957435324,traffic_reduction_only
1,512,128,8.0,0.0,0.09904347826098259,4.925413710062284,289304.1838721637,1714246.977494499,traffic_reduction_only
1,512,128,16.0,0.0,0.09904347826098259,4.925859101873922,289304.1838721637,1714375.831209068,traffic_reduction_only
1,512,512,2.0,0.0,0.09904347826098259,5.0067297376507165,289304.18387216376,1737772.0444916969,traffic_reduction_only
1,512,512,4.0,0.0,0.09904347826098259,4.924155581866228,289304.18387216376,1713882.9957435324,traffic_reduction_only
1,512,512,8.0,0.0,0.09904347826098259,4.925413710062284,289304.1838721637,1714246.977494499,traffic_reduction_only
1,512,512,16.0,0.0,0.09904347826098259,4.925859101873922,289304.1838721637,1714375.831209068,traffic_reduction_only
1,2048,32,2.0,0.0,0.09904829678651206,5.00730712192908,308607.7882593075,1853901.7642929195,traffic_reduction_only
1,2048,32,4.0,0.0,0.09904829678651206,4.924557819904638,308607.7882593075,1828364.6852151547,traffic_reduction_only
1,2048,32,8.0,0.0,0.09904829678651206,4.92569947496563,308607.7882593075,1828717.0088584828,traffic_reduction_only
1,2048,32,16.0,0.0,0.09904829678651206,4.926110458437824,308607.7882593075,1828843.8415588476,traffic_reduction_only
1,2048,128,2.0,0.0,0.09904829678651206,5.00730712192908,308607.7882593075,1853901.7642929195,traffic_reduction_only
1,2048,128,4.0,0.0,0.09904829678651206,4.924557819904638,308607.7882593075,1828364.6852151547,traffic_reduction_only
1,2048,128,8.0,0.0,0.09904829678651206,4.92569947496563,308607.7882593075,1828717.0088584828,traffic_reduction_only
1,2048,128,16.0,0.0,0.09904829678651206,4.926110458437824,308607.7882593075,1828843.8415588476,traffic_reduction_only
1,2048,512,2.0,0.0,0.09904829678651206,5.00730712192908,308607.7882593075,1853901.7642929195,traffic_reduction_only
1,2048,512,4.0,0.0,0.09904829678651206,4.924557819904638,308607.7882593075,1828364.6852151547,traffic_reduction_only
1,2048,512,8.0,0.0,0.09904829678651206,4.92569947496563,308607.7882593075,1828717.0088584828,traffic_reduction_only
1,2048,512,16.0,0.0,0.09904829678651206,4.926110458437824,308607.7882593075,1828843.8415588476,traffic_reduction_only
1,8192,32,2.0,0.0,0.09929679357797538,5.021243317874879,382633.93847408245,2303932.0452292166,traffic_reduction_only
1,8192,32,4.0,0.0,0.09929679357797538,4.964033683856415,382633.93847408245,2282041.6976460707,traffic_reduction_only
1,8192,32,8.0,0.0,0.09979080747637326,4.936095297963035,382633.93847408245,2271351.5230170777,traffic_reduction_only
1,8192,32,16.0,0.0,0.09929679357797538,4.965183212145673,382633.93847408245,2282481.546182777,traffic_reduction_only
