baseline,arrival_rate_jobs_per_s,completed_jobs,jobs_per_s,tokens_per_s,jct_p50_ms,jct_p90_ms,jct_p99_ms,ttft_p50_ms,ttft_p90_ms,ttft_p99_ms,tpot_p50_ms,tpot_p90_ms,tpot_p99_ms,queue_wait_ms,mesh_wait_ms,cross_job_prefix_hit_rate,cross_job_prefix_compute_hits,sram_hit_rate,sram_evictions,sram_reload_bytes,mesh_total_traffic_bytes,mesh_hotspot_ratio,computed_prefill_tokens,avoided_prefill_tokens,compute_energy_j,mesh_energy_j,sram_energy_j,offwafer_energy_j,energy_per_job_j,decode_shared_kv_read_bytes,decode_shared_kv_read_bytes_without_cohort,decode_kv_read_reduction_ratio,shared_attention_cost_model_source,shared_attention_fit_hash,cohort_latency_predicted_ms,cohort_latency_observed_or_fitted_ms,shared_attention_accounting_mode,shared_attention_prediction_stat,cross_region_kv_transfer_bytes,num_decode_cohorts,avg_cohort_size,candidate_cohorts,accepted_cohorts,rejected_wait_cost,rejected_slo_risk,rejected_low_saving,rejected_critical_path,rejected_queue_pressure,rejected_remote_shared_kv,accepted_avg_size,accepted_avg_wait_ms,replica_bytes_total,saved_mesh_traffic_bytes,replication_transfer_bytes,replication_actual_transfer_bytes,shared_prefill_compute_ms_saved,sram_read_bytes,sram_write_bytes,offwafer_reload_bytes,shared_kv_extraction_overhead_ms,placement_planning_overhead_ms,replication_planning_overhead_ms,decode_cohort_planning_overhead_ms,scheduling_loop_overhead_ms,total_runtime_overhead_ms,overhead_per_job_ms,overhead_fraction_of_jct,reuse_group_size,shared_prefix_tokens,decode_tokens,cross_job_prefix_hit_rate_observed
apc_like,2.0,100,0.2944724914007522,45909.43929934288,289304.1838721637,289304.18387216376,289304.18387216376,27522.30413835388,45607.31718067107,48515.05803366733,0.040315029560974144,0.04031502956097576,0.040315029560975824,1211923.2378136956,0.0,0.0,0.0,0.0,0.0,1369020825600.0,5696482276147200.0,1.8871827601710258,4300800.0,10444800.0,2.0233322496,1139.29645522944,0.07247757312,1.52471339008,11.429169784422399,711246584217600.0,711246584217600.0,0.0,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,13606456.393728,0.0,cohort_stage,latency_p50_ms,711246584217600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67298.91839999914,0.0,1449551462400.0,1905891737600.0,144.07753758132458,517.7980232983828,0.11884141713380814,2.5064274668693542,308.6613845080137,1148.0896398425102,11.480896398425102,3.9684515601399746e-05,1,512,32,0.0
pat_like_traffic_only,2.0,100,0.29446884945577123,45908.87150555255,289308.3838721637,289308.3838721638,289308.3838721638,27522.504138353892,45607.71718067107,48517.25803366733,0.040315029560974144,0.04031502956097576,0.040315029560975824,1211923.4230928216,0.0,0.0,0.0,0.0,0.0,1369020825600.0,5696482276147200.0,1.8871827601710258,4300800.0,10444800.0,2.0233322496,1139.29645522944,0.07247757312,1.52471339008,11.429169784422399,711246584217600.0,711246584217600.0,0.0,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,13606456.393728,0.0,cohort_stage,latency_p50_ms,711246584217600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67298.91839999914,0.0,1449551462400.0,1905891737600.0,145.03055810928345,574.1881346330047,0.11343136429786682,182.3627520352602,492.0206665992737,1395.0999937951565,13.950999937951565,4.822189993676808e-05,1,512,32,0.0
waferagent_latency_safe,2.0,100,0.057447631772864625,8956.315583916687,1708992.1264837992,1734410.3960637762,1737772.0444916969,10.92345534698535,10.923455346986884,10.923455346986884,0.04030731505519663,0.040307315055198356,0.040307315055198356,4976198.187961314,5477084.267556343,0.0,0.0,0.0,0.0,2494839128064.0,301484026912768.0,1.407252855026636,4300800.0,10444800.0,2.0233322496,60.2968053825536,4.8378296873739,2.7685359190016,0.699265032385291,640802248615446.0,711246584217600.0,0.09904347826098259,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,31.39459294080734,0.0,cohort_stage,latency_p50_ms,640802248615446.0,201.0,2.0,201.0,201.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,67298.91839999976,95307042285078.0,1449551462400.0,3460669898752.0,146.93182334303856,451.26377791166306,0.12473203241825104,88.76779023557901,429.89606969058514,1207.1074731647968,12.071074731647968,7.2111842161674694e-06,1,512,32,0.0
apc_like,4.0,100,0.31801837503926467,49580.336742121515,289304.1838721637,289304.1838721637,289304.18387216376,28568.72002659223,40214.47375594888,42330.61330208913,0.040315029560973284,0.04031502956097578,0.04031502956097673,1206498.0470193133,0.0,0.0,0.0,0.0,0.0,1369020825600.0,5696482276147200.0,1.8871827601710258,4300800.0,10444800.0,2.0233322496,1139.29645522944,0.07247757312,1.52471339008,11.429169784422399,711246584217600.0,711246584217600.0,0.0,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,13606456.393728,0.0,cohort_stage,latency_p50_ms,711246584217600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67298.91839999889,0.0,1449551462400.0,1905891737600.0,146.08940668404102,450.31914953142405,0.10562501847743988,2.4749403819441795,309.8947824910283,1066.7749717831612,10.667749717831612,3.687381763737445e-05,1,512,32,0.0
pat_like_traffic_only,4.0,100,0.3180141273971512,49579.674517725456,289308.3838721637,289308.3838721637,289308.3838721637,28568.920026592226,40214.673755948876,42330.813302089126,0.040315029560973284,0.04031502956097578,0.04031502956097673,1206494.9326022777,0.0,0.0,0.0,0.0,0.0,1369020825600.0,5696482276147200.0,1.8871827601710258,4300800.0,10444800.0,2.0233322496,1139.29645522944,0.07247757312,1.52471339008,11.429169784422399,711246584217600.0,711246584217600.0,0.0,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,13606456.393728,0.0,cohort_stage,latency_p50_ms,711246584217600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67298.91839999889,0.0,1449551462400.0,1905891737600.0,144.64008249342442,539.5141206681728,0.11225882917642593,186.5646531805396,508.0103725194931,1364.5369419828057,13.645369419828057,4.716548216541669e-05,1,512,32,0.0
waferagent_latency_safe,4.0,100,0.0583172420881682,9091.891310513774,1700733.614724692,1712342.6984949117,1713882.9957435324,10.923455346986884,10.923455346986884,10.923455346986884,0.04030731505519792,0.040307315055198356,0.040307315055198356,4850379.824055494,5646460.654286201,0.0,0.0,0.0,0.0,2494839128064.0,301484026912768.0,1.407252855026636,4300800.0,10444800.0,2.0233322496,60.2968053825536,4.8378296873739,2.7685359190016,0.699265032385291,640802248615446.0,711246584217600.0,0.09904347826098259,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,31.39459294080734,0.0,cohort_stage,latency_p50_ms,640802248615446.0,201.0,2.0,201.0,201.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,67298.91839999976,95307042285078.0,1449551462400.0,3460669898752.0,146.28554973751307,569.9491556733847,0.11476501822471619,90.65549448132515,333.62188283354044,1229.5720232650638,12.295720232650638,7.272685400443526e-06,1,512,32,0.0
apc_like,8.0,100,0.331262159234656,51645.09567331981,289304.18387216364,289304.1838721637,289304.1838721637,28869.67951095332,41526.23456801079,44201.488838162215,0.040315029560973284,0.04031502956097587,0.04031502956097587,1207041.6603238236,0.0,0.0,0.0,0.0,0.0,1369020825600.0,5696482276147200.0,1.8871827601710258,4300800.0,10444800.0,2.0233322496,1139.29645522944,0.07247757312,1.52471339008,11.429169784422399,711246584217600.0,711246584217600.0,0.0,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,13606456.393728,0.0,cohort_stage,latency_p50_ms,711246584217600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67298.91839999887,0.0,1449551462400.0,1905891737600.0,145.47492936253548,448.3325621113181,0.09977072477340698,2.5089019909501076,306.00067786872387,1152.0630288869143,11.520630288869143,3.9821858552726014e-05,1,512,32,0.0
pat_like_traffic_only,8.0,100,0.33125755044481625,51644.37714454863,289308.38387216366,289308.3838721637,289308.3838721637,28869.879510953324,41526.43456801079,44201.68883816221,0.040315029560973284,0.04031502956097587,0.04031502956097587,1207022.2436497624,0.0,0.0,0.0,0.0,0.0,1369020825600.0,5696482276147200.0,1.8871827601710258,4300800.0,10444800.0,2.0233322496,1139.29645522944,0.07247757312,1.52471339008,11.429169784422399,711246584217600.0,711246584217600.0,0.0,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,13606456.393728,0.0,cohort_stage,latency_p50_ms,711246584217600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67298.91839999887,0.0,1449551462400.0,1905891737600.0,144.50733829289675,447.17798940837383,0.11370610445737839,189.48922399431467,511.728135868907,1281.2321363016963,12.812321363016963,4.428603551523184e-05,1,512,32,0.0
waferagent_latency_safe,8.0,100,0.05831961270842101,9092.260899693669,1707656.253915443,1713476.8303706162,1714246.977494499,10.92345534698552,10.923455346986884,10.923455346986884,0.04030731505518554,0.04030731505519792,0.04030731505519792,5428532.938724012,5533845.721594598,0.0,0.0,0.0,0.0,2494839128064.0,301484026912768.0,1.407252855026636,4300800.0,10444800.0,2.0233322496,60.2968053825536,4.8378296873739,2.7685359190016,0.699265032385291,640802248615446.0,711246584217600.0,0.09904347826098259,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,31.39459294080734,0.0,cohort_stage,latency_p50_ms,640802248615446.0,201.0,2.0,201.0,201.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,67298.91839999976,95307042285078.0,1449551462400.0,3460669898752.0,145.2483106404543,548.7161343917251,0.10680221021175385,92.91592333465815,338.2400646805763,1209.4413815066218,12.094413815066218,7.107055378141642e-06,1,512,32,0.0
apc_like,16.0,100,0.3383064978661658,52743.33624332671,289304.1838721637,289304.1838721637,289304.1838721637,30980.219936824207,43919.20376837748,44112.19307081016,0.040315029560972424,0.04031502956097587,0.04031502956097587,1209775.7162005436,0.0,0.0,0.0,0.0,0.0,1369020825600.0,5696482276147200.0,1.8871827601710258,4300800.0,10444800.0,2.0233322496,1139.29645522944,0.07247757312,1.52471339008,11.429169784422399,711246584217600.0,711246584217600.0,0.0,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,13606456.393728,0.0,cohort_stage,latency_p50_ms,711246584217600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67298.91839999887,0.0,1449551462400.0,1905891737600.0,143.95109377801418,444.44633089005947,0.0964924693107605,2.48746108263731,387.85278238356113,1141.4535446092486,11.414535446092486,3.945513436174945e-05,1,512,32,0.0
