baseline,arrival_rate_jobs_per_s,completed_jobs,jobs_per_s,tokens_per_s,jct_p50_ms,jct_p90_ms,jct_p99_ms,ttft_p50_ms,ttft_p90_ms,ttft_p99_ms,tpot_p50_ms,tpot_p90_ms,tpot_p99_ms,queue_wait_ms,mesh_wait_ms,cross_job_prefix_hit_rate,cross_job_prefix_compute_hits,sram_hit_rate,sram_evictions,sram_reload_bytes,mesh_total_traffic_bytes,mesh_hotspot_ratio,computed_prefill_tokens,avoided_prefill_tokens,compute_energy_j,mesh_energy_j,sram_energy_j,offwafer_energy_j,energy_per_job_j,decode_shared_kv_read_bytes,decode_shared_kv_read_bytes_without_cohort,decode_kv_read_reduction_ratio,shared_attention_cost_model_source,shared_attention_fit_hash,cohort_latency_predicted_ms,cohort_latency_observed_or_fitted_ms,shared_attention_accounting_mode,shared_attention_prediction_stat,cross_region_kv_transfer_bytes,num_decode_cohorts,avg_cohort_size,candidate_cohorts,accepted_cohorts,rejected_wait_cost,rejected_slo_risk,rejected_low_saving,rejected_critical_path,rejected_queue_pressure,rejected_remote_shared_kv,accepted_avg_size,accepted_avg_wait_ms,replica_bytes_total,saved_mesh_traffic_bytes,replication_transfer_bytes,replication_actual_transfer_bytes,shared_prefill_compute_ms_saved,sram_read_bytes,sram_write_bytes,offwafer_reload_bytes,shared_kv_extraction_overhead_ms,placement_planning_overhead_ms,replication_planning_overhead_ms,decode_cohort_planning_overhead_ms,scheduling_loop_overhead_ms,total_runtime_overhead_ms,overhead_per_job_ms,overhead_fraction_of_jct
apc_like,2.0,100,1.1402445491528908,49951.83320928984,17260.82424587237,29351.981698302065,29358.29083459694,6.911555683145707,10.869016979246226,17.178153274064243,0.10892852648025177,0.11190335356424677,0.11190335356425703,24623.104002112013,0.0,0.9107142857142857,765.0,0.7870588235294118,85.0,67779952640.0,123115467283456.0,7.11930145694717,2163200.0,2112000.0,0.8921284608,24.6230934566912,0.01400897536,0.055485608755200005,0.25584716501606397,35540854374400.0,35540854374400.0,0.0,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,695784.701952,0.0,cohort_stage,latency_p50_ms,35540854374400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13193.271705599907,209044111360.0,71135395840.0,69357010944.0,78.83994560688734,295.6170104444027,0.02385862171649933,1.1323438957333565,126.41930766403675,643.0035019293427,6.4300350192934275,0.00037107456942134996
ideal_next_use_cache,2.0,100,1.7083648784823988,74840.04859655692,83.8039123355029,112.46895247096259,1516.1519796686657,5.376424631477676,7.507301812752882,17.378153274061333,0.10861359607428345,0.11143963825606855,0.11159260896057753,56.82880129182176,28.23784505916723,0.9107142857142857,765.0,0.9582677165354331,45.0,17548967936.0,209916718592.0,2.6598458218338346,2163200.0,2112000.0,0.8921284608,0.0419833437184,1.0032473178072001,0.014227079168,0.019515862014936002,20949561979618.0,35540854374400.0,0.4105498489448829,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,19.626144066452976,0.0,cohort_stage,latency_p50_ms,20949561979618.0,153.0,3.8758169934640523,153.0,153.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8758169934640523,0.04242304339052849,0.0,0.0,0.0,0.0,13193.271705599906,20052229226416.0,12717129728.0,17783848960.0,79.48579732328653,241.15412589162588,0.021532177925109863,10.076163336634636,122.93871771544218,663.4046779945493,6.634046779945493,0.047712024116679255
kvflow_like,2.0,100,1.1402445491528908,49951.83320928984,17270.55531067238,29351.981698302065,29358.29083459694,6.911555683145707,10.869016979246226,17.178153274064243,0.10892852648025177,0.11190335356424677,0.11190335356425703,24623.303656572814,0.0,0.9107142857142857,765.0,0.7858823529411765,86.0,67922558976.0,123116465527808.0,7.119276165244324,2163200.0,2112000.0,0.8921284608,24.6232931055616,0.01400897536,0.055599693824,0.25585030235545597,35540854374400.0,35540854374400.0,0.0,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,695784.701952,0.0,cohort_stage,latency_p50_ms,35540854374400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13193.271705599907,208901505024.0,71278002176.0,69499617280.0,78.43096647411585,235.08624732494354,0.023443251848220825,1.220107078552246,126.47103983908892,583.0856515094638,5.830856515094638,0.00033649180344627486
no_cache,2.0,100,1.1379304596564734,49850.45757663079,17410.817491563394,29451.20836711776,29451.20836711776,14.64951938447848,21.135614570164762,21.135614570164762,0.10892852648025177,0.11190335356424677,0.11190335356425703,24699.428718079995,0.0,0.0,0.0,0.0,449.0,0.0,123497090227200.0,2.036462391848389,4275200.0,0.0,1.7226006528,24.699418045439998,0.02801795072,0.1744830464,0.26624519695359994,35540854374400.0,35540854374400.0,0.0,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,695784.701952,0.0,cohort_stage,latency_p50_ms,35540854374400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,560359014400.0,218103808000.0,78.94237153232098,238.30692376941442,0.038304366171360016,1.1753356084227562,130.52712008357048,592.4109891057014,5.9241098910570145,0.000340254551167836
pat_like_traffic_only,2.0,100,1.194439365217725,52325.99971145809,13120.30572630338,25441.16589271183,26874.89428925446,5.476444475973949,11.069016979243315,17.378153274061333,0.10861359607429055,0.11143963825606855,0.111668737193972,14726.677947758226,0.0,0.9107142857142857,765.0,0.8058823529411765,87.0,58015612928.0,73633352070375.0,3.633367906533845,2163200.0,2112000.0,0.8921284608,14.726670414075,0.01400897536,0.047164109619200006,0.156799719598542,21082705965795.0,35540854374400.0,0.4068036253799001,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,19.371232062578198,0.0,cohort_stage,latency_p50_ms,21082705965795.0,151.0,3.8675496688741724,151.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8675496688741724,0.025700250013065574,0.0,0.0,0.0,0.0,13193.271705599902,218808451072.0,61371056128.0,58955137024.0,78.07609904557467,234.97740551829338,0.022295862436294556,11.167896911501884,137.23210245370865,675.6003089249134,6.756003089249134,0.0004631681396274477
wafer_naive,2.0,100,1.1379304596564734,49850.45757663079,17410.817491563394,29451.20836711776,29451.20836711776,14.64951938447848,21.135614570164762,21.135614570164762,0.10892852648025177,0.11190335356424677,0.11190335356425703,24699.428718079995,0.0,0.0,0.0,0.0,449.0,0.0,123497090227200.0,2.036462391848389,4275200.0,0.0,1.7226006528,24.699418045439998,0.02801795072,0.1744830464,0.26624519695359994,35540854374400.0,35540854374400.0,0.0,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,695784.701952,0.0,cohort_stage,latency_p50_ms,35540854374400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,560359014400.0,218103808000.0,79.76677641272545,238.36066015064716,0.024954788386821747,1.147618517279625,129.55910712480545,594.084526412189,5.94084526412189,0.0003412157566409842
waferagent_latency_safe,2.0,100,1.7085458467223227,74847.97645321151,78.74517553655096,106.26890390958002,1509.9519311072831,5.376444475975404,7.307301812755792,17.178153274064243,0.10880650575471157,0.11174486542736706,0.11182410949580657,56.74880032059406,28.15784311671181,0.9107142857142857,765.0,0.9615384615384616,43.0,16475226112.0,209916718592.0,2.6598458218338346,2163200.0,2112000.0,0.8921284608,0.0419833437184,1.3863798754461,0.013368085708800001,0.023338597656732997,28443850414394.0,35540854374400.0,0.19968580060691943,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,24.612608075141907,0.0,cohort_stage,latency_p50_ms,28443850414394.0,192.0,2.0,205.0,192.0,0.0,0.0,0.0,0.0,13.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,13193.271705599906,27714880379194.0,12717129728.0,16710107136.0,78.93605995923281,239.27014600485563,0.027564354240894318,13.902684673666954,125.94563886523247,596.8697909265757,5.968697909265757,0.04428632768768144
apc_like,4.0,100,1.709791218362721,74902.5336940341,17293.24924281144,29351.981698302036,29358.290834596857,6.911555683145707,10.869016979249864,17.178153274060605,0.10892852648024634,0.11190335356424692,0.11190335356424692,24621.167818575992,0.0,0.9107142857142857,765.0,0.7917647058823529,85.0,68081942528.0,123105786829824.0,4.068823602892105,2163200.0,2112000.0,0.8921284608,24.6211573659648,0.01400897536,0.0558077313024,0.255831025334272,35540854374400.0,35540854374400.0,0.0,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,695784.701952,0.0,cohort_stage,latency_p50_ms,35540854374400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13193.271705599915,208742121472.0,71437385728.0,69759664128.0,78.23871728032827,234.40116830170155,0.020945444703102112,1.154397614300251,129.0070116519928,581.3894392922521,5.813894392922521,0.00033556835812386087
ideal_next_use_cache,4.0,100,3.410444328878946,149404.74515952886,80.87150572792893,767.0707301810787,1515.7218687625495,5.476444475975768,11.069016979250591,17.378153274061333,0.1085772684345517,0.11143963825606855,0.11159260896057761,138.32857228712137,75.49095331685604,0.9107142857142857,765.0,0.9419252187748608,61.0,28420603904.0,348429413888.0,2.3975343761893875,2163200.0,2112000.0,0.8921284608,0.0696858827776,0.95018299686505,0.0230317621248,0.0193502910256745,20661369674055.0,35540854374400.0,0.41865861027422746,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,20.385888084769245,0.0,cohort_stage,latency_p50_ms,20661369674055.0,159.0,3.849056603773585,159.0,159.0,0.0,0.0,0.0,0.0,0.0,0.0,3.849056603773585,0.0434499821393471,0.0,0.0,0.0,0.0,13193.271705599906,18986043860501.0,17616076800.0,28789702656.0,80.70146851241589,242.79998522251844,0.021119602024555206,10.500157251954079,126.65089033544064,600.0379733741283,6.000379733741283,0.027207417219860815
kvflow_like,4.0,100,1.709791218362721,74902.5336940341,17293.24924281144,29351.981698302036,29358.290834596857,6.911555683145707,10.869016979249864,17.178153274060605,0.10892852648024634,0.11190335356424692,0.11190335356424692,24621.33894976959,0.0,0.9107142857142857,765.0,0.7905882352941176,86.0,68224548864.0,123106642467840.0,4.068813857367778,2163200.0,2112000.0,0.8921284608,24.621328493568,0.01400897536,0.0559218163712,0.255833877460992,35540854374400.0,35540854374400.0,0.0,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,695784.701952,0.0,cohort_stage,latency_p50_ms,35540854374400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13193.271705599915,208599515136.0,71579992064.0,69902270464.0,81.54263440519571,318.6896191909909,0.024313107132911682,1.2140534818172455,130.2330046892166,673.5434997826815,6.735434997826815,0.0003887581560171032
