mode,shared_prefix_tokens,private_tokens,num_agents,heads,head_dim,device,dtype,exact_merge,latency_p50_ms,latency_p90_ms,latency_p99_ms,latency_mad_ms,valid_reps,memory_bytes_estimated,shared_read_bytes_estimated,max_abs_error,oom,outlier_count,latency_ms,independent_latency_ms,independent_memory_bytes,latency_speedup,read_byte_reduction_ratio,reps,warmup_reps
cohort_attention,512,64,1,28,128,cuda:1,float16,True,0.11803200095891953,0.12285440266132355,0.12624959707260133,0.0029440000653266907,30,7340032.0,7340032.0,0.0,0,0,0.11803200095891953,0.14115199446678162,7340032.0,1.1958790270437667,0.0,30,10
cohort_attention,512,64,2,28,128,cuda:1,float16,True,0.13283200562000275,0.13772800266742707,0.13934847772121428,0.0021760016679763794,29,7340032.0,7340032.0,0.0,0,1,0.13283200562000275,0.2195039987564087,14680064.0,1.6524932958126946,0.5,30,10
cohort_attention,512,64,4,28,128,cuda:1,float16,True,0.13035199791193008,0.13483200520277022,0.13996800467371942,0.0017599985003471375,30,7340032.0,7340032.0,0.0,0,0,0.13035199791193008,0.38281598687171936,29360128.0,2.9367864935247243,0.75,30,10
cohort_attention,512,64,8,28,128,cuda:1,float16,True,0.12851199507713318,0.1348479986190796,0.13745408356189728,0.0015039891004562378,29,7340032.0,7340032.0,0.0,0,1,0.12851199507713318,0.7015359997749329,58720256.0,5.458914549990991,0.875,30,10
cohort_attention,512,64,16,28,128,cuda:1,float16,True,0.13124799728393555,0.13677759766578673,0.1389750349521637,0.0017600059509277344,30,7340032.0,7340032.0,0.0,0,0,0.13124799728393555,1.3359360098838806,117440512.0,10.178715390176823,0.9375,30,10
cohort_attention,512,256,1,28,128,cuda:1,float16,True,0.11622399836778641,0.12028799951076508,0.12257663875818252,0.0013760030269622803,29,7340032.0,7340032.0,0.0,0,1,0.11622399836778641,0.13808000087738037,7340032.0,1.188050685026611,0.0,30,10
cohort_attention,512,256,2,28,128,cuda:1,float16,True,0.12982399761676788,0.13278719782829285,0.13694848358631134,0.001023992896080017,27,7340032.0,7340032.0,0.0,0,3,0.12982399761676788,0.2210559993982315,14680064.0,1.7027360384539585,0.5,30,10
cohort_attention,512,256,4,28,128,cuda:1,float16,True,0.12902399897575378,0.1352959990501404,0.13626495838165284,0.0013439953327178955,27,7340032.0,7340032.0,0.0,0,3,0.12902399897575378,0.37931200861930847,29360128.0,2.9398562409353692,0.75,30,10
cohort_attention,512,256,8,28,128,cuda:1,float16,True,0.13043199479579926,0.13633919954299928,0.137472003698349,0.0015359967947006226,29,7340032.0,7340032.0,0.0,0,1,0.13043199479579926,0.7003520131111145,58720256.0,5.3694801969989525,0.875,30,10
cohort_attention,512,256,16,28,128,cuda:1,float16,True,0.13052800297737122,0.13259519636631012,0.13589823752641678,0.0009279996156692505,27,7340032.0,7340032.0,0.0,0,3,0.13052800297737122,1.3398079872131348,117440512.0,10.264525286925661,0.9375,30,10
