baseline,arrival_rate_jobs_per_s,candidate_cohorts,accepted_cohorts,rejected_wait_cost,rejected_slo_risk,rejected_low_saving,rejected_critical_path,rejected_queue_pressure,rejected_remote_shared_kv,accepted_avg_size,accepted_avg_wait_ms,decode_shared_kv_read_bytes,decode_shared_kv_read_bytes_without_cohort,decode_kv_read_reduction_ratio,jct_p99_ms
apc_like,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35540854374400.0,35540854374400.0,0.0,29358.29083459694
ideal_next_use_cache,2.0,153.0,153.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8758169934640523,0.04242304339052849,35540854374400.0,35540854374400.0,0.0,1516.1519796686657
pat_like_traffic_only,2.0,151.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8675496688741724,0.025700250013065574,21082705965795.0,35540854374400.0,0.4068036253799001,26874.89428925446
waferagent_adaptive,2.0,205.0,192.0,0.0,0.0,0.0,0.0,13.0,0.0,2.0,0.0,28443850414394.0,35540854374400.0,0.19968580060691943,1509.9519311072831
waferagent_latency_safe,2.0,205.0,192.0,0.0,0.0,0.0,0.0,13.0,0.0,2.0,0.0,28443850414394.0,35540854374400.0,0.19968580060691943,1509.9519311072831
apc_like,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35540854374400.0,35540854374400.0,0.0,29358.290834596857
ideal_next_use_cache,4.0,159.0,159.0,0.0,0.0,0.0,0.0,0.0,0.0,3.849056603773585,0.0434499821393471,35540854374400.0,35540854374400.0,0.0,1515.7218687625495
pat_like_traffic_only,4.0,151.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8543046357615895,0.047063281233034326,21223580893103.0,35540854374400.0,0.40283987915635766,27030.328124291358
waferagent_adaptive,4.0,244.0,189.0,0.0,0.0,0.0,0.0,55.0,0.0,2.0,0.0,28619085080072.0,35540854374400.0,0.1947552870117195,1494.3852447835031
waferagent_latency_safe,4.0,244.0,189.0,0.0,0.0,0.0,0.0,55.0,0.0,2.0,0.0,28619085080072.0,35540854374400.0,0.1947552870117195,1494.3852447835031
apc_like,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35540854374400.0,35540854374400.0,0.0,29358.290834596875
ideal_next_use_cache,8.0,167.0,167.0,0.0,0.0,0.0,0.0,0.0,0.0,3.940119760479042,0.1269045464781453,35540854374400.0,35540854374400.0,0.0,6946.551252923543
pat_like_traffic_only,8.0,153.0,153.0,0.0,0.0,0.0,0.0,0.0,0.0,3.849673202614379,0.06300485420771033,21421793633811.0,35540854374400.0,0.3972628398815007,27059.537638651043
waferagent_adaptive,8.0,383.0,186.0,0.0,0.0,0.0,0.0,197.0,0.0,2.0,0.0,28794319745750.0,35540854374400.0,0.1898247734165196,7103.61937267353
waferagent_latency_safe,8.0,383.0,186.0,0.0,0.0,0.0,0.0,197.0,0.0,2.0,0.0,28794319745750.0,35540854374400.0,0.1898247734165196,7103.61937267353
apc_like,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35540854374400.0,35540854374400.0,0.0,29358.290834596883
ideal_next_use_cache,16.0,168.0,168.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9345238095238093,0.14684745131178797,35540854374400.0,35540854374400.0,0.0,10569.799055937829
pat_like_traffic_only,16.0,151.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8874172185430464,0.09618944137904893,21703758236796.0,35540854374400.0,0.38932930513822506,27090.36281851002
waferagent_adaptive,16.0,409.0,183.0,0.0,0.0,0.0,0.0,226.0,0.0,2.0,0.0,28969554411428.0,35540854374400.0,0.18489425982131968,11904.810096779402
waferagent_latency_safe,16.0,409.0,183.0,0.0,0.0,0.0,0.0,226.0,0.0,2.0,0.0,28969554411428.0,35540854374400.0,0.18489425982131968,11904.810096779402
