reuse_group_size,shared_prefix_tokens,private_suffix_tokens,decode_tokens,num_agents_per_job,arrival_rate_jobs_per_s,primary_benefit_source,prefill_saving_delta,shared_kv_read_reduction_delta,placement_mesh_delta,shared_kv_placement_delta,apc_affinity_jct_delta,pat_affinity_jct_delta,jct_p99_delta_vs_apc,metric,delta
1,512,128,32,2,2.0,prefill_cache_benefit,1.0,0.0,0.0,0.0,0.0,0.0,0.8362627749020902,prefill_saving_delta,1.0
1,512,128,32,2,2.0,prefill_cache_benefit,1.0,0.0,0.0,0.0,0.0,0.0,0.8362627749020902,shared_kv_read_reduction_delta,0.0
1,512,128,32,2,2.0,prefill_cache_benefit,1.0,0.0,0.0,0.0,0.0,0.0,0.8362627749020902,placement_mesh_delta,0.0
1,512,128,32,2,2.0,prefill_cache_benefit,1.0,0.0,0.0,0.0,0.0,0.0,0.8362627749020902,shared_kv_placement_delta,0.0
1,512,128,32,2,16.0,mixed_benefit,1.0,0.0,2147483648.0,0.0,0.0,0.0,0.836262774902089,prefill_saving_delta,1.0
1,512,128,32,2,16.0,mixed_benefit,1.0,0.0,2147483648.0,0.0,0.0,0.0,0.836262774902089,shared_kv_read_reduction_delta,0.0
1,512,128,32,2,16.0,mixed_benefit,1.0,0.0,2147483648.0,0.0,0.0,0.0,0.836262774902089,placement_mesh_delta,2147483648.0
1,512,128,32,2,16.0,mixed_benefit,1.0,0.0,2147483648.0,0.0,0.0,0.0,0.836262774902089,shared_kv_placement_delta,0.0
1,512,128,32,16,2.0,mixed_benefit,1.0,0.0,53687091200.0,450971566080.0,-0.7985843161636953,-0.7983462186353637,0.9879943520841122,prefill_saving_delta,1.0
1,512,128,32,16,2.0,mixed_benefit,1.0,0.0,53687091200.0,450971566080.0,-0.7985843161636953,-0.7983462186353637,0.9879943520841122,shared_kv_read_reduction_delta,0.0
1,512,128,32,16,2.0,mixed_benefit,1.0,0.0,53687091200.0,450971566080.0,-0.7985843161636953,-0.7983462186353637,0.9879943520841122,placement_mesh_delta,53687091200.0
1,512,128,32,16,2.0,mixed_benefit,1.0,0.0,53687091200.0,450971566080.0,-0.7985843161636953,-0.7983462186353637,0.9879943520841122,shared_kv_placement_delta,450971566080.0
1,512,128,32,16,16.0,mixed_benefit,1.0,0.0,412316860416.0,450971566080.0,-0.7985843161636954,-0.7983462186353637,0.9879943520841122,prefill_saving_delta,1.0
1,512,128,32,16,16.0,mixed_benefit,1.0,0.0,412316860416.0,450971566080.0,-0.7985843161636954,-0.7983462186353637,0.9879943520841122,shared_kv_read_reduction_delta,0.0
1,512,128,32,16,16.0,mixed_benefit,1.0,0.0,412316860416.0,450971566080.0,-0.7985843161636954,-0.7983462186353637,0.9879943520841122,placement_mesh_delta,412316860416.0
1,512,128,32,16,16.0,mixed_benefit,1.0,0.0,412316860416.0,450971566080.0,-0.7985843161636954,-0.7983462186353637,0.9879943520841122,shared_kv_placement_delta,450971566080.0
1,512,128,512,2,2.0,prefill_cache_benefit,1.0,0.0,0.0,0.0,0.0,0.0,0.9682065684879543,prefill_saving_delta,1.0
1,512,128,512,2,2.0,prefill_cache_benefit,1.0,0.0,0.0,0.0,0.0,0.0,0.9682065684879543,shared_kv_read_reduction_delta,0.0
1,512,128,512,2,2.0,prefill_cache_benefit,1.0,0.0,0.0,0.0,0.0,0.0,0.9682065684879543,placement_mesh_delta,0.0
1,512,128,512,2,2.0,prefill_cache_benefit,1.0,0.0,0.0,0.0,0.0,0.0,0.9682065684879543,shared_kv_placement_delta,0.0
1,512,128,512,2,16.0,mixed_benefit,1.0,0.0,34359738368.0,0.0,0.0,0.0,0.9682065684879546,prefill_saving_delta,1.0
1,512,128,512,2,16.0,mixed_benefit,1.0,0.0,34359738368.0,0.0,0.0,0.0,0.9682065684879546,shared_kv_read_reduction_delta,0.0
1,512,128,512,2,16.0,mixed_benefit,1.0,0.0,34359738368.0,0.0,0.0,0.0,0.9682065684879546,placement_mesh_delta,34359738368.0
1,512,128,512,2,16.0,mixed_benefit,1.0,0.0,34359738368.0,0.0,0.0,0.0,0.9682065684879546,shared_kv_placement_delta,0.0
1,512,128,512,16,2.0,mixed_benefit,1.0,0.0,2218350608384.0,7215545057280.0,-0.7987908639357787,-0.7987754267756206,0.9978252780732643,prefill_saving_delta,1.0
1,512,128,512,16,2.0,mixed_benefit,1.0,0.0,2218350608384.0,7215545057280.0,-0.7987908639357787,-0.7987754267756206,0.9978252780732643,shared_kv_read_reduction_delta,0.0
1,512,128,512,16,2.0,mixed_benefit,1.0,0.0,2218350608384.0,7215545057280.0,-0.7987908639357787,-0.7987754267756206,0.9978252780732643,placement_mesh_delta,2218350608384.0
1,512,128,512,16,2.0,mixed_benefit,1.0,0.0,2218350608384.0,7215545057280.0,-0.7987908639357787,-0.7987754267756206,0.9978252780732643,shared_kv_placement_delta,7215545057280.0
1,512,128,512,16,16.0,mixed_benefit,1.0,0.0,6307159474176.0,7215545057280.0,-0.7987908639357788,-0.7987754267756206,0.9978252780732643,prefill_saving_delta,1.0
1,512,128,512,16,16.0,mixed_benefit,1.0,0.0,6307159474176.0,7215545057280.0,-0.7987908639357788,-0.7987754267756206,0.9978252780732643,shared_kv_read_reduction_delta,0.0
1,512,128,512,16,16.0,mixed_benefit,1.0,0.0,6307159474176.0,7215545057280.0,-0.7987908639357788,-0.7987754267756206,0.9978252780732643,placement_mesh_delta,6307159474176.0
1,512,128,512,16,16.0,mixed_benefit,1.0,0.0,6307159474176.0,7215545057280.0,-0.7987908639357788,-0.7987754267756206,0.9978252780732643,shared_kv_placement_delta,7215545057280.0
1,8192,128,32,2,2.0,mixed_benefit,1.0,0.0,1079110533120.0,0.0,0.0,0.0,0.9631037482786985,prefill_saving_delta,1.0
1,8192,128,32,2,2.0,mixed_benefit,1.0,0.0,1079110533120.0,0.0,0.0,0.0,0.9631037482786985,shared_kv_read_reduction_delta,0.0
1,8192,128,32,2,2.0,mixed_benefit,1.0,0.0,1079110533120.0,0.0,0.0,0.0,0.9631037482786985,placement_mesh_delta,1079110533120.0
1,8192,128,32,2,2.0,mixed_benefit,1.0,0.0,1079110533120.0,0.0,0.0,0.0,0.9631037482786985,shared_kv_placement_delta,0.0
1,8192,128,32,2,16.0,mixed_benefit,1.0,0.0,1079110533120.0,0.0,0.0,0.0,0.963103748278699,prefill_saving_delta,1.0
1,8192,128,32,2,16.0,mixed_benefit,1.0,0.0,1079110533120.0,0.0,0.0,0.0,0.963103748278699,shared_kv_read_reduction_delta,0.0
1,8192,128,32,2,16.0,mixed_benefit,1.0,0.0,1079110533120.0,0.0,0.0,0.0,0.963103748278699,placement_mesh_delta,1079110533120.0
1,8192,128,32,2,16.0,mixed_benefit,1.0,0.0,1079110533120.0,0.0,0.0,0.0,0.963103748278699,shared_kv_placement_delta,0.0
1,8192,128,32,16,2.0,mixed_benefit,1.0,0.3683010262292207,16.623849188952214,0.0,-0.7986803993736292,-0.7986831118858488,0.0,prefill_saving_delta,1.0
1,8192,128,32,16,2.0,mixed_benefit,1.0,0.3683010262292207,16.623849188952214,0.0,-0.7986803993736292,-0.7986831118858488,0.0,shared_kv_read_reduction_delta,0.3683010262292207
1,8192,128,32,16,2.0,mixed_benefit,1.0,0.3683010262292207,16.623849188952214,0.0,-0.7986803993736292,-0.7986831118858488,0.0,placement_mesh_delta,16.623849188952214
1,8192,128,32,16,2.0,mixed_benefit,1.0,0.3683010262292207,16.623849188952214,0.0,-0.7986803993736292,-0.7986831118858488,0.0,shared_kv_placement_delta,0.0
